spec.jvm2008.report.run.location=SUNSPACE07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 28 19:22:53 BST 2016, end=Tue Jun 28 19:22:53 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 19:22:53 BST 2016, end=Tue Jun 28 19:22:53 BST 2016, operations=1.0, operationsPerMinute=483.8709677419355
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 19:22:53 BST 2016, end=Tue Jun 28 19:23:15 BST 2016, operations=1.0, operationsPerMinute=2.7316184839517414
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 19:23:15 BST 2016, end=Tue Jun 28 19:23:20 BST 2016, operations=1.0, operationsPerMinute=13.172338090010976
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 19:23:20 BST 2016, end=Tue Jun 28 19:23:21 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 19:23:21 BST 2016, end=Tue Jun 28 19:23:31 BST 2016, operations=1.0, operationsPerMinute=6.028333165879634
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 19:23:31 BST 2016, end=Tue Jun 28 19:23:40 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 19:23:40 BST 2016, end=Tue Jun 28 19:23:47 BST 2016, operations=1.0, operationsPerMinute=8.306797729475287
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 19:23:47 BST 2016, end=Tue Jun 28 19:23:50 BST 2016, operations=1.0, operationsPerMinute=19.62066710268149
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 19:23:50 BST 2016, end=Tue Jun 28 19:23:51 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 19:23:51 BST 2016, end=Tue Jun 28 19:23:52 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 19:23:52 BST 2016, end=Tue Jun 28 19:23:59 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 19:23:59 BST 2016, end=Tue Jun 28 19:24:01 BST 2016, operations=1.0, operationsPerMinute=32.87671232876713
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 19:24:01 BST 2016, end=Tue Jun 28 19:24:02 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 19:24:02 BST 2016, end=Tue Jun 28 19:24:05 BST 2016, operations=1.0, operationsPerMinute=20.03338898163606
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 19:24:05 BST 2016, end=Tue Jun 28 19:24:12 BST 2016, operations=1.0, operationsPerMinute=8.472182999152782
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 19:24:12 BST 2016, end=Tue Jun 28 19:24:41 BST 2016, operations=1.0, operationsPerMinute=2.0959234289307296
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 19:24:41 BST 2016, end=Tue Jun 28 19:24:42 BST 2016, operations=1.0, operationsPerMinute=49.3421052631579
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 19:24:59 BST 2016, end=Tue Jun 28 19:26:59 BST 2016, operations=354.45712665204945, operationsPerMinute=177.22856332602473, mode=normal, start=Tue Jun 28 19:27:01 BST 2016, end=Tue Jun 28 19:31:01 BST 2016, operations=727.0136912325274, operationsPerMinute=181.75342280813186
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 19:31:07 BST 2016, end=Tue Jun 28 19:33:07 BST 2016, operations=138.62387124968228, operationsPerMinute=69.31193562484114, mode=normal, start=Tue Jun 28 19:33:11 BST 2016, end=Tue Jun 28 19:37:11 BST 2016, operations=275.2128290573064, operationsPerMinute=68.8032072643266
benchmark-name=compress, mod=warmup, start=Tue Jun 28 19:37:15 BST 2016, end=Tue Jun 28 19:39:15 BST 2016, operations=273.67149507086503, operationsPerMinute=136.83574753543252, mode=normal, start=Tue Jun 28 19:39:18 BST 2016, end=Tue Jun 28 19:43:18 BST 2016, operations=546.4581988061092, operationsPerMinute=136.6145497015273
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 19:43:21 BST 2016, end=Tue Jun 28 19:45:21 BST 2016, operations=85.92872965085938, operationsPerMinute=42.96436482542969, mode=normal, start=Tue Jun 28 19:45:29 BST 2016, end=Tue Jun 28 19:49:29 BST 2016, operations=181.5758506690642, operationsPerMinute=45.39396266726605
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 19:49:37 BST 2016, end=Tue Jun 28 19:51:37 BST 2016, operations=149.0187638664956, operationsPerMinute=74.5093819332478, mode=normal, start=Tue Jun 28 19:51:43 BST 2016, end=Tue Jun 28 19:55:43 BST 2016, operations=296.95096040298876, operationsPerMinute=74.23774010074719
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 19:55:48 BST 2016, end=Tue Jun 28 19:57:48 BST 2016, operations=252.95759714142068, operationsPerMinute=126.47879857071034, mode=normal, start=Tue Jun 28 19:57:50 BST 2016, end=Tue Jun 28 20:01:50 BST 2016, operations=508.6177842598006, operationsPerMinute=127.15444606495015
benchmark-name=derby, mod=warmup, start=Tue Jun 28 20:03:20 BST 2016, end=Tue Jun 28 20:05:20 BST 2016, operations=203.33370476587143, operationsPerMinute=101.66685238293572, mode=normal, start=Tue Jun 28 20:05:23 BST 2016, end=Tue Jun 28 20:09:23 BST 2016, operations=406.2545010937522, operationsPerMinute=101.56362527343805
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 20:09:27 BST 2016, end=Tue Jun 28 20:11:27 BST 2016, operations=134.36340745369262, operationsPerMinute=67.18170372684631, mode=normal, start=Tue Jun 28 20:11:32 BST 2016, end=Tue Jun 28 20:15:32 BST 2016, operations=270.87436580855905, operationsPerMinute=67.71859145213976
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 20:15:36 BST 2016, end=Tue Jun 28 20:17:36 BST 2016, operations=56.294289196777925, operationsPerMinute=28.147144598388962, mode=normal, start=Tue Jun 28 20:17:50 BST 2016, end=Tue Jun 28 20:21:50 BST 2016, operations=121.04358566238321, operationsPerMinute=30.260896415595802
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 20:22:00 BST 2016, end=Tue Jun 28 20:24:00 BST 2016, operations=11.575720622133456, operationsPerMinute=5.787860311066728, mode=normal, start=Tue Jun 28 20:24:34 BST 2016, end=Tue Jun 28 20:28:34 BST 2016, operations=23.2374658141553, operationsPerMinute=5.809366453538825
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 20:29:13 BST 2016, end=Tue Jun 28 20:31:13 BST 2016, operations=55.76639057107549, operationsPerMinute=27.883195285537745, mode=normal, start=Tue Jun 28 20:31:22 BST 2016, end=Tue Jun 28 20:35:22 BST 2016, operations=111.07604369946938, operationsPerMinute=27.769010924867345
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 20:35:32 BST 2016, end=Tue Jun 28 20:37:32 BST 2016, operations=37.531649975861875, operationsPerMinute=18.765824987930937, mode=normal, start=Tue Jun 28 20:37:49 BST 2016, end=Tue Jun 28 20:41:49 BST 2016, operations=75.08267030747116, operationsPerMinute=18.77066757686779
