spec.jvm2008.report.run.location=SR-RLIBHOPEPC-P
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:20:55 BST 2016, end=Thu May 26 14:20:55 BST 2016, operations=1.0, operationsPerMinute=1016.9491525423729
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:20:55 BST 2016, end=Thu May 26 14:20:56 BST 2016, operations=1.0, operationsPerMinute=94.33962264150944
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:20:56 BST 2016, end=Thu May 26 14:21:18 BST 2016, operations=1.0, operationsPerMinute=2.7925160569673277
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:21:18 BST 2016, end=Thu May 26 14:21:22 BST 2016, operations=1.0, operationsPerMinute=12.505210504376823
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:21:22 BST 2016, end=Thu May 26 14:21:24 BST 2016, operations=1.0, operationsPerMinute=41.72461752433936
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:21:24 BST 2016, end=Thu May 26 14:21:33 BST 2016, operations=1.0, operationsPerMinute=6.550933508024894
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:21:33 BST 2016, end=Thu May 26 14:21:41 BST 2016, operations=1.0, operationsPerMinute=7.8237058286608425
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:21:41 BST 2016, end=Thu May 26 14:21:47 BST 2016, operations=1.0, operationsPerMinute=9.12270031929451
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:21:47 BST 2016, end=Thu May 26 14:21:50 BST 2016, operations=1.0, operationsPerMinute=21.62162162162162
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:21:50 BST 2016, end=Thu May 26 14:21:51 BST 2016, operations=1.0, operationsPerMinute=65.359477124183
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:21:51 BST 2016, end=Thu May 26 14:21:52 BST 2016, operations=1.0, operationsPerMinute=53.380782918149464
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:21:52 BST 2016, end=Thu May 26 14:21:58 BST 2016, operations=1.0, operationsPerMinute=9.604610212902193
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:21:58 BST 2016, end=Thu May 26 14:22:00 BST 2016, operations=1.0, operationsPerMinute=37.5234521575985
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:22:00 BST 2016, end=Thu May 26 14:22:01 BST 2016, operations=1.0, operationsPerMinute=49.87531172069826
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:22:01 BST 2016, end=Thu May 26 14:22:04 BST 2016, operations=1.0, operationsPerMinute=21.50537634408602
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:22:04 BST 2016, end=Thu May 26 14:22:10 BST 2016, operations=1.0, operationsPerMinute=9.070294784580499
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:22:10 BST 2016, end=Thu May 26 14:22:36 BST 2016, operations=1.0, operationsPerMinute=2.3891056781078284
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:22:36 BST 2016, end=Thu May 26 14:22:37 BST 2016, operations=1.0, operationsPerMinute=49.01960784313726
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:22:49 BST 2016, end=Thu May 26 14:24:49 BST 2016, operations=421.94427664429884, operationsPerMinute=210.97213832214942, mode=normal, start=Thu May 26 14:24:50 BST 2016, end=Thu May 26 14:28:50 BST 2016, operations=868.7330773773954, operationsPerMinute=217.18326934434884
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:28:55 BST 2016, end=Thu May 26 14:30:55 BST 2016, operations=169.40111021415237, operationsPerMinute=84.70055510707618, mode=normal, start=Thu May 26 14:30:59 BST 2016, end=Thu May 26 14:34:59 BST 2016, operations=344.36487649313267, operationsPerMinute=86.09121912328317
benchmark-name=compress, mod=warmup, start=Thu May 26 14:35:03 BST 2016, end=Thu May 26 14:37:03 BST 2016, operations=369.82206350961906, operationsPerMinute=184.91103175480953, mode=normal, start=Thu May 26 14:37:05 BST 2016, end=Thu May 26 14:41:05 BST 2016, operations=739.0202720032286, operationsPerMinute=184.75506800080714
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:41:07 BST 2016, end=Thu May 26 14:43:07 BST 2016, operations=121.10400250841334, operationsPerMinute=60.55200125420667, mode=normal, start=Thu May 26 14:43:14 BST 2016, end=Thu May 26 14:47:14 BST 2016, operations=256.5350663490333, operationsPerMinute=64.13376658725832
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:47:19 BST 2016, end=Thu May 26 14:49:19 BST 2016, operations=217.37177809982924, operationsPerMinute=108.68588904991462, mode=normal, start=Thu May 26 14:49:23 BST 2016, end=Thu May 26 14:53:23 BST 2016, operations=435.50173330531396, operationsPerMinute=108.87543332632849
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:53:27 BST 2016, end=Thu May 26 14:55:27 BST 2016, operations=369.292882526236, operationsPerMinute=184.646441263118, mode=normal, start=Thu May 26 14:55:30 BST 2016, end=Thu May 26 14:59:30 BST 2016, operations=740.2911220110807, operationsPerMinute=185.07278050277017
benchmark-name=derby, mod=warmup, start=Thu May 26 15:00:47 BST 2016, end=Thu May 26 15:02:47 BST 2016, operations=265.99154334567766, operationsPerMinute=132.99577167283883, mode=normal, start=Thu May 26 15:02:49 BST 2016, end=Thu May 26 15:06:49 BST 2016, operations=542.1889185870509, operationsPerMinute=135.54722964676273
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:06:52 BST 2016, end=Thu May 26 15:08:52 BST 2016, operations=182.2652191664635, operationsPerMinute=91.13260958323175, mode=normal, start=Thu May 26 15:08:56 BST 2016, end=Thu May 26 15:12:56 BST 2016, operations=364.7279795588284, operationsPerMinute=91.1819948897071
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:13:00 BST 2016, end=Thu May 26 15:15:00 BST 2016, operations=69.75616023643461, operationsPerMinute=34.878080118217305, mode=normal, start=Thu May 26 15:15:10 BST 2016, end=Thu May 26 15:19:10 BST 2016, operations=143.69255812556077, operationsPerMinute=35.92313953139019
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:19:18 BST 2016, end=Thu May 26 15:21:18 BST 2016, operations=12.912390748605773, operationsPerMinute=6.456195374302887, mode=normal, start=Thu May 26 15:22:14 BST 2016, end=Thu May 26 15:26:14 BST 2016, operations=25.881165289119117, operationsPerMinute=6.470291322279779
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:26:52 BST 2016, end=Thu May 26 15:28:52 BST 2016, operations=70.54856121402723, operationsPerMinute=35.274280607013615, mode=normal, start=Thu May 26 15:29:01 BST 2016, end=Thu May 26 15:33:01 BST 2016, operations=140.8972029422066, operationsPerMinute=35.22430073555165
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:33:11 BST 2016, end=Thu May 26 15:35:11 BST 2016, operations=42.281480693820676, operationsPerMinute=21.140740346910338, mode=normal, start=Thu May 26 15:35:24 BST 2016, end=Thu May 26 15:39:24 BST 2016, operations=84.56986407152733, operationsPerMinute=21.142466017881834
