spec.jvm2008.report.run.location=LAW003
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 04:25:13 BST 2016, end=Mon Jun 27 04:25:13 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 04:25:13 BST 2016, end=Mon Jun 27 04:25:13 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 04:25:13 BST 2016, end=Mon Jun 27 04:25:30 BST 2016, operations=1.0, operationsPerMinute=3.5414945106835085
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 04:25:30 BST 2016, end=Mon Jun 27 04:25:34 BST 2016, operations=1.0, operationsPerMinute=13.934045517882025
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 04:25:34 BST 2016, end=Mon Jun 27 04:25:35 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 04:25:35 BST 2016, end=Mon Jun 27 04:25:44 BST 2016, operations=1.0, operationsPerMinute=6.608657341116863
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 04:25:44 BST 2016, end=Mon Jun 27 04:25:52 BST 2016, operations=1.0, operationsPerMinute=7.723001673317029
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 04:25:52 BST 2016, end=Mon Jun 27 04:25:59 BST 2016, operations=1.0, operationsPerMinute=8.60461781155887
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 04:25:59 BST 2016, end=Mon Jun 27 04:26:02 BST 2016, operations=1.0, operationsPerMinute=21.731256791017746
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 04:26:02 BST 2016, end=Mon Jun 27 04:26:03 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 04:26:03 BST 2016, end=Mon Jun 27 04:26:04 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 04:26:04 BST 2016, end=Mon Jun 27 04:26:10 BST 2016, operations=1.0, operationsPerMinute=9.861932938856016
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 04:26:10 BST 2016, end=Mon Jun 27 04:26:12 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 04:26:12 BST 2016, end=Mon Jun 27 04:26:13 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 04:26:13 BST 2016, end=Mon Jun 27 04:26:15 BST 2016, operations=1.0, operationsPerMinute=23.166023166023166
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 04:26:15 BST 2016, end=Mon Jun 27 04:26:22 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 04:26:22 BST 2016, end=Mon Jun 27 04:26:46 BST 2016, operations=1.0, operationsPerMinute=2.463863337713535
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 04:26:46 BST 2016, end=Mon Jun 27 04:26:47 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 04:27:01 BST 2016, end=Mon Jun 27 04:29:01 BST 2016, operations=414.3651391394949, operationsPerMinute=207.18256956974744, mode=normal, start=Mon Jun 27 04:29:02 BST 2016, end=Mon Jun 27 04:33:02 BST 2016, operations=858.9897411579916, operationsPerMinute=214.7474352894979
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 04:33:08 BST 2016, end=Mon Jun 27 04:35:08 BST 2016, operations=163.39521444253316, operationsPerMinute=81.69760722126658, mode=normal, start=Mon Jun 27 04:35:13 BST 2016, end=Mon Jun 27 04:39:13 BST 2016, operations=326.36569113227324, operationsPerMinute=81.59142278306831
benchmark-name=compress, mod=warmup, start=Mon Jun 27 04:39:16 BST 2016, end=Mon Jun 27 04:41:16 BST 2016, operations=351.9108326432446, operationsPerMinute=175.9554163216223, mode=normal, start=Mon Jun 27 04:41:18 BST 2016, end=Mon Jun 27 04:45:18 BST 2016, operations=703.5469786832451, operationsPerMinute=175.88674467081128
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 04:45:20 BST 2016, end=Mon Jun 27 04:47:20 BST 2016, operations=116.32382434337495, operationsPerMinute=58.161912171687476, mode=normal, start=Mon Jun 27 04:47:27 BST 2016, end=Mon Jun 27 04:51:27 BST 2016, operations=244.34529819445197, operationsPerMinute=61.08632454861299
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 04:51:34 BST 2016, end=Mon Jun 27 04:53:34 BST 2016, operations=204.59385161370983, operationsPerMinute=102.29692580685492, mode=normal, start=Mon Jun 27 04:53:38 BST 2016, end=Mon Jun 27 04:57:38 BST 2016, operations=409.6768678081356, operationsPerMinute=102.4192169520339
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 04:57:41 BST 2016, end=Mon Jun 27 04:59:41 BST 2016, operations=352.07907599296163, operationsPerMinute=176.03953799648082, mode=normal, start=Mon Jun 27 04:59:43 BST 2016, end=Mon Jun 27 05:03:43 BST 2016, operations=704.6934131517623, operationsPerMinute=176.17335328794059
benchmark-name=derby, mod=warmup, start=Mon Jun 27 05:04:44 BST 2016, end=Mon Jun 27 05:06:44 BST 2016, operations=256.1766449660061, operationsPerMinute=128.08832248300305, mode=normal, start=Mon Jun 27 05:06:47 BST 2016, end=Mon Jun 27 05:10:47 BST 2016, operations=514.0563952115165, operationsPerMinute=128.51409880287912
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 05:10:49 BST 2016, end=Mon Jun 27 05:12:49 BST 2016, operations=173.0152285125209, operationsPerMinute=86.50761425626045, mode=normal, start=Mon Jun 27 05:12:54 BST 2016, end=Mon Jun 27 05:16:54 BST 2016, operations=346.8014602964418, operationsPerMinute=86.70036507411045
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 05:16:59 BST 2016, end=Mon Jun 27 05:18:59 BST 2016, operations=101.952621240662, operationsPerMinute=50.976310620331, mode=normal, start=Mon Jun 27 05:19:05 BST 2016, end=Mon Jun 27 05:23:05 BST 2016, operations=201.87703355948207, operationsPerMinute=50.46925838987052
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 05:23:10 BST 2016, end=Mon Jun 27 05:25:10 BST 2016, operations=22.400775958215714, operationsPerMinute=11.200387979107857, mode=normal, start=Mon Jun 27 05:25:35 BST 2016, end=Mon Jun 27 05:29:35 BST 2016, operations=44.90340185562217, operationsPerMinute=11.225850463905543
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 05:30:08 BST 2016, end=Mon Jun 27 05:32:08 BST 2016, operations=67.80930587474475, operationsPerMinute=33.904652937372376, mode=normal, start=Mon Jun 27 05:32:21 BST 2016, end=Mon Jun 27 05:36:21 BST 2016, operations=136.8682803894717, operationsPerMinute=34.21707009736792
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 05:36:30 BST 2016, end=Mon Jun 27 05:38:30 BST 2016, operations=75.21764437879185, operationsPerMinute=37.60882218939592, mode=normal, start=Mon Jun 27 05:38:39 BST 2016, end=Mon Jun 27 05:42:39 BST 2016, operations=150.38972896988594, operationsPerMinute=37.597432242471484
