spec.jvm2008.report.run.location=LEAZESTCE008
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:22 BST 2016, end=Thu May 26 14:19:22 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:22 BST 2016, end=Thu May 26 14:19:22 BST 2016, operations=1.0, operationsPerMinute=256.4102564102564
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:22 BST 2016, end=Thu May 26 14:19:35 BST 2016, operations=1.0, operationsPerMinute=4.617515776512237
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:35 BST 2016, end=Thu May 26 14:19:39 BST 2016, operations=1.0, operationsPerMinute=17.725258493353028
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:39 BST 2016, end=Thu May 26 14:19:40 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:40 BST 2016, end=Thu May 26 14:19:48 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:48 BST 2016, end=Thu May 26 14:19:56 BST 2016, operations=1.0, operationsPerMinute=7.963897000265463
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:56 BST 2016, end=Thu May 26 14:20:02 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:20:02 BST 2016, end=Thu May 26 14:20:05 BST 2016, operations=1.0, operationsPerMinute=26.350461133069828
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:20:05 BST 2016, end=Thu May 26 14:20:05 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:20:05 BST 2016, end=Thu May 26 14:20:06 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:20:06 BST 2016, end=Thu May 26 14:20:12 BST 2016, operations=1.0, operationsPerMinute=10.95890410958904
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:20:12 BST 2016, end=Thu May 26 14:20:13 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:20:13 BST 2016, end=Thu May 26 14:20:14 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:20:14 BST 2016, end=Thu May 26 14:20:16 BST 2016, operations=1.0, operationsPerMinute=27.675276752767527
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:20:16 BST 2016, end=Thu May 26 14:20:23 BST 2016, operations=1.0, operationsPerMinute=9.313877677739832
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:23 BST 2016, end=Thu May 26 14:20:43 BST 2016, operations=1.0, operationsPerMinute=2.963255630185697
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:43 BST 2016, end=Thu May 26 14:20:44 BST 2016, operations=1.0, operationsPerMinute=71.25890736342043
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:54 BST 2016, end=Thu May 26 14:22:54 BST 2016, operations=488.4080900031524, operationsPerMinute=244.2040450015762, mode=normal, start=Thu May 26 14:22:55 BST 2016, end=Thu May 26 14:26:55 BST 2016, operations=1004.1049119631335, operationsPerMinute=251.02622799078338
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:59 BST 2016, end=Thu May 26 14:28:59 BST 2016, operations=201.93462513744683, operationsPerMinute=100.96731256872341, mode=normal, start=Thu May 26 14:29:02 BST 2016, end=Thu May 26 14:33:02 BST 2016, operations=386.18036149889934, operationsPerMinute=96.54509037472484
benchmark-name=compress, mod=warmup, start=Thu May 26 14:33:06 BST 2016, end=Thu May 26 14:35:06 BST 2016, operations=402.495188859849, operationsPerMinute=201.2475944299245, mode=normal, start=Thu May 26 14:35:09 BST 2016, end=Thu May 26 14:39:09 BST 2016, operations=804.3410569067746, operationsPerMinute=201.08526422669365
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:39:11 BST 2016, end=Thu May 26 14:41:11 BST 2016, operations=138.93595120859786, operationsPerMinute=69.46797560429893, mode=normal, start=Thu May 26 14:41:15 BST 2016, end=Thu May 26 14:45:15 BST 2016, operations=292.97016790433366, operationsPerMinute=73.24254197608342
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:20 BST 2016, end=Thu May 26 14:47:20 BST 2016, operations=236.23900610549802, operationsPerMinute=118.11950305274901, mode=normal, start=Thu May 26 14:47:23 BST 2016, end=Thu May 26 14:51:23 BST 2016, operations=473.66254508346606, operationsPerMinute=118.41563627086651
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:27 BST 2016, end=Thu May 26 14:53:27 BST 2016, operations=408.8086964307244, operationsPerMinute=204.4043482153622, mode=normal, start=Thu May 26 14:53:28 BST 2016, end=Thu May 26 14:57:28 BST 2016, operations=818.9232830313774, operationsPerMinute=204.73082075784436
benchmark-name=derby, mod=warmup, start=Thu May 26 14:57:51 BST 2016, end=Thu May 26 14:59:51 BST 2016, operations=363.52250881122035, operationsPerMinute=181.76125440561017, mode=normal, start=Thu May 26 14:59:53 BST 2016, end=Thu May 26 15:03:53 BST 2016, operations=731.8976622677225, operationsPerMinute=182.97441556693062
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:55 BST 2016, end=Thu May 26 15:05:55 BST 2016, operations=208.5836051173972, operationsPerMinute=104.2918025586986, mode=normal, start=Thu May 26 15:05:59 BST 2016, end=Thu May 26 15:09:59 BST 2016, operations=417.2408784800707, operationsPerMinute=104.31021962001768
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:10:03 BST 2016, end=Thu May 26 15:12:03 BST 2016, operations=70.87645046272104, operationsPerMinute=35.43822523136052, mode=normal, start=Thu May 26 15:12:10 BST 2016, end=Thu May 26 15:16:10 BST 2016, operations=154.57630123012757, operationsPerMinute=38.64407530753189
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:16:19 BST 2016, end=Thu May 26 15:18:19 BST 2016, operations=13.93411899000272, operationsPerMinute=6.96705949500136, mode=normal, start=Thu May 26 15:19:03 BST 2016, end=Thu May 26 15:23:03 BST 2016, operations=28.038433518538323, operationsPerMinute=7.009608379634581
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:23:46 BST 2016, end=Thu May 26 15:25:46 BST 2016, operations=74.99894518926166, operationsPerMinute=37.49947259463083, mode=normal, start=Thu May 26 15:25:54 BST 2016, end=Thu May 26 15:29:54 BST 2016, operations=149.73205979080666, operationsPerMinute=37.433014947701665
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:30:05 BST 2016, end=Thu May 26 15:32:05 BST 2016, operations=42.66827490329996, operationsPerMinute=21.33413745164998, mode=normal, start=Thu May 26 15:32:18 BST 2016, end=Thu May 26 15:36:18 BST 2016, operations=85.60478379473814, operationsPerMinute=21.401195948684535
