spec.jvm2008.report.run.location=LAW007
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Sat Jun 04 16:06:56 BST 2016, end=Sat Jun 04 16:06:56 BST 2016, operations=1.0, operationsPerMinute=535.7142857142857
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:06:56 BST 2016, end=Sat Jun 04 16:06:56 BST 2016, operations=1.0, operationsPerMinute=116.27906976744185
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:06:56 BST 2016, end=Sat Jun 04 16:07:20 BST 2016, operations=1.0, operationsPerMinute=2.5054284282612325
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:07:20 BST 2016, end=Sat Jun 04 16:07:25 BST 2016, operations=1.0, operationsPerMinute=11.755485893416928
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:07:25 BST 2016, end=Sat Jun 04 16:07:27 BST 2016, operations=1.0, operationsPerMinute=40.13377926421405
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:07:27 BST 2016, end=Sat Jun 04 16:07:36 BST 2016, operations=1.0, operationsPerMinute=6.284696763381167
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:07:36 BST 2016, end=Sat Jun 04 16:07:44 BST 2016, operations=1.0, operationsPerMinute=7.62098310682078
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:07:44 BST 2016, end=Sat Jun 04 16:07:51 BST 2016, operations=1.0, operationsPerMinute=8.857395925597874
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:07:51 BST 2016, end=Sat Jun 04 16:07:54 BST 2016, operations=1.0, operationsPerMinute=19.42376173518938
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:07:54 BST 2016, end=Sat Jun 04 16:07:55 BST 2016, operations=1.0, operationsPerMinute=60.24096385542169
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:07:55 BST 2016, end=Sat Jun 04 16:07:56 BST 2016, operations=1.0, operationsPerMinute=51.02040816326531
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:07:56 BST 2016, end=Sat Jun 04 16:08:03 BST 2016, operations=1.0, operationsPerMinute=9.205277692543724
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:08:03 BST 2016, end=Sat Jun 04 16:08:05 BST 2016, operations=1.0, operationsPerMinute=35.31489111241907
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:08:05 BST 2016, end=Sat Jun 04 16:08:06 BST 2016, operations=1.0, operationsPerMinute=49.79253112033195
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:08:06 BST 2016, end=Sat Jun 04 16:08:09 BST 2016, operations=1.0, operationsPerMinute=21.382751247327157
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:08:09 BST 2016, end=Sat Jun 04 16:08:16 BST 2016, operations=1.0, operationsPerMinute=8.536064874093043
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:08:16 BST 2016, end=Sat Jun 04 16:08:43 BST 2016, operations=1.0, operationsPerMinute=2.206125675625988
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:08:43 BST 2016, end=Sat Jun 04 16:08:44 BST 2016, operations=1.0, operationsPerMinute=41.666666666666664
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:08:58 BST 2016, end=Sat Jun 04 16:10:58 BST 2016, operations=382.1107385203957, operationsPerMinute=191.05536926019786, mode=normal, start=Sat Jun 04 16:10:59 BST 2016, end=Sat Jun 04 16:14:59 BST 2016, operations=760.5612364535544, operationsPerMinute=190.1403091133886
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:15:06 BST 2016, end=Sat Jun 04 16:17:06 BST 2016, operations=152.47580618407994, operationsPerMinute=76.23790309203997, mode=normal, start=Sat Jun 04 16:17:09 BST 2016, end=Sat Jun 04 16:21:09 BST 2016, operations=311.1849332589536, operationsPerMinute=77.7962333147384
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:21:12 BST 2016, end=Sat Jun 04 16:23:12 BST 2016, operations=321.637234148184, operationsPerMinute=160.818617074092, mode=normal, start=Sat Jun 04 16:23:14 BST 2016, end=Sat Jun 04 16:27:14 BST 2016, operations=653.8436872107003, operationsPerMinute=163.46092180267507
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:27:16 BST 2016, end=Sat Jun 04 16:29:16 BST 2016, operations=107.46706325562288, operationsPerMinute=53.73353162781144, mode=normal, start=Sat Jun 04 16:29:22 BST 2016, end=Sat Jun 04 16:33:22 BST 2016, operations=223.1122673680437, operationsPerMinute=55.77806684201092
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:33:28 BST 2016, end=Sat Jun 04 16:35:28 BST 2016, operations=185.71155932961435, operationsPerMinute=92.85577966480717, mode=normal, start=Sat Jun 04 16:35:32 BST 2016, end=Sat Jun 04 16:39:32 BST 2016, operations=385.32747445389725, operationsPerMinute=96.33186861347431
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:39:36 BST 2016, end=Sat Jun 04 16:41:36 BST 2016, operations=315.3391387929874, operationsPerMinute=157.6695693964937, mode=normal, start=Sat Jun 04 16:41:38 BST 2016, end=Sat Jun 04 16:45:38 BST 2016, operations=650.6634393968257, operationsPerMinute=162.6658598492064
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:46:42 BST 2016, end=Sat Jun 04 16:48:42 BST 2016, operations=259.1325610773594, operationsPerMinute=129.5662805386797, mode=normal, start=Sat Jun 04 16:48:44 BST 2016, end=Sat Jun 04 16:52:44 BST 2016, operations=519.3086300727412, operationsPerMinute=129.8271575181853
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:52:48 BST 2016, end=Sat Jun 04 16:54:48 BST 2016, operations=172.995823299537, operationsPerMinute=86.4979116497685, mode=normal, start=Sat Jun 04 16:54:53 BST 2016, end=Sat Jun 04 16:58:53 BST 2016, operations=346.45718317321445, operationsPerMinute=86.61429579330361
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:58:56 BST 2016, end=Sat Jun 04 17:00:56 BST 2016, operations=102.27047345676885, operationsPerMinute=51.13523672838443, mode=normal, start=Sat Jun 04 17:01:01 BST 2016, end=Sat Jun 04 17:05:01 BST 2016, operations=220.4120270596194, operationsPerMinute=55.10300676490485
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:05:08 BST 2016, end=Sat Jun 04 17:07:08 BST 2016, operations=22.288575206215853, operationsPerMinute=11.144287603107927, mode=normal, start=Sat Jun 04 17:07:33 BST 2016, end=Sat Jun 04 17:11:33 BST 2016, operations=44.620208808999294, operationsPerMinute=11.155052202249824
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:12:02 BST 2016, end=Sat Jun 04 17:14:02 BST 2016, operations=69.59562253624973, operationsPerMinute=34.79781126812487, mode=normal, start=Sat Jun 04 17:14:13 BST 2016, end=Sat Jun 04 17:18:13 BST 2016, operations=138.9403753792458, operationsPerMinute=34.73509384481145
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:18:25 BST 2016, end=Sat Jun 04 17:20:25 BST 2016, operations=75.3702080077791, operationsPerMinute=37.68510400388955, mode=normal, start=Sat Jun 04 17:20:32 BST 2016, end=Sat Jun 04 17:24:32 BST 2016, operations=150.8058814309997, operationsPerMinute=37.701470357749926
