spec.jvm2008.report.run.location=OLDLIB008
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:20:06 BST 2016, end=Thu May 26 14:20:06 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:20:06 BST 2016, end=Thu May 26 14:20:07 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:20:07 BST 2016, end=Thu May 26 14:20:33 BST 2016, operations=1.0, operationsPerMinute=2.345490793948634
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:20:33 BST 2016, end=Thu May 26 14:20:38 BST 2016, operations=1.0, operationsPerMinute=12.861736334405144
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:20:38 BST 2016, end=Thu May 26 14:20:39 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:20:39 BST 2016, end=Thu May 26 14:20:49 BST 2016, operations=1.0, operationsPerMinute=6.224066390041494
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:20:49 BST 2016, end=Thu May 26 14:20:57 BST 2016, operations=1.0, operationsPerMinute=7.466401194624191
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:20:57 BST 2016, end=Thu May 26 14:21:04 BST 2016, operations=1.0, operationsPerMinute=8.720930232558139
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:21:04 BST 2016, end=Thu May 26 14:21:06 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:21:06 BST 2016, end=Thu May 26 14:21:07 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:21:07 BST 2016, end=Thu May 26 14:21:08 BST 2016, operations=1.0, operationsPerMinute=57.41626794258373
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:21:08 BST 2016, end=Thu May 26 14:21:14 BST 2016, operations=1.0, operationsPerMinute=9.78633175664655
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:21:14 BST 2016, end=Thu May 26 14:21:16 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:21:16 BST 2016, end=Thu May 26 14:21:17 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:21:17 BST 2016, end=Thu May 26 14:21:20 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:21:20 BST 2016, end=Thu May 26 14:21:27 BST 2016, operations=1.0, operationsPerMinute=8.508224617129892
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:21:27 BST 2016, end=Thu May 26 14:21:55 BST 2016, operations=1.0, operationsPerMinute=2.1209657464031957
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:21:55 BST 2016, end=Thu May 26 14:21:56 BST 2016, operations=1.0, operationsPerMinute=47.430830039525695
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:22:14 BST 2016, end=Thu May 26 14:24:14 BST 2016, operations=433.35777479660123, operationsPerMinute=216.67888739830062, mode=normal, start=Thu May 26 14:24:16 BST 2016, end=Thu May 26 14:28:16 BST 2016, operations=876.3887826159695, operationsPerMinute=219.09719565399237
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:28:23 BST 2016, end=Thu May 26 14:30:23 BST 2016, operations=173.87545874265194, operationsPerMinute=86.93772937132597, mode=normal, start=Thu May 26 14:30:33 BST 2016, end=Thu May 26 14:34:33 BST 2016, operations=346.59083885956005, operationsPerMinute=86.64770971489001
benchmark-name=compress, mod=warmup, start=Thu May 26 14:34:41 BST 2016, end=Thu May 26 14:36:41 BST 2016, operations=458.0876085264224, operationsPerMinute=229.0438042632112, mode=normal, start=Thu May 26 14:36:45 BST 2016, end=Thu May 26 14:40:45 BST 2016, operations=969.1075609433457, operationsPerMinute=242.27689023583642
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:40:48 BST 2016, end=Thu May 26 14:42:48 BST 2016, operations=125.42155682423997, operationsPerMinute=62.710778412119986, mode=normal, start=Thu May 26 14:42:57 BST 2016, end=Thu May 26 14:46:57 BST 2016, operations=262.14799837857953, operationsPerMinute=65.53699959464488
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:47:09 BST 2016, end=Thu May 26 14:49:09 BST 2016, operations=210.42614479062104, operationsPerMinute=105.21307239531052, mode=normal, start=Thu May 26 14:49:16 BST 2016, end=Thu May 26 14:53:16 BST 2016, operations=427.0964405366758, operationsPerMinute=106.77411013416895
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:53:23 BST 2016, end=Thu May 26 14:55:23 BST 2016, operations=370.1274452207913, operationsPerMinute=185.06372261039564, mode=normal, start=Thu May 26 14:55:27 BST 2016, end=Thu May 26 14:59:27 BST 2016, operations=789.7108674969418, operationsPerMinute=197.42771687423544
benchmark-name=derby, mod=warmup, start=Thu May 26 15:01:11 BST 2016, end=Thu May 26 15:03:11 BST 2016, operations=330.3704926807733, operationsPerMinute=165.18524634038664, mode=normal, start=Thu May 26 15:03:15 BST 2016, end=Thu May 26 15:07:15 BST 2016, operations=665.1067462518566, operationsPerMinute=166.27668656296416
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:07:20 BST 2016, end=Thu May 26 15:09:20 BST 2016, operations=218.71556652695284, operationsPerMinute=109.35778326347642, mode=normal, start=Thu May 26 15:09:28 BST 2016, end=Thu May 26 15:13:28 BST 2016, operations=438.6909954049775, operationsPerMinute=109.67274885124438
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:13:34 BST 2016, end=Thu May 26 15:15:34 BST 2016, operations=88.29232443329171, operationsPerMinute=44.146162216645855, mode=normal, start=Thu May 26 15:15:53 BST 2016, end=Thu May 26 15:19:53 BST 2016, operations=178.93415401917932, operationsPerMinute=44.73353850479483
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:20:08 BST 2016, end=Thu May 26 15:22:08 BST 2016, operations=20.657599310820775, operationsPerMinute=10.328799655410387, mode=normal, start=Thu May 26 15:23:08 BST 2016, end=Thu May 26 15:27:08 BST 2016, operations=41.27106734877119, operationsPerMinute=10.317766837192798
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:28:27 BST 2016, end=Thu May 26 15:30:27 BST 2016, operations=118.71473233169529, operationsPerMinute=59.357366165847644, mode=normal, start=Thu May 26 15:30:39 BST 2016, end=Thu May 26 15:34:39 BST 2016, operations=241.28329890587364, operationsPerMinute=60.32082472646841
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:34:51 BST 2016, end=Thu May 26 15:36:51 BST 2016, operations=62.76441783063761, operationsPerMinute=31.382208915318806, mode=normal, start=Thu May 26 15:37:07 BST 2016, end=Thu May 26 15:41:07 BST 2016, operations=125.64021794662843, operationsPerMinute=31.410054486657106
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:41:25 BST 2016, end=Thu May 26 15:43:25 BST 2016, operations=824.1798564449084, operationsPerMinute=412.0899282224542, mode=normal, start=Thu May 26 15:43:27 BST 2016, end=Thu May 26 15:47:27 BST 2016, operations=1674.6283326872788, operationsPerMinute=418.6570831718197
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:47:29 BST 2016, end=Thu May 26 15:49:29 BST 2016, operations=526.3668682718011, operationsPerMinute=263.18343413590054, mode=normal, start=Thu May 26 15:49:31 BST 2016, end=Thu May 26 15:53:31 BST 2016, operations=1052.6786392449005, operationsPerMinute=263.16965981122513
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:53:34 BST 2016, end=Thu May 26 15:55:34 BST 2016, operations=616.1959468161668, operationsPerMinute=308.0979734080834, mode=normal, start=Thu May 26 15:55:37 BST 2016, end=Thu May 26 15:59:37 BST 2016, operations=1230.1343840998072, operationsPerMinute=307.5335960249518
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:59:40 BST 2016, end=Thu May 26 16:01:40 BST 2016, operations=441.25783771463466, operationsPerMinute=220.62891885731733, mode=normal, start=Thu May 26 16:01:43 BST 2016, end=Thu May 26 16:05:43 BST 2016, operations=852.8581103719755, operationsPerMinute=213.21452759299387
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu May 26 16:05:53 BST 2016, end=Thu May 26 16:07:53 BST 2016, operations=124.80487015457861, operationsPerMinute=62.402435077289304, mode=normal, start=Thu May 26 16:08:06 BST 2016, end=Thu May 26 16:12:06 BST 2016, operations=293.5294158085689, operationsPerMinute=73.38235395214222
benchmark-name=serial, mod=warmup, start=Thu May 26 16:12:23 BST 2016, end=Thu May 26 16:14:23 BST 2016, operations=226.39851070589773, operationsPerMinute=113.19925535294887, mode=normal, start=Thu May 26 16:14:30 BST 2016, end=Thu May 26 16:18:30 BST 2016, operations=368.1534110474746, operationsPerMinute=92.03835276186865
benchmark-name=sunflow, mod=warmup, start=Thu May 26 16:18:39 BST 2016, end=Thu May 26 16:20:39 BST 2016, operations=161.1336990184214, operationsPerMinute=80.5668495092107, mode=normal, start=Thu May 26 16:20:43 BST 2016, end=Thu May 26 16:24:43 BST 2016, operations=337.8717819863323, operationsPerMinute=84.46794549658307
benchmark-name=xml.transform, mod=warmup, start=Thu May 26 16:25:11 BST 2016, end=Thu May 26 16:27:11 BST 2016, operations=462.27876735691956, operationsPerMinute=231.13938367845978, mode=normal, start=Thu May 26 16:27:14 BST 2016, end=Thu May 26 16:31:14 BST 2016, operations=912.641439379578, operationsPerMinute=228.1603598448945
benchmark-name=xml.validation, mod=warmup, start=Thu May 26 16:31:18 BST 2016, end=Thu May 26 16:33:18 BST 2016, operations=588.8136806775605, operationsPerMinute=294.4068403387802, mode=normal, start=Thu May 26 16:33:21 BST 2016, end=Thu May 26 16:37:21 BST 2016, operations=1175.9418559066255, operationsPerMinute=293.9854639766564
##-nursultan-##,OLDLIB008,n/a,n/a,n/a,check,Thu May 26 14:20:06 BST 2016,Thu May 26 14:20:06 BST 2016,1.0,769.2307692307693,startup.helloworld,Thu May 26 14:20:06 BST 2016,Thu May 26 14:20:07 BST 2016,1.0,52.67778753292362,startup.compiler.compiler,Thu May 26 14:20:07 BST 2016,Thu May 26 14:20:33 BST 2016,1.0,2.345490793948634,startup.compiler.sunflow,Thu May 26 14:20:33 BST 2016,Thu May 26 14:20:38 BST 2016,1.0,12.861736334405144,startup.compress,Thu May 26 14:20:38 BST 2016,Thu May 26 14:20:39 BST 2016,1.0,43.196544276457885,startup.crypto.aes,Thu May 26 14:20:39 BST 2016,Thu May 26 14:20:49 BST 2016,1.0,6.224066390041494,startup.crypto.rsa,Thu May 26 14:20:49 BST 2016,Thu May 26 14:20:57 BST 2016,1.0,7.466401194624191,startup.crypto.signverify,Thu May 26 14:20:57 BST 2016,Thu May 26 14:21:04 BST 2016,1.0,8.720930232558139,startup.mpegaudio,Thu May 26 14:21:04 BST 2016,Thu May 26 14:21:06 BST 2016,1.0,22.363026462914647,startup.scimark.fft,Thu May 26 14:21:06 BST 2016,Thu May 26 14:21:07 BST 2016,1.0,75.37688442211055,startup.scimark.lu,Thu May 26 14:21:07 BST 2016,Thu May 26 14:21:08 BST 2016,1.0,57.41626794258373,startup.scimark.monte_carlo,Thu May 26 14:21:08 BST 2016,Thu May 26 14:21:14 BST 2016,1.0,9.78633175664655,startup.scimark.sor,Thu May 26 14:21:14 BST 2016,Thu May 26 14:21:16 BST 2016,1.0,40.48582995951417,startup.scimark.sparse,Thu May 26 14:21:16 BST 2016,Thu May 26 14:21:17 BST 2016,1.0,49.958368026644465,startup.serial,Thu May 26 14:21:17 BST 2016,Thu May 26 14:21:20 BST 2016,1.0,22.363026462914647,startup.sunflow,Thu May 26 14:21:20 BST 2016,Thu May 26 14:21:27 BST 2016,1.0,8.508224617129892,startup.xml.transform,Thu May 26 14:21:27 BST 2016,Thu May 26 14:21:55 BST 2016,1.0,2.1209657464031957,startup.xml.validation,Thu May 26 14:21:55 BST 2016,Thu May 26 14:21:56 BST 2016,1.0,47.430830039525695,compiler.compiler,Thu May 26 14:22:14 BST 2016,Thu May 26 14:24:14 BST 2016,433.35777479660123,216.67888739830062,Thu May 26 14:24:16 BST 2016,Thu May 26 14:28:16 BST 2016,876.3887826159695,219.09719565399237,compiler.sunflow,Thu May 26 14:28:23 BST 2016,Thu May 26 14:30:23 BST 2016,173.87545874265194,86.93772937132597,Thu May 26 14:30:33 BST 2016,Thu May 26 14:34:33 BST 2016,346.59083885956005,86.64770971489001,compress,Thu May 26 14:34:41 BST 2016,Thu May 26 14:36:41 BST 2016,458.0876085264224,229.0438042632112,Thu May 26 14:36:45 BST 2016,Thu May 26 14:40:45 BST 2016,969.1075609433457,242.27689023583642,crypto.aes,Thu May 26 14:40:48 BST 2016,Thu May 26 14:42:48 BST 2016,125.42155682423997,62.710778412119986,Thu May 26 14:42:57 BST 2016,Thu May 26 14:46:57 BST 2016,262.14799837857953,65.53699959464488,crypto.rsa,Thu May 26 14:47:09 BST 2016,Thu May 26 14:49:09 BST 2016,210.42614479062104,105.21307239531052,Thu May 26 14:49:16 BST 2016,Thu May 26 14:53:16 BST 2016,427.0964405366758,106.77411013416895,crypto.signverify,Thu May 26 14:53:23 BST 2016,Thu May 26 14:55:23 BST 2016,370.1274452207913,185.06372261039564,Thu May 26 14:55:27 BST 2016,Thu May 26 14:59:27 BST 2016,789.7108674969418,197.42771687423544,derby,Thu May 26 15:01:11 BST 2016,Thu May 26 15:03:11 BST 2016,330.3704926807733,165.18524634038664,Thu May 26 15:03:15 BST 2016,Thu May 26 15:07:15 BST 2016,665.1067462518566,166.27668656296416,mpegaudio,Thu May 26 15:07:20 BST 2016,Thu May 26 15:09:20 BST 2016,218.71556652695284,109.35778326347642,Thu May 26 15:09:28 BST 2016,Thu May 26 15:13:28 BST 2016,438.6909954049775,109.67274885124438,scimark.fft.large,Thu May 26 15:13:34 BST 2016,Thu May 26 15:15:34 BST 2016,88.29232443329171,44.146162216645855,Thu May 26 15:15:53 BST 2016,Thu May 26 15:19:53 BST 2016,178.93415401917932,44.73353850479483,scimark.lu.large,Thu May 26 15:20:08 BST 2016,Thu May 26 15:22:08 BST 2016,20.657599310820775,10.328799655410387,Thu May 26 15:23:08 BST 2016,Thu May 26 15:27:08 BST 2016,41.27106734877119,10.317766837192798,scimark.sor.large,Thu May 26 15:28:27 BST 2016,Thu May 26 15:30:27 BST 2016,118.71473233169529,59.357366165847644,Thu May 26 15:30:39 BST 2016,Thu May 26 15:34:39 BST 2016,241.28329890587364,60.32082472646841,scimark.sparse.large,Thu May 26 15:34:51 BST 2016,Thu May 26 15:36:51 BST 2016,62.76441783063761,31.382208915318806,Thu May 26 15:37:07 BST 2016,Thu May 26 15:41:07 BST 2016,125.64021794662843,31.410054486657106,scimark.fft.small,Thu May 26 15:41:25 BST 2016,Thu May 26 15:43:25 BST 2016,824.1798564449084,412.0899282224542,Thu May 26 15:43:27 BST 2016,Thu May 26 15:47:27 BST 2016,1674.6283326872788,418.6570831718197,scimark.lu.small,Thu May 26 15:47:29 BST 2016,Thu May 26 15:49:29 BST 2016,526.3668682718011,263.18343413590054,Thu May 26 15:49:31 BST 2016,Thu May 26 15:53:31 BST 2016,1052.6786392449005,263.16965981122513,scimark.sor.small,Thu May 26 15:53:34 BST 2016,Thu May 26 15:55:34 BST 2016,616.1959468161668,308.0979734080834,Thu May 26 15:55:37 BST 2016,Thu May 26 15:59:37 BST 2016,1230.1343840998072,307.5335960249518,scimark.sparse.small,Thu May 26 15:59:40 BST 2016,Thu May 26 16:01:40 BST 2016,441.25783771463466,220.62891885731733,Thu May 26 16:01:43 BST 2016,Thu May 26 16:05:43 BST 2016,852.8581103719755,213.21452759299387,scimark.monte_carlo,Thu May 26 16:05:53 BST 2016,Thu May 26 16:07:53 BST 2016,124.80487015457861,62.402435077289304,Thu May 26 16:08:06 BST 2016,Thu May 26 16:12:06 BST 2016,293.5294158085689,73.38235395214222,serial,Thu May 26 16:12:23 BST 2016,Thu May 26 16:14:23 BST 2016,226.39851070589773,113.19925535294887,Thu May 26 16:14:30 BST 2016,Thu May 26 16:18:30 BST 2016,368.1534110474746,92.03835276186865,sunflow,Thu May 26 16:18:39 BST 2016,Thu May 26 16:20:39 BST 2016,161.1336990184214,80.5668495092107,Thu May 26 16:20:43 BST 2016,Thu May 26 16:24:43 BST 2016,337.8717819863323,84.46794549658307,xml.transform,Thu May 26 16:25:11 BST 2016,Thu May 26 16:27:11 BST 2016,462.27876735691956,231.13938367845978,Thu May 26 16:27:14 BST 2016,Thu May 26 16:31:14 BST 2016,912.641439379578,228.1603598448945,xml.validation,Thu May 26 16:31:18 BST 2016,Thu May 26 16:33:18 BST 2016,588.8136806775605,294.4068403387802,Thu May 26 16:33:21 BST 2016,Thu May 26 16:37:21 BST 2016,1175.9418559066255,293.9854639766564
