spec.jvm2008.report.run.location=GLAZIER01
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 09:23:36 BST 2016, end=Fri Jun 24 09:23:36 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 09:23:36 BST 2016, end=Fri Jun 24 09:23:36 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 09:23:36 BST 2016, end=Fri Jun 24 09:23:53 BST 2016, operations=1.0, operationsPerMinute=3.5746201966041107
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 09:23:53 BST 2016, end=Fri Jun 24 09:23:57 BST 2016, operations=1.0, operationsPerMinute=14.734774066797643
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 09:23:57 BST 2016, end=Fri Jun 24 09:23:59 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 09:23:59 BST 2016, end=Fri Jun 24 09:24:08 BST 2016, operations=1.0, operationsPerMinute=6.607929515418502
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 09:24:08 BST 2016, end=Fri Jun 24 09:24:15 BST 2016, operations=1.0, operationsPerMinute=7.7389397652521605
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 09:24:15 BST 2016, end=Fri Jun 24 09:24:22 BST 2016, operations=1.0, operationsPerMinute=8.92458723784025
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 09:24:22 BST 2016, end=Fri Jun 24 09:24:25 BST 2016, operations=1.0, operationsPerMinute=22.35469448584203
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 09:24:25 BST 2016, end=Fri Jun 24 09:24:26 BST 2016, operations=1.0, operationsPerMinute=68.72852233676976
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 09:24:26 BST 2016, end=Fri Jun 24 09:24:27 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 09:24:27 BST 2016, end=Fri Jun 24 09:24:33 BST 2016, operations=1.0, operationsPerMinute=9.938711280437303
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 09:24:33 BST 2016, end=Fri Jun 24 09:24:34 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 09:24:34 BST 2016, end=Fri Jun 24 09:24:35 BST 2016, operations=1.0, operationsPerMinute=52.72407732864675
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 09:24:35 BST 2016, end=Fri Jun 24 09:24:38 BST 2016, operations=1.0, operationsPerMinute=23.31002331002331
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 09:24:38 BST 2016, end=Fri Jun 24 09:24:45 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 09:24:45 BST 2016, end=Fri Jun 24 09:25:09 BST 2016, operations=1.0, operationsPerMinute=2.471780505891077
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 09:25:09 BST 2016, end=Fri Jun 24 09:25:10 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 09:25:23 BST 2016, end=Fri Jun 24 09:27:23 BST 2016, operations=415.14521995559255, operationsPerMinute=207.57260997779628, mode=normal, start=Fri Jun 24 09:27:25 BST 2016, end=Fri Jun 24 09:31:25 BST 2016, operations=850.5100811669279, operationsPerMinute=212.62752029173197
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 09:31:30 BST 2016, end=Fri Jun 24 09:33:30 BST 2016, operations=167.84165380462264, operationsPerMinute=83.92082690231132, mode=normal, start=Fri Jun 24 09:33:32 BST 2016, end=Fri Jun 24 09:37:32 BST 2016, operations=331.60874326095995, operationsPerMinute=82.90218581523999
benchmark-name=compress, mod=warmup, start=Fri Jun 24 09:37:36 BST 2016, end=Fri Jun 24 09:39:36 BST 2016, operations=353.2387395797562, operationsPerMinute=176.6193697898781, mode=normal, start=Fri Jun 24 09:39:38 BST 2016, end=Fri Jun 24 09:43:38 BST 2016, operations=705.1638288485026, operationsPerMinute=176.29095721212565
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 09:43:40 BST 2016, end=Fri Jun 24 09:45:40 BST 2016, operations=116.66713454501641, operationsPerMinute=58.333567272508205, mode=normal, start=Fri Jun 24 09:45:47 BST 2016, end=Fri Jun 24 09:49:47 BST 2016, operations=245.2205002635177, operationsPerMinute=61.30512506587942
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 09:49:54 BST 2016, end=Fri Jun 24 09:51:54 BST 2016, operations=206.34131804159645, operationsPerMinute=103.17065902079823, mode=normal, start=Fri Jun 24 09:51:57 BST 2016, end=Fri Jun 24 09:55:57 BST 2016, operations=412.0242760834302, operationsPerMinute=103.00606902085755
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 09:56:01 BST 2016, end=Fri Jun 24 09:58:01 BST 2016, operations=351.76099222529297, operationsPerMinute=175.88049611264648, mode=normal, start=Fri Jun 24 09:58:03 BST 2016, end=Fri Jun 24 10:02:03 BST 2016, operations=704.67460173679, operationsPerMinute=176.1686504341975
benchmark-name=derby, mod=warmup, start=Fri Jun 24 10:03:14 BST 2016, end=Fri Jun 24 10:05:14 BST 2016, operations=257.99243564286974, operationsPerMinute=128.99621782143487, mode=normal, start=Fri Jun 24 10:05:17 BST 2016, end=Fri Jun 24 10:09:17 BST 2016, operations=516.1545205479451, operationsPerMinute=129.03863013698628
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 10:09:20 BST 2016, end=Fri Jun 24 10:11:20 BST 2016, operations=173.3549902383902, operationsPerMinute=86.6774951191951, mode=normal, start=Fri Jun 24 10:11:25 BST 2016, end=Fri Jun 24 10:15:25 BST 2016, operations=346.93649450816235, operationsPerMinute=86.73412362704059
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 10:15:29 BST 2016, end=Fri Jun 24 10:17:29 BST 2016, operations=105.68161602871632, operationsPerMinute=52.84080801435816, mode=normal, start=Fri Jun 24 10:17:35 BST 2016, end=Fri Jun 24 10:21:35 BST 2016, operations=198.69435112404696, operationsPerMinute=49.67358778101174
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 10:21:42 BST 2016, end=Fri Jun 24 10:23:42 BST 2016, operations=21.5451814846978, operationsPerMinute=10.7725907423489, mode=normal, start=Fri Jun 24 10:24:12 BST 2016, end=Fri Jun 24 10:28:12 BST 2016, operations=43.31799687159989, operationsPerMinute=10.829499217899972
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 10:28:32 BST 2016, end=Fri Jun 24 10:30:32 BST 2016, operations=69.67580953822504, operationsPerMinute=34.83790476911252, mode=normal, start=Fri Jun 24 10:30:42 BST 2016, end=Fri Jun 24 10:34:42 BST 2016, operations=139.235802450392, operationsPerMinute=34.808950612598
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 10:34:52 BST 2016, end=Fri Jun 24 10:36:52 BST 2016, operations=72.41871885489076, operationsPerMinute=36.20935942744538, mode=normal, start=Fri Jun 24 10:37:02 BST 2016, end=Fri Jun 24 10:41:02 BST 2016, operations=144.91801144671018, operationsPerMinute=36.229502861677545
