spec.jvm2008.report.run.location=BEDSONTC103
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sat Jun 04 08:30:07 BST 2016, end=Sat Jun 04 08:30:07 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:30:07 BST 2016, end=Sat Jun 04 08:30:07 BST 2016, operations=1.0, operationsPerMinute=101.35135135135135
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:30:07 BST 2016, end=Sat Jun 04 08:30:31 BST 2016, operations=1.0, operationsPerMinute=2.5303643724696356
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:30:31 BST 2016, end=Sat Jun 04 08:30:37 BST 2016, operations=1.0, operationsPerMinute=11.280315848843768
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:30:37 BST 2016, end=Sat Jun 04 08:30:38 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:30:38 BST 2016, end=Sat Jun 04 08:30:48 BST 2016, operations=1.0, operationsPerMinute=5.907837731390311
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:30:48 BST 2016, end=Sat Jun 04 08:30:57 BST 2016, operations=1.0, operationsPerMinute=6.993006993006993
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:30:57 BST 2016, end=Sat Jun 04 08:31:04 BST 2016, operations=1.0, operationsPerMinute=8.165487207403375
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:31:04 BST 2016, end=Sat Jun 04 08:31:07 BST 2016, operations=1.0, operationsPerMinute=19.329896907216494
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:31:07 BST 2016, end=Sat Jun 04 08:31:08 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:31:08 BST 2016, end=Sat Jun 04 08:31:09 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:31:09 BST 2016, end=Sat Jun 04 08:31:16 BST 2016, operations=1.0, operationsPerMinute=8.882309400444116
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:31:16 BST 2016, end=Sat Jun 04 08:31:18 BST 2016, operations=1.0, operationsPerMinute=35.294117647058826
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:31:18 BST 2016, end=Sat Jun 04 08:31:19 BST 2016, operations=1.0, operationsPerMinute=43.69992716678806
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:31:19 BST 2016, end=Sat Jun 04 08:31:22 BST 2016, operations=1.0, operationsPerMinute=19.5248942401562
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:31:22 BST 2016, end=Sat Jun 04 08:31:30 BST 2016, operations=1.0, operationsPerMinute=7.913479293062516
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:31:30 BST 2016, end=Sat Jun 04 08:31:59 BST 2016, operations=1.0, operationsPerMinute=2.0436663374093125
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:31:59 BST 2016, end=Sat Jun 04 08:32:01 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:32:16 BST 2016, end=Sat Jun 04 08:34:16 BST 2016, operations=353.4645687292352, operationsPerMinute=176.7322843646176, mode=normal, start=Sat Jun 04 08:34:18 BST 2016, end=Sat Jun 04 08:38:18 BST 2016, operations=741.2871686569368, operationsPerMinute=185.3217921642342
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:38:24 BST 2016, end=Sat Jun 04 08:40:24 BST 2016, operations=143.9174461068325, operationsPerMinute=71.95872305341625, mode=normal, start=Sat Jun 04 08:40:29 BST 2016, end=Sat Jun 04 08:44:29 BST 2016, operations=276.9444291679291, operationsPerMinute=69.23610729198228
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:44:34 BST 2016, end=Sat Jun 04 08:46:34 BST 2016, operations=272.6171500346613, operationsPerMinute=136.30857501733064, mode=normal, start=Sat Jun 04 08:46:37 BST 2016, end=Sat Jun 04 08:50:37 BST 2016, operations=544.0107210931671, operationsPerMinute=136.0026802732918
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:50:40 BST 2016, end=Sat Jun 04 08:52:40 BST 2016, operations=86.65663936977094, operationsPerMinute=43.32831968488547, mode=normal, start=Sat Jun 04 08:52:47 BST 2016, end=Sat Jun 04 08:56:47 BST 2016, operations=182.89876733804022, operationsPerMinute=45.724691834510054
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:56:54 BST 2016, end=Sat Jun 04 08:58:54 BST 2016, operations=145.18056918022182, operationsPerMinute=72.59028459011091, mode=normal, start=Sat Jun 04 08:58:58 BST 2016, end=Sat Jun 04 09:02:58 BST 2016, operations=294.4756305670143, operationsPerMinute=73.61890764175358
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:03:03 BST 2016, end=Sat Jun 04 09:05:03 BST 2016, operations=253.81761186402906, operationsPerMinute=126.90880593201453, mode=normal, start=Sat Jun 04 09:05:06 BST 2016, end=Sat Jun 04 09:09:06 BST 2016, operations=503.84035547100984, operationsPerMinute=125.96008886775246
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:10:34 BST 2016, end=Sat Jun 04 09:12:34 BST 2016, operations=205.25029780550227, operationsPerMinute=102.62514890275114, mode=normal, start=Sat Jun 04 09:12:38 BST 2016, end=Sat Jun 04 09:16:38 BST 2016, operations=385.00522901041893, operationsPerMinute=96.25130725260473
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:16:42 BST 2016, end=Sat Jun 04 09:18:42 BST 2016, operations=134.91847260547536, operationsPerMinute=67.45923630273768, mode=normal, start=Sat Jun 04 09:18:46 BST 2016, end=Sat Jun 04 09:22:46 BST 2016, operations=271.17875092187, operationsPerMinute=67.7946877304675
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:22:51 BST 2016, end=Sat Jun 04 09:24:51 BST 2016, operations=85.24626991877801, operationsPerMinute=42.623134959389006, mode=normal, start=Sat Jun 04 09:24:59 BST 2016, end=Sat Jun 04 09:28:59 BST 2016, operations=161.5400894734767, operationsPerMinute=40.38502236836918
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:29:08 BST 2016, end=Sat Jun 04 09:31:08 BST 2016, operations=20.159246455367306, operationsPerMinute=10.079623227683653, mode=normal, start=Sat Jun 04 09:31:43 BST 2016, end=Sat Jun 04 09:35:43 BST 2016, operations=40.42523118541446, operationsPerMinute=10.106307796353615
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:36:22 BST 2016, end=Sat Jun 04 09:38:22 BST 2016, operations=55.96133846747645, operationsPerMinute=27.980669233738226, mode=normal, start=Sat Jun 04 09:38:37 BST 2016, end=Sat Jun 04 09:42:37 BST 2016, operations=111.90406420273393, operationsPerMinute=27.976016050683484
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:42:51 BST 2016, end=Sat Jun 04 09:44:51 BST 2016, operations=61.162806213175834, operationsPerMinute=30.581403106587917, mode=normal, start=Sat Jun 04 09:45:03 BST 2016, end=Sat Jun 04 09:49:03 BST 2016, operations=122.46004182062066, operationsPerMinute=30.615010455155165
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 09:49:13 BST 2016, end=Sat Jun 04 09:51:13 BST 2016, operations=514.3447401971812, operationsPerMinute=257.1723700985906, mode=normal, start=Sat Jun 04 09:51:14 BST 2016, end=Sat Jun 04 09:55:14 BST 2016, operations=1027.8850734287198, operationsPerMinute=256.97126835717995
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 09:55:15 BST 2016, end=Sat Jun 04 09:57:15 BST 2016, operations=376.45281270502454, operationsPerMinute=188.22640635251227, mode=normal, start=Sat Jun 04 09:57:17 BST 2016, end=Sat Jun 04 10:01:17 BST 2016, operations=752.7652467313853, operationsPerMinute=188.19131168284633
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 10:01:19 BST 2016, end=Sat Jun 04 10:03:19 BST 2016, operations=242.39534517145657, operationsPerMinute=121.19767258572828, mode=normal, start=Sat Jun 04 10:03:22 BST 2016, end=Sat Jun 04 10:07:22 BST 2016, operations=489.24299662135144, operationsPerMinute=122.31074915533786
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 10:07:25 BST 2016, end=Sat Jun 04 10:09:25 BST 2016, operations=315.23731622285413, operationsPerMinute=157.61865811142707, mode=normal, start=Sat Jun 04 10:09:26 BST 2016, end=Sat Jun 04 10:13:26 BST 2016, operations=629.7415730337079, operationsPerMinute=157.43539325842698
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 04 10:13:28 BST 2016, end=Sat Jun 04 10:15:28 BST 2016, operations=79.38336000007396, operationsPerMinute=39.69168000003698, mode=normal, start=Sat Jun 04 10:15:35 BST 2016, end=Sat Jun 04 10:19:35 BST 2016, operations=158.86252755445207, operationsPerMinute=39.71563188861302
