spec.jvm2008.report.run.location=TOLL06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Wed Jun 29 14:53:57 BST 2016, end=Wed Jun 29 14:53:57 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 14:53:57 BST 2016, end=Wed Jun 29 14:53:57 BST 2016, operations=1.0, operationsPerMinute=384.61538461538464
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 14:53:57 BST 2016, end=Wed Jun 29 14:54:20 BST 2016, operations=1.0, operationsPerMinute=2.6672593909757722
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 14:54:20 BST 2016, end=Wed Jun 29 14:54:25 BST 2016, operations=1.0, operationsPerMinute=11.115227862171174
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 14:54:25 BST 2016, end=Wed Jun 29 14:54:27 BST 2016, operations=1.0, operationsPerMinute=33.44481605351171
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 14:54:27 BST 2016, end=Wed Jun 29 14:54:38 BST 2016, operations=1.0, operationsPerMinute=5.4945054945054945
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 14:54:38 BST 2016, end=Wed Jun 29 14:54:46 BST 2016, operations=1.0, operationsPerMinute=6.9052825411439755
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 14:54:46 BST 2016, end=Wed Jun 29 14:54:54 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 14:54:54 BST 2016, end=Wed Jun 29 14:54:58 BST 2016, operations=1.0, operationsPerMinute=15.826958586125032
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 14:54:58 BST 2016, end=Wed Jun 29 14:54:59 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 14:54:59 BST 2016, end=Wed Jun 29 14:55:01 BST 2016, operations=1.0, operationsPerMinute=29.368575624082233
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 14:55:01 BST 2016, end=Wed Jun 29 14:55:09 BST 2016, operations=1.0, operationsPerMinute=7.630675314765357
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 14:55:09 BST 2016, end=Wed Jun 29 14:55:11 BST 2016, operations=1.0, operationsPerMinute=32.87671232876713
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 14:55:11 BST 2016, end=Wed Jun 29 14:55:13 BST 2016, operations=1.0, operationsPerMinute=29.140359397765906
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 14:55:13 BST 2016, end=Wed Jun 29 14:55:17 BST 2016, operations=1.0, operationsPerMinute=14.623446258835
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 14:55:17 BST 2016, end=Wed Jun 29 14:55:25 BST 2016, operations=1.0, operationsPerMinute=7.298382191947452
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 14:55:25 BST 2016, end=Wed Jun 29 14:56:06 BST 2016, operations=1.0, operationsPerMinute=1.4481210629208603
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 14:56:06 BST 2016, end=Wed Jun 29 14:56:08 BST 2016, operations=1.0, operationsPerMinute=40.053404539385845
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 14:56:25 BST 2016, end=Wed Jun 29 14:58:25 BST 2016, operations=242.56744929586375, operationsPerMinute=121.28372464793188, mode=normal, start=Wed Jun 29 14:58:26 BST 2016, end=Wed Jun 29 15:02:26 BST 2016, operations=490.9347826086956, operationsPerMinute=122.7336956521739
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 15:02:32 BST 2016, end=Wed Jun 29 15:04:32 BST 2016, operations=90.7783547453893, operationsPerMinute=45.38917737269465, mode=normal, start=Wed Jun 29 15:04:38 BST 2016, end=Wed Jun 29 15:08:38 BST 2016, operations=190.62778426843823, operationsPerMinute=47.65694606710956
benchmark-name=compress, mod=warmup, start=Wed Jun 29 15:08:41 BST 2016, end=Wed Jun 29 15:10:41 BST 2016, operations=150.4990833857113, operationsPerMinute=75.24954169285564, mode=normal, start=Wed Jun 29 15:10:43 BST 2016, end=Wed Jun 29 15:14:43 BST 2016, operations=301.1258632625494, operationsPerMinute=75.28146581563735
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 15:14:45 BST 2016, end=Wed Jun 29 15:16:45 BST 2016, operations=42.13718398328353, operationsPerMinute=21.068591991641764, mode=normal, start=Wed Jun 29 15:16:51 BST 2016, end=Wed Jun 29 15:20:51 BST 2016, operations=89.56354009077157, operationsPerMinute=22.390885022692892
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 15:20:57 BST 2016, end=Wed Jun 29 15:22:57 BST 2016, operations=87.32336474774922, operationsPerMinute=43.66168237387461, mode=normal, start=Wed Jun 29 15:23:02 BST 2016, end=Wed Jun 29 15:27:02 BST 2016, operations=174.1335756914551, operationsPerMinute=43.53339392286377
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 15:27:05 BST 2016, end=Wed Jun 29 15:29:05 BST 2016, operations=139.98354731688065, operationsPerMinute=69.99177365844032, mode=normal, start=Wed Jun 29 15:29:08 BST 2016, end=Wed Jun 29 15:33:08 BST 2016, operations=280.3424516239535, operationsPerMinute=70.08561290598837
benchmark-name=derby, mod=warmup, start=Wed Jun 29 15:35:09 BST 2016, end=Wed Jun 29 15:37:09 BST 2016, operations=105.97097578493741, operationsPerMinute=52.985487892468704, mode=normal, start=Wed Jun 29 15:37:12 BST 2016, end=Wed Jun 29 15:41:12 BST 2016, operations=212.7418198117436, operationsPerMinute=53.1854549529359
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 15:41:15 BST 2016, end=Wed Jun 29 15:43:15 BST 2016, operations=66.42082191780821, operationsPerMinute=33.210410958904106, mode=normal, start=Wed Jun 29 15:43:20 BST 2016, end=Wed Jun 29 15:47:20 BST 2016, operations=132.79036228804424, operationsPerMinute=33.19759057201106
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 15:47:25 BST 2016, end=Wed Jun 29 15:49:25 BST 2016, operations=31.345455564863904, operationsPerMinute=15.672727782431952, mode=normal, start=Wed Jun 29 15:49:32 BST 2016, end=Wed Jun 29 15:53:32 BST 2016, operations=69.74105785414669, operationsPerMinute=17.435264463536672
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 15:53:40 BST 2016, end=Wed Jun 29 15:55:40 BST 2016, operations=7.058668725086685, operationsPerMinute=3.5293343625433424, mode=normal, start=Wed Jun 29 15:56:13 BST 2016, end=Wed Jun 29 16:00:13 BST 2016, operations=14.186761157881204, operationsPerMinute=3.546690289470301
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 16:01:00 BST 2016, end=Wed Jun 29 16:03:00 BST 2016, operations=32.3452545016818, operationsPerMinute=16.1726272508409, mode=normal, start=Wed Jun 29 16:03:08 BST 2016, end=Wed Jun 29 16:07:08 BST 2016, operations=63.32280924425791, operationsPerMinute=15.830702311064478
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 16:07:21 BST 2016, end=Wed Jun 29 16:09:21 BST 2016, operations=23.70742347100414, operationsPerMinute=11.85371173550207, mode=normal, start=Wed Jun 29 16:09:33 BST 2016, end=Wed Jun 29 16:13:33 BST 2016, operations=47.610067784390196, operationsPerMinute=11.902516946097549
