spec.jvm2008.report.run.location=BEDSONTC086
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:04:55 BST 2016, end=Sat Jun 04 16:04:55 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:04:55 BST 2016, end=Sat Jun 04 16:04:55 BST 2016, operations=1.0, operationsPerMinute=348.83720930232556
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:04:55 BST 2016, end=Sat Jun 04 16:05:09 BST 2016, operations=1.0, operationsPerMinute=4.1582923279506545
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:05:09 BST 2016, end=Sat Jun 04 16:05:13 BST 2016, operations=1.0, operationsPerMinute=17.172295363480252
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:05:13 BST 2016, end=Sat Jun 04 16:05:14 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:05:14 BST 2016, end=Sat Jun 04 16:05:22 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:05:22 BST 2016, end=Sat Jun 04 16:05:30 BST 2016, operations=1.0, operationsPerMinute=8.01389074395619
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:05:30 BST 2016, end=Sat Jun 04 16:05:36 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:05:36 BST 2016, end=Sat Jun 04 16:05:39 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:05:39 BST 2016, end=Sat Jun 04 16:05:39 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:05:39 BST 2016, end=Sat Jun 04 16:05:40 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:05:40 BST 2016, end=Sat Jun 04 16:05:46 BST 2016, operations=1.0, operationsPerMinute=10.99102399706906
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:05:46 BST 2016, end=Sat Jun 04 16:05:47 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:05:47 BST 2016, end=Sat Jun 04 16:05:48 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:05:48 BST 2016, end=Sat Jun 04 16:05:50 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:05:50 BST 2016, end=Sat Jun 04 16:05:57 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:05:57 BST 2016, end=Sat Jun 04 16:06:17 BST 2016, operations=1.0, operationsPerMinute=2.983887010145216
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:06:17 BST 2016, end=Sat Jun 04 16:06:18 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:06:28 BST 2016, end=Sat Jun 04 16:08:28 BST 2016, operations=496.0444942961411, operationsPerMinute=248.02224714807056, mode=normal, start=Sat Jun 04 16:08:29 BST 2016, end=Sat Jun 04 16:12:29 BST 2016, operations=1023.5727153188691, operationsPerMinute=255.89317882971727
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:12:34 BST 2016, end=Sat Jun 04 16:14:34 BST 2016, operations=192.1981235008438, operationsPerMinute=96.0990617504219, mode=normal, start=Sat Jun 04 16:14:38 BST 2016, end=Sat Jun 04 16:18:38 BST 2016, operations=384.95209193155824, operationsPerMinute=96.23802298288956
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:18:41 BST 2016, end=Sat Jun 04 16:20:41 BST 2016, operations=400.1357209492137, operationsPerMinute=200.06786047460685, mode=normal, start=Sat Jun 04 16:20:44 BST 2016, end=Sat Jun 04 16:24:44 BST 2016, operations=805.578437866671, operationsPerMinute=201.39460946666776
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:24:45 BST 2016, end=Sat Jun 04 16:26:45 BST 2016, operations=137.9046261910308, operationsPerMinute=68.9523130955154, mode=normal, start=Sat Jun 04 16:26:50 BST 2016, end=Sat Jun 04 16:30:50 BST 2016, operations=291.63316638573804, operationsPerMinute=72.90829159643451
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:30:55 BST 2016, end=Sat Jun 04 16:32:55 BST 2016, operations=238.87345517130197, operationsPerMinute=119.43672758565098, mode=normal, start=Sat Jun 04 16:32:57 BST 2016, end=Sat Jun 04 16:36:57 BST 2016, operations=476.8213365114825, operationsPerMinute=119.20533412787063
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:37:01 BST 2016, end=Sat Jun 04 16:39:01 BST 2016, operations=405.5250382885687, operationsPerMinute=202.76251914428434, mode=normal, start=Sat Jun 04 16:39:03 BST 2016, end=Sat Jun 04 16:43:03 BST 2016, operations=819.005553564479, operationsPerMinute=204.75138839111975
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:43:41 BST 2016, end=Sat Jun 04 16:45:41 BST 2016, operations=365.54614599092577, operationsPerMinute=182.77307299546288, mode=normal, start=Sat Jun 04 16:45:43 BST 2016, end=Sat Jun 04 16:49:43 BST 2016, operations=730.4893218190928, operationsPerMinute=182.6223304547732
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:49:45 BST 2016, end=Sat Jun 04 16:51:45 BST 2016, operations=209.23782651297626, operationsPerMinute=104.61891325648813, mode=normal, start=Sat Jun 04 16:51:50 BST 2016, end=Sat Jun 04 16:55:50 BST 2016, operations=418.87660704460336, operationsPerMinute=104.71915176115084
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:55:53 BST 2016, end=Sat Jun 04 16:57:53 BST 2016, operations=74.4022265166862, operationsPerMinute=37.2011132583431, mode=normal, start=Sat Jun 04 16:58:03 BST 2016, end=Sat Jun 04 17:02:03 BST 2016, operations=155.86261507037577, operationsPerMinute=38.96565376759394
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:02:09 BST 2016, end=Sat Jun 04 17:04:09 BST 2016, operations=13.98145869951161, operationsPerMinute=6.990729349755805, mode=normal, start=Sat Jun 04 17:04:52 BST 2016, end=Sat Jun 04 17:08:52 BST 2016, operations=27.898481427562192, operationsPerMinute=6.974620356890548
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:09:27 BST 2016, end=Sat Jun 04 17:11:27 BST 2016, operations=75.25639194595247, operationsPerMinute=37.628195972976236, mode=normal, start=Sat Jun 04 17:11:34 BST 2016, end=Sat Jun 04 17:15:34 BST 2016, operations=150.1470594447925, operationsPerMinute=37.53676486119812
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:15:43 BST 2016, end=Sat Jun 04 17:17:43 BST 2016, operations=43.00243170930585, operationsPerMinute=21.501215854652926, mode=normal, start=Sat Jun 04 17:17:54 BST 2016, end=Sat Jun 04 17:21:54 BST 2016, operations=86.28172409390508, operationsPerMinute=21.57043102347627
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 17:22:08 BST 2016, end=Sat Jun 04 17:24:08 BST 2016, operations=764.0188090418353, operationsPerMinute=382.00940452091766, mode=normal, start=Sat Jun 04 17:24:08 BST 2016, end=Sat Jun 04 17:28:08 BST 2016, operations=1508.6985167058995, operationsPerMinute=377.17462917647487
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 17:28:10 BST 2016, end=Sat Jun 04 17:30:10 BST 2016, operations=579.9467660897669, operationsPerMinute=289.97338304488346, mode=normal, start=Sat Jun 04 17:30:11 BST 2016, end=Sat Jun 04 17:34:11 BST 2016, operations=1158.699927682835, operationsPerMinute=289.6749819207088
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 17:34:12 BST 2016, end=Sat Jun 04 17:36:12 BST 2016, operations=332.7186165323529, operationsPerMinute=166.35930826617644, mode=normal, start=Sat Jun 04 17:36:15 BST 2016, end=Sat Jun 04 17:40:15 BST 2016, operations=665.6503809937551, operationsPerMinute=166.41259524843878
