spec.jvm2008.report.run.location=RIDLEY2B023
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:15 BST 2016, end=Fri Jun 03 15:01:15 BST 2016, operations=1.0, operationsPerMinute=833.3333333333334
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:15 BST 2016, end=Fri Jun 03 15:01:16 BST 2016, operations=1.0, operationsPerMinute=392.15686274509807
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:16 BST 2016, end=Fri Jun 03 15:01:37 BST 2016, operations=1.0, operationsPerMinute=2.8138629648736107
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:01:37 BST 2016, end=Fri Jun 03 15:01:42 BST 2016, operations=1.0, operationsPerMinute=11.776251226692835
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:01:42 BST 2016, end=Fri Jun 03 15:01:44 BST 2016, operations=1.0, operationsPerMinute=38.192234245703375
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:01:44 BST 2016, end=Fri Jun 03 15:01:52 BST 2016, operations=1.0, operationsPerMinute=6.769716800180526
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:01:52 BST 2016, end=Fri Jun 03 15:02:00 BST 2016, operations=1.0, operationsPerMinute=7.833920877399138
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:02:00 BST 2016, end=Fri Jun 03 15:02:07 BST 2016, operations=1.0, operationsPerMinute=8.830022075055188
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:02:07 BST 2016, end=Fri Jun 03 15:02:10 BST 2016, operations=1.0, operationsPerMinute=21.810250817884405
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:02:10 BST 2016, end=Fri Jun 03 15:02:11 BST 2016, operations=1.0, operationsPerMinute=62.37006237006237
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:02:11 BST 2016, end=Fri Jun 03 15:02:12 BST 2016, operations=1.0, operationsPerMinute=51.36986301369863
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:02:12 BST 2016, end=Fri Jun 03 15:02:18 BST 2016, operations=1.0, operationsPerMinute=9.928843289756744
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:02:18 BST 2016, end=Fri Jun 03 15:02:20 BST 2016, operations=1.0, operationsPerMinute=32.608695652173914
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:02:20 BST 2016, end=Fri Jun 03 15:02:21 BST 2016, operations=1.0, operationsPerMinute=57.142857142857146
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:02:21 BST 2016, end=Fri Jun 03 15:02:23 BST 2016, operations=1.0, operationsPerMinute=24.380333197887037
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:02:23 BST 2016, end=Fri Jun 03 15:02:30 BST 2016, operations=1.0, operationsPerMinute=8.875739644970414
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:30 BST 2016, end=Fri Jun 03 15:02:51 BST 2016, operations=1.0, operationsPerMinute=2.8996713705780013
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:02:51 BST 2016, end=Fri Jun 03 15:02:52 BST 2016, operations=1.0, operationsPerMinute=71.00591715976331
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:03:02 BST 2016, end=Fri Jun 03 15:05:02 BST 2016, operations=390.07094708506014, operationsPerMinute=195.03547354253007, mode=normal, start=Fri Jun 03 15:05:04 BST 2016, end=Fri Jun 03 15:09:04 BST 2016, operations=567.100727757966, operationsPerMinute=141.7751819394915
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:09:11 BST 2016, end=Fri Jun 03 15:11:11 BST 2016, operations=112.48060841464229, operationsPerMinute=56.240304207321145, mode=normal, start=Fri Jun 03 15:11:17 BST 2016, end=Fri Jun 03 15:15:17 BST 2016, operations=298.34512055875643, operationsPerMinute=74.58628013968911
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:15:20 BST 2016, end=Fri Jun 03 15:17:20 BST 2016, operations=362.1987574586234, operationsPerMinute=181.0993787293117, mode=normal, start=Fri Jun 03 15:17:22 BST 2016, end=Fri Jun 03 15:21:22 BST 2016, operations=737.340209749293, operationsPerMinute=184.33505243732324
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:21:24 BST 2016, end=Fri Jun 03 15:23:24 BST 2016, operations=130.08793004940097, operationsPerMinute=65.04396502470048, mode=normal, start=Fri Jun 03 15:23:29 BST 2016, end=Fri Jun 03 15:27:29 BST 2016, operations=273.2786582170214, operationsPerMinute=68.31966455425535
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:27:35 BST 2016, end=Fri Jun 03 15:29:35 BST 2016, operations=220.8250245165973, operationsPerMinute=110.41251225829865, mode=normal, start=Fri Jun 03 15:29:39 BST 2016, end=Fri Jun 03 15:33:39 BST 2016, operations=445.10007106727085, operationsPerMinute=111.27501776681771
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:33:42 BST 2016, end=Fri Jun 03 15:35:42 BST 2016, operations=385.3514785917822, operationsPerMinute=192.6757392958911, mode=normal, start=Fri Jun 03 15:35:44 BST 2016, end=Fri Jun 03 15:39:44 BST 2016, operations=760.6599069376788, operationsPerMinute=190.1649767344197
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:40:10 BST 2016, end=Fri Jun 03 15:42:10 BST 2016, operations=327.25111259768573, operationsPerMinute=163.62555629884287, mode=normal, start=Fri Jun 03 15:42:12 BST 2016, end=Fri Jun 03 15:46:12 BST 2016, operations=697.485594594276, operationsPerMinute=174.371398648569
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:46:14 BST 2016, end=Fri Jun 03 15:48:14 BST 2016, operations=203.3017946649424, operationsPerMinute=101.6508973324712, mode=normal, start=Fri Jun 03 15:48:18 BST 2016, end=Fri Jun 03 15:52:18 BST 2016, operations=378.88527755803347, operationsPerMinute=94.72131938950837
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:52:22 BST 2016, end=Fri Jun 03 15:54:22 BST 2016, operations=59.2402341306198, operationsPerMinute=29.6201170653099, mode=normal, start=Fri Jun 03 15:54:34 BST 2016, end=Fri Jun 03 15:58:34 BST 2016, operations=135.57999657786655, operationsPerMinute=33.89499914446664
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:58:41 BST 2016, end=Fri Jun 03 16:00:41 BST 2016, operations=13.833952963873312, operationsPerMinute=6.916976481936656, mode=normal, start=Fri Jun 03 16:01:25 BST 2016, end=Fri Jun 03 16:05:25 BST 2016, operations=27.729182579574324, operationsPerMinute=6.932295644893581
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:05:52 BST 2016, end=Fri Jun 03 16:07:52 BST 2016, operations=73.3841467817882, operationsPerMinute=36.6920733908941, mode=normal, start=Fri Jun 03 16:08:03 BST 2016, end=Fri Jun 03 16:12:03 BST 2016, operations=134.525327902548, operationsPerMinute=33.631331975637
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:12:13 BST 2016, end=Fri Jun 03 16:14:13 BST 2016, operations=42.35099602743449, operationsPerMinute=21.175498013717245, mode=normal, start=Fri Jun 03 16:14:26 BST 2016, end=Fri Jun 03 16:18:26 BST 2016, operations=85.33570666827575, operationsPerMinute=21.333926667068937
