spec.jvm2008.report.run.location=KINGS11
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Sat Jun 25 04:04:14 BST 2016, end=Sat Jun 25 04:04:14 BST 2016, operations=1.0, operationsPerMinute=952.3809523809524
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 04:04:14 BST 2016, end=Sat Jun 25 04:04:14 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 04:04:14 BST 2016, end=Sat Jun 25 04:04:31 BST 2016, operations=1.0, operationsPerMinute=3.531904874028726
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 04:04:31 BST 2016, end=Sat Jun 25 04:04:35 BST 2016, operations=1.0, operationsPerMinute=14.038371548900328
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 04:04:35 BST 2016, end=Sat Jun 25 04:04:37 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 04:04:37 BST 2016, end=Sat Jun 25 04:04:46 BST 2016, operations=1.0, operationsPerMinute=6.700167504187605
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 04:04:46 BST 2016, end=Sat Jun 25 04:04:54 BST 2016, operations=1.0, operationsPerMinute=7.754943776657619
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 04:04:54 BST 2016, end=Sat Jun 25 04:05:00 BST 2016, operations=1.0, operationsPerMinute=8.780916142250842
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 04:05:00 BST 2016, end=Sat Jun 25 04:05:03 BST 2016, operations=1.0, operationsPerMinute=22.488755622188904
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 04:05:03 BST 2016, end=Sat Jun 25 04:05:04 BST 2016, operations=1.0, operationsPerMinute=68.72852233676976
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 04:05:04 BST 2016, end=Sat Jun 25 04:05:05 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 04:05:05 BST 2016, end=Sat Jun 25 04:05:11 BST 2016, operations=1.0, operationsPerMinute=9.912440112340988
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 04:05:11 BST 2016, end=Sat Jun 25 04:05:13 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 04:05:13 BST 2016, end=Sat Jun 25 04:05:14 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 04:05:14 BST 2016, end=Sat Jun 25 04:05:16 BST 2016, operations=1.0, operationsPerMinute=23.032629558541267
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 04:05:16 BST 2016, end=Sat Jun 25 04:05:23 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 04:05:23 BST 2016, end=Sat Jun 25 04:05:47 BST 2016, operations=1.0, operationsPerMinute=2.538715410002539
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 04:05:47 BST 2016, end=Sat Jun 25 04:05:48 BST 2016, operations=1.0, operationsPerMinute=55.710306406685234
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 04:06:01 BST 2016, end=Sat Jun 25 04:08:01 BST 2016, operations=417.7448955481521, operationsPerMinute=208.87244777407605, mode=normal, start=Sat Jun 25 04:08:02 BST 2016, end=Sat Jun 25 04:12:02 BST 2016, operations=853.2779124379462, operationsPerMinute=213.31947810948654
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 04:12:07 BST 2016, end=Sat Jun 25 04:14:07 BST 2016, operations=168.90783985617603, operationsPerMinute=84.45391992808801, mode=normal, start=Sat Jun 25 04:14:11 BST 2016, end=Sat Jun 25 04:18:11 BST 2016, operations=337.3269190313364, operationsPerMinute=84.3317297578341
benchmark-name=compress, mod=warmup, start=Sat Jun 25 04:18:16 BST 2016, end=Sat Jun 25 04:20:16 BST 2016, operations=347.72355812133435, operationsPerMinute=173.86177906066717, mode=normal, start=Sat Jun 25 04:20:18 BST 2016, end=Sat Jun 25 04:24:18 BST 2016, operations=698.8551720460171, operationsPerMinute=174.71379301150426
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 04:24:20 BST 2016, end=Sat Jun 25 04:26:20 BST 2016, operations=115.23600248106938, operationsPerMinute=57.61800124053469, mode=normal, start=Sat Jun 25 04:26:26 BST 2016, end=Sat Jun 25 04:30:26 BST 2016, operations=242.19748839927547, operationsPerMinute=60.54937209981887
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 04:30:31 BST 2016, end=Sat Jun 25 04:32:31 BST 2016, operations=201.48093818011347, operationsPerMinute=100.74046909005673, mode=normal, start=Sat Jun 25 04:32:34 BST 2016, end=Sat Jun 25 04:36:34 BST 2016, operations=401.68267558525406, operationsPerMinute=100.42066889631352
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 04:36:39 BST 2016, end=Sat Jun 25 04:38:39 BST 2016, operations=344.882301086099, operationsPerMinute=172.4411505430495, mode=normal, start=Sat Jun 25 04:38:42 BST 2016, end=Sat Jun 25 04:42:42 BST 2016, operations=674.281397465986, operationsPerMinute=168.5703493664965
benchmark-name=derby, mod=warmup, start=Sat Jun 25 04:44:01 BST 2016, end=Sat Jun 25 04:46:01 BST 2016, operations=242.66648631021252, operationsPerMinute=121.33324315510626, mode=normal, start=Sat Jun 25 04:46:04 BST 2016, end=Sat Jun 25 04:50:04 BST 2016, operations=478.1711957675998, operationsPerMinute=119.54279894189995
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 04:50:08 BST 2016, end=Sat Jun 25 04:52:08 BST 2016, operations=168.2595406016143, operationsPerMinute=84.12977030080715, mode=normal, start=Sat Jun 25 04:52:13 BST 2016, end=Sat Jun 25 04:56:13 BST 2016, operations=339.8376093610491, operationsPerMinute=84.95940234026227
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 04:56:16 BST 2016, end=Sat Jun 25 04:58:16 BST 2016, operations=102.48164936353724, operationsPerMinute=51.24082468176862, mode=normal, start=Sat Jun 25 04:58:22 BST 2016, end=Sat Jun 25 05:02:22 BST 2016, operations=190.30161415463635, operationsPerMinute=47.57540353865909
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 05:02:33 BST 2016, end=Sat Jun 25 05:04:33 BST 2016, operations=21.153473644519707, operationsPerMinute=10.576736822259853, mode=normal, start=Sat Jun 25 05:05:02 BST 2016, end=Sat Jun 25 05:09:02 BST 2016, operations=42.29533947669262, operationsPerMinute=10.573834869173155
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 05:09:30 BST 2016, end=Sat Jun 25 05:11:30 BST 2016, operations=68.25703724930146, operationsPerMinute=34.12851862465073, mode=normal, start=Sat Jun 25 05:11:40 BST 2016, end=Sat Jun 25 05:15:40 BST 2016, operations=136.34796868219036, operationsPerMinute=34.08699217054759
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 05:15:50 BST 2016, end=Sat Jun 25 05:17:50 BST 2016, operations=70.87876270186007, operationsPerMinute=35.439381350930034, mode=normal, start=Sat Jun 25 05:18:05 BST 2016, end=Sat Jun 25 05:22:05 BST 2016, operations=141.4450057978649, operationsPerMinute=35.361251449466224
