spec.jvm2008.report.run.location=UNION79
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Thu Jun 30 19:10:49 BST 2016, end=Thu Jun 30 19:10:49 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 30 19:10:49 BST 2016, end=Thu Jun 30 19:10:49 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 30 19:10:49 BST 2016, end=Thu Jun 30 19:11:11 BST 2016, operations=1.0, operationsPerMinute=2.784998143334571
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 30 19:11:11 BST 2016, end=Thu Jun 30 19:11:15 BST 2016, operations=1.0, operationsPerMinute=12.820512820512821
benchmark-name=startup.compress, mode=normal, start=Thu Jun 30 19:11:15 BST 2016, end=Thu Jun 30 19:11:17 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 30 19:11:17 BST 2016, end=Thu Jun 30 19:11:27 BST 2016, operations=1.0, operationsPerMinute=6.019261637239166
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 30 19:11:27 BST 2016, end=Thu Jun 30 19:11:35 BST 2016, operations=1.0, operationsPerMinute=7.04390702042733
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 30 19:11:35 BST 2016, end=Thu Jun 30 19:11:43 BST 2016, operations=1.0, operationsPerMinute=8.113590263691684
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 30 19:11:43 BST 2016, end=Thu Jun 30 19:11:46 BST 2016, operations=1.0, operationsPerMinute=19.23076923076923
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 30 19:11:46 BST 2016, end=Thu Jun 30 19:11:47 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 30 19:11:47 BST 2016, end=Thu Jun 30 19:11:48 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 30 19:11:48 BST 2016, end=Thu Jun 30 19:11:55 BST 2016, operations=1.0, operationsPerMinute=8.987417615338526
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 30 19:11:55 BST 2016, end=Thu Jun 30 19:11:56 BST 2016, operations=1.0, operationsPerMinute=34.96503496503497
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 30 19:11:56 BST 2016, end=Thu Jun 30 19:11:58 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.serial, mode=normal, start=Thu Jun 30 19:11:58 BST 2016, end=Thu Jun 30 19:12:01 BST 2016, operations=1.0, operationsPerMinute=18.75586120662707
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 30 19:12:01 BST 2016, end=Thu Jun 30 19:12:08 BST 2016, operations=1.0, operationsPerMinute=8.527572484366116
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 30 19:12:08 BST 2016, end=Thu Jun 30 19:12:36 BST 2016, operations=1.0, operationsPerMinute=2.158351019820857
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 30 19:12:36 BST 2016, end=Thu Jun 30 19:12:37 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 30 19:12:54 BST 2016, end=Thu Jun 30 19:14:54 BST 2016, operations=352.2118479178014, operationsPerMinute=176.1059239589007, mode=normal, start=Thu Jun 30 19:14:56 BST 2016, end=Thu Jun 30 19:18:56 BST 2016, operations=724.6378450385356, operationsPerMinute=181.1594612596339
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 30 19:19:02 BST 2016, end=Thu Jun 30 19:21:02 BST 2016, operations=136.28242419656658, operationsPerMinute=68.14121209828329, mode=normal, start=Thu Jun 30 19:21:08 BST 2016, end=Thu Jun 30 19:25:08 BST 2016, operations=268.2164495782356, operationsPerMinute=67.0541123945589
benchmark-name=compress, mod=warmup, start=Thu Jun 30 19:25:14 BST 2016, end=Thu Jun 30 19:27:14 BST 2016, operations=270.1884234148874, operationsPerMinute=135.0942117074437, mode=normal, start=Thu Jun 30 19:27:17 BST 2016, end=Thu Jun 30 19:31:17 BST 2016, operations=540.8402112511905, operationsPerMinute=135.2100528127976
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 30 19:31:19 BST 2016, end=Thu Jun 30 19:33:19 BST 2016, operations=85.42131248471748, operationsPerMinute=42.71065624235874, mode=normal, start=Thu Jun 30 19:33:28 BST 2016, end=Thu Jun 30 19:37:28 BST 2016, operations=180.2114415910434, operationsPerMinute=45.05286039776085
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 30 19:37:36 BST 2016, end=Thu Jun 30 19:39:36 BST 2016, operations=143.54225263013387, operationsPerMinute=71.77112631506694, mode=normal, start=Thu Jun 30 19:39:42 BST 2016, end=Thu Jun 30 19:43:42 BST 2016, operations=293.02366243217676, operationsPerMinute=73.25591560804419
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 30 19:43:48 BST 2016, end=Thu Jun 30 19:45:48 BST 2016, operations=252.6433360059257, operationsPerMinute=126.32166800296285, mode=normal, start=Thu Jun 30 19:45:51 BST 2016, end=Thu Jun 30 19:49:51 BST 2016, operations=504.3921979478402, operationsPerMinute=126.09804948696005
benchmark-name=derby, mod=warmup, start=Thu Jun 30 19:51:25 BST 2016, end=Thu Jun 30 19:53:25 BST 2016, operations=204.19577216392906, operationsPerMinute=102.09788608196453, mode=normal, start=Thu Jun 30 19:53:30 BST 2016, end=Thu Jun 30 19:57:30 BST 2016, operations=409.47331302785574, operationsPerMinute=102.36832825696393
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 30 19:57:34 BST 2016, end=Thu Jun 30 19:59:34 BST 2016, operations=133.84868454926584, operationsPerMinute=66.92434227463292, mode=normal, start=Thu Jun 30 19:59:39 BST 2016, end=Thu Jun 30 20:03:39 BST 2016, operations=267.4148178865464, operationsPerMinute=66.8537044716366
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 30 20:03:44 BST 2016, end=Thu Jun 30 20:05:44 BST 2016, operations=78.87321022464033, operationsPerMinute=39.436605112320166, mode=normal, start=Thu Jun 30 20:05:51 BST 2016, end=Thu Jun 30 20:09:51 BST 2016, operations=164.9381278927955, operationsPerMinute=41.23453197319888
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 30 20:09:58 BST 2016, end=Thu Jun 30 20:11:58 BST 2016, operations=19.769123992317613, operationsPerMinute=9.884561996158807, mode=normal, start=Thu Jun 30 20:12:37 BST 2016, end=Thu Jun 30 20:16:37 BST 2016, operations=40.170264515407865, operationsPerMinute=10.042566128851966
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 30 20:17:13 BST 2016, end=Thu Jun 30 20:19:13 BST 2016, operations=50.69356838992042, operationsPerMinute=25.34678419496021, mode=normal, start=Thu Jun 30 20:19:25 BST 2016, end=Thu Jun 30 20:23:25 BST 2016, operations=108.51418676266613, operationsPerMinute=27.128546690666532
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 30 20:23:40 BST 2016, end=Thu Jun 30 20:25:40 BST 2016, operations=60.70134938059335, operationsPerMinute=30.350674690296675, mode=normal, start=Thu Jun 30 20:25:53 BST 2016, end=Thu Jun 30 20:29:53 BST 2016, operations=121.44382455579773, operationsPerMinute=30.360956138949433
benchmark-name=scimark.fft.small, mod=warmup, start=Thu Jun 30 20:30:05 BST 2016, end=Thu Jun 30 20:32:05 BST 2016, operations=516.5011963348259, operationsPerMinute=258.25059816741293, mode=normal, start=Thu Jun 30 20:32:07 BST 2016, end=Thu Jun 30 20:36:07 BST 2016, operations=1035.4366834540695, operationsPerMinute=258.85917086351736
benchmark-name=scimark.lu.small, mod=warmup, start=Thu Jun 30 20:36:08 BST 2016, end=Thu Jun 30 20:38:08 BST 2016, operations=372.59881879633025, operationsPerMinute=186.29940939816512, mode=normal, start=Thu Jun 30 20:38:10 BST 2016, end=Thu Jun 30 20:42:10 BST 2016, operations=737.5932075597766, operationsPerMinute=184.39830188994415
benchmark-name=scimark.sor.small, mod=warmup, start=Thu Jun 30 20:42:12 BST 2016, end=Thu Jun 30 20:44:12 BST 2016, operations=242.22704677619356, operationsPerMinute=121.11352338809678, mode=normal, start=Thu Jun 30 20:44:16 BST 2016, end=Thu Jun 30 20:48:16 BST 2016, operations=484.90527632293066, operationsPerMinute=121.22631908073267
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu Jun 30 20:48:19 BST 2016, end=Thu Jun 30 20:50:19 BST 2016, operations=311.21579233443936, operationsPerMinute=155.60789616721968, mode=normal, start=Thu Jun 30 20:50:21 BST 2016, end=Thu Jun 30 20:54:21 BST 2016, operations=623.4369581784551, operationsPerMinute=155.85923954461379
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu Jun 30 20:54:24 BST 2016, end=Thu Jun 30 20:56:24 BST 2016, operations=77.77659709756875, operationsPerMinute=38.88829854878438, mode=normal, start=Thu Jun 30 20:56:33 BST 2016, end=Thu Jun 30 21:00:33 BST 2016, operations=156.5232674308237, operationsPerMinute=39.13081685770592
benchmark-name=serial, mod=warmup, start=Thu Jun 30 21:00:43 BST 2016, end=Thu Jun 30 21:02:43 BST 2016, operations=142.64539877300612, operationsPerMinute=71.32269938650306, mode=normal, start=Thu Jun 30 21:02:48 BST 2016, end=Thu Jun 30 21:06:48 BST 2016, operations=288.23313051169885, operationsPerMinute=72.05828262792471
benchmark-name=sunflow, mod=warmup, start=Thu Jun 30 21:06:55 BST 2016, end=Thu Jun 30 21:08:55 BST 2016, operations=108.92592777675162, operationsPerMinute=54.46296388837581, mode=normal, start=Thu Jun 30 21:08:57 BST 2016, end=Thu Jun 30 21:12:57 BST 2016, operations=218.68615896242102, operationsPerMinute=54.671539740605255
benchmark-name=xml.transform, mod=warmup, start=Thu Jun 30 21:13:33 BST 2016, end=Thu Jun 30 21:15:33 BST 2016, operations=329.64424262440224, operationsPerMinute=164.82212131220112, mode=normal, start=Thu Jun 30 21:15:35 BST 2016, end=Thu Jun 30 21:19:35 BST 2016, operations=663.5304200841069, operationsPerMinute=165.88260502102673
benchmark-name=xml.validation, mod=warmup, start=Thu Jun 30 21:19:39 BST 2016, end=Thu Jun 30 21:21:39 BST 2016, operations=518.62126307913, operationsPerMinute=259.310631539565, mode=normal, start=Thu Jun 30 21:21:40 BST 2016, end=Thu Jun 30 21:25:40 BST 2016, operations=1026.578985591033, operationsPerMinute=256.64474639775824
##-nursultan-##,UNION79,Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,4,3984,check,Thu Jun 30 19:10:49 BST 2016,Thu Jun 30 19:10:49 BST 2016,1.0,1276.595744680851,startup.helloworld,Thu Jun 30 19:10:49 BST 2016,Thu Jun 30 19:10:49 BST 2016,1.0,428.57142857142856,startup.compiler.compiler,Thu Jun 30 19:10:49 BST 2016,Thu Jun 30 19:11:11 BST 2016,1.0,2.784998143334571,startup.compiler.sunflow,Thu Jun 30 19:11:11 BST 2016,Thu Jun 30 19:11:15 BST 2016,1.0,12.820512820512821,startup.compress,Thu Jun 30 19:11:15 BST 2016,Thu Jun 30 19:11:17 BST 2016,1.0,37.336652146857496,startup.crypto.aes,Thu Jun 30 19:11:17 BST 2016,Thu Jun 30 19:11:27 BST 2016,1.0,6.019261637239166,startup.crypto.rsa,Thu Jun 30 19:11:27 BST 2016,Thu Jun 30 19:11:35 BST 2016,1.0,7.04390702042733,startup.crypto.signverify,Thu Jun 30 19:11:35 BST 2016,Thu Jun 30 19:11:43 BST 2016,1.0,8.113590263691684,startup.mpegaudio,Thu Jun 30 19:11:43 BST 2016,Thu Jun 30 19:11:46 BST 2016,1.0,19.23076923076923,startup.scimark.fft,Thu Jun 30 19:11:46 BST 2016,Thu Jun 30 19:11:47 BST 2016,1.0,64.1025641025641,startup.scimark.lu,Thu Jun 30 19:11:47 BST 2016,Thu Jun 30 19:11:48 BST 2016,1.0,49.30156121610518,startup.scimark.monte_carlo,Thu Jun 30 19:11:48 BST 2016,Thu Jun 30 19:11:55 BST 2016,1.0,8.987417615338526,startup.scimark.sor,Thu Jun 30 19:11:55 BST 2016,Thu Jun 30 19:11:56 BST 2016,1.0,34.96503496503497,startup.scimark.sparse,Thu Jun 30 19:11:56 BST 2016,Thu Jun 30 19:11:58 BST 2016,1.0,42.73504273504273,startup.serial,Thu Jun 30 19:11:58 BST 2016,Thu Jun 30 19:12:01 BST 2016,1.0,18.75586120662707,startup.sunflow,Thu Jun 30 19:12:01 BST 2016,Thu Jun 30 19:12:08 BST 2016,1.0,8.527572484366116,startup.xml.transform,Thu Jun 30 19:12:08 BST 2016,Thu Jun 30 19:12:36 BST 2016,1.0,2.158351019820857,startup.xml.validation,Thu Jun 30 19:12:36 BST 2016,Thu Jun 30 19:12:37 BST 2016,1.0,48.661800486618006,compiler.compiler,Thu Jun 30 19:12:54 BST 2016,Thu Jun 30 19:14:54 BST 2016,352.2118479178014,176.1059239589007,Thu Jun 30 19:14:56 BST 2016,Thu Jun 30 19:18:56 BST 2016,724.6378450385356,181.1594612596339,compiler.sunflow,Thu Jun 30 19:19:02 BST 2016,Thu Jun 30 19:21:02 BST 2016,136.28242419656658,68.14121209828329,Thu Jun 30 19:21:08 BST 2016,Thu Jun 30 19:25:08 BST 2016,268.2164495782356,67.0541123945589,compress,Thu Jun 30 19:25:14 BST 2016,Thu Jun 30 19:27:14 BST 2016,270.1884234148874,135.0942117074437,Thu Jun 30 19:27:17 BST 2016,Thu Jun 30 19:31:17 BST 2016,540.8402112511905,135.2100528127976,crypto.aes,Thu Jun 30 19:31:19 BST 2016,Thu Jun 30 19:33:19 BST 2016,85.42131248471748,42.71065624235874,Thu Jun 30 19:33:28 BST 2016,Thu Jun 30 19:37:28 BST 2016,180.2114415910434,45.05286039776085,crypto.rsa,Thu Jun 30 19:37:36 BST 2016,Thu Jun 30 19:39:36 BST 2016,143.54225263013387,71.77112631506694,Thu Jun 30 19:39:42 BST 2016,Thu Jun 30 19:43:42 BST 2016,293.02366243217676,73.25591560804419,crypto.signverify,Thu Jun 30 19:43:48 BST 2016,Thu Jun 30 19:45:48 BST 2016,252.6433360059257,126.32166800296285,Thu Jun 30 19:45:51 BST 2016,Thu Jun 30 19:49:51 BST 2016,504.3921979478402,126.09804948696005,derby,Thu Jun 30 19:51:25 BST 2016,Thu Jun 30 19:53:25 BST 2016,204.19577216392906,102.09788608196453,Thu Jun 30 19:53:30 BST 2016,Thu Jun 30 19:57:30 BST 2016,409.47331302785574,102.36832825696393,mpegaudio,Thu Jun 30 19:57:34 BST 2016,Thu Jun 30 19:59:34 BST 2016,133.84868454926584,66.92434227463292,Thu Jun 30 19:59:39 BST 2016,Thu Jun 30 20:03:39 BST 2016,267.4148178865464,66.8537044716366,scimark.fft.large,Thu Jun 30 20:03:44 BST 2016,Thu Jun 30 20:05:44 BST 2016,78.87321022464033,39.436605112320166,Thu Jun 30 20:05:51 BST 2016,Thu Jun 30 20:09:51 BST 2016,164.9381278927955,41.23453197319888,scimark.lu.large,Thu Jun 30 20:09:58 BST 2016,Thu Jun 30 20:11:58 BST 2016,19.769123992317613,9.884561996158807,Thu Jun 30 20:12:37 BST 2016,Thu Jun 30 20:16:37 BST 2016,40.170264515407865,10.042566128851966,scimark.sor.large,Thu Jun 30 20:17:13 BST 2016,Thu Jun 30 20:19:13 BST 2016,50.69356838992042,25.34678419496021,Thu Jun 30 20:19:25 BST 2016,Thu Jun 30 20:23:25 BST 2016,108.51418676266613,27.128546690666532,scimark.sparse.large,Thu Jun 30 20:23:40 BST 2016,Thu Jun 30 20:25:40 BST 2016,60.70134938059335,30.350674690296675,Thu Jun 30 20:25:53 BST 2016,Thu Jun 30 20:29:53 BST 2016,121.44382455579773,30.360956138949433,scimark.fft.small,Thu Jun 30 20:30:05 BST 2016,Thu Jun 30 20:32:05 BST 2016,516.5011963348259,258.25059816741293,Thu Jun 30 20:32:07 BST 2016,Thu Jun 30 20:36:07 BST 2016,1035.4366834540695,258.85917086351736,scimark.lu.small,Thu Jun 30 20:36:08 BST 2016,Thu Jun 30 20:38:08 BST 2016,372.59881879633025,186.29940939816512,Thu Jun 30 20:38:10 BST 2016,Thu Jun 30 20:42:10 BST 2016,737.5932075597766,184.39830188994415,scimark.sor.small,Thu Jun 30 20:42:12 BST 2016,Thu Jun 30 20:44:12 BST 2016,242.22704677619356,121.11352338809678,Thu Jun 30 20:44:16 BST 2016,Thu Jun 30 20:48:16 BST 2016,484.90527632293066,121.22631908073267,scimark.sparse.small,Thu Jun 30 20:48:19 BST 2016,Thu Jun 30 20:50:19 BST 2016,311.21579233443936,155.60789616721968,Thu Jun 30 20:50:21 BST 2016,Thu Jun 30 20:54:21 BST 2016,623.4369581784551,155.85923954461379,scimark.monte_carlo,Thu Jun 30 20:54:24 BST 2016,Thu Jun 30 20:56:24 BST 2016,77.77659709756875,38.88829854878438,Thu Jun 30 20:56:33 BST 2016,Thu Jun 30 21:00:33 BST 2016,156.5232674308237,39.13081685770592,serial,Thu Jun 30 21:00:43 BST 2016,Thu Jun 30 21:02:43 BST 2016,142.64539877300612,71.32269938650306,Thu Jun 30 21:02:48 BST 2016,Thu Jun 30 21:06:48 BST 2016,288.23313051169885,72.05828262792471,sunflow,Thu Jun 30 21:06:55 BST 2016,Thu Jun 30 21:08:55 BST 2016,108.92592777675162,54.46296388837581,Thu Jun 30 21:08:57 BST 2016,Thu Jun 30 21:12:57 BST 2016,218.68615896242102,54.671539740605255,xml.transform,Thu Jun 30 21:13:33 BST 2016,Thu Jun 30 21:15:33 BST 2016,329.64424262440224,164.82212131220112,Thu Jun 30 21:15:35 BST 2016,Thu Jun 30 21:19:35 BST 2016,663.5304200841069,165.88260502102673,xml.validation,Thu Jun 30 21:19:39 BST 2016,Thu Jun 30 21:21:39 BST 2016,518.62126307913,259.310631539565,Thu Jun 30 21:21:40 BST 2016,Thu Jun 30 21:25:40 BST 2016,1026.578985591033,256.64474639775824
