spec.jvm2008.report.run.location=ROBLIB027
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:20:34 BST 2016, end=Thu May 26 14:20:34 BST 2016, operations=1.0, operationsPerMinute=666.6666666666666
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:20:34 BST 2016, end=Thu May 26 14:20:35 BST 2016, operations=1.0, operationsPerMinute=73.80073800738008
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:20:35 BST 2016, end=Thu May 26 14:21:00 BST 2016, operations=1.0, operationsPerMinute=2.4376371170878364
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:21:00 BST 2016, end=Thu May 26 14:21:05 BST 2016, operations=1.0, operationsPerMinute=11.988011988011989
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:21:05 BST 2016, end=Thu May 26 14:21:07 BST 2016, operations=1.0, operationsPerMinute=24.01921537229784
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:21:07 BST 2016, end=Thu May 26 14:21:17 BST 2016, operations=1.0, operationsPerMinute=6.2728698379508625
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:21:17 BST 2016, end=Thu May 26 14:21:25 BST 2016, operations=1.0, operationsPerMinute=7.518796992481203
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:21:25 BST 2016, end=Thu May 26 14:21:32 BST 2016, operations=1.0, operationsPerMinute=8.589835361488905
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:21:32 BST 2016, end=Thu May 26 14:21:35 BST 2016, operations=1.0, operationsPerMinute=18.808777429467085
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:21:35 BST 2016, end=Thu May 26 14:21:36 BST 2016, operations=1.0, operationsPerMinute=61.855670103092784
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:21:36 BST 2016, end=Thu May 26 14:21:37 BST 2016, operations=1.0, operationsPerMinute=51.282051282051285
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:21:37 BST 2016, end=Thu May 26 14:21:44 BST 2016, operations=1.0, operationsPerMinute=9.47119179163378
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:21:44 BST 2016, end=Thu May 26 14:21:45 BST 2016, operations=1.0, operationsPerMinute=36.144578313253014
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:21:45 BST 2016, end=Thu May 26 14:21:46 BST 2016, operations=1.0, operationsPerMinute=48.0
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:21:46 BST 2016, end=Thu May 26 14:21:49 BST 2016, operations=1.0, operationsPerMinute=20.761245674740483
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:21:49 BST 2016, end=Thu May 26 14:21:56 BST 2016, operations=1.0, operationsPerMinute=8.586147681740126
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:21:56 BST 2016, end=Thu May 26 14:22:24 BST 2016, operations=1.0, operationsPerMinute=2.1865092380015305
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:22:24 BST 2016, end=Thu May 26 14:22:26 BST 2016, operations=1.0, operationsPerMinute=31.57894736842105
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:22:39 BST 2016, end=Thu May 26 14:24:39 BST 2016, operations=394.43498533355535, operationsPerMinute=197.21749266677767, mode=normal, start=Thu May 26 14:24:40 BST 2016, end=Thu May 26 14:28:40 BST 2016, operations=827.7313463884622, operationsPerMinute=206.93283659711554
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:28:46 BST 2016, end=Thu May 26 14:30:46 BST 2016, operations=154.37262471802578, operationsPerMinute=77.18631235901289, mode=normal, start=Thu May 26 14:30:51 BST 2016, end=Thu May 26 14:34:51 BST 2016, operations=301.82911948531444, operationsPerMinute=75.45727987132861
benchmark-name=compress, mod=warmup, start=Thu May 26 14:34:57 BST 2016, end=Thu May 26 14:36:57 BST 2016, operations=307.1695082478541, operationsPerMinute=153.58475412392704, mode=normal, start=Thu May 26 14:36:58 BST 2016, end=Thu May 26 14:40:58 BST 2016, operations=651.0765046878591, operationsPerMinute=162.76912617196479
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:41:01 BST 2016, end=Thu May 26 14:43:01 BST 2016, operations=103.26547916214535, operationsPerMinute=51.63273958107268, mode=normal, start=Thu May 26 14:43:07 BST 2016, end=Thu May 26 14:47:07 BST 2016, operations=205.88134017594246, operationsPerMinute=51.470335043985614
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:47:16 BST 2016, end=Thu May 26 14:49:16 BST 2016, operations=180.19054236089534, operationsPerMinute=90.09527118044767, mode=normal, start=Thu May 26 14:49:21 BST 2016, end=Thu May 26 14:53:21 BST 2016, operations=355.4866757557687, operationsPerMinute=88.87166893894218
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:53:24 BST 2016, end=Thu May 26 14:55:24 BST 2016, operations=287.79207754958514, operationsPerMinute=143.89603877479257, mode=normal, start=Thu May 26 14:55:27 BST 2016, end=Thu May 26 14:59:27 BST 2016, operations=588.978748045862, operationsPerMinute=147.2446870114655
benchmark-name=derby, mod=warmup, start=Thu May 26 15:00:32 BST 2016, end=Thu May 26 15:02:32 BST 2016, operations=214.42579288581362, operationsPerMinute=107.21289644290681, mode=normal, start=Thu May 26 15:02:35 BST 2016, end=Thu May 26 15:06:35 BST 2016, operations=472.3096336489464, operationsPerMinute=118.0774084122366
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:06:39 BST 2016, end=Thu May 26 15:08:39 BST 2016, operations=153.41841405430418, operationsPerMinute=76.70920702715209, mode=normal, start=Thu May 26 15:08:44 BST 2016, end=Thu May 26 15:12:44 BST 2016, operations=311.52291943594093, operationsPerMinute=77.88072985898523
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:12:48 BST 2016, end=Thu May 26 15:14:48 BST 2016, operations=100.54832742906217, operationsPerMinute=50.274163714531085, mode=normal, start=Thu May 26 15:14:55 BST 2016, end=Thu May 26 15:18:55 BST 2016, operations=219.89908244549582, operationsPerMinute=54.974770611373955
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:19:01 BST 2016, end=Thu May 26 15:21:01 BST 2016, operations=23.247563644111025, operationsPerMinute=11.623781822055513, mode=normal, start=Thu May 26 15:21:40 BST 2016, end=Thu May 26 15:25:40 BST 2016, operations=42.51552671579871, operationsPerMinute=10.628881678949677
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:26:23 BST 2016, end=Thu May 26 15:28:23 BST 2016, operations=58.54347824958653, operationsPerMinute=29.271739124793264, mode=normal, start=Thu May 26 15:28:38 BST 2016, end=Thu May 26 15:32:38 BST 2016, operations=113.03961044082779, operationsPerMinute=28.259902610206947
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:32:55 BST 2016, end=Thu May 26 15:34:55 BST 2016, operations=74.70175906409477, operationsPerMinute=37.35087953204739, mode=normal, start=Thu May 26 15:35:03 BST 2016, end=Thu May 26 15:39:03 BST 2016, operations=145.86513619358988, operationsPerMinute=36.46628404839747
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:39:12 BST 2016, end=Thu May 26 15:41:12 BST 2016, operations=535.5009896030458, operationsPerMinute=267.7504948015229, mode=normal, start=Thu May 26 15:41:14 BST 2016, end=Thu May 26 15:45:14 BST 2016, operations=1063.3989488113102, operationsPerMinute=265.84973720282755
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:45:15 BST 2016, end=Thu May 26 15:47:15 BST 2016, operations=397.93091063692475, operationsPerMinute=198.96545531846238, mode=normal, start=Thu May 26 15:47:17 BST 2016, end=Thu May 26 15:51:17 BST 2016, operations=804.048441233948, operationsPerMinute=201.012110308487
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:51:19 BST 2016, end=Thu May 26 15:53:19 BST 2016, operations=266.7008003212236, operationsPerMinute=133.3504001606118, mode=normal, start=Thu May 26 15:53:22 BST 2016, end=Thu May 26 15:57:22 BST 2016, operations=524.4680973431018, operationsPerMinute=131.11702433577545
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:57:24 BST 2016, end=Thu May 26 15:59:24 BST 2016, operations=400.2837244480637, operationsPerMinute=200.14186222403185, mode=normal, start=Thu May 26 15:59:26 BST 2016, end=Thu May 26 16:03:26 BST 2016, operations=754.2488427907552, operationsPerMinute=188.5622106976888
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu May 26 16:03:28 BST 2016, end=Thu May 26 16:05:28 BST 2016, operations=84.85330578799568, operationsPerMinute=42.42665289399784, mode=normal, start=Thu May 26 16:05:36 BST 2016, end=Thu May 26 16:09:36 BST 2016, operations=170.00027314012155, operationsPerMinute=42.50006828503039
benchmark-name=serial, mod=warmup, start=Thu May 26 16:09:46 BST 2016, end=Thu May 26 16:11:46 BST 2016, operations=164.25621698172864, operationsPerMinute=82.12810849086432, mode=normal, start=Thu May 26 16:11:50 BST 2016, end=Thu May 26 16:15:50 BST 2016, operations=345.016066080786, operationsPerMinute=86.2540165201965
benchmark-name=sunflow, mod=warmup, start=Thu May 26 16:15:54 BST 2016, end=Thu May 26 16:17:54 BST 2016, operations=114.8299917801952, operationsPerMinute=57.4149958900976, mode=normal, start=Thu May 26 16:17:56 BST 2016, end=Thu May 26 16:21:56 BST 2016, operations=158.51959651922505, operationsPerMinute=39.62989912980626
benchmark-name=xml.transform, mod=warmup, start=Thu May 26 16:23:02 BST 2016, end=Thu May 26 16:25:02 BST 2016, operations=335.6832186930921, operationsPerMinute=167.84160934654605, mode=normal, start=Thu May 26 16:25:04 BST 2016, end=Thu May 26 16:29:04 BST 2016, operations=660.7980783722533, operationsPerMinute=165.19951959306331
benchmark-name=xml.validation, mod=warmup, start=Thu May 26 16:29:06 BST 2016, end=Thu May 26 16:31:06 BST 2016, operations=592.1967979775716, operationsPerMinute=296.0983989887858, mode=normal, start=Thu May 26 16:31:08 BST 2016, end=Thu May 26 16:35:08 BST 2016, operations=1139.2409486364907, operationsPerMinute=284.81023715912266
##-nursultan-##,ROBLIB027,n/a,n/a,n/a,check,Thu May 26 14:20:34 BST 2016,Thu May 26 14:20:34 BST 2016,1.0,666.6666666666666,startup.helloworld,Thu May 26 14:20:34 BST 2016,Thu May 26 14:20:35 BST 2016,1.0,73.80073800738008,startup.compiler.compiler,Thu May 26 14:20:35 BST 2016,Thu May 26 14:21:00 BST 2016,1.0,2.4376371170878364,startup.compiler.sunflow,Thu May 26 14:21:00 BST 2016,Thu May 26 14:21:05 BST 2016,1.0,11.988011988011989,startup.compress,Thu May 26 14:21:05 BST 2016,Thu May 26 14:21:07 BST 2016,1.0,24.01921537229784,startup.crypto.aes,Thu May 26 14:21:07 BST 2016,Thu May 26 14:21:17 BST 2016,1.0,6.2728698379508625,startup.crypto.rsa,Thu May 26 14:21:17 BST 2016,Thu May 26 14:21:25 BST 2016,1.0,7.518796992481203,startup.crypto.signverify,Thu May 26 14:21:25 BST 2016,Thu May 26 14:21:32 BST 2016,1.0,8.589835361488905,startup.mpegaudio,Thu May 26 14:21:32 BST 2016,Thu May 26 14:21:35 BST 2016,1.0,18.808777429467085,startup.scimark.fft,Thu May 26 14:21:35 BST 2016,Thu May 26 14:21:36 BST 2016,1.0,61.855670103092784,startup.scimark.lu,Thu May 26 14:21:36 BST 2016,Thu May 26 14:21:37 BST 2016,1.0,51.282051282051285,startup.scimark.monte_carlo,Thu May 26 14:21:37 BST 2016,Thu May 26 14:21:44 BST 2016,1.0,9.47119179163378,startup.scimark.sor,Thu May 26 14:21:44 BST 2016,Thu May 26 14:21:45 BST 2016,1.0,36.144578313253014,startup.scimark.sparse,Thu May 26 14:21:45 BST 2016,Thu May 26 14:21:46 BST 2016,1.0,48.0,startup.serial,Thu May 26 14:21:46 BST 2016,Thu May 26 14:21:49 BST 2016,1.0,20.761245674740483,startup.sunflow,Thu May 26 14:21:49 BST 2016,Thu May 26 14:21:56 BST 2016,1.0,8.586147681740126,startup.xml.transform,Thu May 26 14:21:56 BST 2016,Thu May 26 14:22:24 BST 2016,1.0,2.1865092380015305,startup.xml.validation,Thu May 26 14:22:24 BST 2016,Thu May 26 14:22:26 BST 2016,1.0,31.57894736842105,compiler.compiler,Thu May 26 14:22:39 BST 2016,Thu May 26 14:24:39 BST 2016,394.43498533355535,197.21749266677767,Thu May 26 14:24:40 BST 2016,Thu May 26 14:28:40 BST 2016,827.7313463884622,206.93283659711554,compiler.sunflow,Thu May 26 14:28:46 BST 2016,Thu May 26 14:30:46 BST 2016,154.37262471802578,77.18631235901289,Thu May 26 14:30:51 BST 2016,Thu May 26 14:34:51 BST 2016,301.82911948531444,75.45727987132861,compress,Thu May 26 14:34:57 BST 2016,Thu May 26 14:36:57 BST 2016,307.1695082478541,153.58475412392704,Thu May 26 14:36:58 BST 2016,Thu May 26 14:40:58 BST 2016,651.0765046878591,162.76912617196479,crypto.aes,Thu May 26 14:41:01 BST 2016,Thu May 26 14:43:01 BST 2016,103.26547916214535,51.63273958107268,Thu May 26 14:43:07 BST 2016,Thu May 26 14:47:07 BST 2016,205.88134017594246,51.470335043985614,crypto.rsa,Thu May 26 14:47:16 BST 2016,Thu May 26 14:49:16 BST 2016,180.19054236089534,90.09527118044767,Thu May 26 14:49:21 BST 2016,Thu May 26 14:53:21 BST 2016,355.4866757557687,88.87166893894218,crypto.signverify,Thu May 26 14:53:24 BST 2016,Thu May 26 14:55:24 BST 2016,287.79207754958514,143.89603877479257,Thu May 26 14:55:27 BST 2016,Thu May 26 14:59:27 BST 2016,588.978748045862,147.2446870114655,derby,Thu May 26 15:00:32 BST 2016,Thu May 26 15:02:32 BST 2016,214.42579288581362,107.21289644290681,Thu May 26 15:02:35 BST 2016,Thu May 26 15:06:35 BST 2016,472.3096336489464,118.0774084122366,mpegaudio,Thu May 26 15:06:39 BST 2016,Thu May 26 15:08:39 BST 2016,153.41841405430418,76.70920702715209,Thu May 26 15:08:44 BST 2016,Thu May 26 15:12:44 BST 2016,311.52291943594093,77.88072985898523,scimark.fft.large,Thu May 26 15:12:48 BST 2016,Thu May 26 15:14:48 BST 2016,100.54832742906217,50.274163714531085,Thu May 26 15:14:55 BST 2016,Thu May 26 15:18:55 BST 2016,219.89908244549582,54.974770611373955,scimark.lu.large,Thu May 26 15:19:01 BST 2016,Thu May 26 15:21:01 BST 2016,23.247563644111025,11.623781822055513,Thu May 26 15:21:40 BST 2016,Thu May 26 15:25:40 BST 2016,42.51552671579871,10.628881678949677,scimark.sor.large,Thu May 26 15:26:23 BST 2016,Thu May 26 15:28:23 BST 2016,58.54347824958653,29.271739124793264,Thu May 26 15:28:38 BST 2016,Thu May 26 15:32:38 BST 2016,113.03961044082779,28.259902610206947,scimark.sparse.large,Thu May 26 15:32:55 BST 2016,Thu May 26 15:34:55 BST 2016,74.70175906409477,37.35087953204739,Thu May 26 15:35:03 BST 2016,Thu May 26 15:39:03 BST 2016,145.86513619358988,36.46628404839747,scimark.fft.small,Thu May 26 15:39:12 BST 2016,Thu May 26 15:41:12 BST 2016,535.5009896030458,267.7504948015229,Thu May 26 15:41:14 BST 2016,Thu May 26 15:45:14 BST 2016,1063.3989488113102,265.84973720282755,scimark.lu.small,Thu May 26 15:45:15 BST 2016,Thu May 26 15:47:15 BST 2016,397.93091063692475,198.96545531846238,Thu May 26 15:47:17 BST 2016,Thu May 26 15:51:17 BST 2016,804.048441233948,201.012110308487,scimark.sor.small,Thu May 26 15:51:19 BST 2016,Thu May 26 15:53:19 BST 2016,266.7008003212236,133.3504001606118,Thu May 26 15:53:22 BST 2016,Thu May 26 15:57:22 BST 2016,524.4680973431018,131.11702433577545,scimark.sparse.small,Thu May 26 15:57:24 BST 2016,Thu May 26 15:59:24 BST 2016,400.2837244480637,200.14186222403185,Thu May 26 15:59:26 BST 2016,Thu May 26 16:03:26 BST 2016,754.2488427907552,188.5622106976888,scimark.monte_carlo,Thu May 26 16:03:28 BST 2016,Thu May 26 16:05:28 BST 2016,84.85330578799568,42.42665289399784,Thu May 26 16:05:36 BST 2016,Thu May 26 16:09:36 BST 2016,170.00027314012155,42.50006828503039,serial,Thu May 26 16:09:46 BST 2016,Thu May 26 16:11:46 BST 2016,164.25621698172864,82.12810849086432,Thu May 26 16:11:50 BST 2016,Thu May 26 16:15:50 BST 2016,345.016066080786,86.2540165201965,sunflow,Thu May 26 16:15:54 BST 2016,Thu May 26 16:17:54 BST 2016,114.8299917801952,57.4149958900976,Thu May 26 16:17:56 BST 2016,Thu May 26 16:21:56 BST 2016,158.51959651922505,39.62989912980626,xml.transform,Thu May 26 16:23:02 BST 2016,Thu May 26 16:25:02 BST 2016,335.6832186930921,167.84160934654605,Thu May 26 16:25:04 BST 2016,Thu May 26 16:29:04 BST 2016,660.7980783722533,165.19951959306331,xml.validation,Thu May 26 16:29:06 BST 2016,Thu May 26 16:31:06 BST 2016,592.1967979775716,296.0983989887858,Thu May 26 16:31:08 BST 2016,Thu May 26 16:35:08 BST 2016,1139.2409486364907,284.81023715912266
