spec.jvm2008.report.run.location=GLAZIER02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 02:37:58 BST 2016, end=Fri Jun 24 02:37:58 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 02:37:58 BST 2016, end=Fri Jun 24 02:37:58 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 02:37:58 BST 2016, end=Fri Jun 24 02:38:15 BST 2016, operations=1.0, operationsPerMinute=3.4806822137138878
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 02:38:15 BST 2016, end=Fri Jun 24 02:38:19 BST 2016, operations=1.0, operationsPerMinute=14.623446258835
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 02:38:19 BST 2016, end=Fri Jun 24 02:38:21 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 02:38:21 BST 2016, end=Fri Jun 24 02:38:30 BST 2016, operations=1.0, operationsPerMinute=6.586169045005488
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 02:38:30 BST 2016, end=Fri Jun 24 02:38:37 BST 2016, operations=1.0, operationsPerMinute=7.661856723279275
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 02:38:37 BST 2016, end=Fri Jun 24 02:38:44 BST 2016, operations=1.0, operationsPerMinute=8.92325996430696
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 02:38:44 BST 2016, end=Fri Jun 24 02:38:47 BST 2016, operations=1.0, operationsPerMinute=22.23045572434235
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 02:38:47 BST 2016, end=Fri Jun 24 02:38:48 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 02:38:48 BST 2016, end=Fri Jun 24 02:38:49 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 02:38:49 BST 2016, end=Fri Jun 24 02:38:55 BST 2016, operations=1.0, operationsPerMinute=9.836065573770492
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 02:38:55 BST 2016, end=Fri Jun 24 02:38:57 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 02:38:57 BST 2016, end=Fri Jun 24 02:38:58 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 02:38:58 BST 2016, end=Fri Jun 24 02:39:00 BST 2016, operations=1.0, operationsPerMinute=22.35469448584203
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 02:39:00 BST 2016, end=Fri Jun 24 02:39:07 BST 2016, operations=1.0, operationsPerMinute=8.841732979664014
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 02:39:07 BST 2016, end=Fri Jun 24 02:39:33 BST 2016, operations=1.0, operationsPerMinute=2.359603586597452
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 02:39:33 BST 2016, end=Fri Jun 24 02:39:34 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 02:39:46 BST 2016, end=Fri Jun 24 02:41:46 BST 2016, operations=397.22354675548775, operationsPerMinute=198.61177337774387, mode=normal, start=Fri Jun 24 02:41:48 BST 2016, end=Fri Jun 24 02:45:48 BST 2016, operations=812.8118457416537, operationsPerMinute=203.2029614354134
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 02:45:53 BST 2016, end=Fri Jun 24 02:47:53 BST 2016, operations=161.81954118094137, operationsPerMinute=80.90977059047069, mode=normal, start=Fri Jun 24 02:47:57 BST 2016, end=Fri Jun 24 02:51:57 BST 2016, operations=322.97216542046596, operationsPerMinute=80.74304135511649
benchmark-name=compress, mod=warmup, start=Fri Jun 24 02:52:01 BST 2016, end=Fri Jun 24 02:54:01 BST 2016, operations=329.2774567075444, operationsPerMinute=164.6387283537722, mode=normal, start=Fri Jun 24 02:54:03 BST 2016, end=Fri Jun 24 02:58:03 BST 2016, operations=655.556068542159, operationsPerMinute=163.88901713553975
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 02:58:05 BST 2016, end=Fri Jun 24 03:00:05 BST 2016, operations=108.81849272355748, operationsPerMinute=54.40924636177874, mode=normal, start=Fri Jun 24 03:00:12 BST 2016, end=Fri Jun 24 03:04:12 BST 2016, operations=230.6925971540929, operationsPerMinute=57.67314928852323
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 03:04:18 BST 2016, end=Fri Jun 24 03:06:18 BST 2016, operations=193.7721589412131, operationsPerMinute=96.88607947060655, mode=normal, start=Fri Jun 24 03:06:23 BST 2016, end=Fri Jun 24 03:10:23 BST 2016, operations=386.6782429628242, operationsPerMinute=96.66956074070605
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 03:10:28 BST 2016, end=Fri Jun 24 03:12:28 BST 2016, operations=328.16155699779625, operationsPerMinute=164.08077849889813, mode=normal, start=Fri Jun 24 03:12:31 BST 2016, end=Fri Jun 24 03:16:31 BST 2016, operations=657.7152238440401, operationsPerMinute=164.42880596101003
benchmark-name=derby, mod=warmup, start=Fri Jun 24 03:17:48 BST 2016, end=Fri Jun 24 03:19:48 BST 2016, operations=243.61193254872342, operationsPerMinute=121.80596627436171, mode=normal, start=Fri Jun 24 03:19:50 BST 2016, end=Fri Jun 24 03:23:50 BST 2016, operations=483.1842752513335, operationsPerMinute=120.79606881283337
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 03:23:54 BST 2016, end=Fri Jun 24 03:25:54 BST 2016, operations=159.8101195069358, operationsPerMinute=79.9050597534679, mode=normal, start=Fri Jun 24 03:25:59 BST 2016, end=Fri Jun 24 03:29:59 BST 2016, operations=308.8789298399326, operationsPerMinute=77.21973245998315
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 03:30:04 BST 2016, end=Fri Jun 24 03:32:04 BST 2016, operations=93.17414299856807, operationsPerMinute=46.587071499284036, mode=normal, start=Fri Jun 24 03:32:10 BST 2016, end=Fri Jun 24 03:36:10 BST 2016, operations=192.27207053540883, operationsPerMinute=48.06801763385221
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 03:36:16 BST 2016, end=Fri Jun 24 03:38:16 BST 2016, operations=21.257292264099327, operationsPerMinute=10.628646132049663, mode=normal, start=Fri Jun 24 03:38:54 BST 2016, end=Fri Jun 24 03:42:54 BST 2016, operations=42.4432950460281, operationsPerMinute=10.610823761507024
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 03:43:25 BST 2016, end=Fri Jun 24 03:45:25 BST 2016, operations=64.74561976727702, operationsPerMinute=32.37280988363851, mode=normal, start=Fri Jun 24 03:45:37 BST 2016, end=Fri Jun 24 03:49:37 BST 2016, operations=129.80783757850475, operationsPerMinute=32.451959394626186
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 03:49:46 BST 2016, end=Fri Jun 24 03:51:46 BST 2016, operations=69.28867939307094, operationsPerMinute=34.64433969653547, mode=normal, start=Fri Jun 24 03:51:54 BST 2016, end=Fri Jun 24 03:55:54 BST 2016, operations=139.5793315637747, operationsPerMinute=34.894832890943675
