spec.jvm2008.report.run.location=BEDSONTC106
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Thu Jun 23 02:33:40 BST 2016, end=Thu Jun 23 02:33:40 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 02:33:40 BST 2016, end=Thu Jun 23 02:33:41 BST 2016, operations=1.0, operationsPerMinute=93.75
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 02:33:41 BST 2016, end=Thu Jun 23 02:34:07 BST 2016, operations=1.0, operationsPerMinute=2.3266635644485807
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 02:34:07 BST 2016, end=Thu Jun 23 02:34:12 BST 2016, operations=1.0, operationsPerMinute=10.989010989010989
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 02:34:12 BST 2016, end=Thu Jun 23 02:34:14 BST 2016, operations=1.0, operationsPerMinute=37.359900373599004
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 02:34:14 BST 2016, end=Thu Jun 23 02:34:24 BST 2016, operations=1.0, operationsPerMinute=5.739978953410504
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 02:34:24 BST 2016, end=Thu Jun 23 02:34:33 BST 2016, operations=1.0, operationsPerMinute=6.9428373061791255
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 02:34:33 BST 2016, end=Thu Jun 23 02:34:40 BST 2016, operations=1.0, operationsPerMinute=8.097165991902834
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 02:34:40 BST 2016, end=Thu Jun 23 02:34:43 BST 2016, operations=1.0, operationsPerMinute=19.23076923076923
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 02:34:43 BST 2016, end=Thu Jun 23 02:34:44 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 02:34:44 BST 2016, end=Thu Jun 23 02:34:45 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 02:34:45 BST 2016, end=Thu Jun 23 02:34:52 BST 2016, operations=1.0, operationsPerMinute=8.92325996430696
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 02:34:52 BST 2016, end=Thu Jun 23 02:34:54 BST 2016, operations=1.0, operationsPerMinute=34.96503496503497
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 02:34:54 BST 2016, end=Thu Jun 23 02:34:55 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 02:34:55 BST 2016, end=Thu Jun 23 02:34:58 BST 2016, operations=1.0, operationsPerMinute=19.132653061224488
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 02:34:58 BST 2016, end=Thu Jun 23 02:35:06 BST 2016, operations=1.0, operationsPerMinute=8.012820512820513
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 02:35:06 BST 2016, end=Thu Jun 23 02:35:36 BST 2016, operations=1.0, operationsPerMinute=1.9938191606021334
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 02:35:36 BST 2016, end=Thu Jun 23 02:35:38 BST 2016, operations=1.0, operationsPerMinute=39.63011889035667
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 02:35:53 BST 2016, end=Thu Jun 23 02:37:53 BST 2016, operations=360.75874193800763, operationsPerMinute=180.37937096900382, mode=normal, start=Thu Jun 23 02:37:54 BST 2016, end=Thu Jun 23 02:41:54 BST 2016, operations=731.1857309718895, operationsPerMinute=182.79643274297237
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 02:42:01 BST 2016, end=Thu Jun 23 02:44:01 BST 2016, operations=142.55589248964097, operationsPerMinute=71.27794624482048, mode=normal, start=Thu Jun 23 02:44:05 BST 2016, end=Thu Jun 23 02:48:05 BST 2016, operations=283.6926331749337, operationsPerMinute=70.92315829373342
benchmark-name=compress, mod=warmup, start=Thu Jun 23 02:48:11 BST 2016, end=Thu Jun 23 02:50:11 BST 2016, operations=267.3510878257067, operationsPerMinute=133.67554391285336, mode=normal, start=Thu Jun 23 02:50:14 BST 2016, end=Thu Jun 23 02:54:14 BST 2016, operations=529.746562277298, operationsPerMinute=132.4366405693245
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 02:54:17 BST 2016, end=Thu Jun 23 02:56:17 BST 2016, operations=84.24285752840986, operationsPerMinute=42.12142876420493, mode=normal, start=Thu Jun 23 02:56:26 BST 2016, end=Thu Jun 23 03:00:26 BST 2016, operations=181.0155783181643, operationsPerMinute=45.253894579541075
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 03:00:34 BST 2016, end=Thu Jun 23 03:02:34 BST 2016, operations=145.9538243225682, operationsPerMinute=72.9769121612841, mode=normal, start=Thu Jun 23 03:02:39 BST 2016, end=Thu Jun 23 03:06:39 BST 2016, operations=285.8707972411946, operationsPerMinute=71.46769931029866
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 03:06:45 BST 2016, end=Thu Jun 23 03:08:45 BST 2016, operations=251.13478549661048, operationsPerMinute=125.56739274830524, mode=normal, start=Thu Jun 23 03:08:48 BST 2016, end=Thu Jun 23 03:12:48 BST 2016, operations=505.27439309056956, operationsPerMinute=126.31859827264239
benchmark-name=derby, mod=warmup, start=Thu Jun 23 03:14:16 BST 2016, end=Thu Jun 23 03:16:16 BST 2016, operations=205.42845987147118, operationsPerMinute=102.71422993573559, mode=normal, start=Thu Jun 23 03:16:20 BST 2016, end=Thu Jun 23 03:20:20 BST 2016, operations=406.7193756704389, operationsPerMinute=101.67984391760973
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 03:20:24 BST 2016, end=Thu Jun 23 03:22:24 BST 2016, operations=133.71330997062262, operationsPerMinute=66.85665498531131, mode=normal, start=Thu Jun 23 03:22:29 BST 2016, end=Thu Jun 23 03:26:29 BST 2016, operations=266.71509448752016, operationsPerMinute=66.67877362188004
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 03:26:35 BST 2016, end=Thu Jun 23 03:28:35 BST 2016, operations=81.82721180828024, operationsPerMinute=40.91360590414012, mode=normal, start=Thu Jun 23 03:28:43 BST 2016, end=Thu Jun 23 03:32:43 BST 2016, operations=155.7356961554555, operationsPerMinute=38.93392403886388
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 03:32:52 BST 2016, end=Thu Jun 23 03:34:52 BST 2016, operations=20.13612196535934, operationsPerMinute=10.06806098267967, mode=normal, start=Thu Jun 23 03:35:34 BST 2016, end=Thu Jun 23 03:39:34 BST 2016, operations=40.17501365928074, operationsPerMinute=10.043753414820184
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 03:40:10 BST 2016, end=Thu Jun 23 03:42:10 BST 2016, operations=55.33063574051294, operationsPerMinute=27.66531787025647, mode=normal, start=Thu Jun 23 03:42:21 BST 2016, end=Thu Jun 23 03:46:21 BST 2016, operations=110.53325580366902, operationsPerMinute=27.633313950917255
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 03:46:32 BST 2016, end=Thu Jun 23 03:48:32 BST 2016, operations=60.583124724972066, operationsPerMinute=30.291562362486033, mode=normal, start=Thu Jun 23 03:48:44 BST 2016, end=Thu Jun 23 03:52:44 BST 2016, operations=121.23567078860101, operationsPerMinute=30.308917697150253
