spec.jvm2008.report.run.location=HOPE12
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 03:17:48 BST 2016, end=Fri Jun 24 03:17:48 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 03:17:48 BST 2016, end=Fri Jun 24 03:17:48 BST 2016, operations=1.0, operationsPerMinute=137.29977116704805
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 03:17:48 BST 2016, end=Fri Jun 24 03:18:12 BST 2016, operations=1.0, operationsPerMinute=2.540435261241426
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 03:18:12 BST 2016, end=Fri Jun 24 03:18:17 BST 2016, operations=1.0, operationsPerMinute=11.834319526627219
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 03:18:17 BST 2016, end=Fri Jun 24 03:18:18 BST 2016, operations=1.0, operationsPerMinute=36.96857670979667
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 03:18:18 BST 2016, end=Fri Jun 24 03:18:28 BST 2016, operations=1.0, operationsPerMinute=5.954153021732658
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 03:18:28 BST 2016, end=Fri Jun 24 03:18:37 BST 2016, operations=1.0, operationsPerMinute=6.818956699624957
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 03:18:37 BST 2016, end=Fri Jun 24 03:18:44 BST 2016, operations=1.0, operationsPerMinute=8.472182999152782
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 03:18:44 BST 2016, end=Fri Jun 24 03:18:47 BST 2016, operations=1.0, operationsPerMinute=19.329896907216494
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 03:18:47 BST 2016, end=Fri Jun 24 03:18:48 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 03:18:48 BST 2016, end=Fri Jun 24 03:18:50 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 03:18:50 BST 2016, end=Fri Jun 24 03:18:56 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 03:18:56 BST 2016, end=Fri Jun 24 03:18:58 BST 2016, operations=1.0, operationsPerMinute=34.96503496503497
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 03:18:58 BST 2016, end=Fri Jun 24 03:18:59 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 03:18:59 BST 2016, end=Fri Jun 24 03:19:03 BST 2016, operations=1.0, operationsPerMinute=18.668326073428748
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 03:19:03 BST 2016, end=Fri Jun 24 03:19:10 BST 2016, operations=1.0, operationsPerMinute=8.307947936859597
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 03:19:10 BST 2016, end=Fri Jun 24 03:19:38 BST 2016, operations=1.0, operationsPerMinute=2.1062978305132347
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 03:19:38 BST 2016, end=Fri Jun 24 03:19:40 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 03:19:56 BST 2016, end=Fri Jun 24 03:21:56 BST 2016, operations=351.6284504605327, operationsPerMinute=175.81422523026635, mode=normal, start=Fri Jun 24 03:21:58 BST 2016, end=Fri Jun 24 03:25:58 BST 2016, operations=702.0696075861772, operationsPerMinute=175.5174018965443
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 03:26:04 BST 2016, end=Fri Jun 24 03:28:04 BST 2016, operations=138.97356985550348, operationsPerMinute=69.48678492775174, mode=normal, start=Fri Jun 24 03:28:08 BST 2016, end=Fri Jun 24 03:32:08 BST 2016, operations=278.7785650532902, operationsPerMinute=69.69464126332255
benchmark-name=compress, mod=warmup, start=Fri Jun 24 03:32:12 BST 2016, end=Fri Jun 24 03:34:12 BST 2016, operations=270.87911134267756, operationsPerMinute=135.43955567133878, mode=normal, start=Fri Jun 24 03:34:16 BST 2016, end=Fri Jun 24 03:38:16 BST 2016, operations=541.8740068876047, operationsPerMinute=135.46850172190116
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 03:38:18 BST 2016, end=Fri Jun 24 03:40:18 BST 2016, operations=84.78980457936596, operationsPerMinute=42.39490228968298, mode=normal, start=Fri Jun 24 03:40:28 BST 2016, end=Fri Jun 24 03:44:28 BST 2016, operations=180.32421219196277, operationsPerMinute=45.08105304799069
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 03:44:37 BST 2016, end=Fri Jun 24 03:46:37 BST 2016, operations=146.23601739077586, operationsPerMinute=73.11800869538793, mode=normal, start=Fri Jun 24 03:46:42 BST 2016, end=Fri Jun 24 03:50:42 BST 2016, operations=292.37173620113583, operationsPerMinute=73.09293405028396
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 03:50:47 BST 2016, end=Fri Jun 24 03:52:47 BST 2016, operations=251.25914858144006, operationsPerMinute=125.62957429072003, mode=normal, start=Fri Jun 24 03:52:50 BST 2016, end=Fri Jun 24 03:56:50 BST 2016, operations=505.42383887499926, operationsPerMinute=126.35595971874982
benchmark-name=derby, mod=warmup, start=Fri Jun 24 03:58:17 BST 2016, end=Fri Jun 24 04:00:17 BST 2016, operations=203.09429382505843, operationsPerMinute=101.54714691252921, mode=normal, start=Fri Jun 24 04:00:20 BST 2016, end=Fri Jun 24 04:04:20 BST 2016, operations=408.89144276521904, operationsPerMinute=102.22286069130476
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 04:04:24 BST 2016, end=Fri Jun 24 04:06:24 BST 2016, operations=133.63223755697615, operationsPerMinute=66.81611877848808, mode=normal, start=Fri Jun 24 04:06:30 BST 2016, end=Fri Jun 24 04:10:30 BST 2016, operations=267.6378116526821, operationsPerMinute=66.90945291317053
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 04:10:36 BST 2016, end=Fri Jun 24 04:12:36 BST 2016, operations=61.417579298083254, operationsPerMinute=30.708789649041627, mode=normal, start=Fri Jun 24 04:12:47 BST 2016, end=Fri Jun 24 04:16:47 BST 2016, operations=114.52096808174298, operationsPerMinute=28.630242020435745
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 04:16:57 BST 2016, end=Fri Jun 24 04:18:57 BST 2016, operations=11.498926181018383, operationsPerMinute=5.749463090509192, mode=normal, start=Fri Jun 24 04:19:32 BST 2016, end=Fri Jun 24 04:23:32 BST 2016, operations=23.027925632034048, operationsPerMinute=5.756981408008512
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 04:24:13 BST 2016, end=Fri Jun 24 04:26:13 BST 2016, operations=54.777593315452215, operationsPerMinute=27.388796657726107, mode=normal, start=Fri Jun 24 04:26:25 BST 2016, end=Fri Jun 24 04:30:25 BST 2016, operations=110.11108832935048, operationsPerMinute=27.52777208233762
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 04:30:37 BST 2016, end=Fri Jun 24 04:32:37 BST 2016, operations=37.29308349238367, operationsPerMinute=18.646541746191836, mode=normal, start=Fri Jun 24 04:32:55 BST 2016, end=Fri Jun 24 04:36:55 BST 2016, operations=74.55380169598484, operationsPerMinute=18.63845042399621
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 24 04:37:10 BST 2016, end=Fri Jun 24 04:39:10 BST 2016, operations=513.7728761972496, operationsPerMinute=256.8864380986248, mode=normal, start=Fri Jun 24 04:39:11 BST 2016, end=Fri Jun 24 04:43:11 BST 2016, operations=1021.4849969822184, operationsPerMinute=255.3712492455546
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 24 04:43:13 BST 2016, end=Fri Jun 24 04:45:13 BST 2016, operations=372.9648471482332, operationsPerMinute=186.4824235741166, mode=normal, start=Fri Jun 24 04:45:15 BST 2016, end=Fri Jun 24 04:49:15 BST 2016, operations=746.056210443038, operationsPerMinute=186.5140526107595
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 24 04:49:16 BST 2016, end=Fri Jun 24 04:51:16 BST 2016, operations=235.96883822818248, operationsPerMinute=117.98441911409124, mode=normal, start=Fri Jun 24 04:51:20 BST 2016, end=Fri Jun 24 04:55:20 BST 2016, operations=465.1592030112552, operationsPerMinute=116.2898007528138
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 24 04:55:23 BST 2016, end=Fri Jun 24 04:57:23 BST 2016, operations=298.94536747339674, operationsPerMinute=149.47268373669837, mode=normal, start=Fri Jun 24 04:57:25 BST 2016, end=Fri Jun 24 05:01:25 BST 2016, operations=609.1597093662526, operationsPerMinute=152.28992734156316
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jun 24 05:01:27 BST 2016, end=Fri Jun 24 05:03:27 BST 2016, operations=75.53471633674636, operationsPerMinute=37.76735816837318, mode=normal, start=Fri Jun 24 05:03:40 BST 2016, end=Fri Jun 24 05:07:40 BST 2016, operations=152.31555160228993, operationsPerMinute=38.07888790057248
benchmark-name=serial, mod=warmup, start=Fri Jun 24 05:07:48 BST 2016, end=Fri Jun 24 05:09:48 BST 2016, operations=138.6375810267894, operationsPerMinute=69.3187905133947, mode=normal, start=Fri Jun 24 05:09:53 BST 2016, end=Fri Jun 24 05:13:53 BST 2016, operations=279.28838246637076, operationsPerMinute=69.82209561659269
benchmark-name=sunflow, mod=warmup, start=Fri Jun 24 05:13:59 BST 2016, end=Fri Jun 24 05:15:59 BST 2016, operations=104.94724965511327, operationsPerMinute=52.473624827556634, mode=normal, start=Fri Jun 24 05:16:01 BST 2016, end=Fri Jun 24 05:20:01 BST 2016, operations=212.7825182281996, operationsPerMinute=53.1956295570499
benchmark-name=xml.transform, mod=warmup, start=Fri Jun 24 05:20:35 BST 2016, end=Fri Jun 24 05:22:35 BST 2016, operations=324.1830314669401, operationsPerMinute=162.09151573347006, mode=normal, start=Fri Jun 24 05:22:37 BST 2016, end=Fri Jun 24 05:26:37 BST 2016, operations=627.9245912953022, operationsPerMinute=156.98114782382555
benchmark-name=xml.validation, mod=warmup, start=Fri Jun 24 05:26:41 BST 2016, end=Fri Jun 24 05:28:41 BST 2016, operations=515.1861854243743, operationsPerMinute=257.5930927121872, mode=normal, start=Fri Jun 24 05:28:42 BST 2016, end=Fri Jun 24 05:32:42 BST 2016, operations=1013.8920922409243, operationsPerMinute=253.47302306023107
