spec.jvm2008.report.run.location=ROBLIB048
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Sun Jun 19 00:39:29 BST 2016, end=Sun Jun 19 00:39:29 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:39:29 BST 2016, end=Sun Jun 19 00:39:29 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:39:29 BST 2016, end=Sun Jun 19 00:39:45 BST 2016, operations=1.0, operationsPerMinute=3.614893360645861
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:39:46 BST 2016, end=Sun Jun 19 00:39:50 BST 2016, operations=1.0, operationsPerMinute=14.851485148514852
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:39:50 BST 2016, end=Sun Jun 19 00:39:51 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:39:51 BST 2016, end=Sun Jun 19 00:40:00 BST 2016, operations=1.0, operationsPerMinute=6.574621959237344
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:40:00 BST 2016, end=Sun Jun 19 00:40:08 BST 2016, operations=1.0, operationsPerMinute=7.708119218910586
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:40:08 BST 2016, end=Sun Jun 19 00:40:15 BST 2016, operations=1.0, operationsPerMinute=8.6617583369424
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:40:15 BST 2016, end=Sun Jun 19 00:40:17 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:40:17 BST 2016, end=Sun Jun 19 00:40:18 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:40:18 BST 2016, end=Sun Jun 19 00:40:19 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:40:19 BST 2016, end=Sun Jun 19 00:40:26 BST 2016, operations=1.0, operationsPerMinute=9.837678307919331
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:40:26 BST 2016, end=Sun Jun 19 00:40:27 BST 2016, operations=1.0, operationsPerMinute=38.07106598984772
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:40:27 BST 2016, end=Sun Jun 19 00:40:28 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:40:28 BST 2016, end=Sun Jun 19 00:40:31 BST 2016, operations=1.0, operationsPerMinute=23.032629558541267
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:40:31 BST 2016, end=Sun Jun 19 00:40:38 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:40:38 BST 2016, end=Sun Jun 19 00:41:00 BST 2016, operations=1.0, operationsPerMinute=2.6199729269464216
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:41:00 BST 2016, end=Sun Jun 19 00:41:02 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:41:14 BST 2016, end=Sun Jun 19 00:43:14 BST 2016, operations=423.83394214952, operationsPerMinute=211.91697107476, mode=normal, start=Sun Jun 19 00:43:15 BST 2016, end=Sun Jun 19 00:47:15 BST 2016, operations=869.8773551836891, operationsPerMinute=217.46933879592228
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:47:21 BST 2016, end=Sun Jun 19 00:49:21 BST 2016, operations=170.19637977176748, operationsPerMinute=85.09818988588374, mode=normal, start=Sun Jun 19 00:49:24 BST 2016, end=Sun Jun 19 00:53:24 BST 2016, operations=340.41846760896726, operationsPerMinute=85.10461690224182
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:53:29 BST 2016, end=Sun Jun 19 00:55:29 BST 2016, operations=351.48744782674095, operationsPerMinute=175.74372391337047, mode=normal, start=Sun Jun 19 00:55:31 BST 2016, end=Sun Jun 19 00:59:31 BST 2016, operations=704.0761328781422, operationsPerMinute=176.01903321953554
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:59:33 BST 2016, end=Sun Jun 19 01:01:33 BST 2016, operations=116.75254967698727, operationsPerMinute=58.376274838493636, mode=normal, start=Sun Jun 19 01:01:39 BST 2016, end=Sun Jun 19 01:05:39 BST 2016, operations=246.43480787461544, operationsPerMinute=61.60870196865386
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:05:46 BST 2016, end=Sun Jun 19 01:07:46 BST 2016, operations=207.06021078485512, operationsPerMinute=103.53010539242756, mode=normal, start=Sun Jun 19 01:07:49 BST 2016, end=Sun Jun 19 01:11:49 BST 2016, operations=410.70306333293263, operationsPerMinute=102.67576583323316
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:11:53 BST 2016, end=Sun Jun 19 01:13:53 BST 2016, operations=352.20777582198343, operationsPerMinute=176.10388791099172, mode=normal, start=Sun Jun 19 01:13:56 BST 2016, end=Sun Jun 19 01:17:56 BST 2016, operations=705.600789469618, operationsPerMinute=176.4001973674045
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:18:57 BST 2016, end=Sun Jun 19 01:20:57 BST 2016, operations=262.1406004167198, operationsPerMinute=131.0703002083599, mode=normal, start=Sun Jun 19 01:20:59 BST 2016, end=Sun Jun 19 01:24:59 BST 2016, operations=527.5091147619613, operationsPerMinute=131.87727869049033
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:25:03 BST 2016, end=Sun Jun 19 01:27:03 BST 2016, operations=173.42202643247631, operationsPerMinute=86.71101321623816, mode=normal, start=Sun Jun 19 01:27:08 BST 2016, end=Sun Jun 19 01:31:08 BST 2016, operations=347.05906878038775, operationsPerMinute=86.76476719509694
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:31:12 BST 2016, end=Sun Jun 19 01:33:12 BST 2016, operations=115.38359631869409, operationsPerMinute=57.691798159347044, mode=normal, start=Sun Jun 19 01:33:17 BST 2016, end=Sun Jun 19 01:37:17 BST 2016, operations=237.85476189748545, operationsPerMinute=59.46369047437136
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:37:22 BST 2016, end=Sun Jun 19 01:39:22 BST 2016, operations=25.40604890296768, operationsPerMinute=12.70302445148384, mode=normal, start=Sun Jun 19 01:39:48 BST 2016, end=Sun Jun 19 01:43:48 BST 2016, operations=50.753917582405386, operationsPerMinute=12.688479395601346
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:44:08 BST 2016, end=Sun Jun 19 01:46:08 BST 2016, operations=69.56753217603524, operationsPerMinute=34.78376608801762, mode=normal, start=Sun Jun 19 01:46:19 BST 2016, end=Sun Jun 19 01:50:19 BST 2016, operations=139.07404765404073, operationsPerMinute=34.76851191351018
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:50:27 BST 2016, end=Sun Jun 19 01:52:27 BST 2016, operations=81.4391264332483, operationsPerMinute=40.71956321662415, mode=normal, start=Sun Jun 19 01:52:35 BST 2016, end=Sun Jun 19 01:56:35 BST 2016, operations=161.07235309205834, operationsPerMinute=40.268088273014584
