spec.jvm2008.report.run.location=BEDSONTC005
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 17:15:32 BST 2016, end=Fri Jun 03 17:15:32 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 17:15:32 BST 2016, end=Fri Jun 03 17:15:32 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 17:15:32 BST 2016, end=Fri Jun 03 17:15:44 BST 2016, operations=1.0, operationsPerMinute=4.837929366231253
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 17:15:44 BST 2016, end=Fri Jun 03 17:15:47 BST 2016, operations=1.0, operationsPerMinute=18.668326073428748
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 17:15:47 BST 2016, end=Fri Jun 03 17:15:49 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 17:15:49 BST 2016, end=Fri Jun 03 17:15:57 BST 2016, operations=1.0, operationsPerMinute=7.136060894386299
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 17:15:57 BST 2016, end=Fri Jun 03 17:16:05 BST 2016, operations=1.0, operationsPerMinute=7.897854416216927
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 17:16:05 BST 2016, end=Fri Jun 03 17:16:11 BST 2016, operations=1.0, operationsPerMinute=9.20104278484895
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 17:16:11 BST 2016, end=Fri Jun 03 17:16:13 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 17:16:13 BST 2016, end=Fri Jun 03 17:16:14 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 17:16:14 BST 2016, end=Fri Jun 03 17:16:15 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 17:16:15 BST 2016, end=Fri Jun 03 17:16:21 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 17:16:21 BST 2016, end=Fri Jun 03 17:16:22 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 17:16:22 BST 2016, end=Fri Jun 03 17:16:23 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 17:16:23 BST 2016, end=Fri Jun 03 17:16:25 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 17:16:25 BST 2016, end=Fri Jun 03 17:16:31 BST 2016, operations=1.0, operationsPerMinute=9.428032683846638
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 17:16:31 BST 2016, end=Fri Jun 03 17:16:51 BST 2016, operations=1.0, operationsPerMinute=3.0117458086537496
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 17:16:51 BST 2016, end=Fri Jun 03 17:16:52 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 17:17:02 BST 2016, end=Fri Jun 03 17:19:02 BST 2016, operations=504.88654036093754, operationsPerMinute=252.44327018046877, mode=normal, start=Fri Jun 03 17:19:04 BST 2016, end=Fri Jun 03 17:23:04 BST 2016, operations=1022.504548896604, operationsPerMinute=255.626137224151
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 17:23:08 BST 2016, end=Fri Jun 03 17:25:08 BST 2016, operations=201.03960584063984, operationsPerMinute=100.51980292031992, mode=normal, start=Fri Jun 03 17:25:11 BST 2016, end=Fri Jun 03 17:29:11 BST 2016, operations=404.2711923166976, operationsPerMinute=101.0677980791744
benchmark-name=compress, mod=warmup, start=Fri Jun 03 17:29:14 BST 2016, end=Fri Jun 03 17:31:14 BST 2016, operations=402.9711750001502, operationsPerMinute=201.4855875000751, mode=normal, start=Fri Jun 03 17:31:16 BST 2016, end=Fri Jun 03 17:35:16 BST 2016, operations=806.2749160286007, operationsPerMinute=201.56872900715018
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 17:35:18 BST 2016, end=Fri Jun 03 17:37:18 BST 2016, operations=140.69941585162059, operationsPerMinute=70.34970792581029, mode=normal, start=Fri Jun 03 17:37:24 BST 2016, end=Fri Jun 03 17:41:24 BST 2016, operations=296.4464564765517, operationsPerMinute=74.11161411913793
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 17:41:29 BST 2016, end=Fri Jun 03 17:43:29 BST 2016, operations=237.10160567355982, operationsPerMinute=118.55080283677991, mode=normal, start=Fri Jun 03 17:43:33 BST 2016, end=Fri Jun 03 17:47:33 BST 2016, operations=473.9571934466732, operationsPerMinute=118.4892983616683
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 17:47:36 BST 2016, end=Fri Jun 03 17:49:36 BST 2016, operations=408.66264803612006, operationsPerMinute=204.33132401806003, mode=normal, start=Fri Jun 03 17:49:38 BST 2016, end=Fri Jun 03 17:53:38 BST 2016, operations=818.831623931624, operationsPerMinute=204.707905982906
benchmark-name=derby, mod=warmup, start=Fri Jun 03 17:54:01 BST 2016, end=Fri Jun 03 17:56:01 BST 2016, operations=366.19426466901825, operationsPerMinute=183.09713233450913, mode=normal, start=Fri Jun 03 17:56:03 BST 2016, end=Fri Jun 03 18:00:03 BST 2016, operations=734.863960000047, operationsPerMinute=183.71599000001174
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 18:00:05 BST 2016, end=Fri Jun 03 18:02:05 BST 2016, operations=208.91129867821297, operationsPerMinute=104.45564933910649, mode=normal, start=Fri Jun 03 18:02:09 BST 2016, end=Fri Jun 03 18:06:09 BST 2016, operations=412.8699149435099, operationsPerMinute=103.21747873587748
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 18:06:13 BST 2016, end=Fri Jun 03 18:08:13 BST 2016, operations=71.0895415722863, operationsPerMinute=35.54477078614315, mode=normal, start=Fri Jun 03 18:08:19 BST 2016, end=Fri Jun 03 18:12:19 BST 2016, operations=158.39768241419085, operationsPerMinute=39.59942060354771
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 18:12:27 BST 2016, end=Fri Jun 03 18:14:27 BST 2016, operations=13.941162636134113, operationsPerMinute=6.970581318067056, mode=normal, start=Fri Jun 03 18:15:10 BST 2016, end=Fri Jun 03 18:19:10 BST 2016, operations=28.023852204194732, operationsPerMinute=7.005963051048683
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 18:19:51 BST 2016, end=Fri Jun 03 18:21:51 BST 2016, operations=75.17076684469501, operationsPerMinute=37.585383422347505, mode=normal, start=Fri Jun 03 18:21:58 BST 2016, end=Fri Jun 03 18:25:58 BST 2016, operations=150.2940972267068, operationsPerMinute=37.5735243066767
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 18:26:07 BST 2016, end=Fri Jun 03 18:28:07 BST 2016, operations=42.41036923064148, operationsPerMinute=21.20518461532074, mode=normal, start=Fri Jun 03 18:28:20 BST 2016, end=Fri Jun 03 18:32:20 BST 2016, operations=86.07280206923684, operationsPerMinute=21.51820051730921
