spec.jvm2008.report.run.location=SUNSPACE12
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4027
benchmark-name=check, mode=normal, start=Wed Jun 29 22:27:40 BST 2016, end=Wed Jun 29 22:27:40 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 22:27:40 BST 2016, end=Wed Jun 29 22:27:40 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 22:27:40 BST 2016, end=Wed Jun 29 22:28:07 BST 2016, operations=1.0, operationsPerMinute=2.23872243573001
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 22:28:07 BST 2016, end=Wed Jun 29 22:28:13 BST 2016, operations=1.0, operationsPerMinute=9.640102827763496
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 22:28:13 BST 2016, end=Wed Jun 29 22:28:15 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 22:28:15 BST 2016, end=Wed Jun 29 22:28:27 BST 2016, operations=1.0, operationsPerMinute=5.094243504839532
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 22:28:27 BST 2016, end=Wed Jun 29 22:28:36 BST 2016, operations=1.0, operationsPerMinute=6.67779632721202
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 22:28:36 BST 2016, end=Wed Jun 29 22:28:44 BST 2016, operations=1.0, operationsPerMinute=7.913479293062516
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 22:28:44 BST 2016, end=Wed Jun 29 22:28:48 BST 2016, operations=1.0, operationsPerMinute=13.449899125756557
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 22:28:48 BST 2016, end=Wed Jun 29 22:28:49 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 22:28:49 BST 2016, end=Wed Jun 29 22:28:52 BST 2016, operations=1.0, operationsPerMinute=28.076743097800655
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 22:28:52 BST 2016, end=Wed Jun 29 22:29:01 BST 2016, operations=1.0, operationsPerMinute=6.497022198159177
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 22:29:01 BST 2016, end=Wed Jun 29 22:29:03 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 22:29:03 BST 2016, end=Wed Jun 29 22:29:05 BST 2016, operations=1.0, operationsPerMinute=24.65078060805259
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 22:29:05 BST 2016, end=Wed Jun 29 22:29:10 BST 2016, operations=1.0, operationsPerMinute=12.57071024512885
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 22:29:10 BST 2016, end=Wed Jun 29 22:29:18 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 22:29:18 BST 2016, end=Wed Jun 29 22:30:04 BST 2016, operations=1.0, operationsPerMinute=1.2932706815536492
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 22:30:04 BST 2016, end=Wed Jun 29 22:30:06 BST 2016, operations=1.0, operationsPerMinute=34.344590726960504
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 22:30:27 BST 2016, end=Wed Jun 29 22:32:27 BST 2016, operations=288.6650982070248, operationsPerMinute=144.3325491035124, mode=normal, start=Wed Jun 29 22:32:30 BST 2016, end=Wed Jun 29 22:36:30 BST 2016, operations=598.2839182617524, operationsPerMinute=149.5709795654381
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 22:36:38 BST 2016, end=Wed Jun 29 22:38:38 BST 2016, operations=116.81348728486782, operationsPerMinute=58.40674364243391, mode=normal, start=Wed Jun 29 22:38:44 BST 2016, end=Wed Jun 29 22:42:44 BST 2016, operations=232.8567227070185, operationsPerMinute=58.21418067675462
benchmark-name=compress, mod=warmup, start=Wed Jun 29 22:42:51 BST 2016, end=Wed Jun 29 22:44:51 BST 2016, operations=249.39035683833882, operationsPerMinute=124.69517841916941, mode=normal, start=Wed Jun 29 22:44:54 BST 2016, end=Wed Jun 29 22:48:54 BST 2016, operations=500.0532571856779, operationsPerMinute=125.01331429641948
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 22:48:57 BST 2016, end=Wed Jun 29 22:50:57 BST 2016, operations=71.43093844918175, operationsPerMinute=35.715469224590876, mode=normal, start=Wed Jun 29 22:51:05 BST 2016, end=Wed Jun 29 22:55:05 BST 2016, operations=150.0449302466269, operationsPerMinute=37.511232561656726
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 22:55:15 BST 2016, end=Wed Jun 29 22:57:15 BST 2016, operations=149.98871714293173, operationsPerMinute=74.99435857146587, mode=normal, start=Wed Jun 29 22:57:20 BST 2016, end=Wed Jun 29 23:01:20 BST 2016, operations=299.62204075214066, operationsPerMinute=74.90551018803517
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 23:01:26 BST 2016, end=Wed Jun 29 23:03:26 BST 2016, operations=241.5488635039954, operationsPerMinute=120.7744317519977, mode=normal, start=Wed Jun 29 23:03:29 BST 2016, end=Wed Jun 29 23:07:29 BST 2016, operations=483.8159266759766, operationsPerMinute=120.95398166899415
benchmark-name=derby, mod=warmup, start=Wed Jun 29 23:08:20 BST 2016, end=Wed Jun 29 23:10:20 BST 2016, operations=169.1356422677652, operationsPerMinute=84.5678211338826, mode=normal, start=Wed Jun 29 23:10:25 BST 2016, end=Wed Jun 29 23:14:25 BST 2016, operations=340.6282182379814, operationsPerMinute=85.15705455949535
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 23:14:30 BST 2016, end=Wed Jun 29 23:16:30 BST 2016, operations=114.36268539862868, operationsPerMinute=57.18134269931434, mode=normal, start=Wed Jun 29 23:16:36 BST 2016, end=Wed Jun 29 23:20:36 BST 2016, operations=229.28242180519777, operationsPerMinute=57.32060545129944
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 23:20:43 BST 2016, end=Wed Jun 29 23:22:43 BST 2016, operations=34.48484042767702, operationsPerMinute=17.24242021383851, mode=normal, start=Wed Jun 29 23:23:00 BST 2016, end=Wed Jun 29 23:27:00 BST 2016, operations=72.38262485786976, operationsPerMinute=18.09565621446744
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 23:27:18 BST 2016, end=Wed Jun 29 23:29:18 BST 2016, operations=8.818432224311836, operationsPerMinute=4.409216112155918, mode=normal, start=Wed Jun 29 23:30:43 BST 2016, end=Wed Jun 29 23:34:43 BST 2016, operations=17.639283261270144, operationsPerMinute=4.409820815317536
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 23:35:55 BST 2016, end=Wed Jun 29 23:37:55 BST 2016, operations=49.358598795425344, operationsPerMinute=24.679299397712672, mode=normal, start=Wed Jun 29 23:38:11 BST 2016, end=Wed Jun 29 23:42:11 BST 2016, operations=98.63552660778547, operationsPerMinute=24.658881651946366
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 23:42:23 BST 2016, end=Wed Jun 29 23:44:23 BST 2016, operations=28.28749925803313, operationsPerMinute=14.143749629016565, mode=normal, start=Wed Jun 29 23:44:51 BST 2016, end=Wed Jun 29 23:48:51 BST 2016, operations=56.59914854541995, operationsPerMinute=14.149787136354988
