spec.jvm2008.report.run.location=BEDSONTC074
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 08:26:33 BST 2016, end=Sat Jun 04 08:26:33 BST 2016, operations=1.0, operationsPerMinute=1395.3488372093022
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:26:33 BST 2016, end=Sat Jun 04 08:26:33 BST 2016, operations=1.0, operationsPerMinute=606.060606060606
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:26:33 BST 2016, end=Sat Jun 04 08:26:46 BST 2016, operations=1.0, operationsPerMinute=4.644681839294009
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:26:46 BST 2016, end=Sat Jun 04 08:26:49 BST 2016, operations=1.0, operationsPerMinute=17.899761336515514
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:26:49 BST 2016, end=Sat Jun 04 08:26:51 BST 2016, operations=1.0, operationsPerMinute=46.11837048424289
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:26:51 BST 2016, end=Sat Jun 04 08:26:59 BST 2016, operations=1.0, operationsPerMinute=7.1098471382865265
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:26:59 BST 2016, end=Sat Jun 04 08:27:07 BST 2016, operations=1.0, operationsPerMinute=8.223684210526315
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:27:07 BST 2016, end=Sat Jun 04 08:27:13 BST 2016, operations=1.0, operationsPerMinute=8.849557522123893
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:27:13 BST 2016, end=Sat Jun 04 08:27:16 BST 2016, operations=1.0, operationsPerMinute=25.619128949615714
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:27:16 BST 2016, end=Sat Jun 04 08:27:16 BST 2016, operations=1.0, operationsPerMinute=80.21390374331551
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:27:16 BST 2016, end=Sat Jun 04 08:27:17 BST 2016, operations=1.0, operationsPerMinute=63.62672322375398
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:27:17 BST 2016, end=Sat Jun 04 08:27:23 BST 2016, operations=1.0, operationsPerMinute=10.504201680672269
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:27:23 BST 2016, end=Sat Jun 04 08:27:25 BST 2016, operations=1.0, operationsPerMinute=40.84411164057182
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:27:25 BST 2016, end=Sat Jun 04 08:27:26 BST 2016, operations=1.0, operationsPerMinute=58.8235294117647
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:27:26 BST 2016, end=Sat Jun 04 08:27:28 BST 2016, operations=1.0, operationsPerMinute=27.38475581926061
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:27:28 BST 2016, end=Sat Jun 04 08:27:34 BST 2016, operations=1.0, operationsPerMinute=9.534403305259813
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:27:34 BST 2016, end=Sat Jun 04 08:27:55 BST 2016, operations=1.0, operationsPerMinute=2.9036004645760745
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:27:55 BST 2016, end=Sat Jun 04 08:27:56 BST 2016, operations=1.0, operationsPerMinute=71.68458781362007
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:28:06 BST 2016, end=Sat Jun 04 08:30:06 BST 2016, operations=469.5589425312003, operationsPerMinute=234.77947126560014, mode=normal, start=Sat Jun 04 08:30:07 BST 2016, end=Sat Jun 04 08:34:07 BST 2016, operations=955.0626233702636, operationsPerMinute=238.7656558425659
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:34:11 BST 2016, end=Sat Jun 04 08:36:11 BST 2016, operations=189.7309452324315, operationsPerMinute=94.86547261621575, mode=normal, start=Sat Jun 04 08:36:15 BST 2016, end=Sat Jun 04 08:40:15 BST 2016, operations=379.04320694417095, operationsPerMinute=94.76080173604274
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:40:19 BST 2016, end=Sat Jun 04 08:42:19 BST 2016, operations=356.04455613773973, operationsPerMinute=178.02227806886987, mode=normal, start=Sat Jun 04 08:42:21 BST 2016, end=Sat Jun 04 08:46:21 BST 2016, operations=710.6731648173702, operationsPerMinute=177.66829120434255
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:46:23 BST 2016, end=Sat Jun 04 08:48:23 BST 2016, operations=138.75383889257395, operationsPerMinute=69.37691944628698, mode=normal, start=Sat Jun 04 08:48:27 BST 2016, end=Sat Jun 04 08:52:27 BST 2016, operations=291.66564818342965, operationsPerMinute=72.91641204585741
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:52:33 BST 2016, end=Sat Jun 04 08:54:33 BST 2016, operations=232.0809157896237, operationsPerMinute=116.04045789481185, mode=normal, start=Sat Jun 04 08:54:35 BST 2016, end=Sat Jun 04 08:58:35 BST 2016, operations=464.63207842786886, operationsPerMinute=116.15801960696722
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 08:58:38 BST 2016, end=Sat Jun 04 09:00:38 BST 2016, operations=399.3731903680108, operationsPerMinute=199.6865951840054, mode=normal, start=Sat Jun 04 09:00:40 BST 2016, end=Sat Jun 04 09:04:40 BST 2016, operations=799.0189721121196, operationsPerMinute=199.7547430280299
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:05:04 BST 2016, end=Sat Jun 04 09:07:04 BST 2016, operations=350.6274883916764, operationsPerMinute=175.3137441958382, mode=normal, start=Sat Jun 04 09:07:06 BST 2016, end=Sat Jun 04 09:11:06 BST 2016, operations=706.430895751993, operationsPerMinute=176.60772393799826
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:11:08 BST 2016, end=Sat Jun 04 09:13:08 BST 2016, operations=204.8036497810024, operationsPerMinute=102.4018248905012, mode=normal, start=Sat Jun 04 09:13:12 BST 2016, end=Sat Jun 04 09:17:12 BST 2016, operations=410.8333863851939, operationsPerMinute=102.70834659629847
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:17:16 BST 2016, end=Sat Jun 04 09:19:16 BST 2016, operations=76.5252654345649, operationsPerMinute=38.26263271728245, mode=normal, start=Sat Jun 04 09:19:24 BST 2016, end=Sat Jun 04 09:23:24 BST 2016, operations=142.60044050782255, operationsPerMinute=35.65011012695564
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:23:33 BST 2016, end=Sat Jun 04 09:25:33 BST 2016, operations=13.593149541088387, operationsPerMinute=6.7965747705441935, mode=normal, start=Sat Jun 04 09:26:20 BST 2016, end=Sat Jun 04 09:30:20 BST 2016, operations=27.223965972731865, operationsPerMinute=6.805991493182966
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:30:53 BST 2016, end=Sat Jun 04 09:32:53 BST 2016, operations=72.97545706574243, operationsPerMinute=36.487728532871216, mode=normal, start=Sat Jun 04 09:33:05 BST 2016, end=Sat Jun 04 09:37:05 BST 2016, operations=146.46189736297623, operationsPerMinute=36.61547434074406
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:37:16 BST 2016, end=Sat Jun 04 09:39:16 BST 2016, operations=42.75933180198864, operationsPerMinute=21.37966590099432, mode=normal, start=Sat Jun 04 09:39:28 BST 2016, end=Sat Jun 04 09:43:28 BST 2016, operations=85.48421154731729, operationsPerMinute=21.37105288682932
