spec.jvm2008.report.run.location=BEDSONTC101
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:18:53 BST 2016, end=Thu May 26 14:18:53 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:18:53 BST 2016, end=Thu May 26 14:18:53 BST 2016, operations=1.0, operationsPerMinute=273.972602739726
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:18:53 BST 2016, end=Thu May 26 14:19:06 BST 2016, operations=1.0, operationsPerMinute=4.64504141828598
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:06 BST 2016, end=Thu May 26 14:19:09 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:09 BST 2016, end=Thu May 26 14:19:11 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:11 BST 2016, end=Thu May 26 14:19:19 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:19 BST 2016, end=Thu May 26 14:19:27 BST 2016, operations=1.0, operationsPerMinute=7.979784545817263
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:27 BST 2016, end=Thu May 26 14:19:33 BST 2016, operations=1.0, operationsPerMinute=9.135200974421437
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:19:33 BST 2016, end=Thu May 26 14:19:35 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:19:35 BST 2016, end=Thu May 26 14:19:36 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:19:36 BST 2016, end=Thu May 26 14:19:37 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:19:37 BST 2016, end=Thu May 26 14:19:43 BST 2016, operations=1.0, operationsPerMinute=10.989010989010989
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:19:43 BST 2016, end=Thu May 26 14:19:44 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:19:44 BST 2016, end=Thu May 26 14:19:45 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:19:45 BST 2016, end=Thu May 26 14:19:47 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:19:47 BST 2016, end=Thu May 26 14:19:53 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:19:53 BST 2016, end=Thu May 26 14:20:14 BST 2016, operations=1.0, operationsPerMinute=2.9745674483168907
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:14 BST 2016, end=Thu May 26 14:20:14 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:24 BST 2016, end=Thu May 26 14:22:24 BST 2016, operations=496.61543481724425, operationsPerMinute=248.30771740862212, mode=normal, start=Thu May 26 14:22:26 BST 2016, end=Thu May 26 14:26:26 BST 2016, operations=1030.8361920160858, operationsPerMinute=257.70904800402144
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:30 BST 2016, end=Thu May 26 14:28:30 BST 2016, operations=201.15251363635235, operationsPerMinute=100.57625681817618, mode=normal, start=Thu May 26 14:28:33 BST 2016, end=Thu May 26 14:32:33 BST 2016, operations=394.2949034250203, operationsPerMinute=98.57372585625508
benchmark-name=compress, mod=warmup, start=Thu May 26 14:32:37 BST 2016, end=Thu May 26 14:34:37 BST 2016, operations=402.4661332699884, operationsPerMinute=201.2330666349942, mode=normal, start=Thu May 26 14:34:38 BST 2016, end=Thu May 26 14:38:38 BST 2016, operations=805.4499196967616, operationsPerMinute=201.3624799241904
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:38:40 BST 2016, end=Thu May 26 14:40:40 BST 2016, operations=140.483392628691, operationsPerMinute=70.2416963143455, mode=normal, start=Thu May 26 14:40:46 BST 2016, end=Thu May 26 14:44:46 BST 2016, operations=295.28178526346414, operationsPerMinute=73.82044631586604
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:44:50 BST 2016, end=Thu May 26 14:46:50 BST 2016, operations=235.66962524654832, operationsPerMinute=117.83481262327416, mode=normal, start=Thu May 26 14:46:52 BST 2016, end=Thu May 26 14:50:52 BST 2016, operations=471.04159878247987, operationsPerMinute=117.76039969561997
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:50:55 BST 2016, end=Thu May 26 14:52:55 BST 2016, operations=409.20252374569407, operationsPerMinute=204.60126187284703, mode=normal, start=Thu May 26 14:52:57 BST 2016, end=Thu May 26 14:56:57 BST 2016, operations=815.1813336843413, operationsPerMinute=203.79533342108533
benchmark-name=derby, mod=warmup, start=Thu May 26 14:57:20 BST 2016, end=Thu May 26 14:59:20 BST 2016, operations=365.6321854972363, operationsPerMinute=182.81609274861816, mode=normal, start=Thu May 26 14:59:22 BST 2016, end=Thu May 26 15:03:22 BST 2016, operations=734.6613014633156, operationsPerMinute=183.6653253658289
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:24 BST 2016, end=Thu May 26 15:05:24 BST 2016, operations=207.8023225102616, operationsPerMinute=103.9011612551308, mode=normal, start=Thu May 26 15:05:28 BST 2016, end=Thu May 26 15:09:28 BST 2016, operations=417.7262833226044, operationsPerMinute=104.4315708306511
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:09:32 BST 2016, end=Thu May 26 15:11:32 BST 2016, operations=70.20654123423805, operationsPerMinute=35.10327061711902, mode=normal, start=Thu May 26 15:11:40 BST 2016, end=Thu May 26 15:15:40 BST 2016, operations=153.34024058279795, operationsPerMinute=38.33506014569949
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:15:48 BST 2016, end=Thu May 26 15:17:48 BST 2016, operations=13.911097691835629, operationsPerMinute=6.955548845917814, mode=normal, start=Thu May 26 15:18:31 BST 2016, end=Thu May 26 15:22:31 BST 2016, operations=27.78850448330875, operationsPerMinute=6.947126120827187
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:22:58 BST 2016, end=Thu May 26 15:24:58 BST 2016, operations=75.05693340118576, operationsPerMinute=37.52846670059288, mode=normal, start=Thu May 26 15:25:06 BST 2016, end=Thu May 26 15:29:06 BST 2016, operations=150.35946387385633, operationsPerMinute=37.58986596846408
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:29:15 BST 2016, end=Thu May 26 15:31:15 BST 2016, operations=42.70685055408444, operationsPerMinute=21.35342527704222, mode=normal, start=Thu May 26 15:31:27 BST 2016, end=Thu May 26 15:35:27 BST 2016, operations=85.78126025282157, operationsPerMinute=21.445315063205392
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:35:41 BST 2016, end=Thu May 26 15:37:41 BST 2016, operations=743.6067352207978, operationsPerMinute=371.8033676103989, mode=normal, start=Thu May 26 15:37:42 BST 2016, end=Thu May 26 15:41:42 BST 2016, operations=1483.481384393765, operationsPerMinute=370.87034609844125
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:41:43 BST 2016, end=Thu May 26 15:43:43 BST 2016, operations=575.2598908299873, operationsPerMinute=287.62994541499364, mode=normal, start=Thu May 26 15:43:44 BST 2016, end=Thu May 26 15:47:44 BST 2016, operations=1155.7759016955008, operationsPerMinute=288.9439754238752
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:47:46 BST 2016, end=Thu May 26 15:49:46 BST 2016, operations=332.76152640416177, operationsPerMinute=166.38076320208089, mode=normal, start=Thu May 26 15:49:48 BST 2016, end=Thu May 26 15:53:48 BST 2016, operations=664.7923344947735, operationsPerMinute=166.19808362369338
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:53:51 BST 2016, end=Thu May 26 15:55:51 BST 2016, operations=515.3926191721227, operationsPerMinute=257.6963095860614, mode=normal, start=Thu May 26 15:55:52 BST 2016, end=Thu May 26 15:59:52 BST 2016, operations=1031.3122230943213, operationsPerMinute=257.82805577358033
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu May 26 15:59:54 BST 2016, end=Thu May 26 16:01:54 BST 2016, operations=120.8623256495036, operationsPerMinute=60.4311628247518, mode=normal, start=Thu May 26 16:02:01 BST 2016, end=Thu May 26 16:06:01 BST 2016, operations=241.79577932830696, operationsPerMinute=60.44894483207674
benchmark-name=serial, mod=warmup, start=Thu May 26 16:06:07 BST 2016, end=Thu May 26 16:08:07 BST 2016, operations=244.18257398678296, operationsPerMinute=122.09128699339148, mode=normal, start=Thu May 26 16:08:10 BST 2016, end=Thu May 26 16:12:10 BST 2016, operations=481.98202137220574, operationsPerMinute=120.49550534305143
benchmark-name=sunflow, mod=warmup, start=Thu May 26 16:12:14 BST 2016, end=Thu May 26 16:14:14 BST 2016, operations=180.71369090458606, operationsPerMinute=90.35684545229303, mode=normal, start=Thu May 26 16:14:16 BST 2016, end=Thu May 26 16:18:16 BST 2016, operations=362.20017617666593, operationsPerMinute=90.55004404416648
benchmark-name=xml.transform, mod=warmup, start=Thu May 26 16:18:35 BST 2016, end=Thu May 26 16:20:35 BST 2016, operations=511.00713802990924, operationsPerMinute=255.50356901495462, mode=normal, start=Thu May 26 16:20:37 BST 2016, end=Thu May 26 16:24:37 BST 2016, operations=1046.7795526121618, operationsPerMinute=261.69488815304044
benchmark-name=xml.validation, mod=warmup, start=Thu May 26 16:24:39 BST 2016, end=Thu May 26 16:26:39 BST 2016, operations=1016.0459360769826, operationsPerMinute=508.0229680384913, mode=normal, start=Thu May 26 16:26:39 BST 2016, end=Thu May 26 16:30:39 BST 2016, operations=2004.7568560027169, operationsPerMinute=501.1892140006792
