spec.jvm2008.report.run.location=CASTLEAZES005
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 08:50:09 BST 2016, end=Thu Jun 23 08:50:09 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 08:50:09 BST 2016, end=Thu Jun 23 08:50:09 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 08:50:09 BST 2016, end=Thu Jun 23 08:50:21 BST 2016, operations=1.0, operationsPerMinute=4.684937924572499
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 08:50:21 BST 2016, end=Thu Jun 23 08:50:25 BST 2016, operations=1.0, operationsPerMinute=17.40139211136891
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 08:50:25 BST 2016, end=Thu Jun 23 08:50:26 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 08:50:26 BST 2016, end=Thu Jun 23 08:50:35 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 08:50:35 BST 2016, end=Thu Jun 23 08:50:42 BST 2016, operations=1.0, operationsPerMinute=7.947019867549669
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 08:50:42 BST 2016, end=Thu Jun 23 08:50:49 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 08:50:49 BST 2016, end=Thu Jun 23 08:50:51 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 08:50:51 BST 2016, end=Thu Jun 23 08:50:52 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 08:50:52 BST 2016, end=Thu Jun 23 08:50:53 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 08:50:53 BST 2016, end=Thu Jun 23 08:50:58 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 08:50:58 BST 2016, end=Thu Jun 23 08:50:59 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 08:50:59 BST 2016, end=Thu Jun 23 08:51:01 BST 2016, operations=1.0, operationsPerMinute=58.25242718446602
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 08:51:01 BST 2016, end=Thu Jun 23 08:51:03 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 08:51:03 BST 2016, end=Thu Jun 23 08:51:09 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 08:51:09 BST 2016, end=Thu Jun 23 08:51:29 BST 2016, operations=1.0, operationsPerMinute=2.9653059207274883
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 08:51:29 BST 2016, end=Thu Jun 23 08:51:30 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 08:51:40 BST 2016, end=Thu Jun 23 08:53:40 BST 2016, operations=487.0024806208176, operationsPerMinute=243.5012403104088, mode=normal, start=Thu Jun 23 08:53:42 BST 2016, end=Thu Jun 23 08:57:42 BST 2016, operations=1012.5849487150604, operationsPerMinute=253.1462371787651
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 08:57:45 BST 2016, end=Thu Jun 23 08:59:45 BST 2016, operations=197.6083840558317, operationsPerMinute=98.80419202791585, mode=normal, start=Thu Jun 23 08:59:49 BST 2016, end=Thu Jun 23 09:03:49 BST 2016, operations=393.0711905945783, operationsPerMinute=98.26779764864457
benchmark-name=compress, mod=warmup, start=Thu Jun 23 09:03:52 BST 2016, end=Thu Jun 23 09:05:52 BST 2016, operations=401.13426358473, operationsPerMinute=200.567131792365, mode=normal, start=Thu Jun 23 09:05:54 BST 2016, end=Thu Jun 23 09:09:54 BST 2016, operations=802.1010240663704, operationsPerMinute=200.5252560165926
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 09:09:56 BST 2016, end=Thu Jun 23 09:11:56 BST 2016, operations=139.61616723716233, operationsPerMinute=69.80808361858116, mode=normal, start=Thu Jun 23 09:12:00 BST 2016, end=Thu Jun 23 09:16:00 BST 2016, operations=292.17110286912236, operationsPerMinute=73.04277571728059
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 09:16:05 BST 2016, end=Thu Jun 23 09:18:05 BST 2016, operations=235.62040147516228, operationsPerMinute=117.81020073758114, mode=normal, start=Thu Jun 23 09:18:09 BST 2016, end=Thu Jun 23 09:22:09 BST 2016, operations=470.38520993086746, operationsPerMinute=117.59630248271687
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 09:22:13 BST 2016, end=Thu Jun 23 09:24:13 BST 2016, operations=407.1915545387721, operationsPerMinute=203.59577726938605, mode=normal, start=Thu Jun 23 09:24:15 BST 2016, end=Thu Jun 23 09:28:15 BST 2016, operations=816.3711164437334, operationsPerMinute=204.09277911093335
benchmark-name=derby, mod=warmup, start=Thu Jun 23 09:28:37 BST 2016, end=Thu Jun 23 09:30:37 BST 2016, operations=363.72779038580563, operationsPerMinute=181.86389519290282, mode=normal, start=Thu Jun 23 09:30:40 BST 2016, end=Thu Jun 23 09:34:40 BST 2016, operations=730.7274196852812, operationsPerMinute=182.6818549213203
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 09:34:42 BST 2016, end=Thu Jun 23 09:36:42 BST 2016, operations=208.39378729764687, operationsPerMinute=104.19689364882343, mode=normal, start=Thu Jun 23 09:36:46 BST 2016, end=Thu Jun 23 09:40:46 BST 2016, operations=416.9458727387243, operationsPerMinute=104.23646818468107
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 09:40:49 BST 2016, end=Thu Jun 23 09:42:49 BST 2016, operations=78.38634257323598, operationsPerMinute=39.19317128661799, mode=normal, start=Thu Jun 23 09:42:57 BST 2016, end=Thu Jun 23 09:46:57 BST 2016, operations=153.36056268623892, operationsPerMinute=38.34014067155973
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 09:47:04 BST 2016, end=Thu Jun 23 09:49:04 BST 2016, operations=13.913142424545844, operationsPerMinute=6.956571212272922, mode=normal, start=Thu Jun 23 09:49:48 BST 2016, end=Thu Jun 23 09:53:48 BST 2016, operations=27.822974189840416, operationsPerMinute=6.955743547460104
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 09:54:32 BST 2016, end=Thu Jun 23 09:56:32 BST 2016, operations=74.69722117486562, operationsPerMinute=37.34861058743281, mode=normal, start=Thu Jun 23 09:56:41 BST 2016, end=Thu Jun 23 10:00:41 BST 2016, operations=149.19642398430696, operationsPerMinute=37.29910599607674
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 10:00:52 BST 2016, end=Thu Jun 23 10:02:52 BST 2016, operations=43.151916871547236, operationsPerMinute=21.575958435773618, mode=normal, start=Thu Jun 23 10:03:02 BST 2016, end=Thu Jun 23 10:07:02 BST 2016, operations=85.63034788575945, operationsPerMinute=21.407586971439862
