spec.jvm2008.report.run.location=BEDSONTC098
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 08:27:16 BST 2016, end=Sat Jun 04 08:27:16 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:27:16 BST 2016, end=Sat Jun 04 08:27:16 BST 2016, operations=1.0, operationsPerMinute=483.8709677419355
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:27:16 BST 2016, end=Sat Jun 04 08:27:29 BST 2016, operations=1.0, operationsPerMinute=4.546487838145033
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:27:29 BST 2016, end=Sat Jun 04 08:27:33 BST 2016, operations=1.0, operationsPerMinute=17.641870038224052
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:27:33 BST 2016, end=Sat Jun 04 08:27:34 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:27:34 BST 2016, end=Sat Jun 04 08:27:43 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:27:43 BST 2016, end=Sat Jun 04 08:27:50 BST 2016, operations=1.0, operationsPerMinute=7.913479293062516
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:27:50 BST 2016, end=Sat Jun 04 08:27:57 BST 2016, operations=1.0, operationsPerMinute=9.071666162685213
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:27:57 BST 2016, end=Sat Jun 04 08:27:59 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:27:59 BST 2016, end=Sat Jun 04 08:28:00 BST 2016, operations=1.0, operationsPerMinute=80.21390374331551
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:28:00 BST 2016, end=Sat Jun 04 08:28:01 BST 2016, operations=1.0, operationsPerMinute=63.02521008403362
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:28:01 BST 2016, end=Sat Jun 04 08:28:06 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:28:06 BST 2016, end=Sat Jun 04 08:28:08 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:28:08 BST 2016, end=Sat Jun 04 08:28:09 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:28:09 BST 2016, end=Sat Jun 04 08:28:11 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:28:11 BST 2016, end=Sat Jun 04 08:28:17 BST 2016, operations=1.0, operationsPerMinute=9.312432096849294
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:28:17 BST 2016, end=Sat Jun 04 08:28:37 BST 2016, operations=1.0, operationsPerMinute=2.9585798816568047
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:28:37 BST 2016, end=Sat Jun 04 08:28:38 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:28:48 BST 2016, end=Sat Jun 04 08:30:48 BST 2016, operations=506.49892398687933, operationsPerMinute=253.24946199343967, mode=normal, start=Sat Jun 04 08:30:50 BST 2016, end=Sat Jun 04 08:34:50 BST 2016, operations=1029.294619111056, operationsPerMinute=257.323654777764
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:34:54 BST 2016, end=Sat Jun 04 08:36:54 BST 2016, operations=198.00472258272583, operationsPerMinute=99.00236129136292, mode=normal, start=Sat Jun 04 08:36:57 BST 2016, end=Sat Jun 04 08:40:57 BST 2016, operations=389.3810099510704, operationsPerMinute=97.3452524877676
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:41:01 BST 2016, end=Sat Jun 04 08:43:01 BST 2016, operations=402.61706422669636, operationsPerMinute=201.30853211334818, mode=normal, start=Sat Jun 04 08:43:02 BST 2016, end=Sat Jun 04 08:47:02 BST 2016, operations=801.5703629535162, operationsPerMinute=200.39259073837906
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:47:05 BST 2016, end=Sat Jun 04 08:49:05 BST 2016, operations=140.14392131216223, operationsPerMinute=70.07196065608112, mode=normal, start=Sat Jun 04 08:49:08 BST 2016, end=Sat Jun 04 08:53:08 BST 2016, operations=293.6432191246456, operationsPerMinute=73.4108047811614
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:53:13 BST 2016, end=Sat Jun 04 08:55:13 BST 2016, operations=234.85607272202327, operationsPerMinute=117.42803636101164, mode=normal, start=Sat Jun 04 08:55:17 BST 2016, end=Sat Jun 04 08:59:17 BST 2016, operations=471.67886030320255, operationsPerMinute=117.91971507580064
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 08:59:19 BST 2016, end=Sat Jun 04 09:01:19 BST 2016, operations=410.3709254927626, operationsPerMinute=205.1854627463813, mode=normal, start=Sat Jun 04 09:01:21 BST 2016, end=Sat Jun 04 09:05:21 BST 2016, operations=810.9943353411708, operationsPerMinute=202.7485838352927
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:05:43 BST 2016, end=Sat Jun 04 09:07:43 BST 2016, operations=363.53713767469594, operationsPerMinute=181.76856883734797, mode=normal, start=Sat Jun 04 09:07:45 BST 2016, end=Sat Jun 04 09:11:45 BST 2016, operations=735.1294884169885, operationsPerMinute=183.78237210424712
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:11:47 BST 2016, end=Sat Jun 04 09:13:47 BST 2016, operations=209.1456204214917, operationsPerMinute=104.57281021074586, mode=normal, start=Sat Jun 04 09:13:51 BST 2016, end=Sat Jun 04 09:17:51 BST 2016, operations=416.3157482505015, operationsPerMinute=104.07893706262537
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:17:55 BST 2016, end=Sat Jun 04 09:19:55 BST 2016, operations=77.91895619840162, operationsPerMinute=38.95947809920081, mode=normal, start=Sat Jun 04 09:20:04 BST 2016, end=Sat Jun 04 09:24:04 BST 2016, operations=150.05642140577567, operationsPerMinute=37.51410535144392
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:24:12 BST 2016, end=Sat Jun 04 09:26:12 BST 2016, operations=13.87731426960235, operationsPerMinute=6.938657134801175, mode=normal, start=Sat Jun 04 09:26:56 BST 2016, end=Sat Jun 04 09:30:56 BST 2016, operations=27.651573495736308, operationsPerMinute=6.912893373934077
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:31:25 BST 2016, end=Sat Jun 04 09:33:25 BST 2016, operations=74.90329310469629, operationsPerMinute=37.451646552348144, mode=normal, start=Sat Jun 04 09:33:33 BST 2016, end=Sat Jun 04 09:37:33 BST 2016, operations=150.52417643148243, operationsPerMinute=37.63104410787061
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:37:41 BST 2016, end=Sat Jun 04 09:39:41 BST 2016, operations=43.409213028557765, operationsPerMinute=21.704606514278883, mode=normal, start=Sat Jun 04 09:39:54 BST 2016, end=Sat Jun 04 09:43:54 BST 2016, operations=86.80136147539396, operationsPerMinute=21.70034036884849
