spec.jvm2008.report.run.location=HOPE12
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 10:11:11 BST 2016, end=Fri Jun 24 10:11:11 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 10:11:11 BST 2016, end=Fri Jun 24 10:11:11 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 10:11:11 BST 2016, end=Fri Jun 24 10:11:33 BST 2016, operations=1.0, operationsPerMinute=2.7711065952336966
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 10:11:33 BST 2016, end=Fri Jun 24 10:11:37 BST 2016, operations=1.0, operationsPerMinute=13.03497718878992
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 10:11:37 BST 2016, end=Fri Jun 24 10:11:39 BST 2016, operations=1.0, operationsPerMinute=36.99136868064118
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 10:11:39 BST 2016, end=Fri Jun 24 10:11:49 BST 2016, operations=1.0, operationsPerMinute=5.944714158327554
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 10:11:49 BST 2016, end=Fri Jun 24 10:11:57 BST 2016, operations=1.0, operationsPerMinute=7.04390702042733
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 10:11:57 BST 2016, end=Fri Jun 24 10:12:05 BST 2016, operations=1.0, operationsPerMinute=8.379888268156424
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 10:12:05 BST 2016, end=Fri Jun 24 10:12:08 BST 2016, operations=1.0, operationsPerMinute=19.42376173518938
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 10:12:08 BST 2016, end=Fri Jun 24 10:12:09 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 10:12:09 BST 2016, end=Fri Jun 24 10:12:10 BST 2016, operations=1.0, operationsPerMinute=49.3421052631579
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 10:12:10 BST 2016, end=Fri Jun 24 10:12:17 BST 2016, operations=1.0, operationsPerMinute=8.92325996430696
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 10:12:17 BST 2016, end=Fri Jun 24 10:12:18 BST 2016, operations=1.0, operationsPerMinute=35.294117647058826
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 10:12:18 BST 2016, end=Fri Jun 24 10:12:20 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 10:12:20 BST 2016, end=Fri Jun 24 10:12:23 BST 2016, operations=1.0, operationsPerMinute=19.62066710268149
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 10:12:23 BST 2016, end=Fri Jun 24 10:12:30 BST 2016, operations=1.0, operationsPerMinute=8.397480755773268
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 10:12:30 BST 2016, end=Fri Jun 24 10:12:58 BST 2016, operations=1.0, operationsPerMinute=2.097168822090178
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 10:12:58 BST 2016, end=Fri Jun 24 10:13:00 BST 2016, operations=1.0, operationsPerMinute=45.248868778280546
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 10:13:15 BST 2016, end=Fri Jun 24 10:15:15 BST 2016, operations=350.1241640383398, operationsPerMinute=175.0620820191699, mode=normal, start=Fri Jun 24 10:15:17 BST 2016, end=Fri Jun 24 10:19:17 BST 2016, operations=722.2723597345513, operationsPerMinute=180.56808993363782
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 10:19:23 BST 2016, end=Fri Jun 24 10:21:23 BST 2016, operations=141.85829449907067, operationsPerMinute=70.92914724953533, mode=normal, start=Fri Jun 24 10:21:28 BST 2016, end=Fri Jun 24 10:25:28 BST 2016, operations=281.611311799166, operationsPerMinute=70.4028279497915
benchmark-name=compress, mod=warmup, start=Fri Jun 24 10:25:32 BST 2016, end=Fri Jun 24 10:27:32 BST 2016, operations=270.87895861174525, operationsPerMinute=135.43947930587262, mode=normal, start=Fri Jun 24 10:27:35 BST 2016, end=Fri Jun 24 10:31:35 BST 2016, operations=542.4752855028793, operationsPerMinute=135.61882137571982
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 10:31:38 BST 2016, end=Fri Jun 24 10:33:38 BST 2016, operations=85.24169579179792, operationsPerMinute=42.62084789589896, mode=normal, start=Fri Jun 24 10:33:47 BST 2016, end=Fri Jun 24 10:37:47 BST 2016, operations=179.538102165515, operationsPerMinute=44.88452554137875
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 10:37:55 BST 2016, end=Fri Jun 24 10:39:55 BST 2016, operations=145.67820476733672, operationsPerMinute=72.83910238366836, mode=normal, start=Fri Jun 24 10:40:00 BST 2016, end=Fri Jun 24 10:44:00 BST 2016, operations=288.64942434840657, operationsPerMinute=72.16235608710164
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 10:44:05 BST 2016, end=Fri Jun 24 10:46:05 BST 2016, operations=250.7155563043774, operationsPerMinute=125.3577781521887, mode=normal, start=Fri Jun 24 10:46:08 BST 2016, end=Fri Jun 24 10:50:08 BST 2016, operations=501.6164424124514, operationsPerMinute=125.40411060311285
benchmark-name=derby, mod=warmup, start=Fri Jun 24 10:51:34 BST 2016, end=Fri Jun 24 10:53:34 BST 2016, operations=201.9687067447084, operationsPerMinute=100.9843533723542, mode=normal, start=Fri Jun 24 10:53:37 BST 2016, end=Fri Jun 24 10:57:37 BST 2016, operations=407.982406181351, operationsPerMinute=101.99560154533775
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 10:57:42 BST 2016, end=Fri Jun 24 10:59:42 BST 2016, operations=133.9356184787216, operationsPerMinute=66.9678092393608, mode=normal, start=Fri Jun 24 10:59:47 BST 2016, end=Fri Jun 24 11:03:47 BST 2016, operations=267.7922086010375, operationsPerMinute=66.94805215025937
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 11:03:52 BST 2016, end=Fri Jun 24 11:05:52 BST 2016, operations=55.648800357082806, operationsPerMinute=27.824400178541403, mode=normal, start=Fri Jun 24 11:05:59 BST 2016, end=Fri Jun 24 11:09:59 BST 2016, operations=123.80098613267243, operationsPerMinute=30.95024653316811
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 11:10:13 BST 2016, end=Fri Jun 24 11:12:13 BST 2016, operations=11.515290994700734, operationsPerMinute=5.757645497350367, mode=normal, start=Fri Jun 24 11:12:49 BST 2016, end=Fri Jun 24 11:16:49 BST 2016, operations=23.03952337281631, operationsPerMinute=5.759880843204077
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 11:17:30 BST 2016, end=Fri Jun 24 11:19:30 BST 2016, operations=55.089178001061086, operationsPerMinute=27.544589000530543, mode=normal, start=Fri Jun 24 11:19:40 BST 2016, end=Fri Jun 24 11:23:40 BST 2016, operations=109.63753844395795, operationsPerMinute=27.409384610989488
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 11:23:54 BST 2016, end=Fri Jun 24 11:25:54 BST 2016, operations=37.25700482163383, operationsPerMinute=18.628502410816914, mode=normal, start=Fri Jun 24 11:26:13 BST 2016, end=Fri Jun 24 11:30:13 BST 2016, operations=74.56561805250776, operationsPerMinute=18.64140451312694
