spec.jvm2008.report.run.location=KRC030
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 01:08:47 BST 2016, end=Sun Jun 19 01:08:47 BST 2016, operations=1.0, operationsPerMinute=348.83720930232556
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 01:08:47 BST 2016, end=Sun Jun 19 01:08:48 BST 2016, operations=1.0, operationsPerMinute=113.20754716981132
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 01:08:48 BST 2016, end=Sun Jun 19 01:09:12 BST 2016, operations=1.0, operationsPerMinute=2.4363503471799244
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 01:09:12 BST 2016, end=Sun Jun 19 01:09:17 BST 2016, operations=1.0, operationsPerMinute=13.786764705882353
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 01:09:17 BST 2016, end=Sun Jun 19 01:09:18 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 01:09:18 BST 2016, end=Sun Jun 19 01:09:27 BST 2016, operations=1.0, operationsPerMinute=6.400682739492212
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 01:09:27 BST 2016, end=Sun Jun 19 01:09:35 BST 2016, operations=1.0, operationsPerMinute=7.54242614707731
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 01:09:35 BST 2016, end=Sun Jun 19 01:09:42 BST 2016, operations=1.0, operationsPerMinute=8.84433962264151
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 01:09:42 BST 2016, end=Sun Jun 19 01:09:45 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 01:09:45 BST 2016, end=Sun Jun 19 01:09:46 BST 2016, operations=1.0, operationsPerMinute=71.25890736342043
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 01:09:46 BST 2016, end=Sun Jun 19 01:09:47 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 01:09:47 BST 2016, end=Sun Jun 19 01:09:53 BST 2016, operations=1.0, operationsPerMinute=10.454783063251437
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 01:09:53 BST 2016, end=Sun Jun 19 01:09:54 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 01:09:54 BST 2016, end=Sun Jun 19 01:09:55 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 01:09:55 BST 2016, end=Sun Jun 19 01:09:58 BST 2016, operations=1.0, operationsPerMinute=24.03846153846154
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 01:09:58 BST 2016, end=Sun Jun 19 01:10:05 BST 2016, operations=1.0, operationsPerMinute=7.740936653335053
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 01:10:05 BST 2016, end=Sun Jun 19 01:10:29 BST 2016, operations=1.0, operationsPerMinute=2.5028156676260793
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 01:10:29 BST 2016, end=Sun Jun 19 01:10:31 BST 2016, operations=1.0, operationsPerMinute=52.72407732864675
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 01:10:43 BST 2016, end=Sun Jun 19 01:12:43 BST 2016, operations=438.31828733018324, operationsPerMinute=219.15914366509162, mode=normal, start=Sun Jun 19 01:12:45 BST 2016, end=Sun Jun 19 01:16:45 BST 2016, operations=912.0823796435997, operationsPerMinute=228.02059491089992
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 01:16:50 BST 2016, end=Sun Jun 19 01:18:50 BST 2016, operations=174.25340763758533, operationsPerMinute=87.12670381879266, mode=normal, start=Sun Jun 19 01:18:53 BST 2016, end=Sun Jun 19 01:22:53 BST 2016, operations=345.0634139746904, operationsPerMinute=86.2658534936726
benchmark-name=compress, mod=warmup, start=Sun Jun 19 01:22:57 BST 2016, end=Sun Jun 19 01:24:57 BST 2016, operations=366.13151572774206, operationsPerMinute=183.06575786387103, mode=normal, start=Sun Jun 19 01:24:59 BST 2016, end=Sun Jun 19 01:28:59 BST 2016, operations=728.0875376731607, operationsPerMinute=182.02188441829017
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:29:02 BST 2016, end=Sun Jun 19 01:31:02 BST 2016, operations=124.68253397090692, operationsPerMinute=62.34126698545346, mode=normal, start=Sun Jun 19 01:31:08 BST 2016, end=Sun Jun 19 01:35:08 BST 2016, operations=261.4739614775027, operationsPerMinute=65.36849036937568
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:35:14 BST 2016, end=Sun Jun 19 01:37:14 BST 2016, operations=212.3386081787212, operationsPerMinute=106.1693040893606, mode=normal, start=Sun Jun 19 01:37:17 BST 2016, end=Sun Jun 19 01:41:17 BST 2016, operations=423.90318446276785, operationsPerMinute=105.97579611569196
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:41:20 BST 2016, end=Sun Jun 19 01:43:20 BST 2016, operations=364.1631887001877, operationsPerMinute=182.08159435009384, mode=normal, start=Sun Jun 19 01:43:22 BST 2016, end=Sun Jun 19 01:47:22 BST 2016, operations=716.6432526179319, operationsPerMinute=179.16081315448298
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:48:42 BST 2016, end=Sun Jun 19 01:50:42 BST 2016, operations=330.8547745827123, operationsPerMinute=165.42738729135615, mode=normal, start=Sun Jun 19 01:50:43 BST 2016, end=Sun Jun 19 01:54:43 BST 2016, operations=595.8999274144282, operationsPerMinute=148.97498185360706
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:54:46 BST 2016, end=Sun Jun 19 01:56:46 BST 2016, operations=189.66166955575264, operationsPerMinute=94.83083477787632, mode=normal, start=Sun Jun 19 01:56:50 BST 2016, end=Sun Jun 19 02:00:50 BST 2016, operations=380.54367577781954, operationsPerMinute=95.13591894445489
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 02:00:54 BST 2016, end=Sun Jun 19 02:02:54 BST 2016, operations=76.44348876097816, operationsPerMinute=38.22174438048908, mode=normal, start=Sun Jun 19 02:03:04 BST 2016, end=Sun Jun 19 02:07:04 BST 2016, operations=148.52581088790043, operationsPerMinute=37.13145272197511
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 02:07:13 BST 2016, end=Sun Jun 19 02:09:13 BST 2016, operations=13.77650660996056, operationsPerMinute=6.88825330498028, mode=normal, start=Sun Jun 19 02:09:58 BST 2016, end=Sun Jun 19 02:13:58 BST 2016, operations=27.890263258455143, operationsPerMinute=6.972565814613786
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 02:14:42 BST 2016, end=Sun Jun 19 02:16:42 BST 2016, operations=69.46486818651492, operationsPerMinute=34.73243409325746, mode=normal, start=Sun Jun 19 02:16:53 BST 2016, end=Sun Jun 19 02:20:53 BST 2016, operations=138.88902925628767, operationsPerMinute=34.72225731407192
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 02:21:02 BST 2016, end=Sun Jun 19 02:23:02 BST 2016, operations=43.18299282329922, operationsPerMinute=21.59149641164961, mode=normal, start=Sun Jun 19 02:23:15 BST 2016, end=Sun Jun 19 02:27:15 BST 2016, operations=86.59446448482308, operationsPerMinute=21.64861612120577
