spec.jvm2008.report.run.location=LEAZESTCE001
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 19:26:56 BST 2016, end=Sun Jun 26 19:26:56 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 19:26:56 BST 2016, end=Sun Jun 26 19:26:56 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 19:26:56 BST 2016, end=Sun Jun 26 19:27:09 BST 2016, operations=1.0, operationsPerMinute=4.673261157411013
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 19:27:09 BST 2016, end=Sun Jun 26 19:27:13 BST 2016, operations=1.0, operationsPerMinute=18.143332325370427
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 19:27:13 BST 2016, end=Sun Jun 26 19:27:14 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 19:27:14 BST 2016, end=Sun Jun 26 19:27:22 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 19:27:22 BST 2016, end=Sun Jun 26 19:27:30 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 19:27:30 BST 2016, end=Sun Jun 26 19:27:36 BST 2016, operations=1.0, operationsPerMinute=9.136592051164916
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 19:27:36 BST 2016, end=Sun Jun 26 19:27:39 BST 2016, operations=1.0, operationsPerMinute=27.08803611738149
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 19:27:39 BST 2016, end=Sun Jun 26 19:27:39 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 19:27:39 BST 2016, end=Sun Jun 26 19:27:40 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 19:27:40 BST 2016, end=Sun Jun 26 19:27:46 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 19:27:46 BST 2016, end=Sun Jun 26 19:27:47 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 19:27:47 BST 2016, end=Sun Jun 26 19:27:48 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 19:27:48 BST 2016, end=Sun Jun 26 19:27:50 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 19:27:50 BST 2016, end=Sun Jun 26 19:27:57 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 19:27:57 BST 2016, end=Sun Jun 26 19:28:17 BST 2016, operations=1.0, operationsPerMinute=2.967652586803838
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 19:28:17 BST 2016, end=Sun Jun 26 19:28:18 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 19:28:28 BST 2016, end=Sun Jun 26 19:30:28 BST 2016, operations=482.47598844880025, operationsPerMinute=241.23799422440013, mode=normal, start=Sun Jun 26 19:30:29 BST 2016, end=Sun Jun 26 19:34:29 BST 2016, operations=1012.5638192735785, operationsPerMinute=253.14095481839462
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 19:34:33 BST 2016, end=Sun Jun 26 19:36:33 BST 2016, operations=196.51396187226226, operationsPerMinute=98.25698093613113, mode=normal, start=Sun Jun 26 19:36:36 BST 2016, end=Sun Jun 26 19:40:36 BST 2016, operations=389.7425930959645, operationsPerMinute=97.43564827399112
benchmark-name=compress, mod=warmup, start=Sun Jun 26 19:40:40 BST 2016, end=Sun Jun 26 19:42:40 BST 2016, operations=399.7795433361083, operationsPerMinute=199.88977166805415, mode=normal, start=Sun Jun 26 19:42:42 BST 2016, end=Sun Jun 26 19:46:42 BST 2016, operations=800.4800383220452, operationsPerMinute=200.1200095805113
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 19:46:44 BST 2016, end=Sun Jun 26 19:48:44 BST 2016, operations=140.2601851033578, operationsPerMinute=70.1300925516789, mode=normal, start=Sun Jun 26 19:48:49 BST 2016, end=Sun Jun 26 19:52:49 BST 2016, operations=289.65786043542914, operationsPerMinute=72.41446510885729
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 19:52:54 BST 2016, end=Sun Jun 26 19:54:54 BST 2016, operations=234.131569840416, operationsPerMinute=117.065784920208, mode=normal, start=Sun Jun 26 19:54:57 BST 2016, end=Sun Jun 26 19:58:57 BST 2016, operations=464.8948385370261, operationsPerMinute=116.22370963425652
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 19:59:00 BST 2016, end=Sun Jun 26 20:01:00 BST 2016, operations=402.08940502010194, operationsPerMinute=201.04470251005097, mode=normal, start=Sun Jun 26 20:01:02 BST 2016, end=Sun Jun 26 20:05:02 BST 2016, operations=813.8986278664188, operationsPerMinute=203.4746569666047
benchmark-name=derby, mod=warmup, start=Sun Jun 26 20:05:25 BST 2016, end=Sun Jun 26 20:07:25 BST 2016, operations=343.6191560676301, operationsPerMinute=171.80957803381506, mode=normal, start=Sun Jun 26 20:07:27 BST 2016, end=Sun Jun 26 20:11:27 BST 2016, operations=717.4104247104248, operationsPerMinute=179.3526061776062
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 20:11:28 BST 2016, end=Sun Jun 26 20:13:28 BST 2016, operations=208.24011482363952, operationsPerMinute=104.12005741181976, mode=normal, start=Sun Jun 26 20:13:32 BST 2016, end=Sun Jun 26 20:17:32 BST 2016, operations=417.27632437389116, operationsPerMinute=104.31908109347279
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 20:17:36 BST 2016, end=Sun Jun 26 20:19:36 BST 2016, operations=78.0483412581269, operationsPerMinute=39.02417062906345, mode=normal, start=Sun Jun 26 20:19:44 BST 2016, end=Sun Jun 26 20:23:44 BST 2016, operations=146.4607363690479, operationsPerMinute=36.61518409226198
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 20:23:51 BST 2016, end=Sun Jun 26 20:25:51 BST 2016, operations=13.988905393418655, operationsPerMinute=6.9944526967093275, mode=normal, start=Sun Jun 26 20:26:34 BST 2016, end=Sun Jun 26 20:30:34 BST 2016, operations=27.721798592583948, operationsPerMinute=6.930449648145987
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 20:31:10 BST 2016, end=Sun Jun 26 20:33:10 BST 2016, operations=74.60099147176871, operationsPerMinute=37.300495735884354, mode=normal, start=Sun Jun 26 20:33:19 BST 2016, end=Sun Jun 26 20:37:19 BST 2016, operations=149.51359425183873, operationsPerMinute=37.37839856295968
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 20:37:30 BST 2016, end=Sun Jun 26 20:39:30 BST 2016, operations=43.2799166971961, operationsPerMinute=21.63995834859805, mode=normal, start=Sun Jun 26 20:39:40 BST 2016, end=Sun Jun 26 20:43:40 BST 2016, operations=86.6172318673909, operationsPerMinute=21.654307966847725
