spec.jvm2008.report.run.location=LAW087
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Mon Jun 27 03:29:34 BST 2016, end=Mon Jun 27 03:29:34 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 03:29:34 BST 2016, end=Mon Jun 27 03:29:35 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 03:29:35 BST 2016, end=Mon Jun 27 03:30:08 BST 2016, operations=1.0, operationsPerMinute=1.829268292682927
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 03:30:08 BST 2016, end=Mon Jun 27 03:30:15 BST 2016, operations=1.0, operationsPerMinute=8.075370121130552
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 03:30:15 BST 2016, end=Mon Jun 27 03:30:19 BST 2016, operations=1.0, operationsPerMinute=16.93002257336343
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 03:30:19 BST 2016, end=Mon Jun 27 03:30:30 BST 2016, operations=1.0, operationsPerMinute=5.250262513125656
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 03:30:30 BST 2016, end=Mon Jun 27 03:30:40 BST 2016, operations=1.0, operationsPerMinute=6.395224898742272
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 03:30:40 BST 2016, end=Mon Jun 27 03:30:47 BST 2016, operations=1.0, operationsPerMinute=7.876082961407193
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 03:30:47 BST 2016, end=Mon Jun 27 03:30:51 BST 2016, operations=1.0, operationsPerMinute=15.686274509803921
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 03:30:51 BST 2016, end=Mon Jun 27 03:30:52 BST 2016, operations=1.0, operationsPerMinute=59.11330049261084
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 03:30:52 BST 2016, end=Mon Jun 27 03:30:53 BST 2016, operations=1.0, operationsPerMinute=42.704626334519574
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 03:30:53 BST 2016, end=Mon Jun 27 03:31:01 BST 2016, operations=1.0, operationsPerMinute=7.717041800643087
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 03:31:01 BST 2016, end=Mon Jun 27 03:31:03 BST 2016, operations=1.0, operationsPerMinute=29.339853300733495
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 03:31:03 BST 2016, end=Mon Jun 27 03:31:05 BST 2016, operations=1.0, operationsPerMinute=36.607687614399026
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 03:31:05 BST 2016, end=Mon Jun 27 03:31:09 BST 2016, operations=1.0, operationsPerMinute=16.08147949611364
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 03:31:09 BST 2016, end=Mon Jun 27 03:31:18 BST 2016, operations=1.0, operationsPerMinute=6.352567496029645
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 03:31:18 BST 2016, end=Mon Jun 27 03:31:53 BST 2016, operations=1.0, operationsPerMinute=1.7372169784006022
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 03:31:53 BST 2016, end=Mon Jun 27 03:31:55 BST 2016, operations=1.0, operationsPerMinute=28.06361085126286
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 03:32:20 BST 2016, end=Mon Jun 27 03:34:20 BST 2016, operations=336.88769872859217, operationsPerMinute=168.44384936429609, mode=normal, start=Mon Jun 27 03:34:22 BST 2016, end=Mon Jun 27 03:38:22 BST 2016, operations=698.9023929470214, operationsPerMinute=174.72559823675536
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 03:38:29 BST 2016, end=Mon Jun 27 03:40:29 BST 2016, operations=139.46191898499222, operationsPerMinute=69.73095949249611, mode=normal, start=Mon Jun 27 03:40:33 BST 2016, end=Mon Jun 27 03:44:33 BST 2016, operations=277.4708036232233, operationsPerMinute=69.36770090580582
benchmark-name=compress, mod=warmup, start=Mon Jun 27 03:44:39 BST 2016, end=Mon Jun 27 03:46:39 BST 2016, operations=269.3800067275431, operationsPerMinute=134.69000336377155, mode=normal, start=Mon Jun 27 03:46:42 BST 2016, end=Mon Jun 27 03:50:42 BST 2016, operations=535.8676256584187, operationsPerMinute=133.96690641460467
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 03:50:45 BST 2016, end=Mon Jun 27 03:52:45 BST 2016, operations=84.59783331560702, operationsPerMinute=42.29891665780351, mode=normal, start=Mon Jun 27 03:52:54 BST 2016, end=Mon Jun 27 03:56:54 BST 2016, operations=179.86202970178795, operationsPerMinute=44.96550742544699
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 03:57:02 BST 2016, end=Mon Jun 27 03:59:02 BST 2016, operations=147.09388301915476, operationsPerMinute=73.54694150957738, mode=normal, start=Mon Jun 27 03:59:06 BST 2016, end=Mon Jun 27 04:03:06 BST 2016, operations=289.5403228063807, operationsPerMinute=72.38508070159517
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 04:03:11 BST 2016, end=Mon Jun 27 04:05:11 BST 2016, operations=247.2771890753259, operationsPerMinute=123.63859453766295, mode=normal, start=Mon Jun 27 04:05:14 BST 2016, end=Mon Jun 27 04:09:14 BST 2016, operations=489.6119577090926, operationsPerMinute=122.40298942727316
benchmark-name=derby, mod=warmup, start=Mon Jun 27 04:10:49 BST 2016, end=Mon Jun 27 04:12:49 BST 2016, operations=197.4146234186941, operationsPerMinute=98.70731170934705, mode=normal, start=Mon Jun 27 04:12:53 BST 2016, end=Mon Jun 27 04:16:53 BST 2016, operations=399.5476105548773, operationsPerMinute=99.88690263871932
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 04:16:57 BST 2016, end=Mon Jun 27 04:18:57 BST 2016, operations=129.87680387284513, operationsPerMinute=64.93840193642257, mode=normal, start=Mon Jun 27 04:19:02 BST 2016, end=Mon Jun 27 04:23:02 BST 2016, operations=259.1437412551576, operationsPerMinute=64.7859353137894
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 04:23:08 BST 2016, end=Mon Jun 27 04:25:08 BST 2016, operations=54.94715726411799, operationsPerMinute=27.473578632058995, mode=normal, start=Mon Jun 27 04:25:20 BST 2016, end=Mon Jun 27 04:29:20 BST 2016, operations=115.15515792371085, operationsPerMinute=28.78878948092771
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 04:29:30 BST 2016, end=Mon Jun 27 04:31:30 BST 2016, operations=11.49066662510908, operationsPerMinute=5.74533331255454, mode=normal, start=Mon Jun 27 04:32:08 BST 2016, end=Mon Jun 27 04:36:08 BST 2016, operations=22.76747689592735, operationsPerMinute=5.691869223981837
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 04:37:03 BST 2016, end=Mon Jun 27 04:39:03 BST 2016, operations=51.55115812978357, operationsPerMinute=25.775579064891787, mode=normal, start=Mon Jun 27 04:39:18 BST 2016, end=Mon Jun 27 04:43:18 BST 2016, operations=109.59297933008502, operationsPerMinute=27.398244832521254
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 04:43:33 BST 2016, end=Mon Jun 27 04:45:33 BST 2016, operations=37.20450643819612, operationsPerMinute=18.60225321909806, mode=normal, start=Mon Jun 27 04:45:48 BST 2016, end=Mon Jun 27 04:49:48 BST 2016, operations=74.37559754063561, operationsPerMinute=18.593899385158903
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 04:50:03 BST 2016, end=Mon Jun 27 04:52:03 BST 2016, operations=527.7390768150717, operationsPerMinute=263.86953840753586, mode=normal, start=Mon Jun 27 04:52:04 BST 2016, end=Mon Jun 27 04:56:04 BST 2016, operations=1054.2456660330768, operationsPerMinute=263.5614165082692
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jun 27 04:56:06 BST 2016, end=Mon Jun 27 04:58:06 BST 2016, operations=371.64610449979534, operationsPerMinute=185.82305224989767, mode=normal, start=Mon Jun 27 04:58:07 BST 2016, end=Mon Jun 27 05:02:07 BST 2016, operations=744.862709544988, operationsPerMinute=186.215677386247
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jun 27 05:02:10 BST 2016, end=Mon Jun 27 05:04:10 BST 2016, operations=243.78762205371623, operationsPerMinute=121.89381102685812, mode=normal, start=Mon Jun 27 05:04:13 BST 2016, end=Mon Jun 27 05:08:13 BST 2016, operations=484.55351797041095, operationsPerMinute=121.13837949260274
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jun 27 05:08:16 BST 2016, end=Mon Jun 27 05:10:16 BST 2016, operations=310.7150576650986, operationsPerMinute=155.3575288325493, mode=normal, start=Mon Jun 27 05:10:18 BST 2016, end=Mon Jun 27 05:14:18 BST 2016, operations=621.0312843923597, operationsPerMinute=155.25782109808992
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jun 27 05:14:21 BST 2016, end=Mon Jun 27 05:16:21 BST 2016, operations=78.6769486623854, operationsPerMinute=39.3384743311927, mode=normal, start=Mon Jun 27 05:16:29 BST 2016, end=Mon Jun 27 05:20:29 BST 2016, operations=157.38311583278977, operationsPerMinute=39.34577895819744
benchmark-name=serial, mod=warmup, start=Mon Jun 27 05:20:38 BST 2016, end=Mon Jun 27 05:22:38 BST 2016, operations=146.37859154926207, operationsPerMinute=73.18929577463103, mode=normal, start=Mon Jun 27 05:22:43 BST 2016, end=Mon Jun 27 05:26:43 BST 2016, operations=289.5995137116191, operationsPerMinute=72.39987842790478
benchmark-name=sunflow, mod=warmup, start=Mon Jun 27 05:26:48 BST 2016, end=Mon Jun 27 05:28:48 BST 2016, operations=107.10823727511482, operationsPerMinute=53.55411863755741, mode=normal, start=Mon Jun 27 05:28:50 BST 2016, end=Mon Jun 27 05:32:50 BST 2016, operations=211.6253667357938, operationsPerMinute=52.90634168394845
benchmark-name=xml.transform, mod=warmup, start=Mon Jun 27 05:33:24 BST 2016, end=Mon Jun 27 05:35:24 BST 2016, operations=315.34669279162546, operationsPerMinute=157.67334639581273, mode=normal, start=Mon Jun 27 05:35:26 BST 2016, end=Mon Jun 27 05:39:26 BST 2016, operations=585.5639344095861, operationsPerMinute=146.39098360239652
benchmark-name=xml.validation, mod=warmup, start=Mon Jun 27 05:39:30 BST 2016, end=Mon Jun 27 05:41:30 BST 2016, operations=402.0447822198788, operationsPerMinute=201.0223911099394, mode=normal, start=Mon Jun 27 05:41:32 BST 2016, end=Mon Jun 27 05:45:32 BST 2016, operations=803.940636255256, operationsPerMinute=200.985159063814
