spec.jvm2008.report.run.location=BEDSONTC130
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:05:04 BST 2016, end=Sat Jun 04 16:05:04 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:05:04 BST 2016, end=Sat Jun 04 16:05:04 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:05:04 BST 2016, end=Sat Jun 04 16:05:18 BST 2016, operations=1.0, operationsPerMinute=4.126831281381113
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:05:18 BST 2016, end=Sat Jun 04 16:05:22 BST 2016, operations=1.0, operationsPerMinute=17.80415430267062
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:05:22 BST 2016, end=Sat Jun 04 16:05:23 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:05:23 BST 2016, end=Sat Jun 04 16:05:31 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:05:31 BST 2016, end=Sat Jun 04 16:05:39 BST 2016, operations=1.0, operationsPerMinute=8.113590263691684
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:05:39 BST 2016, end=Sat Jun 04 16:05:45 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:05:45 BST 2016, end=Sat Jun 04 16:05:48 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:05:48 BST 2016, end=Sat Jun 04 16:05:48 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:05:48 BST 2016, end=Sat Jun 04 16:05:49 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:05:49 BST 2016, end=Sat Jun 04 16:05:55 BST 2016, operations=1.0, operationsPerMinute=10.863661053775122
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:05:55 BST 2016, end=Sat Jun 04 16:05:56 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:05:56 BST 2016, end=Sat Jun 04 16:05:57 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:05:57 BST 2016, end=Sat Jun 04 16:05:59 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:05:59 BST 2016, end=Sat Jun 04 16:06:06 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:06:06 BST 2016, end=Sat Jun 04 16:06:26 BST 2016, operations=1.0, operationsPerMinute=2.97000297000297
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:06:26 BST 2016, end=Sat Jun 04 16:06:27 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:06:37 BST 2016, end=Sat Jun 04 16:08:37 BST 2016, operations=501.5147981034358, operationsPerMinute=250.7573990517179, mode=normal, start=Sat Jun 04 16:08:38 BST 2016, end=Sat Jun 04 16:12:38 BST 2016, operations=1018.5932416717651, operationsPerMinute=254.64831041794127
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:12:43 BST 2016, end=Sat Jun 04 16:14:43 BST 2016, operations=193.89604082626747, operationsPerMinute=96.94802041313373, mode=normal, start=Sat Jun 04 16:14:46 BST 2016, end=Sat Jun 04 16:18:46 BST 2016, operations=389.15925682174156, operationsPerMinute=97.28981420543539
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:18:50 BST 2016, end=Sat Jun 04 16:20:50 BST 2016, operations=400.29020935995845, operationsPerMinute=200.14510467997923, mode=normal, start=Sat Jun 04 16:20:52 BST 2016, end=Sat Jun 04 16:24:52 BST 2016, operations=799.8785898919818, operationsPerMinute=199.96964747299546
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:24:53 BST 2016, end=Sat Jun 04 16:26:53 BST 2016, operations=139.5583724180472, operationsPerMinute=69.7791862090236, mode=normal, start=Sat Jun 04 16:26:57 BST 2016, end=Sat Jun 04 16:30:57 BST 2016, operations=293.7052478649523, operationsPerMinute=73.42631196623807
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:31:02 BST 2016, end=Sat Jun 04 16:33:02 BST 2016, operations=236.78849491568474, operationsPerMinute=118.39424745784237, mode=normal, start=Sat Jun 04 16:33:05 BST 2016, end=Sat Jun 04 16:37:05 BST 2016, operations=474.013815838558, operationsPerMinute=118.5034539596395
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:37:09 BST 2016, end=Sat Jun 04 16:39:09 BST 2016, operations=407.0395791023235, operationsPerMinute=203.51978955116175, mode=normal, start=Sat Jun 04 16:39:10 BST 2016, end=Sat Jun 04 16:43:10 BST 2016, operations=808.189078493238, operationsPerMinute=202.0472696233095
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:43:49 BST 2016, end=Sat Jun 04 16:45:49 BST 2016, operations=355.0814733416951, operationsPerMinute=177.54073667084754, mode=normal, start=Sat Jun 04 16:45:52 BST 2016, end=Sat Jun 04 16:49:52 BST 2016, operations=712.8972507093603, operationsPerMinute=178.22431267734007
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:49:54 BST 2016, end=Sat Jun 04 16:51:54 BST 2016, operations=207.45239726106675, operationsPerMinute=103.72619863053337, mode=normal, start=Sat Jun 04 16:51:56 BST 2016, end=Sat Jun 04 16:55:56 BST 2016, operations=415.020360401492, operationsPerMinute=103.755090100373
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:56:00 BST 2016, end=Sat Jun 04 16:58:00 BST 2016, operations=73.83284183552206, operationsPerMinute=36.91642091776103, mode=normal, start=Sat Jun 04 16:58:09 BST 2016, end=Sat Jun 04 17:02:09 BST 2016, operations=156.81826397163184, operationsPerMinute=39.20456599290796
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:02:17 BST 2016, end=Sat Jun 04 17:04:17 BST 2016, operations=13.965459142946846, operationsPerMinute=6.982729571473423, mode=normal, start=Sat Jun 04 17:05:00 BST 2016, end=Sat Jun 04 17:09:00 BST 2016, operations=27.713588231524092, operationsPerMinute=6.928397057881023
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:09:37 BST 2016, end=Sat Jun 04 17:11:37 BST 2016, operations=74.49025031339112, operationsPerMinute=37.24512515669556, mode=normal, start=Sat Jun 04 17:11:45 BST 2016, end=Sat Jun 04 17:15:45 BST 2016, operations=149.19911596045955, operationsPerMinute=37.29977899011489
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:15:56 BST 2016, end=Sat Jun 04 17:17:56 BST 2016, operations=43.234271621958676, operationsPerMinute=21.617135810979338, mode=normal, start=Sat Jun 04 17:18:06 BST 2016, end=Sat Jun 04 17:22:06 BST 2016, operations=86.26235002972297, operationsPerMinute=21.56558750743074
