spec.jvm2008.report.run.location=BEDSONTC033
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 02:16:55 BST 2016, end=Sun Jun 19 02:16:55 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 02:16:55 BST 2016, end=Sun Jun 19 02:16:55 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 02:16:55 BST 2016, end=Sun Jun 19 02:17:08 BST 2016, operations=1.0, operationsPerMinute=4.493708807669263
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 02:17:08 BST 2016, end=Sun Jun 19 02:17:16 BST 2016, operations=1.0, operationsPerMinute=7.483162883512097
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 02:17:16 BST 2016, end=Sun Jun 19 02:17:17 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 02:17:17 BST 2016, end=Sun Jun 19 02:17:26 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 02:17:26 BST 2016, end=Sun Jun 19 02:17:33 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 02:17:33 BST 2016, end=Sun Jun 19 02:17:40 BST 2016, operations=1.0, operationsPerMinute=9.158907037093574
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 02:17:40 BST 2016, end=Sun Jun 19 02:17:42 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 02:17:42 BST 2016, end=Sun Jun 19 02:17:43 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 02:17:43 BST 2016, end=Sun Jun 19 02:17:44 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 02:17:44 BST 2016, end=Sun Jun 19 02:17:49 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 02:17:49 BST 2016, end=Sun Jun 19 02:17:51 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 02:17:51 BST 2016, end=Sun Jun 19 02:17:52 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 02:17:52 BST 2016, end=Sun Jun 19 02:17:54 BST 2016, operations=1.0, operationsPerMinute=28.28854314002829
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 02:17:54 BST 2016, end=Sun Jun 19 02:18:01 BST 2016, operations=1.0, operationsPerMinute=9.029345372460497
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 02:18:01 BST 2016, end=Sun Jun 19 02:18:21 BST 2016, operations=1.0, operationsPerMinute=2.970149992574625
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 02:18:21 BST 2016, end=Sun Jun 19 02:18:22 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 02:18:32 BST 2016, end=Sun Jun 19 02:20:32 BST 2016, operations=497.18193338879377, operationsPerMinute=248.59096669439688, mode=normal, start=Sun Jun 19 02:20:33 BST 2016, end=Sun Jun 19 02:24:33 BST 2016, operations=1008.5878936972102, operationsPerMinute=252.14697342430256
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 02:24:36 BST 2016, end=Sun Jun 19 02:26:36 BST 2016, operations=198.48391738831955, operationsPerMinute=99.24195869415978, mode=normal, start=Sun Jun 19 02:26:39 BST 2016, end=Sun Jun 19 02:30:39 BST 2016, operations=397.3827611778574, operationsPerMinute=99.34569029446435
benchmark-name=compress, mod=warmup, start=Sun Jun 19 02:30:42 BST 2016, end=Sun Jun 19 02:32:42 BST 2016, operations=399.06633101648225, operationsPerMinute=199.53316550824113, mode=normal, start=Sun Jun 19 02:32:44 BST 2016, end=Sun Jun 19 02:36:44 BST 2016, operations=798.4920726925466, operationsPerMinute=199.62301817313664
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 02:36:47 BST 2016, end=Sun Jun 19 02:38:47 BST 2016, operations=139.94211424444478, operationsPerMinute=69.97105712222239, mode=normal, start=Sun Jun 19 02:38:50 BST 2016, end=Sun Jun 19 02:42:50 BST 2016, operations=293.57488190995855, operationsPerMinute=73.39372047748964
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 02:42:56 BST 2016, end=Sun Jun 19 02:44:56 BST 2016, operations=234.2099429749019, operationsPerMinute=117.10497148745095, mode=normal, start=Sun Jun 19 02:44:59 BST 2016, end=Sun Jun 19 02:48:59 BST 2016, operations=466.798410392891, operationsPerMinute=116.69960259822275
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 02:49:03 BST 2016, end=Sun Jun 19 02:51:03 BST 2016, operations=406.62247589397674, operationsPerMinute=203.31123794698837, mode=normal, start=Sun Jun 19 02:51:04 BST 2016, end=Sun Jun 19 02:55:04 BST 2016, operations=809.1262312420778, operationsPerMinute=202.28155781051944
benchmark-name=derby, mod=warmup, start=Sun Jun 19 02:55:27 BST 2016, end=Sun Jun 19 02:57:27 BST 2016, operations=360.0987714483893, operationsPerMinute=180.04938572419465, mode=normal, start=Sun Jun 19 02:57:29 BST 2016, end=Sun Jun 19 03:01:29 BST 2016, operations=727.1712907415425, operationsPerMinute=181.79282268538563
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 03:01:31 BST 2016, end=Sun Jun 19 03:03:31 BST 2016, operations=207.54932485580824, operationsPerMinute=103.77466242790412, mode=normal, start=Sun Jun 19 03:03:34 BST 2016, end=Sun Jun 19 03:07:34 BST 2016, operations=392.6506755176116, operationsPerMinute=98.1626688794029
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 03:07:37 BST 2016, end=Sun Jun 19 03:09:37 BST 2016, operations=70.80329745508713, operationsPerMinute=35.40164872754357, mode=normal, start=Sun Jun 19 03:09:45 BST 2016, end=Sun Jun 19 03:13:45 BST 2016, operations=147.23042612094295, operationsPerMinute=36.80760653023574
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 03:13:55 BST 2016, end=Sun Jun 19 03:15:55 BST 2016, operations=13.829534456692727, operationsPerMinute=6.9147672283463635, mode=normal, start=Sun Jun 19 03:16:39 BST 2016, end=Sun Jun 19 03:20:39 BST 2016, operations=27.734259116505356, operationsPerMinute=6.933564779126339
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 03:21:07 BST 2016, end=Sun Jun 19 03:23:07 BST 2016, operations=74.49680202472109, operationsPerMinute=37.248401012360546, mode=normal, start=Sun Jun 19 03:23:16 BST 2016, end=Sun Jun 19 03:27:16 BST 2016, operations=149.25400797162388, operationsPerMinute=37.31350199290597
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 03:27:27 BST 2016, end=Sun Jun 19 03:29:27 BST 2016, operations=43.02219575848627, operationsPerMinute=21.511097879243135, mode=normal, start=Sun Jun 19 03:29:38 BST 2016, end=Sun Jun 19 03:33:38 BST 2016, operations=85.85534516496598, operationsPerMinute=21.463836291241496
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 19 03:33:52 BST 2016, end=Sun Jun 19 03:35:52 BST 2016, operations=742.0230831327142, operationsPerMinute=371.0115415663571, mode=normal, start=Sun Jun 19 03:35:53 BST 2016, end=Sun Jun 19 03:39:53 BST 2016, operations=1475.1351676889149, operationsPerMinute=368.7837919222287
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 19 03:39:54 BST 2016, end=Sun Jun 19 03:41:54 BST 2016, operations=576.2288142037314, operationsPerMinute=288.1144071018657, mode=normal, start=Sun Jun 19 03:41:56 BST 2016, end=Sun Jun 19 03:45:56 BST 2016, operations=1150.273275415324, operationsPerMinute=287.568318853831
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 19 03:45:57 BST 2016, end=Sun Jun 19 03:47:57 BST 2016, operations=330.2870143623165, operationsPerMinute=165.14350718115824, mode=normal, start=Sun Jun 19 03:48:00 BST 2016, end=Sun Jun 19 03:52:00 BST 2016, operations=660.7570020555768, operationsPerMinute=165.1892505138942
benchmark-name=scimark.sparse.small, mod=warmup, start=Sun Jun 19 03:52:03 BST 2016, end=Sun Jun 19 03:54:03 BST 2016, operations=512.3087100263032, operationsPerMinute=256.1543550131516, mode=normal, start=Sun Jun 19 03:54:04 BST 2016, end=Sun Jun 19 03:58:04 BST 2016, operations=1023.0583113047855, operationsPerMinute=255.7645778261964
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sun Jun 19 03:58:06 BST 2016, end=Sun Jun 19 04:00:06 BST 2016, operations=119.55885727436647, operationsPerMinute=59.77942863718324, mode=normal, start=Sun Jun 19 04:00:14 BST 2016, end=Sun Jun 19 04:04:14 BST 2016, operations=239.11034523105215, operationsPerMinute=59.77758630776304
benchmark-name=serial, mod=warmup, start=Sun Jun 19 04:04:21 BST 2016, end=Sun Jun 19 04:06:21 BST 2016, operations=241.44398421314884, operationsPerMinute=120.72199210657442, mode=normal, start=Sun Jun 19 04:06:24 BST 2016, end=Sun Jun 19 04:10:24 BST 2016, operations=471.80080786964743, operationsPerMinute=117.95020196741186
benchmark-name=sunflow, mod=warmup, start=Sun Jun 19 04:10:27 BST 2016, end=Sun Jun 19 04:12:27 BST 2016, operations=179.44218034897025, operationsPerMinute=89.72109017448513, mode=normal, start=Sun Jun 19 04:12:29 BST 2016, end=Sun Jun 19 04:16:29 BST 2016, operations=358.94951016883545, operationsPerMinute=89.73737754220886
benchmark-name=xml.transform, mod=warmup, start=Sun Jun 19 04:16:49 BST 2016, end=Sun Jun 19 04:18:49 BST 2016, operations=526.8932278492812, operationsPerMinute=263.4466139246406, mode=normal, start=Sun Jun 19 04:18:51 BST 2016, end=Sun Jun 19 04:22:51 BST 2016, operations=1025.188059503185, operationsPerMinute=256.29701487579626
benchmark-name=xml.validation, mod=warmup, start=Sun Jun 19 04:22:52 BST 2016, end=Sun Jun 19 04:24:52 BST 2016, operations=1014.255930520003, operationsPerMinute=507.1279652600015, mode=normal, start=Sun Jun 19 04:24:53 BST 2016, end=Sun Jun 19 04:28:53 BST 2016, operations=1973.7401812171352, operationsPerMinute=493.4350453042838
