spec.jvm2008.report.run.location=BEDSONTC059
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:05:05 BST 2016, end=Sat Jun 04 16:05:05 BST 2016, operations=1.0, operationsPerMinute=1395.3488372093022
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:05:05 BST 2016, end=Sat Jun 04 16:05:06 BST 2016, operations=1.0, operationsPerMinute=600.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:05:06 BST 2016, end=Sat Jun 04 16:05:19 BST 2016, operations=1.0, operationsPerMinute=4.519093168637493
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:05:19 BST 2016, end=Sat Jun 04 16:05:22 BST 2016, operations=1.0, operationsPerMinute=17.825311942959
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:05:22 BST 2016, end=Sat Jun 04 16:05:24 BST 2016, operations=1.0, operationsPerMinute=46.51162790697674
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:05:24 BST 2016, end=Sat Jun 04 16:05:32 BST 2016, operations=1.0, operationsPerMinute=7.167602436984828
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:05:32 BST 2016, end=Sat Jun 04 16:05:39 BST 2016, operations=1.0, operationsPerMinute=8.258774948382657
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:05:39 BST 2016, end=Sat Jun 04 16:05:46 BST 2016, operations=1.0, operationsPerMinute=9.417673834562862
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:05:46 BST 2016, end=Sat Jun 04 16:05:48 BST 2016, operations=1.0, operationsPerMinute=25.79535683576956
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:05:48 BST 2016, end=Sat Jun 04 16:05:49 BST 2016, operations=1.0, operationsPerMinute=80.21390374331551
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:05:49 BST 2016, end=Sat Jun 04 16:05:50 BST 2016, operations=1.0, operationsPerMinute=64.23982869379014
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:05:50 BST 2016, end=Sat Jun 04 16:05:55 BST 2016, operations=1.0, operationsPerMinute=10.348395998620214
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:05:55 BST 2016, end=Sat Jun 04 16:05:57 BST 2016, operations=1.0, operationsPerMinute=40.65040650406504
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:05:57 BST 2016, end=Sat Jun 04 16:05:58 BST 2016, operations=1.0, operationsPerMinute=58.93909626719057
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:05:58 BST 2016, end=Sat Jun 04 16:06:00 BST 2016, operations=1.0, operationsPerMinute=27.100271002710027
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:06:00 BST 2016, end=Sat Jun 04 16:06:06 BST 2016, operations=1.0, operationsPerMinute=9.660280148124295
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:06:06 BST 2016, end=Sat Jun 04 16:06:27 BST 2016, operations=1.0, operationsPerMinute=2.9358516416303764
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:06:27 BST 2016, end=Sat Jun 04 16:06:28 BST 2016, operations=1.0, operationsPerMinute=72.46376811594203
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:06:38 BST 2016, end=Sat Jun 04 16:08:38 BST 2016, operations=478.4002476552779, operationsPerMinute=239.20012382763895, mode=normal, start=Sat Jun 04 16:08:39 BST 2016, end=Sat Jun 04 16:12:39 BST 2016, operations=995.9265043422212, operationsPerMinute=248.9816260855553
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:12:43 BST 2016, end=Sat Jun 04 16:14:43 BST 2016, operations=197.2976429083643, operationsPerMinute=98.64882145418215, mode=normal, start=Sat Jun 04 16:14:46 BST 2016, end=Sat Jun 04 16:18:46 BST 2016, operations=372.954265844944, operationsPerMinute=93.238566461236
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:18:49 BST 2016, end=Sat Jun 04 16:20:49 BST 2016, operations=391.27177062519604, operationsPerMinute=195.63588531259802, mode=normal, start=Sat Jun 04 16:20:52 BST 2016, end=Sat Jun 04 16:24:52 BST 2016, operations=789.787190731042, operationsPerMinute=197.4467976827605
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:24:54 BST 2016, end=Sat Jun 04 16:26:54 BST 2016, operations=136.86341640621288, operationsPerMinute=68.43170820310644, mode=normal, start=Sat Jun 04 16:26:59 BST 2016, end=Sat Jun 04 16:30:59 BST 2016, operations=288.2575411649225, operationsPerMinute=72.06438529123062
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:31:04 BST 2016, end=Sat Jun 04 16:33:04 BST 2016, operations=232.3083317406896, operationsPerMinute=116.1541658703448, mode=normal, start=Sat Jun 04 16:33:07 BST 2016, end=Sat Jun 04 16:37:07 BST 2016, operations=466.55581921471486, operationsPerMinute=116.63895480367871
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:37:11 BST 2016, end=Sat Jun 04 16:39:11 BST 2016, operations=400.7022286260666, operationsPerMinute=200.3511143130333, mode=normal, start=Sat Jun 04 16:39:13 BST 2016, end=Sat Jun 04 16:43:13 BST 2016, operations=801.557298565276, operationsPerMinute=200.389324641319
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:43:36 BST 2016, end=Sat Jun 04 16:45:36 BST 2016, operations=354.58856143247806, operationsPerMinute=177.29428071623903, mode=normal, start=Sat Jun 04 16:45:37 BST 2016, end=Sat Jun 04 16:49:37 BST 2016, operations=711.4533848312756, operationsPerMinute=177.8633462078189
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:49:39 BST 2016, end=Sat Jun 04 16:51:39 BST 2016, operations=202.03306634336823, operationsPerMinute=101.01653317168412, mode=normal, start=Sat Jun 04 16:51:43 BST 2016, end=Sat Jun 04 16:55:43 BST 2016, operations=409.0177876495891, operationsPerMinute=102.25444691239727
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:55:46 BST 2016, end=Sat Jun 04 16:57:46 BST 2016, operations=70.54720168637999, operationsPerMinute=35.273600843189996, mode=normal, start=Sat Jun 04 16:57:55 BST 2016, end=Sat Jun 04 17:01:55 BST 2016, operations=141.05451298323752, operationsPerMinute=35.26362824580938
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:02:04 BST 2016, end=Sat Jun 04 17:04:04 BST 2016, operations=13.79323723076863, operationsPerMinute=6.896618615384315, mode=normal, start=Sat Jun 04 17:04:49 BST 2016, end=Sat Jun 04 17:08:49 BST 2016, operations=27.73908980964537, operationsPerMinute=6.934772452411343
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:09:25 BST 2016, end=Sat Jun 04 17:11:25 BST 2016, operations=64.90640194663337, operationsPerMinute=32.45320097331668, mode=normal, start=Sat Jun 04 17:11:38 BST 2016, end=Sat Jun 04 17:15:38 BST 2016, operations=134.76636372746242, operationsPerMinute=33.691590931865605
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:15:47 BST 2016, end=Sat Jun 04 17:17:47 BST 2016, operations=41.484518952519686, operationsPerMinute=20.742259476259843, mode=normal, start=Sat Jun 04 17:18:03 BST 2016, end=Sat Jun 04 17:22:03 BST 2016, operations=82.98876068909411, operationsPerMinute=20.747190172273527
