spec.jvm2008.report.run.location=BEDSONTC095
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:05:01 BST 2016, end=Sat Jun 04 16:05:01 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:05:01 BST 2016, end=Sat Jun 04 16:05:01 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:05:01 BST 2016, end=Sat Jun 04 16:05:16 BST 2016, operations=1.0, operationsPerMinute=4.158004158004158
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:05:16 BST 2016, end=Sat Jun 04 16:05:19 BST 2016, operations=1.0, operationsPerMinute=17.80415430267062
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:05:19 BST 2016, end=Sat Jun 04 16:05:20 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:05:20 BST 2016, end=Sat Jun 04 16:05:29 BST 2016, operations=1.0, operationsPerMinute=7.136060894386299
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:05:29 BST 2016, end=Sat Jun 04 16:05:36 BST 2016, operations=1.0, operationsPerMinute=7.817589576547231
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:05:36 BST 2016, end=Sat Jun 04 16:05:43 BST 2016, operations=1.0, operationsPerMinute=9.244992295839754
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:05:43 BST 2016, end=Sat Jun 04 16:05:45 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:05:45 BST 2016, end=Sat Jun 04 16:05:46 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:05:46 BST 2016, end=Sat Jun 04 16:05:47 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:05:47 BST 2016, end=Sat Jun 04 16:05:52 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:05:52 BST 2016, end=Sat Jun 04 16:05:54 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:05:54 BST 2016, end=Sat Jun 04 16:05:55 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:05:55 BST 2016, end=Sat Jun 04 16:05:57 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:05:57 BST 2016, end=Sat Jun 04 16:06:03 BST 2016, operations=1.0, operationsPerMinute=9.312432096849294
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:06:03 BST 2016, end=Sat Jun 04 16:06:23 BST 2016, operations=1.0, operationsPerMinute=2.9931158335827597
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:06:23 BST 2016, end=Sat Jun 04 16:06:24 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:06:35 BST 2016, end=Sat Jun 04 16:08:35 BST 2016, operations=486.5453255759387, operationsPerMinute=243.27266278796935, mode=normal, start=Sat Jun 04 16:08:36 BST 2016, end=Sat Jun 04 16:12:36 BST 2016, operations=1021.0345696563759, operationsPerMinute=255.25864241409397
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:12:41 BST 2016, end=Sat Jun 04 16:14:41 BST 2016, operations=199.55086139393694, operationsPerMinute=99.77543069696847, mode=normal, start=Sat Jun 04 16:14:44 BST 2016, end=Sat Jun 04 16:18:44 BST 2016, operations=400.1172483588597, operationsPerMinute=100.02931208971492
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:18:48 BST 2016, end=Sat Jun 04 16:20:48 BST 2016, operations=402.7433008954364, operationsPerMinute=201.3716504477182, mode=normal, start=Sat Jun 04 16:20:49 BST 2016, end=Sat Jun 04 16:24:49 BST 2016, operations=804.9621791634836, operationsPerMinute=201.2405447908709
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:24:51 BST 2016, end=Sat Jun 04 16:26:51 BST 2016, operations=140.46133553940166, operationsPerMinute=70.23066776970083, mode=normal, start=Sat Jun 04 16:26:57 BST 2016, end=Sat Jun 04 16:30:57 BST 2016, operations=295.62059385465477, operationsPerMinute=73.90514846366369
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:31:02 BST 2016, end=Sat Jun 04 16:33:02 BST 2016, operations=237.11011052420847, operationsPerMinute=118.55505526210423, mode=normal, start=Sat Jun 04 16:33:06 BST 2016, end=Sat Jun 04 16:37:06 BST 2016, operations=474.41987962932785, operationsPerMinute=118.60496990733196
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:37:09 BST 2016, end=Sat Jun 04 16:39:09 BST 2016, operations=408.7624998624034, operationsPerMinute=204.3812499312017, mode=normal, start=Sat Jun 04 16:39:11 BST 2016, end=Sat Jun 04 16:43:11 BST 2016, operations=816.5395981186714, operationsPerMinute=204.13489952966785
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:43:52 BST 2016, end=Sat Jun 04 16:45:52 BST 2016, operations=367.3977606781359, operationsPerMinute=183.69888033906795, mode=normal, start=Sat Jun 04 16:45:55 BST 2016, end=Sat Jun 04 16:49:55 BST 2016, operations=738.0581048393487, operationsPerMinute=184.5145262098372
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:49:57 BST 2016, end=Sat Jun 04 16:51:57 BST 2016, operations=209.2656068087686, operationsPerMinute=104.6328034043843, mode=normal, start=Sat Jun 04 16:52:01 BST 2016, end=Sat Jun 04 16:56:01 BST 2016, operations=418.5616790549463, operationsPerMinute=104.64041976373657
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:56:04 BST 2016, end=Sat Jun 04 16:58:04 BST 2016, operations=77.79053177366808, operationsPerMinute=38.89526588683404, mode=normal, start=Sat Jun 04 16:58:13 BST 2016, end=Sat Jun 04 17:02:13 BST 2016, operations=150.98283053079228, operationsPerMinute=37.74570763269807
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:02:19 BST 2016, end=Sat Jun 04 17:04:19 BST 2016, operations=13.859815824160831, operationsPerMinute=6.929907912080416, mode=normal, start=Sat Jun 04 17:05:03 BST 2016, end=Sat Jun 04 17:09:03 BST 2016, operations=27.84445496311649, operationsPerMinute=6.961113740779123
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:09:31 BST 2016, end=Sat Jun 04 17:11:31 BST 2016, operations=74.7147370974113, operationsPerMinute=37.35736854870565, mode=normal, start=Sat Jun 04 17:11:40 BST 2016, end=Sat Jun 04 17:15:40 BST 2016, operations=149.86891134561878, operationsPerMinute=37.467227836404696
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:15:51 BST 2016, end=Sat Jun 04 17:17:51 BST 2016, operations=43.038924177341386, operationsPerMinute=21.519462088670693, mode=normal, start=Sat Jun 04 17:18:02 BST 2016, end=Sat Jun 04 17:22:02 BST 2016, operations=85.88593152732086, operationsPerMinute=21.471482881830216
