spec.jvm2008.report.run.location=GLAZIER06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 04:53:09 BST 2016, end=Fri Jun 24 04:53:09 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 04:53:09 BST 2016, end=Fri Jun 24 04:53:09 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 04:53:09 BST 2016, end=Fri Jun 24 04:53:27 BST 2016, operations=1.0, operationsPerMinute=3.359086328518643
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 04:53:27 BST 2016, end=Fri Jun 24 04:53:31 BST 2016, operations=1.0, operationsPerMinute=14.566642388929353
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 04:53:31 BST 2016, end=Fri Jun 24 04:53:33 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 04:53:33 BST 2016, end=Fri Jun 24 04:53:42 BST 2016, operations=1.0, operationsPerMinute=6.497022198159177
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 04:53:42 BST 2016, end=Fri Jun 24 04:53:50 BST 2016, operations=1.0, operationsPerMinute=7.616146230007616
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 04:53:50 BST 2016, end=Fri Jun 24 04:53:57 BST 2016, operations=1.0, operationsPerMinute=8.92458723784025
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 04:53:57 BST 2016, end=Fri Jun 24 04:53:59 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 04:53:59 BST 2016, end=Fri Jun 24 04:54:00 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 04:54:00 BST 2016, end=Fri Jun 24 04:54:01 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 04:54:01 BST 2016, end=Fri Jun 24 04:54:08 BST 2016, operations=1.0, operationsPerMinute=9.836065573770492
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 04:54:08 BST 2016, end=Fri Jun 24 04:54:09 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 04:54:09 BST 2016, end=Fri Jun 24 04:54:10 BST 2016, operations=1.0, operationsPerMinute=51.282051282051285
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 04:54:10 BST 2016, end=Fri Jun 24 04:54:13 BST 2016, operations=1.0, operationsPerMinute=23.166023166023166
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 04:54:13 BST 2016, end=Fri Jun 24 04:54:20 BST 2016, operations=1.0, operationsPerMinute=8.820935019112026
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 04:54:20 BST 2016, end=Fri Jun 24 04:54:45 BST 2016, operations=1.0, operationsPerMinute=2.355250245338567
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 04:54:45 BST 2016, end=Fri Jun 24 04:54:46 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 04:54:58 BST 2016, end=Fri Jun 24 04:56:58 BST 2016, operations=395.01381544591334, operationsPerMinute=197.50690772295667, mode=normal, start=Fri Jun 24 04:57:00 BST 2016, end=Fri Jun 24 05:01:00 BST 2016, operations=805.5678514271251, operationsPerMinute=201.39196285678128
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 05:01:05 BST 2016, end=Fri Jun 24 05:03:05 BST 2016, operations=162.14836994199115, operationsPerMinute=81.07418497099557, mode=normal, start=Fri Jun 24 05:03:09 BST 2016, end=Fri Jun 24 05:07:09 BST 2016, operations=321.2938155067091, operationsPerMinute=80.32345387667728
benchmark-name=compress, mod=warmup, start=Fri Jun 24 05:07:14 BST 2016, end=Fri Jun 24 05:09:14 BST 2016, operations=327.3389521347123, operationsPerMinute=163.66947606735616, mode=normal, start=Fri Jun 24 05:09:16 BST 2016, end=Fri Jun 24 05:13:16 BST 2016, operations=654.7617938730392, operationsPerMinute=163.6904484682598
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 05:13:19 BST 2016, end=Fri Jun 24 05:15:19 BST 2016, operations=109.59795803798875, operationsPerMinute=54.79897901899437, mode=normal, start=Fri Jun 24 05:15:24 BST 2016, end=Fri Jun 24 05:19:24 BST 2016, operations=230.79764413273884, operationsPerMinute=57.69941103318471
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 05:19:31 BST 2016, end=Fri Jun 24 05:21:31 BST 2016, operations=191.76941016521806, operationsPerMinute=95.88470508260903, mode=normal, start=Fri Jun 24 05:21:35 BST 2016, end=Fri Jun 24 05:25:35 BST 2016, operations=384.07762702871025, operationsPerMinute=96.01940675717756
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 05:25:38 BST 2016, end=Fri Jun 24 05:27:38 BST 2016, operations=333.1736541902793, operationsPerMinute=166.58682709513965, mode=normal, start=Fri Jun 24 05:27:41 BST 2016, end=Fri Jun 24 05:31:41 BST 2016, operations=646.1628445505721, operationsPerMinute=161.54071113764303
benchmark-name=derby, mod=warmup, start=Fri Jun 24 05:32:55 BST 2016, end=Fri Jun 24 05:34:55 BST 2016, operations=237.85571499836772, operationsPerMinute=118.92785749918386, mode=normal, start=Fri Jun 24 05:34:59 BST 2016, end=Fri Jun 24 05:38:59 BST 2016, operations=480.990519963422, operationsPerMinute=120.2476299908555
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 05:39:03 BST 2016, end=Fri Jun 24 05:41:03 BST 2016, operations=160.54827922416115, operationsPerMinute=80.27413961208057, mode=normal, start=Fri Jun 24 05:41:07 BST 2016, end=Fri Jun 24 05:45:07 BST 2016, operations=320.211896166388, operationsPerMinute=80.052974041597
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 05:45:12 BST 2016, end=Fri Jun 24 05:47:12 BST 2016, operations=99.40297709656696, operationsPerMinute=49.70148854828348, mode=normal, start=Fri Jun 24 05:47:18 BST 2016, end=Fri Jun 24 05:51:18 BST 2016, operations=193.5768350583195, operationsPerMinute=48.39420876457987
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 05:51:25 BST 2016, end=Fri Jun 24 05:53:25 BST 2016, operations=21.263950859608407, operationsPerMinute=10.631975429804204, mode=normal, start=Fri Jun 24 05:53:58 BST 2016, end=Fri Jun 24 05:57:58 BST 2016, operations=42.5748990867024, operationsPerMinute=10.6437247716756
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 05:58:28 BST 2016, end=Fri Jun 24 06:00:28 BST 2016, operations=64.89648117083573, operationsPerMinute=32.448240585417864, mode=normal, start=Fri Jun 24 06:00:39 BST 2016, end=Fri Jun 24 06:04:39 BST 2016, operations=129.58890454093785, operationsPerMinute=32.39722613523446
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 06:04:52 BST 2016, end=Fri Jun 24 06:06:52 BST 2016, operations=71.01724953978169, operationsPerMinute=35.508624769890844, mode=normal, start=Fri Jun 24 06:07:01 BST 2016, end=Fri Jun 24 06:11:01 BST 2016, operations=142.1812889939626, operationsPerMinute=35.54532224849065
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 24 06:11:10 BST 2016, end=Fri Jun 24 06:13:10 BST 2016, operations=535.6056714093145, operationsPerMinute=267.80283570465724, mode=normal, start=Fri Jun 24 06:13:11 BST 2016, end=Fri Jun 24 06:17:11 BST 2016, operations=1066.0830995626638, operationsPerMinute=266.52077489066596
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 24 06:17:12 BST 2016, end=Fri Jun 24 06:19:12 BST 2016, operations=430.95480232388115, operationsPerMinute=215.47740116194058, mode=normal, start=Fri Jun 24 06:19:14 BST 2016, end=Fri Jun 24 06:23:14 BST 2016, operations=849.660048873766, operationsPerMinute=212.4150122184415
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 24 06:23:17 BST 2016, end=Fri Jun 24 06:25:17 BST 2016, operations=279.5105843131121, operationsPerMinute=139.75529215655604, mode=normal, start=Fri Jun 24 06:25:20 BST 2016, end=Fri Jun 24 06:29:20 BST 2016, operations=561.0450305250305, operationsPerMinute=140.26125763125762
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 24 06:29:23 BST 2016, end=Fri Jun 24 06:31:23 BST 2016, operations=406.1280469329388, operationsPerMinute=203.0640234664694, mode=normal, start=Fri Jun 24 06:31:25 BST 2016, end=Fri Jun 24 06:35:25 BST 2016, operations=800.6618907471583, operationsPerMinute=200.16547268678957
