spec.jvm2008.report.run.location=BEDSONTC067
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 17:57:00 BST 2016, end=Sat Jun 04 17:57:00 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 17:57:00 BST 2016, end=Sat Jun 04 17:57:00 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 17:57:00 BST 2016, end=Sat Jun 04 17:57:13 BST 2016, operations=1.0, operationsPerMinute=4.628558204119416
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 17:57:13 BST 2016, end=Sat Jun 04 17:57:16 BST 2016, operations=1.0, operationsPerMinute=17.80415430267062
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 17:57:16 BST 2016, end=Sat Jun 04 17:57:17 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 17:57:17 BST 2016, end=Sat Jun 04 17:57:26 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 17:57:26 BST 2016, end=Sat Jun 04 17:57:33 BST 2016, operations=1.0, operationsPerMinute=7.979784545817263
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 17:57:33 BST 2016, end=Sat Jun 04 17:57:40 BST 2016, operations=1.0, operationsPerMinute=8.82223202470225
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 17:57:40 BST 2016, end=Sat Jun 04 17:57:42 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 17:57:42 BST 2016, end=Sat Jun 04 17:57:43 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 17:57:43 BST 2016, end=Sat Jun 04 17:57:44 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 17:57:44 BST 2016, end=Sat Jun 04 17:57:50 BST 2016, operations=1.0, operationsPerMinute=10.989010989010989
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 17:57:50 BST 2016, end=Sat Jun 04 17:57:51 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 17:57:51 BST 2016, end=Sat Jun 04 17:57:52 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 17:57:52 BST 2016, end=Sat Jun 04 17:57:54 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 17:57:54 BST 2016, end=Sat Jun 04 17:58:01 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 17:58:01 BST 2016, end=Sat Jun 04 17:58:21 BST 2016, operations=1.0, operationsPerMinute=2.99790146897172
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 17:58:21 BST 2016, end=Sat Jun 04 17:58:21 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 17:58:31 BST 2016, end=Sat Jun 04 18:00:31 BST 2016, operations=500.5642588639601, operationsPerMinute=250.28212943198005, mode=normal, start=Sat Jun 04 18:00:33 BST 2016, end=Sat Jun 04 18:04:33 BST 2016, operations=1034.4752050427078, operationsPerMinute=258.61880126067695
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 18:04:36 BST 2016, end=Sat Jun 04 18:06:36 BST 2016, operations=202.78345183584702, operationsPerMinute=101.39172591792351, mode=normal, start=Sat Jun 04 18:06:39 BST 2016, end=Sat Jun 04 18:10:39 BST 2016, operations=391.6127854844794, operationsPerMinute=97.90319637111985
benchmark-name=compress, mod=warmup, start=Sat Jun 04 18:10:43 BST 2016, end=Sat Jun 04 18:12:43 BST 2016, operations=401.6802570798302, operationsPerMinute=200.8401285399151, mode=normal, start=Sat Jun 04 18:12:44 BST 2016, end=Sat Jun 04 18:16:44 BST 2016, operations=804.3425320542467, operationsPerMinute=201.08563301356168
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 18:16:47 BST 2016, end=Sat Jun 04 18:18:47 BST 2016, operations=140.33019854209428, operationsPerMinute=70.16509927104714, mode=normal, start=Sat Jun 04 18:18:51 BST 2016, end=Sat Jun 04 18:22:51 BST 2016, operations=294.5711635390767, operationsPerMinute=73.64279088476917
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 18:22:57 BST 2016, end=Sat Jun 04 18:24:57 BST 2016, operations=236.71276543100166, operationsPerMinute=118.35638271550083, mode=normal, start=Sat Jun 04 18:25:01 BST 2016, end=Sat Jun 04 18:29:01 BST 2016, operations=474.1245864129284, operationsPerMinute=118.5311466032321
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 18:29:04 BST 2016, end=Sat Jun 04 18:31:04 BST 2016, operations=409.5061827061827, operationsPerMinute=204.75309135309135, mode=normal, start=Sat Jun 04 18:31:06 BST 2016, end=Sat Jun 04 18:35:06 BST 2016, operations=819.5563486845099, operationsPerMinute=204.88908717112747
benchmark-name=derby, mod=warmup, start=Sat Jun 04 18:35:28 BST 2016, end=Sat Jun 04 18:37:28 BST 2016, operations=366.8266509376751, operationsPerMinute=183.41332546883754, mode=normal, start=Sat Jun 04 18:37:30 BST 2016, end=Sat Jun 04 18:41:30 BST 2016, operations=739.0619969840327, operationsPerMinute=184.76549924600818
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 18:41:32 BST 2016, end=Sat Jun 04 18:43:32 BST 2016, operations=209.1018176975015, operationsPerMinute=104.55090884875075, mode=normal, start=Sat Jun 04 18:43:36 BST 2016, end=Sat Jun 04 18:47:36 BST 2016, operations=418.9563854436418, operationsPerMinute=104.73909636091045
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 18:47:39 BST 2016, end=Sat Jun 04 18:49:39 BST 2016, operations=70.42833124108017, operationsPerMinute=35.214165620540086, mode=normal, start=Sat Jun 04 18:49:47 BST 2016, end=Sat Jun 04 18:53:47 BST 2016, operations=145.66607087794907, operationsPerMinute=36.41651771948727
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 18:53:57 BST 2016, end=Sat Jun 04 18:55:57 BST 2016, operations=13.828563175452077, operationsPerMinute=6.914281587726038, mode=normal, start=Sat Jun 04 18:56:40 BST 2016, end=Sat Jun 04 19:00:40 BST 2016, operations=28.02260524842037, operationsPerMinute=7.005651312105092
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 19:01:22 BST 2016, end=Sat Jun 04 19:03:22 BST 2016, operations=75.12855219140295, operationsPerMinute=37.56427609570147, mode=normal, start=Sat Jun 04 19:03:29 BST 2016, end=Sat Jun 04 19:07:29 BST 2016, operations=150.48118412043596, operationsPerMinute=37.62029603010899
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 19:07:38 BST 2016, end=Sat Jun 04 19:09:38 BST 2016, operations=42.65752530925361, operationsPerMinute=21.328762654626804, mode=normal, start=Sat Jun 04 19:09:50 BST 2016, end=Sat Jun 04 19:13:50 BST 2016, operations=86.34036743203943, operationsPerMinute=21.585091858009857
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 19:14:03 BST 2016, end=Sat Jun 04 19:16:03 BST 2016, operations=704.0388200388713, operationsPerMinute=352.01941001943567, mode=normal, start=Sat Jun 04 19:16:04 BST 2016, end=Sat Jun 04 19:20:04 BST 2016, operations=1411.1771139834664, operationsPerMinute=352.7942784958666
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 19:20:05 BST 2016, end=Sat Jun 04 19:22:05 BST 2016, operations=578.689238210399, operationsPerMinute=289.3446191051995, mode=normal, start=Sat Jun 04 19:22:07 BST 2016, end=Sat Jun 04 19:26:07 BST 2016, operations=1153.5203065199162, operationsPerMinute=288.38007662997904
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 19:26:09 BST 2016, end=Sat Jun 04 19:28:09 BST 2016, operations=331.9587524643584, operationsPerMinute=165.9793762321792, mode=normal, start=Sat Jun 04 19:28:11 BST 2016, end=Sat Jun 04 19:32:11 BST 2016, operations=663.7644661943939, operationsPerMinute=165.94111654859847
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 19:32:14 BST 2016, end=Sat Jun 04 19:34:14 BST 2016, operations=514.2246025780228, operationsPerMinute=257.1123012890114, mode=normal, start=Sat Jun 04 19:34:16 BST 2016, end=Sat Jun 04 19:38:16 BST 2016, operations=1009.2470891911112, operationsPerMinute=252.3117722977778
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 04 19:38:18 BST 2016, end=Sat Jun 04 19:40:18 BST 2016, operations=120.32406649479718, operationsPerMinute=60.16203324739859, mode=normal, start=Sat Jun 04 19:40:25 BST 2016, end=Sat Jun 04 19:44:25 BST 2016, operations=240.4734342682283, operationsPerMinute=60.11835856705707
benchmark-name=serial, mod=warmup, start=Sat Jun 04 19:44:32 BST 2016, end=Sat Jun 04 19:46:32 BST 2016, operations=241.78714143116974, operationsPerMinute=120.89357071558487, mode=normal, start=Sat Jun 04 19:46:35 BST 2016, end=Sat Jun 04 19:50:35 BST 2016, operations=466.9516433991887, operationsPerMinute=116.73791084979717
benchmark-name=sunflow, mod=warmup, start=Sat Jun 04 19:50:38 BST 2016, end=Sat Jun 04 19:52:38 BST 2016, operations=181.1015622122737, operationsPerMinute=90.55078110613685, mode=normal, start=Sat Jun 04 19:52:39 BST 2016, end=Sat Jun 04 19:56:39 BST 2016, operations=360.40133850926725, operationsPerMinute=90.10033462731681
