spec.jvm2008.report.run.location=TOLL02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Wed Jun 29 12:53:50 BST 2016, end=Wed Jun 29 12:53:50 BST 2016, operations=1.0, operationsPerMinute=952.3809523809524
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 12:53:50 BST 2016, end=Wed Jun 29 12:53:50 BST 2016, operations=1.0, operationsPerMinute=384.61538461538464
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 12:53:50 BST 2016, end=Wed Jun 29 12:54:12 BST 2016, operations=1.0, operationsPerMinute=2.7730276840597123
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 12:54:12 BST 2016, end=Wed Jun 29 12:54:17 BST 2016, operations=1.0, operationsPerMinute=11.446012972148035
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 12:54:17 BST 2016, end=Wed Jun 29 12:54:19 BST 2016, operations=1.0, operationsPerMinute=33.149171270718234
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 12:54:19 BST 2016, end=Wed Jun 29 12:54:30 BST 2016, operations=1.0, operationsPerMinute=5.518256231030994
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 12:54:30 BST 2016, end=Wed Jun 29 12:54:38 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 12:54:38 BST 2016, end=Wed Jun 29 12:54:46 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 12:54:46 BST 2016, end=Wed Jun 29 12:54:49 BST 2016, operations=1.0, operationsPerMinute=15.894039735099337
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 12:54:49 BST 2016, end=Wed Jun 29 12:54:51 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 12:54:51 BST 2016, end=Wed Jun 29 12:54:52 BST 2016, operations=1.0, operationsPerMinute=33.74578177727784
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 12:54:52 BST 2016, end=Wed Jun 29 12:55:00 BST 2016, operations=1.0, operationsPerMinute=7.468259895444361
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 12:55:00 BST 2016, end=Wed Jun 29 12:55:02 BST 2016, operations=1.0, operationsPerMinute=31.26628452318916
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 12:55:02 BST 2016, end=Wed Jun 29 12:55:04 BST 2016, operations=1.0, operationsPerMinute=29.140359397765906
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 12:55:04 BST 2016, end=Wed Jun 29 12:55:09 BST 2016, operations=1.0, operationsPerMinute=14.677103718199609
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 12:55:09 BST 2016, end=Wed Jun 29 12:55:17 BST 2016, operations=1.0, operationsPerMinute=7.298382191947452
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 12:55:17 BST 2016, end=Wed Jun 29 12:55:57 BST 2016, operations=1.0, operationsPerMinute=1.4959609055550014
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 12:55:57 BST 2016, end=Wed Jun 29 12:55:58 BST 2016, operations=1.0, operationsPerMinute=39.63011889035667
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 12:56:15 BST 2016, end=Wed Jun 29 12:58:15 BST 2016, operations=236.57641936766095, operationsPerMinute=118.28820968383047, mode=normal, start=Wed Jun 29 12:58:17 BST 2016, end=Wed Jun 29 13:02:17 BST 2016, operations=488.5726260918569, operationsPerMinute=122.14315652296422
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 13:02:23 BST 2016, end=Wed Jun 29 13:04:23 BST 2016, operations=93.24556460734493, operationsPerMinute=46.622782303672466, mode=normal, start=Wed Jun 29 13:04:27 BST 2016, end=Wed Jun 29 13:08:27 BST 2016, operations=192.01866105732415, operationsPerMinute=48.00466526433104
benchmark-name=compress, mod=warmup, start=Wed Jun 29 13:08:30 BST 2016, end=Wed Jun 29 13:10:30 BST 2016, operations=149.59983386791677, operationsPerMinute=74.79991693395839, mode=normal, start=Wed Jun 29 13:10:33 BST 2016, end=Wed Jun 29 13:14:33 BST 2016, operations=299.4198086887206, operationsPerMinute=74.85495217218015
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 13:14:36 BST 2016, end=Wed Jun 29 13:16:36 BST 2016, operations=41.967077260999886, operationsPerMinute=20.983538630499943, mode=normal, start=Wed Jun 29 13:16:42 BST 2016, end=Wed Jun 29 13:20:42 BST 2016, operations=89.52123005129533, operationsPerMinute=22.380307512823833
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 13:20:49 BST 2016, end=Wed Jun 29 13:22:49 BST 2016, operations=86.91293058015336, operationsPerMinute=43.45646529007668, mode=normal, start=Wed Jun 29 13:22:52 BST 2016, end=Wed Jun 29 13:26:52 BST 2016, operations=174.37012283751818, operationsPerMinute=43.592530709379545
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 13:26:56 BST 2016, end=Wed Jun 29 13:28:56 BST 2016, operations=137.13644936082125, operationsPerMinute=68.56822468041062, mode=normal, start=Wed Jun 29 13:28:57 BST 2016, end=Wed Jun 29 13:32:57 BST 2016, operations=277.6917122579154, operationsPerMinute=69.42292806447885
benchmark-name=derby, mod=warmup, start=Wed Jun 29 13:34:51 BST 2016, end=Wed Jun 29 13:36:51 BST 2016, operations=106.44919247419247, operationsPerMinute=53.224596237096236, mode=normal, start=Wed Jun 29 13:36:54 BST 2016, end=Wed Jun 29 13:40:54 BST 2016, operations=214.76709457209458, operationsPerMinute=53.691773643023645
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 13:40:57 BST 2016, end=Wed Jun 29 13:42:57 BST 2016, operations=66.05302001833923, operationsPerMinute=33.02651000916961, mode=normal, start=Wed Jun 29 13:43:02 BST 2016, end=Wed Jun 29 13:47:02 BST 2016, operations=132.75094285669837, operationsPerMinute=33.18773571417459
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 13:47:07 BST 2016, end=Wed Jun 29 13:49:07 BST 2016, operations=34.98800011457226, operationsPerMinute=17.49400005728613, mode=normal, start=Wed Jun 29 13:49:14 BST 2016, end=Wed Jun 29 13:53:14 BST 2016, operations=62.20338641755527, operationsPerMinute=15.550846604388818
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 13:53:22 BST 2016, end=Wed Jun 29 13:55:22 BST 2016, operations=7.0926037132344275, operationsPerMinute=3.5463018566172138, mode=normal, start=Wed Jun 29 13:55:54 BST 2016, end=Wed Jun 29 13:59:54 BST 2016, operations=14.174992186919395, operationsPerMinute=3.5437480467298488
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 14:00:25 BST 2016, end=Wed Jun 29 14:02:25 BST 2016, operations=32.203419987797574, operationsPerMinute=16.101709993898787, mode=normal, start=Wed Jun 29 14:02:33 BST 2016, end=Wed Jun 29 14:06:33 BST 2016, operations=63.89234732543014, operationsPerMinute=15.973086831357534
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 14:06:46 BST 2016, end=Wed Jun 29 14:08:46 BST 2016, operations=22.18299799877402, operationsPerMinute=11.09149899938701, mode=normal, start=Wed Jun 29 14:09:02 BST 2016, end=Wed Jun 29 14:13:02 BST 2016, operations=47.512437467637646, operationsPerMinute=11.878109366909412
