spec.jvm2008.report.run.location=TOLL01
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Wed Jun 29 08:07:24 BST 2016, end=Wed Jun 29 08:07:24 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 08:07:24 BST 2016, end=Wed Jun 29 08:07:24 BST 2016, operations=1.0, operationsPerMinute=384.61538461538464
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 08:07:24 BST 2016, end=Wed Jun 29 08:07:47 BST 2016, operations=1.0, operationsPerMinute=2.6343519494204424
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 08:07:47 BST 2016, end=Wed Jun 29 08:07:52 BST 2016, operations=1.0, operationsPerMinute=10.803024846957149
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 08:07:52 BST 2016, end=Wed Jun 29 08:07:54 BST 2016, operations=1.0, operationsPerMinute=32.59098316132537
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 08:07:54 BST 2016, end=Wed Jun 29 08:08:06 BST 2016, operations=1.0, operationsPerMinute=5.128205128205129
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 08:08:06 BST 2016, end=Wed Jun 29 08:08:15 BST 2016, operations=1.0, operationsPerMinute=6.336466363924385
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 08:08:15 BST 2016, end=Wed Jun 29 08:08:23 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 08:08:23 BST 2016, end=Wed Jun 29 08:08:26 BST 2016, operations=1.0, operationsPerMinute=15.760441292356186
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 08:08:26 BST 2016, end=Wed Jun 29 08:08:28 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 08:08:28 BST 2016, end=Wed Jun 29 08:08:29 BST 2016, operations=1.0, operationsPerMinute=32.87671232876713
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 08:08:29 BST 2016, end=Wed Jun 29 08:08:37 BST 2016, operations=1.0, operationsPerMinute=7.570977917981073
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 08:08:37 BST 2016, end=Wed Jun 29 08:08:39 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 08:08:39 BST 2016, end=Wed Jun 29 08:08:42 BST 2016, operations=1.0, operationsPerMinute=28.076743097800655
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 08:08:42 BST 2016, end=Wed Jun 29 08:08:46 BST 2016, operations=1.0, operationsPerMinute=13.986013986013987
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 08:08:46 BST 2016, end=Wed Jun 29 08:08:55 BST 2016, operations=1.0, operationsPerMinute=6.73551863493489
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 08:08:55 BST 2016, end=Wed Jun 29 08:09:37 BST 2016, operations=1.0, operationsPerMinute=1.4208245518482558
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 08:09:37 BST 2016, end=Wed Jun 29 08:09:39 BST 2016, operations=1.0, operationsPerMinute=36.63003663003663
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 08:09:56 BST 2016, end=Wed Jun 29 08:11:56 BST 2016, operations=130.38734578841348, operationsPerMinute=65.19367289420674, mode=normal, start=Wed Jun 29 08:11:57 BST 2016, end=Wed Jun 29 08:15:57 BST 2016, operations=437.57568208647706, operationsPerMinute=109.39392052161926
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 08:16:03 BST 2016, end=Wed Jun 29 08:18:03 BST 2016, operations=90.93351517362896, operationsPerMinute=45.46675758681448, mode=normal, start=Wed Jun 29 08:18:06 BST 2016, end=Wed Jun 29 08:22:06 BST 2016, operations=182.48364912745967, operationsPerMinute=45.62091228186492
benchmark-name=compress, mod=warmup, start=Wed Jun 29 08:22:09 BST 2016, end=Wed Jun 29 08:24:09 BST 2016, operations=140.22286802030456, operationsPerMinute=70.11143401015228, mode=normal, start=Wed Jun 29 08:24:12 BST 2016, end=Wed Jun 29 08:28:12 BST 2016, operations=300.8828180026468, operationsPerMinute=75.2207045006617
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 08:28:14 BST 2016, end=Wed Jun 29 08:30:14 BST 2016, operations=42.216069252481255, operationsPerMinute=21.108034626240627, mode=normal, start=Wed Jun 29 08:30:24 BST 2016, end=Wed Jun 29 08:34:24 BST 2016, operations=89.32199126385505, operationsPerMinute=22.330497815963763
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 08:34:31 BST 2016, end=Wed Jun 29 08:36:31 BST 2016, operations=84.46814262623718, operationsPerMinute=42.23407131311859, mode=normal, start=Wed Jun 29 08:36:34 BST 2016, end=Wed Jun 29 08:40:34 BST 2016, operations=172.38630959763057, operationsPerMinute=43.09657739940764
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 08:40:37 BST 2016, end=Wed Jun 29 08:42:37 BST 2016, operations=139.55519968180698, operationsPerMinute=69.77759984090349, mode=normal, start=Wed Jun 29 08:42:39 BST 2016, end=Wed Jun 29 08:46:39 BST 2016, operations=279.5234421364985, operationsPerMinute=69.88086053412462
benchmark-name=derby, mod=warmup, start=Wed Jun 29 08:48:38 BST 2016, end=Wed Jun 29 08:50:38 BST 2016, operations=103.17167383064259, operationsPerMinute=51.585836915321295, mode=normal, start=Wed Jun 29 08:50:41 BST 2016, end=Wed Jun 29 08:54:41 BST 2016, operations=206.42166224580018, operationsPerMinute=51.605415561450044
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 08:54:45 BST 2016, end=Wed Jun 29 08:56:45 BST 2016, operations=66.11051435955292, operationsPerMinute=33.05525717977646, mode=normal, start=Wed Jun 29 08:56:49 BST 2016, end=Wed Jun 29 09:00:49 BST 2016, operations=131.53096800656277, operationsPerMinute=32.88274200164069
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 09:00:53 BST 2016, end=Wed Jun 29 09:02:53 BST 2016, operations=30.592025815828997, operationsPerMinute=15.296012907914498, mode=normal, start=Wed Jun 29 09:03:03 BST 2016, end=Wed Jun 29 09:07:03 BST 2016, operations=61.085921243567384, operationsPerMinute=15.271480310891846
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 09:07:11 BST 2016, end=Wed Jun 29 09:09:11 BST 2016, operations=7.071200917998761, operationsPerMinute=3.5356004589993804, mode=normal, start=Wed Jun 29 09:09:44 BST 2016, end=Wed Jun 29 09:13:44 BST 2016, operations=14.144861511468793, operationsPerMinute=3.5362153778671983
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 09:14:16 BST 2016, end=Wed Jun 29 09:16:16 BST 2016, operations=32.17895080070771, operationsPerMinute=16.089475400353855, mode=normal, start=Wed Jun 29 09:16:24 BST 2016, end=Wed Jun 29 09:20:24 BST 2016, operations=64.11307074973121, operationsPerMinute=16.028267687432802
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 09:20:34 BST 2016, end=Wed Jun 29 09:22:34 BST 2016, operations=23.657181853231094, operationsPerMinute=11.828590926615547, mode=normal, start=Wed Jun 29 09:22:43 BST 2016, end=Wed Jun 29 09:26:43 BST 2016, operations=47.21379915543151, operationsPerMinute=11.803449788857877
