spec.jvm2008.report.run.location=UNION25
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Sat Jun 04 16:06:33 BST 2016, end=Sat Jun 04 16:06:34 BST 2016, operations=1.0, operationsPerMinute=458.01526717557255
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:06:34 BST 2016, end=Sat Jun 04 16:06:35 BST 2016, operations=1.0, operationsPerMinute=58.36575875486381
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:06:35 BST 2016, end=Sat Jun 04 16:07:07 BST 2016, operations=1.0, operationsPerMinute=1.8777579569993428
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:07:07 BST 2016, end=Sat Jun 04 16:07:13 BST 2016, operations=1.0, operationsPerMinute=9.783140388064568
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:07:13 BST 2016, end=Sat Jun 04 16:07:14 BST 2016, operations=1.0, operationsPerMinute=41.293874741913285
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:07:14 BST 2016, end=Sat Jun 04 16:07:24 BST 2016, operations=1.0, operationsPerMinute=6.167129201356769
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:07:24 BST 2016, end=Sat Jun 04 16:07:32 BST 2016, operations=1.0, operationsPerMinute=7.585335018963337
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:07:32 BST 2016, end=Sat Jun 04 16:07:39 BST 2016, operations=1.0, operationsPerMinute=8.937881722031879
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:07:39 BST 2016, end=Sat Jun 04 16:07:41 BST 2016, operations=1.0, operationsPerMinute=21.382751247327157
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:07:41 BST 2016, end=Sat Jun 04 16:07:42 BST 2016, operations=1.0, operationsPerMinute=71.94244604316546
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:07:42 BST 2016, end=Sat Jun 04 16:07:43 BST 2016, operations=1.0, operationsPerMinute=54.49591280653951
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:07:43 BST 2016, end=Sat Jun 04 16:07:50 BST 2016, operations=1.0, operationsPerMinute=9.514747859181732
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:07:50 BST 2016, end=Sat Jun 04 16:07:51 BST 2016, operations=1.0, operationsPerMinute=39.13894324853229
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:07:51 BST 2016, end=Sat Jun 04 16:07:52 BST 2016, operations=1.0, operationsPerMinute=47.77070063694268
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:07:52 BST 2016, end=Sat Jun 04 16:07:55 BST 2016, operations=1.0, operationsPerMinute=21.405636817695328
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:07:55 BST 2016, end=Sat Jun 04 16:08:02 BST 2016, operations=1.0, operationsPerMinute=8.515469770082316
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:08:02 BST 2016, end=Sat Jun 04 16:08:29 BST 2016, operations=1.0, operationsPerMinute=2.273846970098912
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:08:29 BST 2016, end=Sat Jun 04 16:08:30 BST 2016, operations=1.0, operationsPerMinute=43.13443565780015
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:08:46 BST 2016, end=Sat Jun 04 16:10:46 BST 2016, operations=442.67688085482587, operationsPerMinute=221.33844042741293, mode=normal, start=Sat Jun 04 16:10:48 BST 2016, end=Sat Jun 04 16:14:48 BST 2016, operations=903.7962950954231, operationsPerMinute=225.9490737738558
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:14:55 BST 2016, end=Sat Jun 04 16:16:55 BST 2016, operations=175.97497079684652, operationsPerMinute=87.98748539842326, mode=normal, start=Sat Jun 04 16:17:04 BST 2016, end=Sat Jun 04 16:21:04 BST 2016, operations=349.6593002417808, operationsPerMinute=87.4148250604452
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:21:14 BST 2016, end=Sat Jun 04 16:23:14 BST 2016, operations=473.9441732775301, operationsPerMinute=236.97208663876506, mode=normal, start=Sat Jun 04 16:23:17 BST 2016, end=Sat Jun 04 16:27:17 BST 2016, operations=948.8205649537578, operationsPerMinute=237.20514123843944
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:27:20 BST 2016, end=Sat Jun 04 16:29:20 BST 2016, operations=126.09570348236032, operationsPerMinute=63.04785174118016, mode=normal, start=Sat Jun 04 16:29:30 BST 2016, end=Sat Jun 04 16:33:30 BST 2016, operations=264.103297608106, operationsPerMinute=66.0258244020265
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:33:40 BST 2016, end=Sat Jun 04 16:35:40 BST 2016, operations=221.84721291176388, operationsPerMinute=110.92360645588194, mode=normal, start=Sat Jun 04 16:35:46 BST 2016, end=Sat Jun 04 16:39:46 BST 2016, operations=442.3536879896218, operationsPerMinute=110.58842199740545
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:39:53 BST 2016, end=Sat Jun 04 16:41:53 BST 2016, operations=387.319034758258, operationsPerMinute=193.659517379129, mode=normal, start=Sat Jun 04 16:41:57 BST 2016, end=Sat Jun 04 16:45:57 BST 2016, operations=765.7148351546991, operationsPerMinute=191.42870878867478
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:47:44 BST 2016, end=Sat Jun 04 16:49:44 BST 2016, operations=314.26533550568496, operationsPerMinute=157.13266775284248, mode=normal, start=Sat Jun 04 16:49:48 BST 2016, end=Sat Jun 04 16:53:48 BST 2016, operations=617.7274115008141, operationsPerMinute=154.43185287520353
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:53:53 BST 2016, end=Sat Jun 04 16:55:53 BST 2016, operations=214.80887498213076, operationsPerMinute=107.40443749106538, mode=normal, start=Sat Jun 04 16:56:00 BST 2016, end=Sat Jun 04 17:00:00 BST 2016, operations=428.69896664637633, operationsPerMinute=107.17474166159408
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 17:00:07 BST 2016, end=Sat Jun 04 17:02:07 BST 2016, operations=91.24452153918224, operationsPerMinute=45.62226076959112, mode=normal, start=Sat Jun 04 17:02:23 BST 2016, end=Sat Jun 04 17:06:23 BST 2016, operations=175.7541569194365, operationsPerMinute=43.938539229859124
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:06:36 BST 2016, end=Sat Jun 04 17:08:36 BST 2016, operations=19.97638863061957, operationsPerMinute=9.988194315309785, mode=normal, start=Sat Jun 04 17:09:41 BST 2016, end=Sat Jun 04 17:13:41 BST 2016, operations=39.17893204286074, operationsPerMinute=9.794733010715184
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:14:46 BST 2016, end=Sat Jun 04 17:16:46 BST 2016, operations=113.4474306856405, operationsPerMinute=56.72371534282025, mode=normal, start=Sat Jun 04 17:16:59 BST 2016, end=Sat Jun 04 17:20:59 BST 2016, operations=226.0325260176904, operationsPerMinute=56.5081315044226
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:21:14 BST 2016, end=Sat Jun 04 17:23:14 BST 2016, operations=60.500317041230275, operationsPerMinute=30.250158520615138, mode=normal, start=Sat Jun 04 17:23:36 BST 2016, end=Sat Jun 04 17:27:36 BST 2016, operations=119.21270513571694, operationsPerMinute=29.803176283929236
