spec.jvm2008.report.run.location=PERCY004
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 15:03:06 BST 2016, end=Sun Jun 26 15:03:06 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 15:03:06 BST 2016, end=Sun Jun 26 15:03:06 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 15:03:06 BST 2016, end=Sun Jun 26 15:03:19 BST 2016, operations=1.0, operationsPerMinute=4.731114966093676
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 15:03:19 BST 2016, end=Sun Jun 26 15:03:22 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 15:03:22 BST 2016, end=Sun Jun 26 15:03:23 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 15:03:23 BST 2016, end=Sun Jun 26 15:03:32 BST 2016, operations=1.0, operationsPerMinute=7.1098471382865265
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 15:03:32 BST 2016, end=Sun Jun 26 15:03:39 BST 2016, operations=1.0, operationsPerMinute=7.930214115781126
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 15:03:39 BST 2016, end=Sun Jun 26 15:03:46 BST 2016, operations=1.0, operationsPerMinute=8.761682242990654
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 15:03:46 BST 2016, end=Sun Jun 26 15:03:48 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 15:03:48 BST 2016, end=Sun Jun 26 15:03:49 BST 2016, operations=1.0, operationsPerMinute=81.74386920980926
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 15:03:49 BST 2016, end=Sun Jun 26 15:03:50 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 15:03:50 BST 2016, end=Sun Jun 26 15:03:55 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 15:03:55 BST 2016, end=Sun Jun 26 15:03:57 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 15:03:57 BST 2016, end=Sun Jun 26 15:03:58 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 15:03:58 BST 2016, end=Sun Jun 26 15:04:00 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 15:04:00 BST 2016, end=Sun Jun 26 15:04:06 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 15:04:06 BST 2016, end=Sun Jun 26 15:04:26 BST 2016, operations=1.0, operationsPerMinute=2.9886431560071727
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 15:04:27 BST 2016, end=Sun Jun 26 15:04:27 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 15:04:37 BST 2016, end=Sun Jun 26 15:06:37 BST 2016, operations=484.576519310553, operationsPerMinute=242.2882596552765, mode=normal, start=Sun Jun 26 15:06:39 BST 2016, end=Sun Jun 26 15:10:39 BST 2016, operations=1015.3410592594876, operationsPerMinute=253.8352648148719
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 15:10:42 BST 2016, end=Sun Jun 26 15:12:42 BST 2016, operations=200.1962655289697, operationsPerMinute=100.09813276448484, mode=normal, start=Sun Jun 26 15:12:46 BST 2016, end=Sun Jun 26 15:16:46 BST 2016, operations=390.95298751253154, operationsPerMinute=97.73824687813288
benchmark-name=compress, mod=warmup, start=Sun Jun 26 15:16:50 BST 2016, end=Sun Jun 26 15:18:50 BST 2016, operations=393.1464039638232, operationsPerMinute=196.5732019819116, mode=normal, start=Sun Jun 26 15:18:52 BST 2016, end=Sun Jun 26 15:22:52 BST 2016, operations=797.8378858645094, operationsPerMinute=199.45947146612735
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 15:22:54 BST 2016, end=Sun Jun 26 15:24:54 BST 2016, operations=137.31573604042313, operationsPerMinute=68.65786802021157, mode=normal, start=Sun Jun 26 15:24:57 BST 2016, end=Sun Jun 26 15:28:57 BST 2016, operations=291.49857324016864, operationsPerMinute=72.87464331004216
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 15:29:02 BST 2016, end=Sun Jun 26 15:31:02 BST 2016, operations=232.76651360745137, operationsPerMinute=116.38325680372569, mode=normal, start=Sun Jun 26 15:31:06 BST 2016, end=Sun Jun 26 15:35:06 BST 2016, operations=468.8971865691914, operationsPerMinute=117.22429664229784
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 15:35:09 BST 2016, end=Sun Jun 26 15:37:09 BST 2016, operations=404.3135269222468, operationsPerMinute=202.1567634611234, mode=normal, start=Sun Jun 26 15:37:11 BST 2016, end=Sun Jun 26 15:41:11 BST 2016, operations=808.7440680118514, operationsPerMinute=202.18601700296284
benchmark-name=derby, mod=warmup, start=Sun Jun 26 15:41:34 BST 2016, end=Sun Jun 26 15:43:34 BST 2016, operations=361.39614981635634, operationsPerMinute=180.69807490817817, mode=normal, start=Sun Jun 26 15:43:36 BST 2016, end=Sun Jun 26 15:47:36 BST 2016, operations=720.2380164520021, operationsPerMinute=180.05950411300051
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 15:47:39 BST 2016, end=Sun Jun 26 15:49:39 BST 2016, operations=207.67240347845606, operationsPerMinute=103.83620173922803, mode=normal, start=Sun Jun 26 15:49:41 BST 2016, end=Sun Jun 26 15:53:41 BST 2016, operations=415.5877871531254, operationsPerMinute=103.89694678828135
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 15:53:44 BST 2016, end=Sun Jun 26 15:55:44 BST 2016, operations=72.11685386420186, operationsPerMinute=36.05842693210093, mode=normal, start=Sun Jun 26 15:55:51 BST 2016, end=Sun Jun 26 15:59:51 BST 2016, operations=152.78727018215528, operationsPerMinute=38.19681754553882
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 16:00:00 BST 2016, end=Sun Jun 26 16:02:00 BST 2016, operations=13.836726314626885, operationsPerMinute=6.9183631573134425, mode=normal, start=Sun Jun 26 16:02:44 BST 2016, end=Sun Jun 26 16:06:44 BST 2016, operations=27.671592973450544, operationsPerMinute=6.917898243362636
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 16:07:22 BST 2016, end=Sun Jun 26 16:09:22 BST 2016, operations=74.61681739820543, operationsPerMinute=37.30840869910271, mode=normal, start=Sun Jun 26 16:09:30 BST 2016, end=Sun Jun 26 16:13:30 BST 2016, operations=149.19997505513993, operationsPerMinute=37.29999376378498
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 16:13:41 BST 2016, end=Sun Jun 26 16:15:41 BST 2016, operations=43.04574332126326, operationsPerMinute=21.52287166063163, mode=normal, start=Sun Jun 26 16:15:52 BST 2016, end=Sun Jun 26 16:19:52 BST 2016, operations=86.05363590308671, operationsPerMinute=21.51340897577168
