spec.jvm2008.report.run.location=UNION30
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Wed Jun 29 08:15:27 BST 2016, end=Wed Jun 29 08:15:27 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 08:15:27 BST 2016, end=Wed Jun 29 08:15:27 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 08:15:27 BST 2016, end=Wed Jun 29 08:15:47 BST 2016, operations=1.0, operationsPerMinute=3.079291762894534
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 08:15:47 BST 2016, end=Wed Jun 29 08:15:51 BST 2016, operations=1.0, operationsPerMinute=13.786764705882353
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 08:15:51 BST 2016, end=Wed Jun 29 08:15:52 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 08:15:52 BST 2016, end=Wed Jun 29 08:16:02 BST 2016, operations=1.0, operationsPerMinute=6.51890482398957
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 08:16:02 BST 2016, end=Wed Jun 29 08:16:09 BST 2016, operations=1.0, operationsPerMinute=7.616146230007616
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 08:16:09 BST 2016, end=Wed Jun 29 08:16:16 BST 2016, operations=1.0, operationsPerMinute=8.780916142250842
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 08:16:16 BST 2016, end=Wed Jun 29 08:16:19 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 08:16:19 BST 2016, end=Wed Jun 29 08:16:20 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 08:16:20 BST 2016, end=Wed Jun 29 08:16:21 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 08:16:21 BST 2016, end=Wed Jun 29 08:16:27 BST 2016, operations=1.0, operationsPerMinute=9.836065573770492
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 08:16:27 BST 2016, end=Wed Jun 29 08:16:28 BST 2016, operations=1.0, operationsPerMinute=40.92769440654843
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 08:16:28 BST 2016, end=Wed Jun 29 08:16:30 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 08:16:30 BST 2016, end=Wed Jun 29 08:16:32 BST 2016, operations=1.0, operationsPerMinute=23.31002331002331
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 08:16:32 BST 2016, end=Wed Jun 29 08:16:39 BST 2016, operations=1.0, operationsPerMinute=9.070294784580499
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 08:16:39 BST 2016, end=Wed Jun 29 08:17:03 BST 2016, operations=1.0, operationsPerMinute=2.4607308370586063
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 08:17:03 BST 2016, end=Wed Jun 29 08:17:04 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 08:17:18 BST 2016, end=Wed Jun 29 08:19:18 BST 2016, operations=455.4218254882685, operationsPerMinute=227.71091274413425, mode=normal, start=Wed Jun 29 08:19:21 BST 2016, end=Wed Jun 29 08:23:21 BST 2016, operations=928.5534853590619, operationsPerMinute=232.13837133976548
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 08:23:27 BST 2016, end=Wed Jun 29 08:25:27 BST 2016, operations=185.80102281818364, operationsPerMinute=92.90051140909182, mode=normal, start=Wed Jun 29 08:25:35 BST 2016, end=Wed Jun 29 08:29:35 BST 2016, operations=369.7966956287863, operationsPerMinute=92.44917390719658
benchmark-name=compress, mod=warmup, start=Wed Jun 29 08:29:42 BST 2016, end=Wed Jun 29 08:31:42 BST 2016, operations=485.31417404073926, operationsPerMinute=242.65708702036963, mode=normal, start=Wed Jun 29 08:31:46 BST 2016, end=Wed Jun 29 08:35:46 BST 2016, operations=974.2648847067109, operationsPerMinute=243.56622117667771
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 08:35:49 BST 2016, end=Wed Jun 29 08:37:49 BST 2016, operations=128.26529205425953, operationsPerMinute=64.13264602712977, mode=normal, start=Wed Jun 29 08:38:00 BST 2016, end=Wed Jun 29 08:42:00 BST 2016, operations=269.7769837328519, operationsPerMinute=67.44424593321297
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 08:42:12 BST 2016, end=Wed Jun 29 08:44:12 BST 2016, operations=229.87455699179844, operationsPerMinute=114.93727849589922, mode=normal, start=Wed Jun 29 08:44:17 BST 2016, end=Wed Jun 29 08:48:17 BST 2016, operations=458.4180384259154, operationsPerMinute=114.60450960647886
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 08:48:24 BST 2016, end=Wed Jun 29 08:50:24 BST 2016, operations=395.47233711008386, operationsPerMinute=197.73616855504193, mode=normal, start=Wed Jun 29 08:50:28 BST 2016, end=Wed Jun 29 08:54:28 BST 2016, operations=792.1351159156104, operationsPerMinute=198.0337789789026
benchmark-name=derby, mod=warmup, start=Wed Jun 29 08:56:16 BST 2016, end=Wed Jun 29 08:58:16 BST 2016, operations=334.57180071316606, operationsPerMinute=167.28590035658303, mode=normal, start=Wed Jun 29 08:58:21 BST 2016, end=Wed Jun 29 09:02:21 BST 2016, operations=671.4606759122781, operationsPerMinute=167.86516897806953
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 09:02:26 BST 2016, end=Wed Jun 29 09:04:26 BST 2016, operations=219.47526161683373, operationsPerMinute=109.73763080841687, mode=normal, start=Wed Jun 29 09:04:32 BST 2016, end=Wed Jun 29 09:08:32 BST 2016, operations=439.67039884382086, operationsPerMinute=109.91759971095522
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 09:08:39 BST 2016, end=Wed Jun 29 09:10:39 BST 2016, operations=95.542426594133, operationsPerMinute=47.7712132970665, mode=normal, start=Wed Jun 29 09:10:49 BST 2016, end=Wed Jun 29 09:14:49 BST 2016, operations=185.70769429291119, operationsPerMinute=46.426923573227796
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 09:15:04 BST 2016, end=Wed Jun 29 09:17:04 BST 2016, operations=20.724541316621703, operationsPerMinute=10.362270658310852, mode=normal, start=Wed Jun 29 09:18:03 BST 2016, end=Wed Jun 29 09:22:03 BST 2016, operations=41.48050312595504, operationsPerMinute=10.37012578148876
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 09:23:09 BST 2016, end=Wed Jun 29 09:25:09 BST 2016, operations=121.10014870305383, operationsPerMinute=60.550074351526916, mode=normal, start=Wed Jun 29 09:25:23 BST 2016, end=Wed Jun 29 09:29:23 BST 2016, operations=244.72646895768722, operationsPerMinute=61.181617239421804
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 09:29:36 BST 2016, end=Wed Jun 29 09:31:36 BST 2016, operations=63.10666363396477, operationsPerMinute=31.553331816982386, mode=normal, start=Wed Jun 29 09:31:51 BST 2016, end=Wed Jun 29 09:35:51 BST 2016, operations=126.13307969718407, operationsPerMinute=31.533269924296018
