spec.jvm2008.report.run.location=SUNSPACE07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 28 14:37:39 BST 2016, end=Tue Jun 28 14:37:40 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 14:37:40 BST 2016, end=Tue Jun 28 14:37:41 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 14:37:41 BST 2016, end=Tue Jun 28 14:38:13 BST 2016, operations=1.0, operationsPerMinute=1.8368284096127354
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 14:38:13 BST 2016, end=Tue Jun 28 14:38:19 BST 2016, operations=1.0, operationsPerMinute=10.735373054213634
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 14:38:19 BST 2016, end=Tue Jun 28 14:38:20 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 14:38:21 BST 2016, end=Tue Jun 28 14:38:31 BST 2016, operations=1.0, operationsPerMinute=5.692599620493358
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 14:38:31 BST 2016, end=Tue Jun 28 14:38:40 BST 2016, operations=1.0, operationsPerMinute=7.03152466893238
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 14:38:40 BST 2016, end=Tue Jun 28 14:38:47 BST 2016, operations=1.0, operationsPerMinute=8.288437629506838
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 14:38:47 BST 2016, end=Tue Jun 28 14:38:50 BST 2016, operations=1.0, operationsPerMinute=19.138755980861244
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 14:38:50 BST 2016, end=Tue Jun 28 14:38:51 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 14:38:51 BST 2016, end=Tue Jun 28 14:38:52 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 14:38:52 BST 2016, end=Tue Jun 28 14:38:59 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 14:38:59 BST 2016, end=Tue Jun 28 14:39:01 BST 2016, operations=1.0, operationsPerMinute=31.023784901758013
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 14:39:01 BST 2016, end=Tue Jun 28 14:39:02 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 14:39:02 BST 2016, end=Tue Jun 28 14:39:05 BST 2016, operations=1.0, operationsPerMinute=19.5248942401562
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 14:39:05 BST 2016, end=Tue Jun 28 14:39:13 BST 2016, operations=1.0, operationsPerMinute=8.01068090787717
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 14:39:13 BST 2016, end=Tue Jun 28 14:39:44 BST 2016, operations=1.0, operationsPerMinute=1.895435160322224
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 14:39:44 BST 2016, end=Tue Jun 28 14:39:46 BST 2016, operations=1.0, operationsPerMinute=41.37931034482759
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 14:40:03 BST 2016, end=Tue Jun 28 14:42:03 BST 2016, operations=313.5437342783416, operationsPerMinute=156.7718671391708, mode=normal, start=Tue Jun 28 14:42:05 BST 2016, end=Tue Jun 28 14:46:05 BST 2016, operations=566.3925858884197, operationsPerMinute=141.59814647210493
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 14:46:13 BST 2016, end=Tue Jun 28 14:48:13 BST 2016, operations=101.62367188951407, operationsPerMinute=50.811835944757036, mode=normal, start=Tue Jun 28 14:48:18 BST 2016, end=Tue Jun 28 14:52:18 BST 2016, operations=226.71633537396679, operationsPerMinute=56.679083843491696
benchmark-name=compress, mod=warmup, start=Tue Jun 28 14:52:26 BST 2016, end=Tue Jun 28 14:54:26 BST 2016, operations=248.5822941201769, operationsPerMinute=124.29114706008845, mode=normal, start=Tue Jun 28 14:54:29 BST 2016, end=Tue Jun 28 14:58:29 BST 2016, operations=458.50292430599376, operationsPerMinute=114.62573107649844
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 14:58:33 BST 2016, end=Tue Jun 28 15:00:33 BST 2016, operations=73.41589185338593, operationsPerMinute=36.707945926692965, mode=normal, start=Tue Jun 28 15:00:42 BST 2016, end=Tue Jun 28 15:04:42 BST 2016, operations=136.04095550141577, operationsPerMinute=34.01023887535394
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 15:04:59 BST 2016, end=Tue Jun 28 15:06:59 BST 2016, operations=113.90131186236661, operationsPerMinute=56.950655931183306, mode=normal, start=Tue Jun 28 15:07:06 BST 2016, end=Tue Jun 28 15:11:06 BST 2016, operations=222.01398458508194, operationsPerMinute=55.503496146270486
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 15:11:16 BST 2016, end=Tue Jun 28 15:13:16 BST 2016, operations=188.54936524693684, operationsPerMinute=94.27468262346842, mode=normal, start=Tue Jun 28 15:13:19 BST 2016, end=Tue Jun 28 15:17:19 BST 2016, operations=400.75645020270815, operationsPerMinute=100.18911255067704
benchmark-name=derby, mod=warmup, start=Tue Jun 28 15:19:01 BST 2016, end=Tue Jun 28 15:21:01 BST 2016, operations=159.7608185428976, operationsPerMinute=79.8804092714488, mode=normal, start=Tue Jun 28 15:21:06 BST 2016, end=Tue Jun 28 15:25:06 BST 2016, operations=304.1772929497486, operationsPerMinute=76.04432323743715
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 15:25:11 BST 2016, end=Tue Jun 28 15:27:11 BST 2016, operations=118.71935820167344, operationsPerMinute=59.35967910083672, mode=normal, start=Tue Jun 28 15:27:20 BST 2016, end=Tue Jun 28 15:31:20 BST 2016, operations=223.5417166971736, operationsPerMinute=55.8854291742934
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 15:31:26 BST 2016, end=Tue Jun 28 15:33:26 BST 2016, operations=47.97555485742676, operationsPerMinute=23.98777742871338, mode=normal, start=Tue Jun 28 15:33:40 BST 2016, end=Tue Jun 28 15:37:40 BST 2016, operations=90.34927372576159, operationsPerMinute=22.587318431440398
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 15:38:57 BST 2016, end=Tue Jun 28 15:40:57 BST 2016, operations=8.870464126915241, operationsPerMinute=4.4352320634576206, mode=normal, start=Tue Jun 28 15:43:34 BST 2016, end=Tue Jun 28 15:47:34 BST 2016, operations=16.008632341537542, operationsPerMinute=4.0021580853843854
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 15:49:23 BST 2016, end=Tue Jun 28 15:51:23 BST 2016, operations=36.91380414545077, operationsPerMinute=18.456902072725384, mode=normal, start=Tue Jun 28 15:51:39 BST 2016, end=Tue Jun 28 15:55:39 BST 2016, operations=87.46303933028814, operationsPerMinute=21.865759832572035
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 15:56:05 BST 2016, end=Tue Jun 28 15:58:05 BST 2016, operations=30.06859991532511, operationsPerMinute=15.034299957662554, mode=normal, start=Tue Jun 28 15:58:29 BST 2016, end=Tue Jun 28 16:02:29 BST 2016, operations=46.95214519897867, operationsPerMinute=11.738036299744667
