spec.jvm2008.report.run.location=CASTLEAZES006
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 05:32:46 BST 2016, end=Sat Jun 25 05:32:46 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 05:32:46 BST 2016, end=Sat Jun 25 05:32:46 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 05:32:46 BST 2016, end=Sat Jun 25 05:32:59 BST 2016, operations=1.0, operationsPerMinute=4.70182587571507
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 05:32:59 BST 2016, end=Sat Jun 25 05:33:02 BST 2016, operations=1.0, operationsPerMinute=17.40644038294169
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 05:33:02 BST 2016, end=Sat Jun 25 05:33:03 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 05:33:03 BST 2016, end=Sat Jun 25 05:33:12 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 05:33:12 BST 2016, end=Sat Jun 25 05:33:19 BST 2016, operations=1.0, operationsPerMinute=8.028904054596548
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 05:33:19 BST 2016, end=Sat Jun 25 05:33:26 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 05:33:26 BST 2016, end=Sat Jun 25 05:33:28 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 05:33:28 BST 2016, end=Sat Jun 25 05:33:29 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 05:33:29 BST 2016, end=Sat Jun 25 05:33:30 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 05:33:30 BST 2016, end=Sat Jun 25 05:33:36 BST 2016, operations=1.0, operationsPerMinute=10.714285714285714
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 05:33:36 BST 2016, end=Sat Jun 25 05:33:37 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 05:33:37 BST 2016, end=Sat Jun 25 05:33:38 BST 2016, operations=1.0, operationsPerMinute=60.06006006006006
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 05:33:38 BST 2016, end=Sat Jun 25 05:33:40 BST 2016, operations=1.0, operationsPerMinute=28.076743097800655
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 05:33:40 BST 2016, end=Sat Jun 25 05:33:47 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 05:33:47 BST 2016, end=Sat Jun 25 05:34:07 BST 2016, operations=1.0, operationsPerMinute=2.94045577064445
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 05:34:07 BST 2016, end=Sat Jun 25 05:34:08 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 05:34:18 BST 2016, end=Sat Jun 25 05:36:18 BST 2016, operations=466.2305031967106, operationsPerMinute=233.1152515983553, mode=normal, start=Sat Jun 25 05:36:19 BST 2016, end=Sat Jun 25 05:40:19 BST 2016, operations=956.3468947392233, operationsPerMinute=239.08672368480583
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 05:40:23 BST 2016, end=Sat Jun 25 05:42:23 BST 2016, operations=191.44276531915938, operationsPerMinute=95.72138265957969, mode=normal, start=Sat Jun 25 05:42:27 BST 2016, end=Sat Jun 25 05:46:27 BST 2016, operations=386.80974660384095, operationsPerMinute=96.70243665096024
benchmark-name=compress, mod=warmup, start=Sat Jun 25 05:46:31 BST 2016, end=Sat Jun 25 05:48:31 BST 2016, operations=370.758321024285, operationsPerMinute=185.3791605121425, mode=normal, start=Sat Jun 25 05:48:33 BST 2016, end=Sat Jun 25 05:52:33 BST 2016, operations=740.9965057243867, operationsPerMinute=185.24912643109667
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 05:52:35 BST 2016, end=Sat Jun 25 05:54:35 BST 2016, operations=126.13696960553432, operationsPerMinute=63.06848480276716, mode=normal, start=Sat Jun 25 05:54:39 BST 2016, end=Sat Jun 25 05:58:39 BST 2016, operations=272.2586467169201, operationsPerMinute=68.06466167923003
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 05:58:44 BST 2016, end=Sat Jun 25 06:00:44 BST 2016, operations=233.95230910115177, operationsPerMinute=116.97615455057588, mode=normal, start=Sat Jun 25 06:00:47 BST 2016, end=Sat Jun 25 06:04:47 BST 2016, operations=471.2202840227358, operationsPerMinute=117.80507100568396
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 06:04:51 BST 2016, end=Sat Jun 25 06:06:51 BST 2016, operations=408.09511599511603, operationsPerMinute=204.04755799755802, mode=normal, start=Sat Jun 25 06:06:52 BST 2016, end=Sat Jun 25 06:10:52 BST 2016, operations=813.1442196041411, operationsPerMinute=203.28605490103527
benchmark-name=derby, mod=warmup, start=Sat Jun 25 06:11:16 BST 2016, end=Sat Jun 25 06:13:16 BST 2016, operations=360.80231879612006, operationsPerMinute=180.40115939806003, mode=normal, start=Sat Jun 25 06:13:18 BST 2016, end=Sat Jun 25 06:17:18 BST 2016, operations=727.4609463241846, operationsPerMinute=181.86523658104616
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 06:17:20 BST 2016, end=Sat Jun 25 06:19:20 BST 2016, operations=207.6758638608138, operationsPerMinute=103.8379319304069, mode=normal, start=Sat Jun 25 06:19:24 BST 2016, end=Sat Jun 25 06:23:24 BST 2016, operations=416.3923160092014, operationsPerMinute=104.09807900230035
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 06:23:27 BST 2016, end=Sat Jun 25 06:25:27 BST 2016, operations=76.24910979552027, operationsPerMinute=38.124554897760135, mode=normal, start=Sat Jun 25 06:25:35 BST 2016, end=Sat Jun 25 06:29:35 BST 2016, operations=156.5250106217372, operationsPerMinute=39.1312526554343
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 06:29:42 BST 2016, end=Sat Jun 25 06:31:42 BST 2016, operations=13.789827677192594, operationsPerMinute=6.894913838596297, mode=normal, start=Sat Jun 25 06:32:27 BST 2016, end=Sat Jun 25 06:36:27 BST 2016, operations=27.8614241203242, operationsPerMinute=6.96535603008105
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 06:37:02 BST 2016, end=Sat Jun 25 06:39:02 BST 2016, operations=74.57090657546769, operationsPerMinute=37.285453287733844, mode=normal, start=Sat Jun 25 06:39:11 BST 2016, end=Sat Jun 25 06:43:11 BST 2016, operations=149.23114710061566, operationsPerMinute=37.307786775153915
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 06:43:22 BST 2016, end=Sat Jun 25 06:45:22 BST 2016, operations=43.28852061273275, operationsPerMinute=21.644260306366377, mode=normal, start=Sat Jun 25 06:45:32 BST 2016, end=Sat Jun 25 06:49:32 BST 2016, operations=86.53317959775123, operationsPerMinute=21.633294899437807
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 25 06:49:45 BST 2016, end=Sat Jun 25 06:51:45 BST 2016, operations=700.2423433048433, operationsPerMinute=350.12117165242165, mode=normal, start=Sat Jun 25 06:51:46 BST 2016, end=Sat Jun 25 06:55:46 BST 2016, operations=1398.9555330750934, operationsPerMinute=349.73888326877335
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 25 06:55:47 BST 2016, end=Sat Jun 25 06:57:47 BST 2016, operations=572.0773881499396, operationsPerMinute=286.0386940749698, mode=normal, start=Sat Jun 25 06:57:48 BST 2016, end=Sat Jun 25 07:01:48 BST 2016, operations=1138.1955756863804, operationsPerMinute=284.5488939215951
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 25 07:01:49 BST 2016, end=Sat Jun 25 07:03:49 BST 2016, operations=329.66341206058985, operationsPerMinute=164.83170603029492, mode=normal, start=Sat Jun 25 07:03:52 BST 2016, end=Sat Jun 25 07:07:52 BST 2016, operations=660.9712284521357, operationsPerMinute=165.24280711303393
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 25 07:07:54 BST 2016, end=Sat Jun 25 07:09:54 BST 2016, operations=502.2646364008256, operationsPerMinute=251.1323182004128, mode=normal, start=Sat Jun 25 07:09:56 BST 2016, end=Sat Jun 25 07:13:56 BST 2016, operations=1023.4982534373839, operationsPerMinute=255.87456335934598
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 25 07:13:57 BST 2016, end=Sat Jun 25 07:15:57 BST 2016, operations=119.73910473597142, operationsPerMinute=59.86955236798571, mode=normal, start=Sat Jun 25 07:16:05 BST 2016, end=Sat Jun 25 07:20:05 BST 2016, operations=238.2054776620762, operationsPerMinute=59.55136941551905
benchmark-name=serial, mod=warmup, start=Sat Jun 25 07:20:12 BST 2016, end=Sat Jun 25 07:22:12 BST 2016, operations=238.73789333076246, operationsPerMinute=119.36894666538123, mode=normal, start=Sat Jun 25 07:22:16 BST 2016, end=Sat Jun 25 07:26:16 BST 2016, operations=473.1521321454983, operationsPerMinute=118.28803303637457
benchmark-name=sunflow, mod=warmup, start=Sat Jun 25 07:26:19 BST 2016, end=Sat Jun 25 07:28:19 BST 2016, operations=179.6833512299883, operationsPerMinute=89.84167561499414, mode=normal, start=Sat Jun 25 07:28:20 BST 2016, end=Sat Jun 25 07:32:20 BST 2016, operations=354.51115498238255, operationsPerMinute=88.62778874559564
benchmark-name=xml.transform, mod=warmup, start=Sat Jun 25 07:32:42 BST 2016, end=Sat Jun 25 07:34:42 BST 2016, operations=512.720012839151, operationsPerMinute=256.3600064195755, mode=normal, start=Sat Jun 25 07:34:44 BST 2016, end=Sat Jun 25 07:38:44 BST 2016, operations=1028.1745806305648, operationsPerMinute=257.0436451576412
benchmark-name=xml.validation, mod=warmup, start=Sat Jun 25 07:38:46 BST 2016, end=Sat Jun 25 07:40:46 BST 2016, operations=1011.5357771519099, operationsPerMinute=505.76788857595494, mode=normal, start=Sat Jun 25 07:40:46 BST 2016, end=Sat Jun 25 07:44:46 BST 2016, operations=2029.4048141592918, operationsPerMinute=507.35120353982296
