spec.jvm2008.report.run.location=PERCY016
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 12:37:22 BST 2016, end=Sun Jun 26 12:37:22 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 12:37:22 BST 2016, end=Sun Jun 26 12:37:22 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 12:37:22 BST 2016, end=Sun Jun 26 12:37:35 BST 2016, operations=1.0, operationsPerMinute=4.736717454803821
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 12:37:35 BST 2016, end=Sun Jun 26 12:37:38 BST 2016, operations=1.0, operationsPerMinute=18.58160421183029
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 12:37:38 BST 2016, end=Sun Jun 26 12:37:39 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 12:37:39 BST 2016, end=Sun Jun 26 12:37:47 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 12:37:47 BST 2016, end=Sun Jun 26 12:37:55 BST 2016, operations=1.0, operationsPerMinute=7.996801279488205
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 12:37:55 BST 2016, end=Sun Jun 26 12:38:01 BST 2016, operations=1.0, operationsPerMinute=9.223674096848578
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 12:38:01 BST 2016, end=Sun Jun 26 12:38:04 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 12:38:04 BST 2016, end=Sun Jun 26 12:38:04 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 12:38:04 BST 2016, end=Sun Jun 26 12:38:05 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 12:38:05 BST 2016, end=Sun Jun 26 12:38:11 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 12:38:11 BST 2016, end=Sun Jun 26 12:38:12 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 12:38:12 BST 2016, end=Sun Jun 26 12:38:13 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 12:38:13 BST 2016, end=Sun Jun 26 12:38:15 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 12:38:15 BST 2016, end=Sun Jun 26 12:38:22 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 12:38:22 BST 2016, end=Sun Jun 26 12:38:42 BST 2016, operations=1.0, operationsPerMinute=2.990877822640945
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 12:38:42 BST 2016, end=Sun Jun 26 12:38:43 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 12:38:53 BST 2016, end=Sun Jun 26 12:40:53 BST 2016, operations=495.3274486476298, operationsPerMinute=247.6637243238149, mode=normal, start=Sun Jun 26 12:40:54 BST 2016, end=Sun Jun 26 12:44:54 BST 2016, operations=1012.5125511743158, operationsPerMinute=253.12813779357896
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 12:44:58 BST 2016, end=Sun Jun 26 12:46:58 BST 2016, operations=199.86668426175083, operationsPerMinute=99.93334213087542, mode=normal, start=Sun Jun 26 12:47:02 BST 2016, end=Sun Jun 26 12:51:02 BST 2016, operations=385.9113704810435, operationsPerMinute=96.47784262026087
benchmark-name=compress, mod=warmup, start=Sun Jun 26 12:51:06 BST 2016, end=Sun Jun 26 12:53:06 BST 2016, operations=398.9828885310848, operationsPerMinute=199.4914442655424, mode=normal, start=Sun Jun 26 12:53:08 BST 2016, end=Sun Jun 26 12:57:08 BST 2016, operations=798.2065767284992, operationsPerMinute=199.5516441821248
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 12:57:10 BST 2016, end=Sun Jun 26 12:59:10 BST 2016, operations=139.15822971602202, operationsPerMinute=69.57911485801101, mode=normal, start=Sun Jun 26 12:59:14 BST 2016, end=Sun Jun 26 13:03:14 BST 2016, operations=294.18568455475486, operationsPerMinute=73.54642113868871
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 13:03:19 BST 2016, end=Sun Jun 26 13:05:19 BST 2016, operations=231.31699867082835, operationsPerMinute=115.65849933541418, mode=normal, start=Sun Jun 26 13:05:23 BST 2016, end=Sun Jun 26 13:09:23 BST 2016, operations=469.49088621131364, operationsPerMinute=117.37272155282841
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 13:09:26 BST 2016, end=Sun Jun 26 13:11:26 BST 2016, operations=406.64740210562996, operationsPerMinute=203.32370105281498, mode=normal, start=Sun Jun 26 13:11:28 BST 2016, end=Sun Jun 26 13:15:28 BST 2016, operations=813.4700854700855, operationsPerMinute=203.36752136752136
benchmark-name=derby, mod=warmup, start=Sun Jun 26 13:15:50 BST 2016, end=Sun Jun 26 13:17:50 BST 2016, operations=360.26310343216494, operationsPerMinute=180.13155171608247, mode=normal, start=Sun Jun 26 13:17:52 BST 2016, end=Sun Jun 26 13:21:52 BST 2016, operations=728.44469032332, operationsPerMinute=182.11117258083
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 13:21:54 BST 2016, end=Sun Jun 26 13:23:54 BST 2016, operations=207.7809131112344, operationsPerMinute=103.8904565556172, mode=normal, start=Sun Jun 26 13:23:58 BST 2016, end=Sun Jun 26 13:27:58 BST 2016, operations=415.3523022552151, operationsPerMinute=103.83807556380377
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 13:28:02 BST 2016, end=Sun Jun 26 13:30:02 BST 2016, operations=76.99439359629787, operationsPerMinute=38.497196798148934, mode=normal, start=Sun Jun 26 13:30:12 BST 2016, end=Sun Jun 26 13:34:12 BST 2016, operations=153.91488254543725, operationsPerMinute=38.47872063635931
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 13:34:20 BST 2016, end=Sun Jun 26 13:36:20 BST 2016, operations=13.92117736364532, operationsPerMinute=6.96058868182266, mode=normal, start=Sun Jun 26 13:37:03 BST 2016, end=Sun Jun 26 13:41:03 BST 2016, operations=27.775695015594906, operationsPerMinute=6.943923753898726
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 13:41:31 BST 2016, end=Sun Jun 26 13:43:31 BST 2016, operations=74.6102179083631, operationsPerMinute=37.30510895418155, mode=normal, start=Sun Jun 26 13:43:39 BST 2016, end=Sun Jun 26 13:47:39 BST 2016, operations=149.24578325417963, operationsPerMinute=37.31144581354491
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 13:47:48 BST 2016, end=Sun Jun 26 13:49:48 BST 2016, operations=42.46102265044453, operationsPerMinute=21.230511325222263, mode=normal, start=Sun Jun 26 13:50:01 BST 2016, end=Sun Jun 26 13:54:01 BST 2016, operations=84.8147802553019, operationsPerMinute=21.203695063825474
