spec.jvm2008.report.run.location=PERCY010
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:00 BST 2016, end=Thu May 26 14:19:00 BST 2016, operations=1.0, operationsPerMinute=1034.4827586206898
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:00 BST 2016, end=Thu May 26 14:19:00 BST 2016, operations=1.0, operationsPerMinute=277.77777777777777
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:00 BST 2016, end=Thu May 26 14:19:16 BST 2016, operations=1.0, operationsPerMinute=3.729719649406353
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:16 BST 2016, end=Thu May 26 14:19:20 BST 2016, operations=1.0, operationsPerMinute=14.77832512315271
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:20 BST 2016, end=Thu May 26 14:19:21 BST 2016, operations=1.0, operationsPerMinute=44.97751124437781
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:21 BST 2016, end=Thu May 26 14:19:30 BST 2016, operations=1.0, operationsPerMinute=7.081317124985247
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:30 BST 2016, end=Thu May 26 14:19:37 BST 2016, operations=1.0, operationsPerMinute=7.887472065203102
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:37 BST 2016, end=Thu May 26 14:19:44 BST 2016, operations=1.0, operationsPerMinute=9.339975093399751
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:19:44 BST 2016, end=Thu May 26 14:19:46 BST 2016, operations=1.0, operationsPerMinute=25.188916876574307
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:19:46 BST 2016, end=Thu May 26 14:19:47 BST 2016, operations=1.0, operationsPerMinute=73.34963325183374
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:19:47 BST 2016, end=Thu May 26 14:19:48 BST 2016, operations=1.0, operationsPerMinute=59.94005994005994
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:19:48 BST 2016, end=Thu May 26 14:19:54 BST 2016, operations=1.0, operationsPerMinute=10.160880609652837
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:19:54 BST 2016, end=Thu May 26 14:19:55 BST 2016, operations=1.0, operationsPerMinute=39.787798408488065
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:19:55 BST 2016, end=Thu May 26 14:19:56 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:19:56 BST 2016, end=Thu May 26 14:19:59 BST 2016, operations=1.0, operationsPerMinute=21.367521367521366
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:19:59 BST 2016, end=Thu May 26 14:20:06 BST 2016, operations=1.0, operationsPerMinute=9.188361408882082
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:06 BST 2016, end=Thu May 26 14:20:27 BST 2016, operations=1.0, operationsPerMinute=2.7996827026270354
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:27 BST 2016, end=Thu May 26 14:20:28 BST 2016, operations=1.0, operationsPerMinute=65.57377049180327
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:39 BST 2016, end=Thu May 26 14:22:39 BST 2016, operations=432.0915583485404, operationsPerMinute=216.0457791742702, mode=normal, start=Thu May 26 14:22:41 BST 2016, end=Thu May 26 14:26:41 BST 2016, operations=883.6026673084206, operationsPerMinute=220.90066682710514
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:45 BST 2016, end=Thu May 26 14:28:45 BST 2016, operations=169.74174279553048, operationsPerMinute=84.87087139776524, mode=normal, start=Thu May 26 14:28:49 BST 2016, end=Thu May 26 14:32:49 BST 2016, operations=331.5390659626589, operationsPerMinute=82.88476649066473
benchmark-name=compress, mod=warmup, start=Thu May 26 14:32:53 BST 2016, end=Thu May 26 14:34:53 BST 2016, operations=370.89499507047697, operationsPerMinute=185.44749753523848, mode=normal, start=Thu May 26 14:34:56 BST 2016, end=Thu May 26 14:38:56 BST 2016, operations=747.6345677239647, operationsPerMinute=186.90864193099117
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:38:58 BST 2016, end=Thu May 26 14:40:58 BST 2016, operations=129.93742314826466, operationsPerMinute=64.96871157413233, mode=normal, start=Thu May 26 14:41:04 BST 2016, end=Thu May 26 14:45:04 BST 2016, operations=274.24662130689535, operationsPerMinute=68.56165532672384
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:09 BST 2016, end=Thu May 26 14:47:09 BST 2016, operations=222.4409695580743, operationsPerMinute=111.22048477903715, mode=normal, start=Thu May 26 14:47:12 BST 2016, end=Thu May 26 14:51:12 BST 2016, operations=445.1858497728689, operationsPerMinute=111.29646244321722
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:16 BST 2016, end=Thu May 26 14:53:16 BST 2016, operations=383.4654225319986, operationsPerMinute=191.7327112659993, mode=normal, start=Thu May 26 14:53:18 BST 2016, end=Thu May 26 14:57:18 BST 2016, operations=779.5243517263793, operationsPerMinute=194.88108793159483
benchmark-name=derby, mod=warmup, start=Thu May 26 14:57:42 BST 2016, end=Thu May 26 14:59:42 BST 2016, operations=325.4689247957223, operationsPerMinute=162.73446239786114, mode=normal, start=Thu May 26 14:59:44 BST 2016, end=Thu May 26 15:03:44 BST 2016, operations=638.8151692717394, operationsPerMinute=159.70379231793484
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:46 BST 2016, end=Thu May 26 15:05:46 BST 2016, operations=195.71753028257615, operationsPerMinute=97.85876514128807, mode=normal, start=Thu May 26 15:05:51 BST 2016, end=Thu May 26 15:09:51 BST 2016, operations=395.761365909156, operationsPerMinute=98.940341477289
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:09:54 BST 2016, end=Thu May 26 15:11:54 BST 2016, operations=59.74896114188518, operationsPerMinute=29.87448057094259, mode=normal, start=Thu May 26 15:12:04 BST 2016, end=Thu May 26 15:16:04 BST 2016, operations=118.51571424366355, operationsPerMinute=29.628928560915888
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:16:17 BST 2016, end=Thu May 26 15:18:17 BST 2016, operations=10.735138588614289, operationsPerMinute=5.3675692943071445, mode=normal, start=Thu May 26 15:19:04 BST 2016, end=Thu May 26 15:23:04 BST 2016, operations=22.507864460799773, operationsPerMinute=5.626966115199943
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:23:55 BST 2016, end=Thu May 26 15:25:55 BST 2016, operations=56.70667020375603, operationsPerMinute=28.353335101878017, mode=normal, start=Thu May 26 15:26:08 BST 2016, end=Thu May 26 15:30:08 BST 2016, operations=118.30374150251129, operationsPerMinute=29.57593537562782
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:30:20 BST 2016, end=Thu May 26 15:32:20 BST 2016, operations=35.66052423687907, operationsPerMinute=17.830262118439535, mode=normal, start=Thu May 26 15:32:33 BST 2016, end=Thu May 26 15:36:33 BST 2016, operations=78.68807982391104, operationsPerMinute=19.67201995597776
