spec.jvm2008.report.run.location=LAW013
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 02:09:32 BST 2016, end=Mon Jun 27 02:09:32 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 02:09:32 BST 2016, end=Mon Jun 27 02:09:33 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 02:09:33 BST 2016, end=Mon Jun 27 02:09:56 BST 2016, operations=1.0, operationsPerMinute=2.584313218762114
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 02:09:56 BST 2016, end=Mon Jun 27 02:10:01 BST 2016, operations=1.0, operationsPerMinute=11.538461538461538
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 02:10:01 BST 2016, end=Mon Jun 27 02:10:03 BST 2016, operations=1.0, operationsPerMinute=40.0266844563042
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 02:10:03 BST 2016, end=Mon Jun 27 02:10:12 BST 2016, operations=1.0, operationsPerMinute=6.238303181534622
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 02:10:12 BST 2016, end=Mon Jun 27 02:10:20 BST 2016, operations=1.0, operationsPerMinute=7.5795856493178375
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 02:10:20 BST 2016, end=Mon Jun 27 02:10:27 BST 2016, operations=1.0, operationsPerMinute=8.875739644970414
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 02:10:27 BST 2016, end=Mon Jun 27 02:10:30 BST 2016, operations=1.0, operationsPerMinute=21.231422505307854
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 02:10:30 BST 2016, end=Mon Jun 27 02:10:31 BST 2016, operations=1.0, operationsPerMinute=64.034151547492
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 02:10:31 BST 2016, end=Mon Jun 27 02:10:32 BST 2016, operations=1.0, operationsPerMinute=51.94805194805195
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 02:10:32 BST 2016, end=Mon Jun 27 02:10:38 BST 2016, operations=1.0, operationsPerMinute=9.395552771688068
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 02:10:38 BST 2016, end=Mon Jun 27 02:10:40 BST 2016, operations=1.0, operationsPerMinute=36.58536585365854
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 02:10:40 BST 2016, end=Mon Jun 27 02:10:41 BST 2016, operations=1.0, operationsPerMinute=49.26108374384236
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 02:10:41 BST 2016, end=Mon Jun 27 02:10:44 BST 2016, operations=1.0, operationsPerMinute=20.554984583761563
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 02:10:44 BST 2016, end=Mon Jun 27 02:10:51 BST 2016, operations=1.0, operationsPerMinute=8.371703641691084
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 02:10:51 BST 2016, end=Mon Jun 27 02:11:18 BST 2016, operations=1.0, operationsPerMinute=2.212307805759375
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 02:11:18 BST 2016, end=Mon Jun 27 02:11:20 BST 2016, operations=1.0, operationsPerMinute=35.587188612099645
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 02:11:34 BST 2016, end=Mon Jun 27 02:13:34 BST 2016, operations=399.7414912775672, operationsPerMinute=199.8707456387836, mode=normal, start=Mon Jun 27 02:13:36 BST 2016, end=Mon Jun 27 02:17:36 BST 2016, operations=801.6799477135266, operationsPerMinute=200.41998692838166
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 02:17:41 BST 2016, end=Mon Jun 27 02:19:41 BST 2016, operations=161.45426859454085, operationsPerMinute=80.72713429727042, mode=normal, start=Mon Jun 27 02:19:45 BST 2016, end=Mon Jun 27 02:23:45 BST 2016, operations=326.4273692996139, operationsPerMinute=81.60684232490347
benchmark-name=compress, mod=warmup, start=Mon Jun 27 02:23:49 BST 2016, end=Mon Jun 27 02:25:49 BST 2016, operations=312.9206623393054, operationsPerMinute=156.4603311696527, mode=normal, start=Mon Jun 27 02:25:52 BST 2016, end=Mon Jun 27 02:29:52 BST 2016, operations=655.8041748957721, operationsPerMinute=163.95104372394303
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 02:29:54 BST 2016, end=Mon Jun 27 02:31:54 BST 2016, operations=107.87969549981351, operationsPerMinute=53.939847749906754, mode=normal, start=Mon Jun 27 02:31:59 BST 2016, end=Mon Jun 27 02:35:59 BST 2016, operations=230.0381580872701, operationsPerMinute=57.50953952181752
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 02:36:04 BST 2016, end=Mon Jun 27 02:38:04 BST 2016, operations=195.15322727044992, operationsPerMinute=97.57661363522496, mode=normal, start=Mon Jun 27 02:38:08 BST 2016, end=Mon Jun 27 02:42:08 BST 2016, operations=383.03369964995477, operationsPerMinute=95.75842491248869
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 02:42:12 BST 2016, end=Mon Jun 27 02:44:12 BST 2016, operations=326.3766119550306, operationsPerMinute=163.1883059775153, mode=normal, start=Mon Jun 27 02:44:15 BST 2016, end=Mon Jun 27 02:48:15 BST 2016, operations=653.6820823903662, operationsPerMinute=163.42052059759155
benchmark-name=derby, mod=warmup, start=Mon Jun 27 02:49:15 BST 2016, end=Mon Jun 27 02:51:15 BST 2016, operations=241.2677610082937, operationsPerMinute=120.63388050414684, mode=normal, start=Mon Jun 27 02:51:18 BST 2016, end=Mon Jun 27 02:55:18 BST 2016, operations=479.25678318411246, operationsPerMinute=119.81419579602812
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 02:55:21 BST 2016, end=Mon Jun 27 02:57:21 BST 2016, operations=159.80060062745474, operationsPerMinute=79.90030031372737, mode=normal, start=Mon Jun 27 02:57:27 BST 2016, end=Mon Jun 27 03:01:27 BST 2016, operations=317.2738198092788, operationsPerMinute=79.3184549523197
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 03:01:32 BST 2016, end=Mon Jun 27 03:03:32 BST 2016, operations=96.60560272461632, operationsPerMinute=48.30280136230816, mode=normal, start=Mon Jun 27 03:03:39 BST 2016, end=Mon Jun 27 03:07:39 BST 2016, operations=197.4145688530724, operationsPerMinute=49.3536422132681
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 03:07:46 BST 2016, end=Mon Jun 27 03:09:46 BST 2016, operations=22.281623203864335, operationsPerMinute=11.140811601932167, mode=normal, start=Mon Jun 27 03:10:13 BST 2016, end=Mon Jun 27 03:14:13 BST 2016, operations=44.474654253066646, operationsPerMinute=11.118663563266661
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 03:14:49 BST 2016, end=Mon Jun 27 03:16:49 BST 2016, operations=64.51432990390697, operationsPerMinute=32.257164951953484, mode=normal, start=Mon Jun 27 03:17:00 BST 2016, end=Mon Jun 27 03:21:00 BST 2016, operations=129.3166752728265, operationsPerMinute=32.329168818206625
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 03:21:17 BST 2016, end=Mon Jun 27 03:23:17 BST 2016, operations=73.32187150070283, operationsPerMinute=36.66093575035141, mode=normal, start=Mon Jun 27 03:23:26 BST 2016, end=Mon Jun 27 03:27:26 BST 2016, operations=146.67448747135262, operationsPerMinute=36.668621867838155
