spec.jvm2008.report.run.location=GLAZIER05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 00:27:05 BST 2016, end=Fri Jun 24 00:27:05 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 00:27:05 BST 2016, end=Fri Jun 24 00:27:05 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 00:27:05 BST 2016, end=Fri Jun 24 00:27:21 BST 2016, operations=1.0, operationsPerMinute=3.68052999631947
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 00:27:21 BST 2016, end=Fri Jun 24 00:27:25 BST 2016, operations=1.0, operationsPerMinute=14.910536779324056
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 00:27:25 BST 2016, end=Fri Jun 24 00:27:27 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 00:27:27 BST 2016, end=Fri Jun 24 00:27:36 BST 2016, operations=1.0, operationsPerMinute=6.597756762700682
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 00:27:36 BST 2016, end=Fri Jun 24 00:27:44 BST 2016, operations=1.0, operationsPerMinute=7.570977917981073
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 00:27:44 BST 2016, end=Fri Jun 24 00:27:51 BST 2016, operations=1.0, operationsPerMinute=8.841732979664014
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 00:27:51 BST 2016, end=Fri Jun 24 00:27:53 BST 2016, operations=1.0, operationsPerMinute=22.488755622188904
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 00:27:53 BST 2016, end=Fri Jun 24 00:27:54 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 00:27:54 BST 2016, end=Fri Jun 24 00:27:55 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 00:27:55 BST 2016, end=Fri Jun 24 00:28:01 BST 2016, operations=1.0, operationsPerMinute=9.811937857726901
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 00:28:01 BST 2016, end=Fri Jun 24 00:28:03 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 00:28:03 BST 2016, end=Fri Jun 24 00:28:04 BST 2016, operations=1.0, operationsPerMinute=51.94805194805195
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 00:28:04 BST 2016, end=Fri Jun 24 00:28:07 BST 2016, operations=1.0, operationsPerMinute=23.174971031286212
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 00:28:07 BST 2016, end=Fri Jun 24 00:28:13 BST 2016, operations=1.0, operationsPerMinute=9.006304413089163
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 00:28:13 BST 2016, end=Fri Jun 24 00:28:38 BST 2016, operations=1.0, operationsPerMinute=2.459217968685958
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 00:28:38 BST 2016, end=Fri Jun 24 00:28:39 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 00:28:51 BST 2016, end=Fri Jun 24 00:30:51 BST 2016, operations=413.87212844461743, operationsPerMinute=206.93606422230872, mode=normal, start=Fri Jun 24 00:30:53 BST 2016, end=Fri Jun 24 00:34:53 BST 2016, operations=862.3857164376914, operationsPerMinute=215.59642910942284
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 00:34:58 BST 2016, end=Fri Jun 24 00:36:58 BST 2016, operations=163.72033242649152, operationsPerMinute=81.86016621324576, mode=normal, start=Fri Jun 24 00:37:01 BST 2016, end=Fri Jun 24 00:41:01 BST 2016, operations=320.14511423177873, operationsPerMinute=80.03627855794468
benchmark-name=compress, mod=warmup, start=Fri Jun 24 00:41:06 BST 2016, end=Fri Jun 24 00:43:06 BST 2016, operations=349.8636769106368, operationsPerMinute=174.9318384553184, mode=normal, start=Fri Jun 24 00:43:07 BST 2016, end=Fri Jun 24 00:47:07 BST 2016, operations=704.4843111472716, operationsPerMinute=176.1210777868179
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 00:47:09 BST 2016, end=Fri Jun 24 00:49:09 BST 2016, operations=115.89273871065096, operationsPerMinute=57.94636935532548, mode=normal, start=Fri Jun 24 00:49:16 BST 2016, end=Fri Jun 24 00:53:16 BST 2016, operations=244.75362179965808, operationsPerMinute=61.18840544991452
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 00:53:22 BST 2016, end=Fri Jun 24 00:55:22 BST 2016, operations=205.84538761368557, operationsPerMinute=102.92269380684279, mode=normal, start=Fri Jun 24 00:55:26 BST 2016, end=Fri Jun 24 00:59:26 BST 2016, operations=412.0099967440042, operationsPerMinute=103.00249918600105
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 00:59:31 BST 2016, end=Fri Jun 24 01:01:31 BST 2016, operations=342.8807850636475, operationsPerMinute=171.44039253182376, mode=normal, start=Fri Jun 24 01:01:33 BST 2016, end=Fri Jun 24 01:05:33 BST 2016, operations=697.6546603386357, operationsPerMinute=174.41366508465893
benchmark-name=derby, mod=warmup, start=Fri Jun 24 01:06:52 BST 2016, end=Fri Jun 24 01:08:52 BST 2016, operations=263.057494288762, operationsPerMinute=131.528747144381, mode=normal, start=Fri Jun 24 01:08:54 BST 2016, end=Fri Jun 24 01:12:54 BST 2016, operations=527.8942092853898, operationsPerMinute=131.97355232134746
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 01:12:57 BST 2016, end=Fri Jun 24 01:14:57 BST 2016, operations=174.01365841621592, operationsPerMinute=87.00682920810796, mode=normal, start=Fri Jun 24 01:15:02 BST 2016, end=Fri Jun 24 01:19:02 BST 2016, operations=347.5130489278788, operationsPerMinute=86.8782622319697
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 01:19:06 BST 2016, end=Fri Jun 24 01:21:06 BST 2016, operations=95.97293506972156, operationsPerMinute=47.98646753486078, mode=normal, start=Fri Jun 24 01:21:14 BST 2016, end=Fri Jun 24 01:25:14 BST 2016, operations=193.6163718453079, operationsPerMinute=48.404092961326974
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 01:25:21 BST 2016, end=Fri Jun 24 01:27:21 BST 2016, operations=21.580806278614084, operationsPerMinute=10.790403139307042, mode=normal, start=Fri Jun 24 01:27:50 BST 2016, end=Fri Jun 24 01:31:50 BST 2016, operations=42.832688401109124, operationsPerMinute=10.708172100277281
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 01:32:14 BST 2016, end=Fri Jun 24 01:34:14 BST 2016, operations=69.58853291947942, operationsPerMinute=34.79426645973971, mode=normal, start=Fri Jun 24 01:34:24 BST 2016, end=Fri Jun 24 01:38:24 BST 2016, operations=139.39299508585444, operationsPerMinute=34.84824877146361
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 01:38:32 BST 2016, end=Fri Jun 24 01:40:32 BST 2016, operations=72.25304379254719, operationsPerMinute=36.126521896273594, mode=normal, start=Fri Jun 24 01:40:42 BST 2016, end=Fri Jun 24 01:44:42 BST 2016, operations=144.7801265790192, operationsPerMinute=36.1950316447548
