spec.jvm2008.report.run.location=OLDLIB042
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Fri Jun 03 15:04:15 BST 2016, end=Fri Jun 03 15:04:15 BST 2016, operations=1.0, operationsPerMinute=750.0
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:04:15 BST 2016, end=Fri Jun 03 15:04:16 BST 2016, operations=1.0, operationsPerMinute=51.724137931034484
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:04:16 BST 2016, end=Fri Jun 03 15:04:51 BST 2016, operations=1.0, operationsPerMinute=1.7147756501857674
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:04:51 BST 2016, end=Fri Jun 03 15:04:56 BST 2016, operations=1.0, operationsPerMinute=11.928429423459244
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:04:56 BST 2016, end=Fri Jun 03 15:04:58 BST 2016, operations=1.0, operationsPerMinute=42.857142857142854
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:04:58 BST 2016, end=Fri Jun 03 15:05:07 BST 2016, operations=1.0, operationsPerMinute=6.268937415108139
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:05:07 BST 2016, end=Fri Jun 03 15:05:15 BST 2016, operations=1.0, operationsPerMinute=7.749935417204856
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:05:15 BST 2016, end=Fri Jun 03 15:05:22 BST 2016, operations=1.0, operationsPerMinute=8.90207715133531
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:05:22 BST 2016, end=Fri Jun 03 15:05:24 BST 2016, operations=1.0, operationsPerMinute=22.304832713754646
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:05:24 BST 2016, end=Fri Jun 03 15:05:25 BST 2016, operations=1.0, operationsPerMinute=75.0
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:05:25 BST 2016, end=Fri Jun 03 15:05:26 BST 2016, operations=1.0, operationsPerMinute=57.142857142857146
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:05:26 BST 2016, end=Fri Jun 03 15:05:32 BST 2016, operations=1.0, operationsPerMinute=9.850599244787391
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:05:32 BST 2016, end=Fri Jun 03 15:05:34 BST 2016, operations=1.0, operationsPerMinute=40.816326530612244
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:05:34 BST 2016, end=Fri Jun 03 15:05:35 BST 2016, operations=1.0, operationsPerMinute=49.586776859504134
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:05:35 BST 2016, end=Fri Jun 03 15:05:38 BST 2016, operations=1.0, operationsPerMinute=22.471910112359552
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:05:38 BST 2016, end=Fri Jun 03 15:05:45 BST 2016, operations=1.0, operationsPerMinute=8.670520231213873
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:05:45 BST 2016, end=Fri Jun 03 15:06:12 BST 2016, operations=1.0, operationsPerMinute=2.201350161432345
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:06:12 BST 2016, end=Fri Jun 03 15:06:13 BST 2016, operations=1.0, operationsPerMinute=45.11278195488722
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:06:27 BST 2016, end=Fri Jun 03 15:08:27 BST 2016, operations=447.3743352734319, operationsPerMinute=223.68716763671594, mode=normal, start=Fri Jun 03 15:08:30 BST 2016, end=Fri Jun 03 15:12:30 BST 2016, operations=907.6064387861012, operationsPerMinute=226.9016096965253
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:12:36 BST 2016, end=Fri Jun 03 15:14:36 BST 2016, operations=178.78397219761948, operationsPerMinute=89.39198609880974, mode=normal, start=Fri Jun 03 15:14:44 BST 2016, end=Fri Jun 03 15:18:44 BST 2016, operations=358.0223520191041, operationsPerMinute=89.50558800477603
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:18:51 BST 2016, end=Fri Jun 03 15:20:51 BST 2016, operations=484.71348948997036, operationsPerMinute=242.35674474498518, mode=normal, start=Fri Jun 03 15:20:54 BST 2016, end=Fri Jun 03 15:24:54 BST 2016, operations=966.0787540385937, operationsPerMinute=241.51968850964843
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:24:57 BST 2016, end=Fri Jun 03 15:26:57 BST 2016, operations=127.71570555072995, operationsPerMinute=63.857852775364975, mode=normal, start=Fri Jun 03 15:27:08 BST 2016, end=Fri Jun 03 15:31:08 BST 2016, operations=267.90144483783166, operationsPerMinute=66.97536120945792
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:31:19 BST 2016, end=Fri Jun 03 15:33:19 BST 2016, operations=225.26005624047636, operationsPerMinute=112.63002812023818, mode=normal, start=Fri Jun 03 15:33:26 BST 2016, end=Fri Jun 03 15:37:26 BST 2016, operations=448.5196276988891, operationsPerMinute=112.12990692472228
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:37:32 BST 2016, end=Fri Jun 03 15:39:32 BST 2016, operations=393.3910948486357, operationsPerMinute=196.69554742431785, mode=normal, start=Fri Jun 03 15:39:37 BST 2016, end=Fri Jun 03 15:43:37 BST 2016, operations=779.4624695967404, operationsPerMinute=194.8656173991851
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:45:23 BST 2016, end=Fri Jun 03 15:47:23 BST 2016, operations=332.4219475638926, operationsPerMinute=166.2109737819463, mode=normal, start=Fri Jun 03 15:47:27 BST 2016, end=Fri Jun 03 15:51:27 BST 2016, operations=662.7116016099186, operationsPerMinute=165.67790040247965
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:51:32 BST 2016, end=Fri Jun 03 15:53:32 BST 2016, operations=217.12165759585042, operationsPerMinute=108.56082879792521, mode=normal, start=Fri Jun 03 15:53:39 BST 2016, end=Fri Jun 03 15:57:39 BST 2016, operations=434.42869412333084, operationsPerMinute=108.60717353083271
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:57:47 BST 2016, end=Fri Jun 03 15:59:47 BST 2016, operations=93.12135867384137, operationsPerMinute=46.560679336920686, mode=normal, start=Fri Jun 03 16:00:00 BST 2016, end=Fri Jun 03 16:04:00 BST 2016, operations=187.95419174837647, operationsPerMinute=46.98854793709412
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 16:04:14 BST 2016, end=Fri Jun 03 16:06:14 BST 2016, operations=20.42545199366971, operationsPerMinute=10.212725996834855, mode=normal, start=Fri Jun 03 16:07:16 BST 2016, end=Fri Jun 03 16:11:16 BST 2016, operations=40.92079137284379, operationsPerMinute=10.230197843210947
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:12:39 BST 2016, end=Fri Jun 03 16:14:39 BST 2016, operations=120.25014290750426, operationsPerMinute=60.12507145375213, mode=normal, start=Fri Jun 03 16:14:51 BST 2016, end=Fri Jun 03 16:18:51 BST 2016, operations=240.86722297640264, operationsPerMinute=60.21680574410066
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:19:04 BST 2016, end=Fri Jun 03 16:21:04 BST 2016, operations=62.13891217632337, operationsPerMinute=31.069456088161687, mode=normal, start=Fri Jun 03 16:21:21 BST 2016, end=Fri Jun 03 16:25:21 BST 2016, operations=124.46515434890408, operationsPerMinute=31.11628858722602
