spec.jvm2008.report.run.location=PERCY009
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:39:08 BST 2016, end=Sun Jun 19 00:39:08 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:39:08 BST 2016, end=Sun Jun 19 00:39:08 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:39:08 BST 2016, end=Sun Jun 19 00:39:20 BST 2016, operations=1.0, operationsPerMinute=4.7668229125287995
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:39:20 BST 2016, end=Sun Jun 19 00:39:24 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:39:24 BST 2016, end=Sun Jun 19 00:39:25 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:39:25 BST 2016, end=Sun Jun 19 00:39:33 BST 2016, operations=1.0, operationsPerMinute=7.1106897369044795
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:39:33 BST 2016, end=Sun Jun 19 00:39:41 BST 2016, operations=1.0, operationsPerMinute=8.01389074395619
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:39:41 BST 2016, end=Sun Jun 19 00:39:47 BST 2016, operations=1.0, operationsPerMinute=9.115770282588878
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:39:47 BST 2016, end=Sun Jun 19 00:39:50 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:39:50 BST 2016, end=Sun Jun 19 00:39:50 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:39:50 BST 2016, end=Sun Jun 19 00:39:51 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:39:51 BST 2016, end=Sun Jun 19 00:39:57 BST 2016, operations=1.0, operationsPerMinute=10.897203051216854
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:39:57 BST 2016, end=Sun Jun 19 00:39:58 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:39:58 BST 2016, end=Sun Jun 19 00:39:59 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:39:59 BST 2016, end=Sun Jun 19 00:40:01 BST 2016, operations=1.0, operationsPerMinute=27.47252747252747
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:40:01 BST 2016, end=Sun Jun 19 00:40:08 BST 2016, operations=1.0, operationsPerMinute=9.382329945269742
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:40:08 BST 2016, end=Sun Jun 19 00:40:28 BST 2016, operations=1.0, operationsPerMinute=2.938439688525393
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:40:28 BST 2016, end=Sun Jun 19 00:40:29 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:40:39 BST 2016, end=Sun Jun 19 00:42:39 BST 2016, operations=488.7836790512968, operationsPerMinute=244.3918395256484, mode=normal, start=Sun Jun 19 00:42:40 BST 2016, end=Sun Jun 19 00:46:40 BST 2016, operations=1017.6838124549736, operationsPerMinute=254.4209531137434
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:46:44 BST 2016, end=Sun Jun 19 00:48:44 BST 2016, operations=192.7188691662098, operationsPerMinute=96.3594345831049, mode=normal, start=Sun Jun 19 00:48:47 BST 2016, end=Sun Jun 19 00:52:47 BST 2016, operations=380.46460918114144, operationsPerMinute=95.11615229528536
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:52:51 BST 2016, end=Sun Jun 19 00:54:51 BST 2016, operations=399.334402472757, operationsPerMinute=199.6672012363785, mode=normal, start=Sun Jun 19 00:54:54 BST 2016, end=Sun Jun 19 00:58:54 BST 2016, operations=800.971188916674, operationsPerMinute=200.2427972291685
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:58:55 BST 2016, end=Sun Jun 19 01:00:55 BST 2016, operations=139.04263132550687, operationsPerMinute=69.52131566275344, mode=normal, start=Sun Jun 19 01:01:00 BST 2016, end=Sun Jun 19 01:05:00 BST 2016, operations=293.1770253558491, operationsPerMinute=73.29425633896227
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:05:05 BST 2016, end=Sun Jun 19 01:07:05 BST 2016, operations=236.59805495356395, operationsPerMinute=118.29902747678197, mode=normal, start=Sun Jun 19 01:07:08 BST 2016, end=Sun Jun 19 01:11:08 BST 2016, operations=473.7941381771366, operationsPerMinute=118.44853454428414
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:11:11 BST 2016, end=Sun Jun 19 01:13:11 BST 2016, operations=406.8107730737206, operationsPerMinute=203.4053865368603, mode=normal, start=Sun Jun 19 01:13:13 BST 2016, end=Sun Jun 19 01:17:13 BST 2016, operations=815.3781318046483, operationsPerMinute=203.84453295116208
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:17:35 BST 2016, end=Sun Jun 19 01:19:35 BST 2016, operations=363.7407514830617, operationsPerMinute=181.87037574153084, mode=normal, start=Sun Jun 19 01:19:38 BST 2016, end=Sun Jun 19 01:23:38 BST 2016, operations=727.7968948112075, operationsPerMinute=181.94922370280187
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:23:40 BST 2016, end=Sun Jun 19 01:25:40 BST 2016, operations=208.15597890784687, operationsPerMinute=104.07798945392344, mode=normal, start=Sun Jun 19 01:25:44 BST 2016, end=Sun Jun 19 01:29:44 BST 2016, operations=415.82635319436207, operationsPerMinute=103.95658829859052
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:29:48 BST 2016, end=Sun Jun 19 01:31:48 BST 2016, operations=71.97689172549534, operationsPerMinute=35.98844586274767, mode=normal, start=Sun Jun 19 01:31:55 BST 2016, end=Sun Jun 19 01:35:55 BST 2016, operations=146.85848157003204, operationsPerMinute=36.71462039250801
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:36:03 BST 2016, end=Sun Jun 19 01:38:03 BST 2016, operations=13.757182850119293, operationsPerMinute=6.878591425059646, mode=normal, start=Sun Jun 19 01:38:48 BST 2016, end=Sun Jun 19 01:42:48 BST 2016, operations=27.88056169351711, operationsPerMinute=6.970140423379277
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:43:23 BST 2016, end=Sun Jun 19 01:45:23 BST 2016, operations=74.65510908423073, operationsPerMinute=37.327554542115365, mode=normal, start=Sun Jun 19 01:45:32 BST 2016, end=Sun Jun 19 01:49:32 BST 2016, operations=149.16437041918587, operationsPerMinute=37.29109260479647
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:49:41 BST 2016, end=Sun Jun 19 01:51:41 BST 2016, operations=42.88760714775991, operationsPerMinute=21.443803573879954, mode=normal, start=Sun Jun 19 01:51:53 BST 2016, end=Sun Jun 19 01:55:53 BST 2016, operations=85.21541736964244, operationsPerMinute=21.30385434241061
