spec.jvm2008.report.run.location=SUNSPACE11
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4027
benchmark-name=check, mode=normal, start=Thu Jun 30 00:17:01 BST 2016, end=Thu Jun 30 00:17:02 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 30 00:17:02 BST 2016, end=Thu Jun 30 00:17:02 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 30 00:17:02 BST 2016, end=Thu Jun 30 00:17:30 BST 2016, operations=1.0, operationsPerMinute=2.1040081354981237
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 30 00:17:30 BST 2016, end=Thu Jun 30 00:17:37 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.compress, mode=normal, start=Thu Jun 30 00:17:37 BST 2016, end=Thu Jun 30 00:17:39 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 30 00:17:39 BST 2016, end=Thu Jun 30 00:17:51 BST 2016, operations=1.0, operationsPerMinute=5.007929221267006
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 30 00:17:51 BST 2016, end=Thu Jun 30 00:18:00 BST 2016, operations=1.0, operationsPerMinute=6.724195898240502
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 30 00:18:00 BST 2016, end=Thu Jun 30 00:18:07 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 30 00:18:07 BST 2016, end=Thu Jun 30 00:18:12 BST 2016, operations=1.0, operationsPerMinute=13.401831583649766
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 30 00:18:12 BST 2016, end=Thu Jun 30 00:18:13 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 30 00:18:13 BST 2016, end=Thu Jun 30 00:18:15 BST 2016, operations=1.0, operationsPerMinute=28.28854314002829
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 30 00:18:15 BST 2016, end=Thu Jun 30 00:18:25 BST 2016, operations=1.0, operationsPerMinute=6.474587245063128
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 30 00:18:25 BST 2016, end=Thu Jun 30 00:18:27 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 30 00:18:27 BST 2016, end=Thu Jun 30 00:18:29 BST 2016, operations=1.0, operationsPerMinute=24.65078060805259
benchmark-name=startup.serial, mode=normal, start=Thu Jun 30 00:18:29 BST 2016, end=Thu Jun 30 00:18:34 BST 2016, operations=1.0, operationsPerMinute=12.57071024512885
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 30 00:18:34 BST 2016, end=Thu Jun 30 00:18:42 BST 2016, operations=1.0, operationsPerMinute=7.913479293062516
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 30 00:18:42 BST 2016, end=Thu Jun 30 00:19:28 BST 2016, operations=1.0, operationsPerMinute=1.2841641161740471
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 30 00:19:28 BST 2016, end=Thu Jun 30 00:19:30 BST 2016, operations=1.0, operationsPerMinute=34.344590726960504
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 30 00:19:51 BST 2016, end=Thu Jun 30 00:21:51 BST 2016, operations=291.041493302116, operationsPerMinute=145.520746651058, mode=normal, start=Thu Jun 30 00:21:54 BST 2016, end=Thu Jun 30 00:25:54 BST 2016, operations=584.5625208938203, operationsPerMinute=146.14063022345508
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 30 00:26:02 BST 2016, end=Thu Jun 30 00:28:02 BST 2016, operations=113.85382978852317, operationsPerMinute=56.926914894261586, mode=normal, start=Thu Jun 30 00:28:07 BST 2016, end=Thu Jun 30 00:32:07 BST 2016, operations=227.92694813817022, operationsPerMinute=56.981737034542554
benchmark-name=compress, mod=warmup, start=Thu Jun 30 00:32:14 BST 2016, end=Thu Jun 30 00:34:14 BST 2016, operations=250.16092854051794, operationsPerMinute=125.08046427025897, mode=normal, start=Thu Jun 30 00:34:17 BST 2016, end=Thu Jun 30 00:38:17 BST 2016, operations=499.9481832039479, operationsPerMinute=124.98704580098698
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 30 00:38:20 BST 2016, end=Thu Jun 30 00:40:20 BST 2016, operations=71.00693116893471, operationsPerMinute=35.50346558446736, mode=normal, start=Thu Jun 30 00:40:28 BST 2016, end=Thu Jun 30 00:44:28 BST 2016, operations=149.38966342407122, operationsPerMinute=37.347415856017804
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 30 00:44:38 BST 2016, end=Thu Jun 30 00:46:38 BST 2016, operations=149.1975274367403, operationsPerMinute=74.59876371837015, mode=normal, start=Thu Jun 30 00:46:44 BST 2016, end=Thu Jun 30 00:50:44 BST 2016, operations=298.3724247140567, operationsPerMinute=74.59310617851418
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 30 00:50:49 BST 2016, end=Thu Jun 30 00:52:49 BST 2016, operations=240.42477544814085, operationsPerMinute=120.21238772407042, mode=normal, start=Thu Jun 30 00:52:53 BST 2016, end=Thu Jun 30 00:56:53 BST 2016, operations=478.63198837436084, operationsPerMinute=119.65799709359021
benchmark-name=derby, mod=warmup, start=Thu Jun 30 00:57:46 BST 2016, end=Thu Jun 30 00:59:46 BST 2016, operations=166.71853733973586, operationsPerMinute=83.35926866986793, mode=normal, start=Thu Jun 30 00:59:50 BST 2016, end=Thu Jun 30 01:03:50 BST 2016, operations=336.7906034336556, operationsPerMinute=84.1976508584139
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 30 01:03:55 BST 2016, end=Thu Jun 30 01:05:55 BST 2016, operations=113.76530637987861, operationsPerMinute=56.882653189939305, mode=normal, start=Thu Jun 30 01:06:02 BST 2016, end=Thu Jun 30 01:10:02 BST 2016, operations=227.8759581426952, operationsPerMinute=56.9689895356738
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 30 01:10:09 BST 2016, end=Thu Jun 30 01:12:09 BST 2016, operations=37.946591961055354, operationsPerMinute=18.973295980527677, mode=normal, start=Thu Jun 30 01:12:25 BST 2016, end=Thu Jun 30 01:16:25 BST 2016, operations=72.86341880795504, operationsPerMinute=18.21585470198876
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 30 01:16:47 BST 2016, end=Thu Jun 30 01:18:47 BST 2016, operations=8.802070563079337, operationsPerMinute=4.401035281539668, mode=normal, start=Thu Jun 30 01:20:12 BST 2016, end=Thu Jun 30 01:24:12 BST 2016, operations=17.587209375047934, operationsPerMinute=4.396802343761983
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 30 01:25:26 BST 2016, end=Thu Jun 30 01:27:26 BST 2016, operations=48.98030128090074, operationsPerMinute=24.49015064045037, mode=normal, start=Thu Jun 30 01:27:43 BST 2016, end=Thu Jun 30 01:31:43 BST 2016, operations=98.53244068255293, operationsPerMinute=24.633110170638233
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 30 01:31:55 BST 2016, end=Thu Jun 30 01:33:55 BST 2016, operations=28.223177825717485, operationsPerMinute=14.111588912858743, mode=normal, start=Thu Jun 30 01:34:19 BST 2016, end=Thu Jun 30 01:38:19 BST 2016, operations=56.33853590330297, operationsPerMinute=14.084633975825742
