spec.jvm2008.report.run.location=OLDLIB015
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Sat Jun 04 08:29:59 BST 2016, end=Sat Jun 04 08:29:59 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:29:59 BST 2016, end=Sat Jun 04 08:30:00 BST 2016, operations=1.0, operationsPerMinute=120.24048096192385
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:30:00 BST 2016, end=Sat Jun 04 08:30:26 BST 2016, operations=1.0, operationsPerMinute=2.2650911699195895
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:30:26 BST 2016, end=Sat Jun 04 08:30:31 BST 2016, operations=1.0, operationsPerMinute=12.99545159194282
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:30:31 BST 2016, end=Sat Jun 04 08:30:32 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:30:32 BST 2016, end=Sat Jun 04 08:30:42 BST 2016, operations=1.0, operationsPerMinute=6.224066390041494
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:30:42 BST 2016, end=Sat Jun 04 08:30:50 BST 2016, operations=1.0, operationsPerMinute=7.468259895444361
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:30:50 BST 2016, end=Sat Jun 04 08:30:57 BST 2016, operations=1.0, operationsPerMinute=8.861320336730174
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:30:57 BST 2016, end=Sat Jun 04 08:30:59 BST 2016, operations=1.0, operationsPerMinute=21.731256791017746
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:30:59 BST 2016, end=Sat Jun 04 08:31:00 BST 2016, operations=1.0, operationsPerMinute=71.17437722419929
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:31:00 BST 2016, end=Sat Jun 04 08:31:01 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:31:01 BST 2016, end=Sat Jun 04 08:31:07 BST 2016, operations=1.0, operationsPerMinute=9.88793671720501
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:31:07 BST 2016, end=Sat Jun 04 08:31:09 BST 2016, operations=1.0, operationsPerMinute=40.053404539385845
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:31:09 BST 2016, end=Sat Jun 04 08:31:10 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:31:10 BST 2016, end=Sat Jun 04 08:31:13 BST 2016, operations=1.0, operationsPerMinute=22.23045572434235
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:31:13 BST 2016, end=Sat Jun 04 08:31:20 BST 2016, operations=1.0, operationsPerMinute=8.253094910591471
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:31:20 BST 2016, end=Sat Jun 04 08:31:47 BST 2016, operations=1.0, operationsPerMinute=2.2053958685584063
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:31:47 BST 2016, end=Sat Jun 04 08:31:49 BST 2016, operations=1.0, operationsPerMinute=44.21518054532056
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:32:04 BST 2016, end=Sat Jun 04 08:34:04 BST 2016, operations=456.4001141430707, operationsPerMinute=228.20005707153535, mode=normal, start=Sat Jun 04 08:34:07 BST 2016, end=Sat Jun 04 08:38:07 BST 2016, operations=924.1244427695183, operationsPerMinute=231.03111069237957
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:38:14 BST 2016, end=Sat Jun 04 08:40:14 BST 2016, operations=184.60500235075716, operationsPerMinute=92.30250117537858, mode=normal, start=Sat Jun 04 08:40:20 BST 2016, end=Sat Jun 04 08:44:20 BST 2016, operations=355.83584531093595, operationsPerMinute=88.95896132773399
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:44:29 BST 2016, end=Sat Jun 04 08:46:29 BST 2016, operations=455.01747466309547, operationsPerMinute=227.50873733154774, mode=normal, start=Sat Jun 04 08:46:32 BST 2016, end=Sat Jun 04 08:50:32 BST 2016, operations=919.6030575031903, operationsPerMinute=229.90076437579756
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:50:35 BST 2016, end=Sat Jun 04 08:52:35 BST 2016, operations=115.404361328961, operationsPerMinute=57.7021806644805, mode=normal, start=Sat Jun 04 08:52:46 BST 2016, end=Sat Jun 04 08:56:46 BST 2016, operations=240.49087122966503, operationsPerMinute=60.12271780741626
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:56:57 BST 2016, end=Sat Jun 04 08:58:57 BST 2016, operations=199.02944433976214, operationsPerMinute=99.51472216988107, mode=normal, start=Sat Jun 04 08:59:04 BST 2016, end=Sat Jun 04 09:03:04 BST 2016, operations=433.7866419698364, operationsPerMinute=108.4466604924591
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:03:11 BST 2016, end=Sat Jun 04 09:05:11 BST 2016, operations=373.7361873839317, operationsPerMinute=186.86809369196584, mode=normal, start=Sat Jun 04 09:05:14 BST 2016, end=Sat Jun 04 09:09:14 BST 2016, operations=713.68065033519, operationsPerMinute=178.4201625837975
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:11:00 BST 2016, end=Sat Jun 04 09:13:00 BST 2016, operations=318.41808895204645, operationsPerMinute=159.20904447602322, mode=normal, start=Sat Jun 04 09:13:05 BST 2016, end=Sat Jun 04 09:17:05 BST 2016, operations=608.6451775378789, operationsPerMinute=152.16129438446973
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:17:10 BST 2016, end=Sat Jun 04 09:19:10 BST 2016, operations=201.1319848067248, operationsPerMinute=100.5659924033624, mode=normal, start=Sat Jun 04 09:19:18 BST 2016, end=Sat Jun 04 09:23:18 BST 2016, operations=407.65089312157943, operationsPerMinute=101.91272328039486
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:23:25 BST 2016, end=Sat Jun 04 09:25:25 BST 2016, operations=89.91994203920433, operationsPerMinute=44.959971019602165, mode=normal, start=Sat Jun 04 09:25:41 BST 2016, end=Sat Jun 04 09:29:41 BST 2016, operations=193.10625910374094, operationsPerMinute=48.276564775935235
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:29:55 BST 2016, end=Sat Jun 04 09:31:55 BST 2016, operations=20.701941899510246, operationsPerMinute=10.350970949755123, mode=normal, start=Sat Jun 04 09:32:54 BST 2016, end=Sat Jun 04 09:36:54 BST 2016, operations=41.43003287303321, operationsPerMinute=10.357508218258303
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:38:06 BST 2016, end=Sat Jun 04 09:40:06 BST 2016, operations=119.5182774268767, operationsPerMinute=59.75913871343835, mode=normal, start=Sat Jun 04 09:40:19 BST 2016, end=Sat Jun 04 09:44:19 BST 2016, operations=240.60751128115018, operationsPerMinute=60.151877820287545
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:44:34 BST 2016, end=Sat Jun 04 09:46:34 BST 2016, operations=63.05944468927159, operationsPerMinute=31.529722344635793, mode=normal, start=Sat Jun 04 09:46:49 BST 2016, end=Sat Jun 04 09:50:49 BST 2016, operations=126.16008784692667, operationsPerMinute=31.540021961731668
