spec.jvm2008.report.run.location=CASTLEAZES013
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 07:20:18 BST 2016, end=Thu Jun 23 07:20:18 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 07:20:18 BST 2016, end=Thu Jun 23 07:20:18 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 07:20:18 BST 2016, end=Thu Jun 23 07:20:31 BST 2016, operations=1.0, operationsPerMinute=4.656216048424647
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 07:20:31 BST 2016, end=Thu Jun 23 07:20:34 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 07:20:34 BST 2016, end=Thu Jun 23 07:20:35 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 07:20:35 BST 2016, end=Thu Jun 23 07:20:44 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 07:20:44 BST 2016, end=Thu Jun 23 07:20:51 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 07:20:51 BST 2016, end=Thu Jun 23 07:20:58 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 07:20:58 BST 2016, end=Thu Jun 23 07:21:00 BST 2016, operations=1.0, operationsPerMinute=25.9852750108272
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 07:21:00 BST 2016, end=Thu Jun 23 07:21:01 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 07:21:01 BST 2016, end=Thu Jun 23 07:21:02 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 07:21:02 BST 2016, end=Thu Jun 23 07:21:07 BST 2016, operations=1.0, operationsPerMinute=10.897203051216854
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 07:21:07 BST 2016, end=Thu Jun 23 07:21:09 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 07:21:09 BST 2016, end=Thu Jun 23 07:21:10 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 07:21:10 BST 2016, end=Thu Jun 23 07:21:12 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 07:21:12 BST 2016, end=Thu Jun 23 07:21:18 BST 2016, operations=1.0, operationsPerMinute=9.402914903620122
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 07:21:18 BST 2016, end=Thu Jun 23 07:21:38 BST 2016, operations=1.0, operationsPerMinute=2.9977516862353233
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 07:21:38 BST 2016, end=Thu Jun 23 07:21:39 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 07:21:49 BST 2016, end=Thu Jun 23 07:23:49 BST 2016, operations=486.6133549622868, operationsPerMinute=243.3066774811434, mode=normal, start=Thu Jun 23 07:23:50 BST 2016, end=Thu Jun 23 07:27:50 BST 2016, operations=1011.2986186045912, operationsPerMinute=252.8246546511478
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 07:27:54 BST 2016, end=Thu Jun 23 07:29:54 BST 2016, operations=193.957609828114, operationsPerMinute=96.978804914057, mode=normal, start=Thu Jun 23 07:29:57 BST 2016, end=Thu Jun 23 07:33:57 BST 2016, operations=387.8321927435503, operationsPerMinute=96.95804818588758
benchmark-name=compress, mod=warmup, start=Thu Jun 23 07:34:01 BST 2016, end=Thu Jun 23 07:36:01 BST 2016, operations=400.9695845188964, operationsPerMinute=200.4847922594482, mode=normal, start=Thu Jun 23 07:36:03 BST 2016, end=Thu Jun 23 07:40:03 BST 2016, operations=801.7541351822287, operationsPerMinute=200.43853379555716
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 07:40:05 BST 2016, end=Thu Jun 23 07:42:05 BST 2016, operations=138.80938573055678, operationsPerMinute=69.40469286527839, mode=normal, start=Thu Jun 23 07:42:10 BST 2016, end=Thu Jun 23 07:46:10 BST 2016, operations=293.2619303158717, operationsPerMinute=73.31548257896793
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 07:46:15 BST 2016, end=Thu Jun 23 07:48:15 BST 2016, operations=236.68891679508747, operationsPerMinute=118.34445839754373, mode=normal, start=Thu Jun 23 07:48:18 BST 2016, end=Thu Jun 23 07:52:18 BST 2016, operations=472.56464331323497, operationsPerMinute=118.14116082830874
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 07:52:22 BST 2016, end=Thu Jun 23 07:54:22 BST 2016, operations=406.3897435897436, operationsPerMinute=203.1948717948718, mode=normal, start=Thu Jun 23 07:54:24 BST 2016, end=Thu Jun 23 07:58:24 BST 2016, operations=812.7937432413296, operationsPerMinute=203.1984358103324
benchmark-name=derby, mod=warmup, start=Thu Jun 23 07:58:46 BST 2016, end=Thu Jun 23 08:00:46 BST 2016, operations=363.89155291641936, operationsPerMinute=181.94577645820968, mode=normal, start=Thu Jun 23 08:00:49 BST 2016, end=Thu Jun 23 08:04:49 BST 2016, operations=728.6665718080744, operationsPerMinute=182.1666429520186
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 08:04:51 BST 2016, end=Thu Jun 23 08:06:51 BST 2016, operations=207.06565633394308, operationsPerMinute=103.53282816697154, mode=normal, start=Thu Jun 23 08:06:54 BST 2016, end=Thu Jun 23 08:10:54 BST 2016, operations=414.94316276530435, operationsPerMinute=103.73579069132609
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 08:10:59 BST 2016, end=Thu Jun 23 08:12:59 BST 2016, operations=78.3804628757489, operationsPerMinute=39.19023143787445, mode=normal, start=Thu Jun 23 08:13:06 BST 2016, end=Thu Jun 23 08:17:06 BST 2016, operations=146.22741275735848, operationsPerMinute=36.55685318933962
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 08:17:16 BST 2016, end=Thu Jun 23 08:19:16 BST 2016, operations=13.937273468023587, operationsPerMinute=6.968636734011794, mode=normal, start=Thu Jun 23 08:19:59 BST 2016, end=Thu Jun 23 08:23:59 BST 2016, operations=27.95605914832477, operationsPerMinute=6.989014787081192
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 08:24:41 BST 2016, end=Thu Jun 23 08:26:41 BST 2016, operations=73.77101957989665, operationsPerMinute=36.88550978994832, mode=normal, start=Thu Jun 23 08:26:51 BST 2016, end=Thu Jun 23 08:30:51 BST 2016, operations=149.13532735370782, operationsPerMinute=37.283831838426956
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 08:31:01 BST 2016, end=Thu Jun 23 08:33:01 BST 2016, operations=43.01374257327212, operationsPerMinute=21.50687128663606, mode=normal, start=Thu Jun 23 08:33:12 BST 2016, end=Thu Jun 23 08:37:12 BST 2016, operations=86.06078950720654, operationsPerMinute=21.515197376801634
