spec.jvm2008.report.run.location=PERCY015
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jun 27 00:02:40 BST 2016, end=Mon Jun 27 00:02:40 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 00:02:40 BST 2016, end=Mon Jun 27 00:02:40 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 00:02:40 BST 2016, end=Mon Jun 27 00:02:53 BST 2016, operations=1.0, operationsPerMinute=4.69630557294928
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 00:02:53 BST 2016, end=Mon Jun 27 00:02:56 BST 2016, operations=1.0, operationsPerMinute=18.39926402943882
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 00:02:56 BST 2016, end=Mon Jun 27 00:02:58 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 00:02:58 BST 2016, end=Mon Jun 27 00:03:06 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 00:03:06 BST 2016, end=Mon Jun 27 00:03:14 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 00:03:14 BST 2016, end=Mon Jun 27 00:03:20 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 00:03:20 BST 2016, end=Mon Jun 27 00:03:23 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 00:03:23 BST 2016, end=Mon Jun 27 00:03:23 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 00:03:23 BST 2016, end=Mon Jun 27 00:03:24 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 00:03:24 BST 2016, end=Mon Jun 27 00:03:30 BST 2016, operations=1.0, operationsPerMinute=10.804970286331713
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 00:03:30 BST 2016, end=Mon Jun 27 00:03:31 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 00:03:31 BST 2016, end=Mon Jun 27 00:03:32 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 00:03:32 BST 2016, end=Mon Jun 27 00:03:34 BST 2016, operations=1.0, operationsPerMinute=28.28854314002829
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 00:03:34 BST 2016, end=Mon Jun 27 00:03:41 BST 2016, operations=1.0, operationsPerMinute=9.47268708556994
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 00:03:41 BST 2016, end=Mon Jun 27 00:04:01 BST 2016, operations=1.0, operationsPerMinute=2.972209838014564
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 00:04:01 BST 2016, end=Mon Jun 27 00:04:02 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 00:04:12 BST 2016, end=Mon Jun 27 00:06:12 BST 2016, operations=498.1500847652326, operationsPerMinute=249.0750423826163, mode=normal, start=Mon Jun 27 00:06:13 BST 2016, end=Mon Jun 27 00:10:13 BST 2016, operations=1024.7606598251093, operationsPerMinute=256.19016495627733
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 00:10:17 BST 2016, end=Mon Jun 27 00:12:17 BST 2016, operations=201.84780982905983, operationsPerMinute=100.92390491452991, mode=normal, start=Mon Jun 27 00:12:20 BST 2016, end=Mon Jun 27 00:16:20 BST 2016, operations=394.36533691143825, operationsPerMinute=98.59133422785956
benchmark-name=compress, mod=warmup, start=Mon Jun 27 00:16:24 BST 2016, end=Mon Jun 27 00:18:24 BST 2016, operations=401.11336584591095, operationsPerMinute=200.55668292295547, mode=normal, start=Mon Jun 27 00:18:26 BST 2016, end=Mon Jun 27 00:22:26 BST 2016, operations=799.2188234927294, operationsPerMinute=199.80470587318234
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 00:22:28 BST 2016, end=Mon Jun 27 00:24:28 BST 2016, operations=138.1204379459304, operationsPerMinute=69.0602189729652, mode=normal, start=Mon Jun 27 00:24:33 BST 2016, end=Mon Jun 27 00:28:33 BST 2016, operations=292.9750240247628, operationsPerMinute=73.2437560061907
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 00:28:38 BST 2016, end=Mon Jun 27 00:30:38 BST 2016, operations=237.49459389548053, operationsPerMinute=118.74729694774027, mode=normal, start=Mon Jun 27 00:30:42 BST 2016, end=Mon Jun 27 00:34:42 BST 2016, operations=475.87127050385163, operationsPerMinute=118.96781762596291
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 00:34:45 BST 2016, end=Mon Jun 27 00:36:45 BST 2016, operations=406.5655306718598, operationsPerMinute=203.2827653359299, mode=normal, start=Mon Jun 27 00:36:47 BST 2016, end=Mon Jun 27 00:40:47 BST 2016, operations=813.9479755793502, operationsPerMinute=203.48699389483755
benchmark-name=derby, mod=warmup, start=Mon Jun 27 00:41:09 BST 2016, end=Mon Jun 27 00:43:09 BST 2016, operations=362.30596410026135, operationsPerMinute=181.15298205013067, mode=normal, start=Mon Jun 27 00:43:11 BST 2016, end=Mon Jun 27 00:47:11 BST 2016, operations=726.166456126545, operationsPerMinute=181.54161403163624
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 00:47:13 BST 2016, end=Mon Jun 27 00:49:13 BST 2016, operations=204.40321509466816, operationsPerMinute=102.20160754733408, mode=normal, start=Mon Jun 27 00:49:17 BST 2016, end=Mon Jun 27 00:53:17 BST 2016, operations=410.98536373118026, operationsPerMinute=102.74634093279506
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 00:53:21 BST 2016, end=Mon Jun 27 00:55:21 BST 2016, operations=78.7384303318167, operationsPerMinute=39.36921516590835, mode=normal, start=Mon Jun 27 00:55:28 BST 2016, end=Mon Jun 27 00:59:28 BST 2016, operations=141.31706510993143, operationsPerMinute=35.32926627748286
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 00:59:38 BST 2016, end=Mon Jun 27 01:01:38 BST 2016, operations=13.867500750501474, operationsPerMinute=6.933750375250737, mode=normal, start=Mon Jun 27 01:02:21 BST 2016, end=Mon Jun 27 01:06:21 BST 2016, operations=27.78963416405096, operationsPerMinute=6.94740854101274
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 01:06:58 BST 2016, end=Mon Jun 27 01:08:58 BST 2016, operations=74.60207534840094, operationsPerMinute=37.30103767420047, mode=normal, start=Mon Jun 27 01:09:07 BST 2016, end=Mon Jun 27 01:13:07 BST 2016, operations=149.1423391358197, operationsPerMinute=37.285584783954924
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 01:13:18 BST 2016, end=Mon Jun 27 01:15:18 BST 2016, operations=43.15017482248736, operationsPerMinute=21.57508741124368, mode=normal, start=Mon Jun 27 01:15:29 BST 2016, end=Mon Jun 27 01:19:29 BST 2016, operations=86.40419049163864, operationsPerMinute=21.60104762290966
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 01:19:42 BST 2016, end=Mon Jun 27 01:21:42 BST 2016, operations=707.1794898626185, operationsPerMinute=353.58974493130927, mode=normal, start=Mon Jun 27 01:21:43 BST 2016, end=Mon Jun 27 01:25:43 BST 2016, operations=1405.0903084652398, operationsPerMinute=351.27257711630995
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jun 27 01:25:44 BST 2016, end=Mon Jun 27 01:27:44 BST 2016, operations=576.5051729767689, operationsPerMinute=288.25258648838445, mode=normal, start=Mon Jun 27 01:27:45 BST 2016, end=Mon Jun 27 01:31:45 BST 2016, operations=1152.9827572110316, operationsPerMinute=288.2456893027579
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jun 27 01:31:47 BST 2016, end=Mon Jun 27 01:33:47 BST 2016, operations=330.06509102290715, operationsPerMinute=165.03254551145358, mode=normal, start=Mon Jun 27 01:33:48 BST 2016, end=Mon Jun 27 01:37:48 BST 2016, operations=659.9473812365376, operationsPerMinute=164.9868453091344
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jun 27 01:37:51 BST 2016, end=Mon Jun 27 01:39:51 BST 2016, operations=510.14061699031686, operationsPerMinute=255.07030849515843, mode=normal, start=Mon Jun 27 01:39:52 BST 2016, end=Mon Jun 27 01:43:52 BST 2016, operations=1021.9514104589832, operationsPerMinute=255.4878526147458
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jun 27 01:43:54 BST 2016, end=Mon Jun 27 01:45:54 BST 2016, operations=119.52231232483204, operationsPerMinute=59.76115616241602, mode=normal, start=Mon Jun 27 01:45:58 BST 2016, end=Mon Jun 27 01:49:58 BST 2016, operations=238.36747410160552, operationsPerMinute=59.59186852540138
benchmark-name=serial, mod=warmup, start=Mon Jun 27 01:50:03 BST 2016, end=Mon Jun 27 01:52:03 BST 2016, operations=231.66746719123407, operationsPerMinute=115.83373359561703, mode=normal, start=Mon Jun 27 01:52:07 BST 2016, end=Mon Jun 27 01:56:07 BST 2016, operations=479.0406461585463, operationsPerMinute=119.76016153963657
benchmark-name=sunflow, mod=warmup, start=Mon Jun 27 01:56:10 BST 2016, end=Mon Jun 27 01:58:10 BST 2016, operations=174.47294056488641, operationsPerMinute=87.23647028244321, mode=normal, start=Mon Jun 27 01:58:12 BST 2016, end=Mon Jun 27 02:02:12 BST 2016, operations=354.0126826636126, operationsPerMinute=88.50317066590316
benchmark-name=xml.transform, mod=warmup, start=Mon Jun 27 02:02:32 BST 2016, end=Mon Jun 27 02:04:32 BST 2016, operations=533.7257541970351, operationsPerMinute=266.8628770985176, mode=normal, start=Mon Jun 27 02:04:33 BST 2016, end=Mon Jun 27 02:08:33 BST 2016, operations=1036.4284231654624, operationsPerMinute=259.1071057913656
benchmark-name=xml.validation, mod=warmup, start=Mon Jun 27 02:08:35 BST 2016, end=Mon Jun 27 02:10:35 BST 2016, operations=1027.0154535880563, operationsPerMinute=513.5077267940281, mode=normal, start=Mon Jun 27 02:10:36 BST 2016, end=Mon Jun 27 02:14:36 BST 2016, operations=2008.136166014813, operationsPerMinute=502.03404150370324
