spec.jvm2008.report.run.location=GLAZIER13
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 06:44:01 BST 2016, end=Fri Jun 24 06:44:01 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 06:44:01 BST 2016, end=Fri Jun 24 06:44:01 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 06:44:01 BST 2016, end=Fri Jun 24 06:44:17 BST 2016, operations=1.0, operationsPerMinute=3.649191095973726
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 06:44:17 BST 2016, end=Fri Jun 24 06:44:21 BST 2016, operations=1.0, operationsPerMinute=14.906832298136646
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 06:44:21 BST 2016, end=Fri Jun 24 06:44:23 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 06:44:23 BST 2016, end=Fri Jun 24 06:44:32 BST 2016, operations=1.0, operationsPerMinute=6.619593998234775
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 06:44:32 BST 2016, end=Fri Jun 24 06:44:40 BST 2016, operations=1.0, operationsPerMinute=7.754943776657619
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 06:44:40 BST 2016, end=Fri Jun 24 06:44:46 BST 2016, operations=1.0, operationsPerMinute=8.760402978537012
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 06:44:46 BST 2016, end=Fri Jun 24 06:44:49 BST 2016, operations=1.0, operationsPerMinute=22.49718785151856
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 06:44:49 BST 2016, end=Fri Jun 24 06:44:50 BST 2016, operations=1.0, operationsPerMinute=68.64988558352402
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 06:44:50 BST 2016, end=Fri Jun 24 06:44:51 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 06:44:51 BST 2016, end=Fri Jun 24 06:44:57 BST 2016, operations=1.0, operationsPerMinute=9.938711280437303
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 06:44:57 BST 2016, end=Fri Jun 24 06:44:59 BST 2016, operations=1.0, operationsPerMinute=39.26701570680628
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 06:44:59 BST 2016, end=Fri Jun 24 06:45:00 BST 2016, operations=1.0, operationsPerMinute=51.282051282051285
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 06:45:00 BST 2016, end=Fri Jun 24 06:45:03 BST 2016, operations=1.0, operationsPerMinute=22.753128555176335
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 06:45:03 BST 2016, end=Fri Jun 24 06:45:09 BST 2016, operations=1.0, operationsPerMinute=8.883624518803671
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 06:45:09 BST 2016, end=Fri Jun 24 06:45:33 BST 2016, operations=1.0, operationsPerMinute=2.4845749306389497
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 06:45:33 BST 2016, end=Fri Jun 24 06:45:34 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 06:45:47 BST 2016, end=Fri Jun 24 06:47:47 BST 2016, operations=413.05908126432956, operationsPerMinute=206.52954063216478, mode=normal, start=Fri Jun 24 06:47:48 BST 2016, end=Fri Jun 24 06:51:48 BST 2016, operations=809.7433158607885, operationsPerMinute=202.43582896519712
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 06:51:54 BST 2016, end=Fri Jun 24 06:53:54 BST 2016, operations=166.95704527589314, operationsPerMinute=83.47852263794657, mode=normal, start=Fri Jun 24 06:53:57 BST 2016, end=Fri Jun 24 06:57:57 BST 2016, operations=332.9691752302214, operationsPerMinute=83.24229380755536
benchmark-name=compress, mod=warmup, start=Fri Jun 24 06:58:01 BST 2016, end=Fri Jun 24 07:00:01 BST 2016, operations=354.29036188091624, operationsPerMinute=177.14518094045812, mode=normal, start=Fri Jun 24 07:00:03 BST 2016, end=Fri Jun 24 07:04:03 BST 2016, operations=709.0599417811908, operationsPerMinute=177.2649854452977
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 07:04:05 BST 2016, end=Fri Jun 24 07:06:05 BST 2016, operations=117.55706044195202, operationsPerMinute=58.77853022097601, mode=normal, start=Fri Jun 24 07:06:11 BST 2016, end=Fri Jun 24 07:10:11 BST 2016, operations=246.78545295865368, operationsPerMinute=61.69636323966342
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 07:10:18 BST 2016, end=Fri Jun 24 07:12:18 BST 2016, operations=207.47810337334502, operationsPerMinute=103.73905168667251, mode=normal, start=Fri Jun 24 07:12:21 BST 2016, end=Fri Jun 24 07:16:21 BST 2016, operations=415.4583288397078, operationsPerMinute=103.86458220992695
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 07:16:25 BST 2016, end=Fri Jun 24 07:18:25 BST 2016, operations=354.2466748009713, operationsPerMinute=177.12333740048564, mode=normal, start=Fri Jun 24 07:18:27 BST 2016, end=Fri Jun 24 07:22:27 BST 2016, operations=708.9102871404026, operationsPerMinute=177.22757178510065
benchmark-name=derby, mod=warmup, start=Fri Jun 24 07:23:37 BST 2016, end=Fri Jun 24 07:25:37 BST 2016, operations=260.9834439840929, operationsPerMinute=130.49172199204645, mode=normal, start=Fri Jun 24 07:25:40 BST 2016, end=Fri Jun 24 07:29:40 BST 2016, operations=525.4912409073831, operationsPerMinute=131.3728102268458
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 07:29:43 BST 2016, end=Fri Jun 24 07:31:43 BST 2016, operations=174.42175002157163, operationsPerMinute=87.21087501078581, mode=normal, start=Fri Jun 24 07:31:47 BST 2016, end=Fri Jun 24 07:35:47 BST 2016, operations=349.0606411672708, operationsPerMinute=87.2651602918177
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 07:35:51 BST 2016, end=Fri Jun 24 07:37:51 BST 2016, operations=94.39880403057471, operationsPerMinute=47.199402015287355, mode=normal, start=Fri Jun 24 07:37:57 BST 2016, end=Fri Jun 24 07:41:57 BST 2016, operations=193.30610477286382, operationsPerMinute=48.326526193215955
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 07:42:05 BST 2016, end=Fri Jun 24 07:44:05 BST 2016, operations=21.031456782564028, operationsPerMinute=10.515728391282014, mode=normal, start=Fri Jun 24 07:44:39 BST 2016, end=Fri Jun 24 07:48:39 BST 2016, operations=42.10288850445991, operationsPerMinute=10.525722126114978
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 07:49:06 BST 2016, end=Fri Jun 24 07:51:06 BST 2016, operations=69.85245487333069, operationsPerMinute=34.92622743666534, mode=normal, start=Fri Jun 24 07:51:16 BST 2016, end=Fri Jun 24 07:55:16 BST 2016, operations=139.60699683482238, operationsPerMinute=34.901749208705596
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 07:55:25 BST 2016, end=Fri Jun 24 07:57:25 BST 2016, operations=70.38737026408056, operationsPerMinute=35.19368513204028, mode=normal, start=Fri Jun 24 07:57:33 BST 2016, end=Fri Jun 24 08:01:33 BST 2016, operations=140.75507969640063, operationsPerMinute=35.18876992410016
