spec.jvm2008.report.run.location=KRC027
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:07:21 BST 2016, end=Sat Jun 04 16:07:21 BST 2016, operations=1.0, operationsPerMinute=869.5652173913044
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:07:21 BST 2016, end=Sat Jun 04 16:07:21 BST 2016, operations=1.0, operationsPerMinute=133.33333333333334
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:07:21 BST 2016, end=Sat Jun 04 16:07:43 BST 2016, operations=1.0, operationsPerMinute=2.7690603655159682
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:07:43 BST 2016, end=Sat Jun 04 16:07:48 BST 2016, operations=1.0, operationsPerMinute=13.204225352112676
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:07:48 BST 2016, end=Sat Jun 04 16:07:49 BST 2016, operations=1.0, operationsPerMinute=41.78272980501393
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:07:49 BST 2016, end=Sat Jun 04 16:07:58 BST 2016, operations=1.0, operationsPerMinute=6.453694740238786
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:07:58 BST 2016, end=Sat Jun 04 16:08:06 BST 2016, operations=1.0, operationsPerMinute=7.821666014861165
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:08:06 BST 2016, end=Sat Jun 04 16:08:13 BST 2016, operations=1.0, operationsPerMinute=8.831321754489256
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:08:13 BST 2016, end=Sat Jun 04 16:08:15 BST 2016, operations=1.0, operationsPerMinute=22.45508982035928
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:08:15 BST 2016, end=Sat Jun 04 16:08:16 BST 2016, operations=1.0, operationsPerMinute=70.92198581560284
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:08:16 BST 2016, end=Sat Jun 04 16:08:17 BST 2016, operations=1.0, operationsPerMinute=57.25190839694657
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:08:17 BST 2016, end=Sat Jun 04 16:08:24 BST 2016, operations=1.0, operationsPerMinute=9.682104243989027
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:08:24 BST 2016, end=Sat Jun 04 16:08:25 BST 2016, operations=1.0, operationsPerMinute=36.12281757977122
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:08:25 BST 2016, end=Sat Jun 04 16:08:26 BST 2016, operations=1.0, operationsPerMinute=52.53940455341506
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:08:26 BST 2016, end=Sat Jun 04 16:08:29 BST 2016, operations=1.0, operationsPerMinute=23.529411764705884
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:08:29 BST 2016, end=Sat Jun 04 16:08:36 BST 2016, operations=1.0, operationsPerMinute=8.882309400444116
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:08:36 BST 2016, end=Sat Jun 04 16:08:59 BST 2016, operations=1.0, operationsPerMinute=2.5405428293178645
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:08:59 BST 2016, end=Sat Jun 04 16:09:01 BST 2016, operations=1.0, operationsPerMinute=40.51316677920324
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:09:14 BST 2016, end=Sat Jun 04 16:11:14 BST 2016, operations=396.93063094652445, operationsPerMinute=198.46531547326222, mode=normal, start=Sat Jun 04 16:11:16 BST 2016, end=Sat Jun 04 16:15:16 BST 2016, operations=858.8963883727555, operationsPerMinute=214.72409709318887
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:15:20 BST 2016, end=Sat Jun 04 16:17:20 BST 2016, operations=168.85156691043244, operationsPerMinute=84.42578345521622, mode=normal, start=Sat Jun 04 16:17:24 BST 2016, end=Sat Jun 04 16:21:24 BST 2016, operations=336.176349928592, operationsPerMinute=84.044087482148
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:21:28 BST 2016, end=Sat Jun 04 16:23:28 BST 2016, operations=345.5418051695591, operationsPerMinute=172.77090258477955, mode=normal, start=Sat Jun 04 16:23:31 BST 2016, end=Sat Jun 04 16:27:31 BST 2016, operations=672.3014793442478, operationsPerMinute=168.07536983606195
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:27:33 BST 2016, end=Sat Jun 04 16:29:33 BST 2016, operations=118.56250551939007, operationsPerMinute=59.281252759695036, mode=normal, start=Sat Jun 04 16:29:38 BST 2016, end=Sat Jun 04 16:33:38 BST 2016, operations=252.6694712061083, operationsPerMinute=63.16736780152708
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:33:44 BST 2016, end=Sat Jun 04 16:35:44 BST 2016, operations=206.07754683780757, operationsPerMinute=103.03877341890379, mode=normal, start=Sat Jun 04 16:35:48 BST 2016, end=Sat Jun 04 16:39:48 BST 2016, operations=411.44142252607236, operationsPerMinute=102.86035563151809
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:39:52 BST 2016, end=Sat Jun 04 16:41:52 BST 2016, operations=340.93969382029263, operationsPerMinute=170.46984691014632, mode=normal, start=Sat Jun 04 16:41:55 BST 2016, end=Sat Jun 04 16:45:55 BST 2016, operations=679.6696166252212, operationsPerMinute=169.9174041563053
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:47:04 BST 2016, end=Sat Jun 04 16:49:04 BST 2016, operations=256.6507177450917, operationsPerMinute=128.32535887254585, mode=normal, start=Sat Jun 04 16:49:07 BST 2016, end=Sat Jun 04 16:53:07 BST 2016, operations=601.0788893537899, operationsPerMinute=150.26972233844748
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:53:10 BST 2016, end=Sat Jun 04 16:55:10 BST 2016, operations=178.70163756760465, operationsPerMinute=89.35081878380232, mode=normal, start=Sat Jun 04 16:55:15 BST 2016, end=Sat Jun 04 16:59:15 BST 2016, operations=365.5710872567563, operationsPerMinute=91.39277181418908
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:59:19 BST 2016, end=Sat Jun 04 17:01:19 BST 2016, operations=70.71572745934064, operationsPerMinute=35.35786372967032, mode=normal, start=Sat Jun 04 17:01:28 BST 2016, end=Sat Jun 04 17:05:28 BST 2016, operations=151.2875740860969, operationsPerMinute=37.821893521524224
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:05:36 BST 2016, end=Sat Jun 04 17:07:36 BST 2016, operations=13.884407484641653, operationsPerMinute=6.942203742320826, mode=normal, start=Sat Jun 04 17:08:20 BST 2016, end=Sat Jun 04 17:12:20 BST 2016, operations=27.966321968681232, operationsPerMinute=6.991580492170308
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:12:54 BST 2016, end=Sat Jun 04 17:14:54 BST 2016, operations=66.17317457558676, operationsPerMinute=33.08658728779338, mode=normal, start=Sat Jun 04 17:15:04 BST 2016, end=Sat Jun 04 17:19:04 BST 2016, operations=138.5785703763952, operationsPerMinute=34.6446425940988
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:19:14 BST 2016, end=Sat Jun 04 17:21:14 BST 2016, operations=41.62009048072295, operationsPerMinute=20.810045240361475, mode=normal, start=Sat Jun 04 17:21:29 BST 2016, end=Sat Jun 04 17:25:29 BST 2016, operations=83.53226670583203, operationsPerMinute=20.883066676458007
