spec.jvm2008.report.run.location=NIDD91
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 19 00:41:43 BST 2016, end=Sun Jun 19 00:41:43 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:41:43 BST 2016, end=Sun Jun 19 00:41:43 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:41:43 BST 2016, end=Sun Jun 19 00:42:04 BST 2016, operations=1.0, operationsPerMinute=2.813203300825206
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:42:04 BST 2016, end=Sun Jun 19 00:42:09 BST 2016, operations=1.0, operationsPerMinute=12.40694789081886
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:42:09 BST 2016, end=Sun Jun 19 00:42:11 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:42:11 BST 2016, end=Sun Jun 19 00:42:21 BST 2016, operations=1.0, operationsPerMinute=6.08457560085184
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:42:21 BST 2016, end=Sun Jun 19 00:42:29 BST 2016, operations=1.0, operationsPerMinute=7.1081625399834145
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:42:29 BST 2016, end=Sun Jun 19 00:42:36 BST 2016, operations=1.0, operationsPerMinute=8.288437629506838
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:42:36 BST 2016, end=Sun Jun 19 00:42:39 BST 2016, operations=1.0, operationsPerMinute=19.62066710268149
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:42:39 BST 2016, end=Sun Jun 19 00:42:40 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:42:40 BST 2016, end=Sun Jun 19 00:42:42 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:42:42 BST 2016, end=Sun Jun 19 00:42:48 BST 2016, operations=1.0, operationsPerMinute=9.027986758952753
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:42:48 BST 2016, end=Sun Jun 19 00:42:50 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:42:50 BST 2016, end=Sun Jun 19 00:42:51 BST 2016, operations=1.0, operationsPerMinute=43.69992716678806
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:42:51 BST 2016, end=Sun Jun 19 00:42:54 BST 2016, operations=1.0, operationsPerMinute=19.828155981493722
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:42:54 BST 2016, end=Sun Jun 19 00:43:02 BST 2016, operations=1.0, operationsPerMinute=8.25195984046211
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:43:02 BST 2016, end=Sun Jun 19 00:43:29 BST 2016, operations=1.0, operationsPerMinute=2.1616947686986596
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:43:29 BST 2016, end=Sun Jun 19 00:43:31 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:43:46 BST 2016, end=Sun Jun 19 00:45:46 BST 2016, operations=349.4733803199139, operationsPerMinute=174.73669015995694, mode=normal, start=Sun Jun 19 00:45:48 BST 2016, end=Sun Jun 19 00:49:48 BST 2016, operations=703.8325022583672, operationsPerMinute=175.9581255645918
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:49:53 BST 2016, end=Sun Jun 19 00:51:53 BST 2016, operations=140.67103248530339, operationsPerMinute=70.33551624265169, mode=normal, start=Sun Jun 19 00:51:58 BST 2016, end=Sun Jun 19 00:55:58 BST 2016, operations=280.0092022208327, operationsPerMinute=70.00230055520818
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:56:04 BST 2016, end=Sun Jun 19 00:58:04 BST 2016, operations=270.66734666461826, operationsPerMinute=135.33367333230913, mode=normal, start=Sun Jun 19 00:58:07 BST 2016, end=Sun Jun 19 01:02:07 BST 2016, operations=541.0100799521842, operationsPerMinute=135.25251998804606
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:02:10 BST 2016, end=Sun Jun 19 01:04:10 BST 2016, operations=84.70123217325612, operationsPerMinute=42.35061608662806, mode=normal, start=Sun Jun 19 01:04:19 BST 2016, end=Sun Jun 19 01:08:19 BST 2016, operations=181.51815356975845, operationsPerMinute=45.37953839243961
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:08:27 BST 2016, end=Sun Jun 19 01:10:27 BST 2016, operations=147.48959876590584, operationsPerMinute=73.74479938295292, mode=normal, start=Sun Jun 19 01:10:33 BST 2016, end=Sun Jun 19 01:14:33 BST 2016, operations=293.5321351445265, operationsPerMinute=73.38303378613162
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:14:39 BST 2016, end=Sun Jun 19 01:16:39 BST 2016, operations=250.80585819395242, operationsPerMinute=125.40292909697621, mode=normal, start=Sun Jun 19 01:16:42 BST 2016, end=Sun Jun 19 01:20:42 BST 2016, operations=500.6742253762315, operationsPerMinute=125.16855634405788
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:22:09 BST 2016, end=Sun Jun 19 01:24:09 BST 2016, operations=202.7451832939131, operationsPerMinute=101.37259164695655, mode=normal, start=Sun Jun 19 01:24:12 BST 2016, end=Sun Jun 19 01:28:12 BST 2016, operations=407.8534010161516, operationsPerMinute=101.9633502540379
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:28:16 BST 2016, end=Sun Jun 19 01:30:16 BST 2016, operations=134.2385342284816, operationsPerMinute=67.1192671142408, mode=normal, start=Sun Jun 19 01:30:21 BST 2016, end=Sun Jun 19 01:34:21 BST 2016, operations=267.3633536088606, operationsPerMinute=66.84083840221516
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:34:28 BST 2016, end=Sun Jun 19 01:36:28 BST 2016, operations=55.83930602664615, operationsPerMinute=27.919653013323074, mode=normal, start=Sun Jun 19 01:36:35 BST 2016, end=Sun Jun 19 01:40:35 BST 2016, operations=115.86866933322392, operationsPerMinute=28.96716733330598
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:40:47 BST 2016, end=Sun Jun 19 01:42:47 BST 2016, operations=11.528568161819155, operationsPerMinute=5.764284080909578, mode=normal, start=Sun Jun 19 01:43:34 BST 2016, end=Sun Jun 19 01:47:34 BST 2016, operations=23.069948610184383, operationsPerMinute=5.767487152546096
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:48:15 BST 2016, end=Sun Jun 19 01:50:15 BST 2016, operations=54.89240744108808, operationsPerMinute=27.44620372054404, mode=normal, start=Sun Jun 19 01:50:26 BST 2016, end=Sun Jun 19 01:54:26 BST 2016, operations=110.40240389397873, operationsPerMinute=27.600600973494682
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:54:38 BST 2016, end=Sun Jun 19 01:56:38 BST 2016, operations=37.211528482230136, operationsPerMinute=18.605764241115068, mode=normal, start=Sun Jun 19 01:56:51 BST 2016, end=Sun Jun 19 02:00:51 BST 2016, operations=74.49868451897595, operationsPerMinute=18.624671129743987
