spec.jvm2008.report.run.location=HULL75
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 21 16:28:57 BST 2016, end=Tue Jun 21 16:28:57 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 21 16:28:57 BST 2016, end=Tue Jun 21 16:28:58 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 21 16:28:58 BST 2016, end=Tue Jun 21 16:29:37 BST 2016, operations=1.0, operationsPerMinute=1.537751806858373
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 21 16:29:37 BST 2016, end=Tue Jun 21 16:29:43 BST 2016, operations=1.0, operationsPerMinute=9.965122072745391
benchmark-name=startup.compress, mode=normal, start=Tue Jun 21 16:29:43 BST 2016, end=Tue Jun 21 16:29:44 BST 2016, operations=1.0, operationsPerMinute=36.29764065335753
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 21 16:29:44 BST 2016, end=Tue Jun 21 16:29:55 BST 2016, operations=1.0, operationsPerMinute=5.631159080244017
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 21 16:29:55 BST 2016, end=Tue Jun 21 16:30:04 BST 2016, operations=1.0, operationsPerMinute=6.819731757217549
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 21 16:30:04 BST 2016, end=Tue Jun 21 16:30:11 BST 2016, operations=1.0, operationsPerMinute=8.184422316191515
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 21 16:30:11 BST 2016, end=Tue Jun 21 16:30:14 BST 2016, operations=1.0, operationsPerMinute=19.03553299492386
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 21 16:30:14 BST 2016, end=Tue Jun 21 16:30:15 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 21 16:30:15 BST 2016, end=Tue Jun 21 16:30:17 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 21 16:30:17 BST 2016, end=Tue Jun 21 16:30:24 BST 2016, operations=1.0, operationsPerMinute=8.566533409480297
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 21 16:30:24 BST 2016, end=Tue Jun 21 16:30:25 BST 2016, operations=1.0, operationsPerMinute=34.32494279176201
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 21 16:30:25 BST 2016, end=Tue Jun 21 16:30:27 BST 2016, operations=1.0, operationsPerMinute=41.37931034482759
benchmark-name=startup.serial, mode=normal, start=Tue Jun 21 16:30:27 BST 2016, end=Tue Jun 21 16:30:30 BST 2016, operations=1.0, operationsPerMinute=18.668326073428748
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 21 16:30:30 BST 2016, end=Tue Jun 21 16:30:37 BST 2016, operations=1.0, operationsPerMinute=8.04289544235925
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 21 16:30:37 BST 2016, end=Tue Jun 21 16:31:07 BST 2016, operations=1.0, operationsPerMinute=2.0085026612660264
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 21 16:31:07 BST 2016, end=Tue Jun 21 16:31:09 BST 2016, operations=1.0, operationsPerMinute=38.095238095238095
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 21 16:31:30 BST 2016, end=Tue Jun 21 16:33:30 BST 2016, operations=331.8420185636014, operationsPerMinute=165.9210092818007, mode=normal, start=Tue Jun 21 16:33:32 BST 2016, end=Tue Jun 21 16:37:32 BST 2016, operations=661.947653239999, operationsPerMinute=165.48691330999975
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 21 16:37:39 BST 2016, end=Tue Jun 21 16:39:39 BST 2016, operations=129.26367338301864, operationsPerMinute=64.63183669150932, mode=normal, start=Tue Jun 21 16:39:44 BST 2016, end=Tue Jun 21 16:43:44 BST 2016, operations=262.8806098319346, operationsPerMinute=65.72015245798364
benchmark-name=compress, mod=warmup, start=Tue Jun 21 16:43:49 BST 2016, end=Tue Jun 21 16:45:49 BST 2016, operations=255.02057615746713, operationsPerMinute=127.51028807873357, mode=normal, start=Tue Jun 21 16:45:53 BST 2016, end=Tue Jun 21 16:49:53 BST 2016, operations=500.0052585534805, operationsPerMinute=125.00131463837012
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 21 16:49:56 BST 2016, end=Tue Jun 21 16:51:56 BST 2016, operations=80.29617111382291, operationsPerMinute=40.148085556911454, mode=normal, start=Tue Jun 21 16:52:06 BST 2016, end=Tue Jun 21 16:56:06 BST 2016, operations=173.55959466665195, operationsPerMinute=43.38989866666299
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 21 16:56:13 BST 2016, end=Tue Jun 21 16:58:13 BST 2016, operations=136.15122743824884, operationsPerMinute=68.07561371912442, mode=normal, start=Tue Jun 21 16:58:18 BST 2016, end=Tue Jun 21 17:02:18 BST 2016, operations=287.48225372645936, operationsPerMinute=71.87056343161484
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 21 17:02:22 BST 2016, end=Tue Jun 21 17:04:22 BST 2016, operations=249.568900750227, operationsPerMinute=124.7844503751135, mode=normal, start=Tue Jun 21 17:04:25 BST 2016, end=Tue Jun 21 17:08:25 BST 2016, operations=490.58595406193683, operationsPerMinute=122.64648851548421
benchmark-name=derby, mod=warmup, start=Tue Jun 21 17:10:09 BST 2016, end=Tue Jun 21 17:12:09 BST 2016, operations=196.2569320010271, operationsPerMinute=98.12846600051355, mode=normal, start=Tue Jun 21 17:12:13 BST 2016, end=Tue Jun 21 17:16:13 BST 2016, operations=385.861479532257, operationsPerMinute=96.46536988306426
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 21 17:16:17 BST 2016, end=Tue Jun 21 17:18:17 BST 2016, operations=127.84638037630558, operationsPerMinute=63.92319018815279, mode=normal, start=Tue Jun 21 17:18:23 BST 2016, end=Tue Jun 21 17:22:23 BST 2016, operations=259.8162415861699, operationsPerMinute=64.95406039654247
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 21 17:22:29 BST 2016, end=Tue Jun 21 17:24:29 BST 2016, operations=58.062813348804, operationsPerMinute=29.031406674402, mode=normal, start=Tue Jun 21 17:24:39 BST 2016, end=Tue Jun 21 17:28:39 BST 2016, operations=97.63436693456907, operationsPerMinute=24.408591733642268
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 21 17:28:52 BST 2016, end=Tue Jun 21 17:30:52 BST 2016, operations=11.159257691367706, operationsPerMinute=5.579628845683853, mode=normal, start=Tue Jun 21 17:31:33 BST 2016, end=Tue Jun 21 17:35:33 BST 2016, operations=21.772223512211482, operationsPerMinute=5.443055878052871
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 21 17:36:45 BST 2016, end=Tue Jun 21 17:38:45 BST 2016, operations=52.951164816786125, operationsPerMinute=26.475582408393063, mode=normal, start=Tue Jun 21 17:39:02 BST 2016, end=Tue Jun 21 17:43:02 BST 2016, operations=67.65649842272188, operationsPerMinute=16.91412460568047
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 21 17:48:45 BST 2016, end=Tue Jun 21 17:50:45 BST 2016, operations=31.831645530258097, operationsPerMinute=15.915822765129048, mode=normal, start=Tue Jun 21 17:51:02 BST 2016, end=Tue Jun 21 17:55:02 BST 2016, operations=55.075003551519686, operationsPerMinute=13.768750887879921
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jun 21 17:55:24 BST 2016, end=Tue Jun 21 17:57:24 BST 2016, operations=460.5590219260986, operationsPerMinute=230.2795109630493, mode=normal, start=Tue Jun 21 17:57:26 BST 2016, end=Tue Jun 21 18:01:26 BST 2016, operations=975.1063819411215, operationsPerMinute=243.77659548528038
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jun 21 18:01:28 BST 2016, end=Tue Jun 21 18:03:28 BST 2016, operations=373.15342181752146, operationsPerMinute=186.57671090876073, mode=normal, start=Tue Jun 21 18:03:30 BST 2016, end=Tue Jun 21 18:07:30 BST 2016, operations=745.5746990751811, operationsPerMinute=186.39367476879528
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jun 21 18:07:32 BST 2016, end=Tue Jun 21 18:09:32 BST 2016, operations=243.7206539517042, operationsPerMinute=121.8603269758521, mode=normal, start=Tue Jun 21 18:09:35 BST 2016, end=Tue Jun 21 18:13:35 BST 2016, operations=487.31414971844066, operationsPerMinute=121.82853742961017
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jun 21 18:13:39 BST 2016, end=Tue Jun 21 18:15:39 BST 2016, operations=311.4624870978212, operationsPerMinute=155.7312435489106, mode=normal, start=Tue Jun 21 18:15:41 BST 2016, end=Tue Jun 21 18:19:41 BST 2016, operations=623.9026080420765, operationsPerMinute=155.97565201051913
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jun 21 18:19:43 BST 2016, end=Tue Jun 21 18:21:43 BST 2016, operations=78.06634267424826, operationsPerMinute=39.03317133712413, mode=normal, start=Tue Jun 21 18:21:52 BST 2016, end=Tue Jun 21 18:25:52 BST 2016, operations=156.09134827286158, operationsPerMinute=39.022837068215395
benchmark-name=serial, mod=warmup, start=Tue Jun 21 18:26:01 BST 2016, end=Tue Jun 21 18:28:01 BST 2016, operations=141.03061123992504, operationsPerMinute=70.51530561996252, mode=normal, start=Tue Jun 21 18:28:06 BST 2016, end=Tue Jun 21 18:32:06 BST 2016, operations=277.97101032243404, operationsPerMinute=69.49275258060851
benchmark-name=sunflow, mod=warmup, start=Tue Jun 21 18:32:12 BST 2016, end=Tue Jun 21 18:34:12 BST 2016, operations=107.44999304876838, operationsPerMinute=53.72499652438419, mode=normal, start=Tue Jun 21 18:34:14 BST 2016, end=Tue Jun 21 18:38:14 BST 2016, operations=216.22422216610903, operationsPerMinute=54.05605554152726
benchmark-name=xml.transform, mod=warmup, start=Tue Jun 21 18:38:47 BST 2016, end=Tue Jun 21 18:40:47 BST 2016, operations=311.18670708892995, operationsPerMinute=155.59335354446497, mode=normal, start=Tue Jun 21 18:40:50 BST 2016, end=Tue Jun 21 18:44:50 BST 2016, operations=639.1894525882299, operationsPerMinute=159.79736314705747
benchmark-name=xml.validation, mod=warmup, start=Tue Jun 21 18:44:54 BST 2016, end=Tue Jun 21 18:46:54 BST 2016, operations=503.36697207020063, operationsPerMinute=251.68348603510032, mode=normal, start=Tue Jun 21 18:46:55 BST 2016, end=Tue Jun 21 18:50:55 BST 2016, operations=994.0555451172038, operationsPerMinute=248.51388627930095
