spec.jvm2008.report.run.location=HOPE04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 07:11:37 BST 2016, end=Fri Jun 24 07:11:37 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 07:11:37 BST 2016, end=Fri Jun 24 07:11:39 BST 2016, operations=1.0, operationsPerMinute=51.282051282051285
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 07:11:39 BST 2016, end=Fri Jun 24 07:12:07 BST 2016, operations=1.0, operationsPerMinute=2.114388413151496
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 07:12:07 BST 2016, end=Fri Jun 24 07:12:13 BST 2016, operations=1.0, operationsPerMinute=10.683760683760683
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 07:12:13 BST 2016, end=Fri Jun 24 07:12:14 BST 2016, operations=1.0, operationsPerMinute=36.63003663003663
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 07:12:14 BST 2016, end=Fri Jun 24 07:12:25 BST 2016, operations=1.0, operationsPerMinute=5.62271577171774
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 07:12:25 BST 2016, end=Fri Jun 24 07:12:34 BST 2016, operations=1.0, operationsPerMinute=6.918021445866482
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 07:12:34 BST 2016, end=Fri Jun 24 07:12:41 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 07:12:41 BST 2016, end=Fri Jun 24 07:12:44 BST 2016, operations=1.0, operationsPerMinute=18.85014137606032
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 07:12:44 BST 2016, end=Fri Jun 24 07:12:45 BST 2016, operations=1.0, operationsPerMinute=63.02521008403362
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 07:12:45 BST 2016, end=Fri Jun 24 07:12:46 BST 2016, operations=1.0, operationsPerMinute=46.91164972634871
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 07:12:46 BST 2016, end=Fri Jun 24 07:12:53 BST 2016, operations=1.0, operationsPerMinute=8.584919158677922
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 07:12:53 BST 2016, end=Fri Jun 24 07:12:55 BST 2016, operations=1.0, operationsPerMinute=34.03289846851957
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 07:12:55 BST 2016, end=Fri Jun 24 07:12:57 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 07:12:57 BST 2016, end=Fri Jun 24 07:13:00 BST 2016, operations=1.0, operationsPerMinute=18.055973517905507
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 07:13:00 BST 2016, end=Fri Jun 24 07:13:07 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 07:13:07 BST 2016, end=Fri Jun 24 07:13:38 BST 2016, operations=1.0, operationsPerMinute=1.969343880263892
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 07:13:38 BST 2016, end=Fri Jun 24 07:13:39 BST 2016, operations=1.0, operationsPerMinute=45.248868778280546
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 07:13:57 BST 2016, end=Fri Jun 24 07:15:57 BST 2016, operations=335.59705014316165, operationsPerMinute=167.79852507158083, mode=normal, start=Fri Jun 24 07:16:03 BST 2016, end=Fri Jun 24 07:20:03 BST 2016, operations=455.68537570241244, operationsPerMinute=113.92134392560311
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 07:20:10 BST 2016, end=Fri Jun 24 07:22:10 BST 2016, operations=135.83474722579018, operationsPerMinute=67.91737361289509, mode=normal, start=Fri Jun 24 07:22:15 BST 2016, end=Fri Jun 24 07:26:15 BST 2016, operations=267.6317258805361, operationsPerMinute=66.90793147013403
benchmark-name=compress, mod=warmup, start=Fri Jun 24 07:26:20 BST 2016, end=Fri Jun 24 07:28:20 BST 2016, operations=245.61948070681285, operationsPerMinute=122.80974035340643, mode=normal, start=Fri Jun 24 07:28:23 BST 2016, end=Fri Jun 24 07:32:23 BST 2016, operations=500.4365238232183, operationsPerMinute=125.10913095580457
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 07:32:26 BST 2016, end=Fri Jun 24 07:34:26 BST 2016, operations=78.21422311017608, operationsPerMinute=39.10711155508804, mode=normal, start=Fri Jun 24 07:34:34 BST 2016, end=Fri Jun 24 07:38:34 BST 2016, operations=168.09562814544427, operationsPerMinute=42.02390703636107
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 07:38:44 BST 2016, end=Fri Jun 24 07:40:44 BST 2016, operations=135.74646834725434, operationsPerMinute=67.87323417362717, mode=normal, start=Fri Jun 24 07:40:49 BST 2016, end=Fri Jun 24 07:44:49 BST 2016, operations=265.8438663797338, operationsPerMinute=66.46096659493345
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 07:44:56 BST 2016, end=Fri Jun 24 07:46:56 BST 2016, operations=236.49320448768162, operationsPerMinute=118.24660224384081, mode=normal, start=Fri Jun 24 07:46:58 BST 2016, end=Fri Jun 24 07:50:58 BST 2016, operations=470.1847377813016, operationsPerMinute=117.5461844453254
benchmark-name=derby, mod=warmup, start=Fri Jun 24 07:52:27 BST 2016, end=Fri Jun 24 07:54:27 BST 2016, operations=187.22358941857703, operationsPerMinute=93.61179470928852, mode=normal, start=Fri Jun 24 07:54:31 BST 2016, end=Fri Jun 24 07:58:31 BST 2016, operations=377.680296514464, operationsPerMinute=94.420074128616
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 07:58:35 BST 2016, end=Fri Jun 24 08:00:35 BST 2016, operations=124.10429044881505, operationsPerMinute=62.052145224407525, mode=normal, start=Fri Jun 24 08:00:40 BST 2016, end=Fri Jun 24 08:04:40 BST 2016, operations=250.45785229348914, operationsPerMinute=62.614463073372285
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 08:04:44 BST 2016, end=Fri Jun 24 08:06:44 BST 2016, operations=61.527411528165814, operationsPerMinute=30.763705764082907, mode=normal, start=Fri Jun 24 08:06:55 BST 2016, end=Fri Jun 24 08:10:55 BST 2016, operations=110.46438458166972, operationsPerMinute=27.61609614541743
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 08:11:08 BST 2016, end=Fri Jun 24 08:13:08 BST 2016, operations=11.380059979625967, operationsPerMinute=5.690029989812984, mode=normal, start=Fri Jun 24 08:14:17 BST 2016, end=Fri Jun 24 08:18:17 BST 2016, operations=22.816273550582537, operationsPerMinute=5.704068387645634
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 08:19:12 BST 2016, end=Fri Jun 24 08:21:12 BST 2016, operations=50.82341888436868, operationsPerMinute=25.41170944218434, mode=normal, start=Fri Jun 24 08:21:23 BST 2016, end=Fri Jun 24 08:25:23 BST 2016, operations=101.87230151017772, operationsPerMinute=25.46807537754443
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 08:25:38 BST 2016, end=Fri Jun 24 08:27:38 BST 2016, operations=36.599583707052375, operationsPerMinute=18.299791853526187, mode=normal, start=Fri Jun 24 08:27:56 BST 2016, end=Fri Jun 24 08:31:56 BST 2016, operations=73.16667923862725, operationsPerMinute=18.291669809656813
