spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 03:35:38 BST 2016, end=Mon Jul 04 03:35:38 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 03:35:38 BST 2016, end=Mon Jul 04 03:35:38 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 03:35:38 BST 2016, end=Mon Jul 04 03:35:51 BST 2016, operations=1.0, operationsPerMinute=4.482629809488233
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 03:35:51 BST 2016, end=Mon Jul 04 03:35:55 BST 2016, operations=1.0, operationsPerMinute=17.56440281030445
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 03:35:55 BST 2016, end=Mon Jul 04 03:35:56 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 03:35:56 BST 2016, end=Mon Jul 04 03:36:05 BST 2016, operations=1.0, operationsPerMinute=6.993006993006993
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 03:36:05 BST 2016, end=Mon Jul 04 03:36:12 BST 2016, operations=1.0, operationsPerMinute=7.881255746748982
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 03:36:12 BST 2016, end=Mon Jul 04 03:36:19 BST 2016, operations=1.0, operationsPerMinute=9.071666162685213
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 03:36:19 BST 2016, end=Mon Jul 04 03:36:21 BST 2016, operations=1.0, operationsPerMinute=25.641025641025642
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 03:36:21 BST 2016, end=Mon Jul 04 03:36:22 BST 2016, operations=1.0, operationsPerMinute=78.43137254901961
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 03:36:22 BST 2016, end=Mon Jul 04 03:36:23 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 03:36:23 BST 2016, end=Mon Jul 04 03:36:29 BST 2016, operations=1.0, operationsPerMinute=10.451140916216687
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 03:36:29 BST 2016, end=Mon Jul 04 03:36:30 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 03:36:30 BST 2016, end=Mon Jul 04 03:36:31 BST 2016, operations=1.0, operationsPerMinute=58.309037900874635
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 03:36:31 BST 2016, end=Mon Jul 04 03:36:33 BST 2016, operations=1.0, operationsPerMinute=27.47252747252747
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 03:36:33 BST 2016, end=Mon Jul 04 03:36:40 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 03:36:40 BST 2016, end=Mon Jul 04 03:37:01 BST 2016, operations=1.0, operationsPerMinute=2.8552393642333684
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 03:37:01 BST 2016, end=Mon Jul 04 03:37:02 BST 2016, operations=1.0, operationsPerMinute=72.63922518159806
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 03:37:12 BST 2016, end=Mon Jul 04 03:39:12 BST 2016, operations=438.7615813463703, operationsPerMinute=219.38079067318515, mode=normal, start=Mon Jul 04 03:39:14 BST 2016, end=Mon Jul 04 03:43:14 BST 2016, operations=897.9907586792932, operationsPerMinute=224.4976896698233
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 03:43:18 BST 2016, end=Mon Jul 04 03:45:18 BST 2016, operations=175.95794773622922, operationsPerMinute=87.97897386811461, mode=normal, start=Mon Jul 04 03:45:21 BST 2016, end=Mon Jul 04 03:49:21 BST 2016, operations=354.3185594446312, operationsPerMinute=88.5796398611578
benchmark-name=compress, mod=warmup, start=Mon Jul 04 03:49:25 BST 2016, end=Mon Jul 04 03:51:25 BST 2016, operations=299.9321603884701, operationsPerMinute=149.96608019423505, mode=normal, start=Mon Jul 04 03:51:27 BST 2016, end=Mon Jul 04 03:55:27 BST 2016, operations=522.3044633206932, operationsPerMinute=130.5761158301733
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 03:55:30 BST 2016, end=Mon Jul 04 03:57:30 BST 2016, operations=104.171012087131, operationsPerMinute=52.0855060435655, mode=normal, start=Mon Jul 04 03:57:37 BST 2016, end=Mon Jul 04 04:01:37 BST 2016, operations=219.78324778430712, operationsPerMinute=54.94581194607678
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 04:01:44 BST 2016, end=Mon Jul 04 04:03:44 BST 2016, operations=174.7457875422846, operationsPerMinute=87.3728937711423, mode=normal, start=Mon Jul 04 04:03:56 BST 2016, end=Mon Jul 04 04:07:56 BST 2016, operations=186.52222575791416, operationsPerMinute=46.63055643947854
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 04:08:27 BST 2016, end=Mon Jul 04 04:10:27 BST 2016, operations=305.21040826628416, operationsPerMinute=152.60520413314208, mode=normal, start=Mon Jul 04 04:10:30 BST 2016, end=Mon Jul 04 04:14:30 BST 2016, operations=611.0305231811244, operationsPerMinute=152.7576307952811
benchmark-name=derby, mod=warmup, start=Mon Jul 04 04:14:54 BST 2016, end=Mon Jul 04 04:16:54 BST 2016, operations=273.46277339647474, operationsPerMinute=136.73138669823737, mode=normal, start=Mon Jul 04 04:16:57 BST 2016, end=Mon Jul 04 04:20:57 BST 2016, operations=522.8905067855794, operationsPerMinute=130.72262669639485
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 04:20:59 BST 2016, end=Mon Jul 04 04:22:59 BST 2016, operations=155.58839437533982, operationsPerMinute=77.79419718766991, mode=normal, start=Mon Jul 04 04:23:05 BST 2016, end=Mon Jul 04 04:27:05 BST 2016, operations=278.6209406307607, operationsPerMinute=69.65523515769017
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 04:27:10 BST 2016, end=Mon Jul 04 04:29:10 BST 2016, operations=67.11040640503757, operationsPerMinute=33.55520320251878, mode=normal, start=Mon Jul 04 04:29:35 BST 2016, end=Mon Jul 04 04:33:35 BST 2016, operations=140.76593712619245, operationsPerMinute=35.191484281548114
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 04:33:51 BST 2016, end=Mon Jul 04 04:35:51 BST 2016, operations=13.95047102247544, operationsPerMinute=6.97523551123772, mode=normal, start=Mon Jul 04 04:36:42 BST 2016, end=Mon Jul 04 04:40:42 BST 2016, operations=28.08785379370505, operationsPerMinute=7.021963448426263
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 04:41:15 BST 2016, end=Mon Jul 04 04:43:15 BST 2016, operations=56.95234499869892, operationsPerMinute=28.47617249934946, mode=normal, start=Mon Jul 04 04:43:25 BST 2016, end=Mon Jul 04 04:47:25 BST 2016, operations=99.29393761887712, operationsPerMinute=24.82348440471928
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 04:47:41 BST 2016, end=Mon Jul 04 04:49:41 BST 2016, operations=43.85579322509722, operationsPerMinute=21.92789661254861, mode=normal, start=Mon Jul 04 04:49:53 BST 2016, end=Mon Jul 04 04:53:53 BST 2016, operations=86.89931479266097, operationsPerMinute=21.724828698165243
