spec.jvm2008.report.run.location=OLDLIB038
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:14 BST 2016, end=Thu May 26 14:21:14 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:14 BST 2016, end=Thu May 26 14:21:15 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:15 BST 2016, end=Thu May 26 14:21:42 BST 2016, operations=1.0, operationsPerMinute=2.246517897259248
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:21:42 BST 2016, end=Thu May 26 14:21:47 BST 2016, operations=1.0, operationsPerMinute=12.693039983075947
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:21:47 BST 2016, end=Thu May 26 14:21:48 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:21:48 BST 2016, end=Thu May 26 14:21:58 BST 2016, operations=1.0, operationsPerMinute=6.163328197226503
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:21:58 BST 2016, end=Thu May 26 14:22:06 BST 2016, operations=1.0, operationsPerMinute=7.482229704451926
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:22:06 BST 2016, end=Thu May 26 14:22:13 BST 2016, operations=1.0, operationsPerMinute=8.64304235090752
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:22:13 BST 2016, end=Thu May 26 14:22:15 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:15 BST 2016, end=Thu May 26 14:22:16 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:16 BST 2016, end=Thu May 26 14:22:17 BST 2016, operations=1.0, operationsPerMinute=57.361376673040155
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:17 BST 2016, end=Thu May 26 14:22:23 BST 2016, operations=1.0, operationsPerMinute=9.914077990746861
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:22:23 BST 2016, end=Thu May 26 14:22:25 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:22:25 BST 2016, end=Thu May 26 14:22:26 BST 2016, operations=1.0, operationsPerMinute=49.91680532445923
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:22:26 BST 2016, end=Thu May 26 14:22:29 BST 2016, operations=1.0, operationsPerMinute=22.76176024279211
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:22:29 BST 2016, end=Thu May 26 14:22:36 BST 2016, operations=1.0, operationsPerMinute=8.470986869970352
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:22:36 BST 2016, end=Thu May 26 14:23:03 BST 2016, operations=1.0, operationsPerMinute=2.2374701670644392
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:23:03 BST 2016, end=Thu May 26 14:23:04 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:23:17 BST 2016, end=Thu May 26 14:25:17 BST 2016, operations=452.8197573703595, operationsPerMinute=226.40987868517976, mode=normal, start=Thu May 26 14:25:21 BST 2016, end=Thu May 26 14:29:21 BST 2016, operations=918.6582897558984, operationsPerMinute=229.6645724389746
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:29:27 BST 2016, end=Thu May 26 14:31:27 BST 2016, operations=181.28303592077978, operationsPerMinute=90.64151796038989, mode=normal, start=Thu May 26 14:31:34 BST 2016, end=Thu May 26 14:35:34 BST 2016, operations=322.637662894348, operationsPerMinute=80.659415723587
benchmark-name=compress, mod=warmup, start=Thu May 26 14:35:42 BST 2016, end=Thu May 26 14:37:42 BST 2016, operations=480.7518668499362, operationsPerMinute=240.3759334249681, mode=normal, start=Thu May 26 14:37:45 BST 2016, end=Thu May 26 14:41:45 BST 2016, operations=958.0593867771161, operationsPerMinute=239.51484669427902
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:41:48 BST 2016, end=Thu May 26 14:43:48 BST 2016, operations=127.40985708167351, operationsPerMinute=63.704928540836754, mode=normal, start=Thu May 26 14:43:58 BST 2016, end=Thu May 26 14:47:58 BST 2016, operations=267.3598255598678, operationsPerMinute=66.83995638996694
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:48:10 BST 2016, end=Thu May 26 14:50:10 BST 2016, operations=226.82706284284092, operationsPerMinute=113.41353142142046, mode=normal, start=Thu May 26 14:50:16 BST 2016, end=Thu May 26 14:54:16 BST 2016, operations=451.0564156097889, operationsPerMinute=112.76410390244723
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:54:22 BST 2016, end=Thu May 26 14:56:22 BST 2016, operations=392.32397213276516, operationsPerMinute=196.16198606638258, mode=normal, start=Thu May 26 14:56:26 BST 2016, end=Thu May 26 15:00:26 BST 2016, operations=781.8037517335962, operationsPerMinute=195.45093793339905
benchmark-name=derby, mod=warmup, start=Thu May 26 15:02:08 BST 2016, end=Thu May 26 15:04:08 BST 2016, operations=330.2101256279399, operationsPerMinute=165.10506281396994, mode=normal, start=Thu May 26 15:04:11 BST 2016, end=Thu May 26 15:08:11 BST 2016, operations=660.4440131340767, operationsPerMinute=165.11100328351918
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:08:16 BST 2016, end=Thu May 26 15:10:16 BST 2016, operations=218.22952004518805, operationsPerMinute=109.11476002259403, mode=normal, start=Thu May 26 15:10:23 BST 2016, end=Thu May 26 15:14:23 BST 2016, operations=436.4895973638435, operationsPerMinute=109.12239934096087
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:14:30 BST 2016, end=Thu May 26 15:16:30 BST 2016, operations=89.3514937697222, operationsPerMinute=44.6757468848611, mode=normal, start=Thu May 26 15:16:49 BST 2016, end=Thu May 26 15:20:49 BST 2016, operations=196.1988557129413, operationsPerMinute=49.04971392823533
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:21:02 BST 2016, end=Thu May 26 15:23:02 BST 2016, operations=20.561920823098944, operationsPerMinute=10.280960411549472, mode=normal, start=Thu May 26 15:24:02 BST 2016, end=Thu May 26 15:28:02 BST 2016, operations=41.25371081458271, operationsPerMinute=10.313427703645678
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:29:16 BST 2016, end=Thu May 26 15:31:16 BST 2016, operations=117.89913723094692, operationsPerMinute=58.94956861547346, mode=normal, start=Thu May 26 15:31:30 BST 2016, end=Thu May 26 15:35:30 BST 2016, operations=240.10763327517597, operationsPerMinute=60.02690831879399
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:35:43 BST 2016, end=Thu May 26 15:37:43 BST 2016, operations=62.23457463856581, operationsPerMinute=31.117287319282905, mode=normal, start=Thu May 26 15:38:00 BST 2016, end=Thu May 26 15:42:00 BST 2016, operations=124.93563603901445, operationsPerMinute=31.233909009753614
