spec.jvm2008.report.run.location=KRC017
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:39:55 BST 2016, end=Sun Jun 19 00:39:55 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:39:55 BST 2016, end=Sun Jun 19 00:39:55 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:39:55 BST 2016, end=Sun Jun 19 00:40:11 BST 2016, operations=1.0, operationsPerMinute=3.68052999631947
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:40:11 BST 2016, end=Sun Jun 19 00:40:15 BST 2016, operations=1.0, operationsPerMinute=17.24633515377982
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:40:15 BST 2016, end=Sun Jun 19 00:40:16 BST 2016, operations=1.0, operationsPerMinute=44.21518054532056
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:40:16 BST 2016, end=Sun Jun 19 00:40:25 BST 2016, operations=1.0, operationsPerMinute=6.868131868131868
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:40:25 BST 2016, end=Sun Jun 19 00:40:32 BST 2016, operations=1.0, operationsPerMinute=7.83289817232376
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:40:32 BST 2016, end=Sun Jun 19 00:40:39 BST 2016, operations=1.0, operationsPerMinute=9.027986758952753
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:40:39 BST 2016, end=Sun Jun 19 00:40:42 BST 2016, operations=1.0, operationsPerMinute=24.81389578163772
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:40:42 BST 2016, end=Sun Jun 19 00:40:42 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:40:42 BST 2016, end=Sun Jun 19 00:40:43 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:40:43 BST 2016, end=Sun Jun 19 00:40:49 BST 2016, operations=1.0, operationsPerMinute=10.509721492380452
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:40:49 BST 2016, end=Sun Jun 19 00:40:51 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:40:51 BST 2016, end=Sun Jun 19 00:40:52 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:40:52 BST 2016, end=Sun Jun 19 00:40:54 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:40:54 BST 2016, end=Sun Jun 19 00:41:01 BST 2016, operations=1.0, operationsPerMinute=8.964589870013446
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:41:01 BST 2016, end=Sun Jun 19 00:41:23 BST 2016, operations=1.0, operationsPerMinute=2.725909772386534
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:41:23 BST 2016, end=Sun Jun 19 00:41:23 BST 2016, operations=1.0, operationsPerMinute=69.93006993006993
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:41:35 BST 2016, end=Sun Jun 19 00:43:35 BST 2016, operations=454.5905670839213, operationsPerMinute=227.29528354196066, mode=normal, start=Sun Jun 19 00:43:37 BST 2016, end=Sun Jun 19 00:47:37 BST 2016, operations=934.0024609105916, operationsPerMinute=233.5006152276479
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:47:42 BST 2016, end=Sun Jun 19 00:49:42 BST 2016, operations=185.65328091225797, operationsPerMinute=92.82664045612898, mode=normal, start=Sun Jun 19 00:49:46 BST 2016, end=Sun Jun 19 00:53:46 BST 2016, operations=353.06207884858736, operationsPerMinute=88.26551971214684
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:53:50 BST 2016, end=Sun Jun 19 00:55:50 BST 2016, operations=366.03775183374734, operationsPerMinute=183.01887591687367, mode=normal, start=Sun Jun 19 00:55:52 BST 2016, end=Sun Jun 19 00:59:52 BST 2016, operations=732.2206902649651, operationsPerMinute=183.05517256624128
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:59:54 BST 2016, end=Sun Jun 19 01:01:54 BST 2016, operations=127.64833174965622, operationsPerMinute=63.82416587482811, mode=normal, start=Sun Jun 19 01:01:59 BST 2016, end=Sun Jun 19 01:05:59 BST 2016, operations=268.97280500491803, operationsPerMinute=67.24320125122951
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:06:05 BST 2016, end=Sun Jun 19 01:08:05 BST 2016, operations=205.10408869878822, operationsPerMinute=102.55204434939411, mode=normal, start=Sun Jun 19 01:08:09 BST 2016, end=Sun Jun 19 01:12:09 BST 2016, operations=432.1878989214125, operationsPerMinute=108.04697473035313
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:12:12 BST 2016, end=Sun Jun 19 01:14:12 BST 2016, operations=371.6476957217094, operationsPerMinute=185.8238478608547, mode=normal, start=Sun Jun 19 01:14:14 BST 2016, end=Sun Jun 19 01:18:14 BST 2016, operations=745.0642097849934, operationsPerMinute=186.26605244624835
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:19:26 BST 2016, end=Sun Jun 19 01:21:26 BST 2016, operations=331.9448383485844, operationsPerMinute=165.9724191742922, mode=normal, start=Sun Jun 19 01:21:29 BST 2016, end=Sun Jun 19 01:25:29 BST 2016, operations=661.2777225680612, operationsPerMinute=165.3194306420153
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:25:31 BST 2016, end=Sun Jun 19 01:27:31 BST 2016, operations=190.2600109219337, operationsPerMinute=95.13000546096686, mode=normal, start=Sun Jun 19 01:27:35 BST 2016, end=Sun Jun 19 01:31:35 BST 2016, operations=380.0604058965718, operationsPerMinute=95.01510147414295
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:31:39 BST 2016, end=Sun Jun 19 01:33:39 BST 2016, operations=77.9789814348461, operationsPerMinute=38.98949071742305, mode=normal, start=Sun Jun 19 01:33:47 BST 2016, end=Sun Jun 19 01:37:47 BST 2016, operations=152.4616900983112, operationsPerMinute=38.1154225245778
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:37:54 BST 2016, end=Sun Jun 19 01:39:54 BST 2016, operations=13.859561264188441, operationsPerMinute=6.929780632094221, mode=normal, start=Sun Jun 19 01:40:38 BST 2016, end=Sun Jun 19 01:44:38 BST 2016, operations=27.98672708299948, operationsPerMinute=6.99668177074987
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:45:20 BST 2016, end=Sun Jun 19 01:47:20 BST 2016, operations=69.39818403544531, operationsPerMinute=34.699092017722656, mode=normal, start=Sun Jun 19 01:47:31 BST 2016, end=Sun Jun 19 01:51:31 BST 2016, operations=138.80040171867108, operationsPerMinute=34.70010042966777
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:51:41 BST 2016, end=Sun Jun 19 01:53:41 BST 2016, operations=42.68761763088342, operationsPerMinute=21.34380881544171, mode=normal, start=Sun Jun 19 01:53:53 BST 2016, end=Sun Jun 19 01:57:53 BST 2016, operations=85.60427110794984, operationsPerMinute=21.40106777698746
