spec.jvm2008.report.run.location=UNION68
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:20:54 BST 2016, end=Thu May 26 14:20:54 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:20:54 BST 2016, end=Thu May 26 14:20:55 BST 2016, operations=1.0, operationsPerMinute=98.6842105263158
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:20:55 BST 2016, end=Thu May 26 14:21:13 BST 2016, operations=1.0, operationsPerMinute=3.304510657046869
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:21:13 BST 2016, end=Thu May 26 14:21:17 BST 2016, operations=1.0, operationsPerMinute=15.082956259426847
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:21:17 BST 2016, end=Thu May 26 14:21:18 BST 2016, operations=1.0, operationsPerMinute=44.21518054532056
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:21:18 BST 2016, end=Thu May 26 14:21:27 BST 2016, operations=1.0, operationsPerMinute=6.643046944198406
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:21:27 BST 2016, end=Thu May 26 14:21:35 BST 2016, operations=1.0, operationsPerMinute=7.512207336922499
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:21:35 BST 2016, end=Thu May 26 14:21:42 BST 2016, operations=1.0, operationsPerMinute=8.820935019112026
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:21:42 BST 2016, end=Thu May 26 14:21:44 BST 2016, operations=1.0, operationsPerMinute=24.350649350649352
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:21:44 BST 2016, end=Thu May 26 14:21:45 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:21:45 BST 2016, end=Thu May 26 14:21:46 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:21:46 BST 2016, end=Thu May 26 14:21:52 BST 2016, operations=1.0, operationsPerMinute=10.539258738802038
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:21:52 BST 2016, end=Thu May 26 14:21:53 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:21:53 BST 2016, end=Thu May 26 14:21:55 BST 2016, operations=1.0, operationsPerMinute=56.60377358490566
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:21:55 BST 2016, end=Thu May 26 14:21:57 BST 2016, operations=1.0, operationsPerMinute=25.641025641025642
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:21:57 BST 2016, end=Thu May 26 14:22:04 BST 2016, operations=1.0, operationsPerMinute=8.681811604688178
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:22:04 BST 2016, end=Thu May 26 14:22:27 BST 2016, operations=1.0, operationsPerMinute=2.636319697702008
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:22:27 BST 2016, end=Thu May 26 14:22:27 BST 2016, operations=1.0, operationsPerMinute=63.02521008403362
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:22:39 BST 2016, end=Thu May 26 14:24:39 BST 2016, operations=340.67322353124246, operationsPerMinute=170.33661176562123, mode=normal, start=Thu May 26 14:24:42 BST 2016, end=Thu May 26 14:28:42 BST 2016, operations=822.047742485157, operationsPerMinute=205.51193562128924
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:28:46 BST 2016, end=Thu May 26 14:30:46 BST 2016, operations=176.16834556181985, operationsPerMinute=88.08417278090992, mode=normal, start=Thu May 26 14:30:49 BST 2016, end=Thu May 26 14:34:49 BST 2016, operations=340.92901647259475, operationsPerMinute=85.23225411814869
benchmark-name=compress, mod=warmup, start=Thu May 26 14:34:53 BST 2016, end=Thu May 26 14:36:53 BST 2016, operations=346.08749988411176, operationsPerMinute=173.04374994205588, mode=normal, start=Thu May 26 14:36:55 BST 2016, end=Thu May 26 14:40:55 BST 2016, operations=681.8310605336628, operationsPerMinute=170.4577651334157
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:40:58 BST 2016, end=Thu May 26 14:42:58 BST 2016, operations=123.4404349000902, operationsPerMinute=61.7202174500451, mode=normal, start=Thu May 26 14:43:05 BST 2016, end=Thu May 26 14:47:05 BST 2016, operations=259.201886955811, operationsPerMinute=64.80047173895275
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:47:12 BST 2016, end=Thu May 26 14:49:12 BST 2016, operations=204.18592599365593, operationsPerMinute=102.09296299682796, mode=normal, start=Thu May 26 14:49:16 BST 2016, end=Thu May 26 14:53:16 BST 2016, operations=415.887989667999, operationsPerMinute=103.97199741699976
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:53:19 BST 2016, end=Thu May 26 14:55:19 BST 2016, operations=358.1152851077183, operationsPerMinute=179.05764255385915, mode=normal, start=Thu May 26 14:55:21 BST 2016, end=Thu May 26 14:59:21 BST 2016, operations=710.6929104401511, operationsPerMinute=177.67322761003777
benchmark-name=derby, mod=warmup, start=Thu May 26 15:00:37 BST 2016, end=Thu May 26 15:02:37 BST 2016, operations=299.50897087970776, operationsPerMinute=149.75448543985388, mode=normal, start=Thu May 26 15:02:39 BST 2016, end=Thu May 26 15:06:39 BST 2016, operations=600.3762535896661, operationsPerMinute=150.09406339741653
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:06:42 BST 2016, end=Thu May 26 15:08:42 BST 2016, operations=175.1293176718467, operationsPerMinute=87.56465883592335, mode=normal, start=Thu May 26 15:08:46 BST 2016, end=Thu May 26 15:12:46 BST 2016, operations=364.4855414070486, operationsPerMinute=91.12138535176214
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:12:51 BST 2016, end=Thu May 26 15:14:51 BST 2016, operations=66.82353029359115, operationsPerMinute=33.411765146795574, mode=normal, start=Thu May 26 15:15:01 BST 2016, end=Thu May 26 15:19:01 BST 2016, operations=138.5853899171371, operationsPerMinute=34.64634747928427
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:19:11 BST 2016, end=Thu May 26 15:21:11 BST 2016, operations=13.604611499010765, operationsPerMinute=6.802305749505383, mode=normal, start=Thu May 26 15:21:59 BST 2016, end=Thu May 26 15:25:59 BST 2016, operations=22.671666556718176, operationsPerMinute=5.667916639179544
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:28:03 BST 2016, end=Thu May 26 15:30:03 BST 2016, operations=59.632224655989916, operationsPerMinute=29.816112327994958, mode=normal, start=Thu May 26 15:30:13 BST 2016, end=Thu May 26 15:34:13 BST 2016, operations=113.53137903774243, operationsPerMinute=28.382844759435606
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:34:26 BST 2016, end=Thu May 26 15:36:26 BST 2016, operations=35.737904225664664, operationsPerMinute=17.868952112832332, mode=normal, start=Thu May 26 15:36:40 BST 2016, end=Thu May 26 15:40:40 BST 2016, operations=77.08575457041078, operationsPerMinute=19.271438642602696
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:40:54 BST 2016, end=Thu May 26 15:42:54 BST 2016, operations=684.2965863885547, operationsPerMinute=342.14829319427736, mode=normal, start=Thu May 26 15:42:55 BST 2016, end=Thu May 26 15:46:55 BST 2016, operations=1281.1371569783419, operationsPerMinute=320.28428924458547
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:46:56 BST 2016, end=Thu May 26 15:48:56 BST 2016, operations=483.294738100305, operationsPerMinute=241.6473690501525, mode=normal, start=Thu May 26 15:48:58 BST 2016, end=Thu May 26 15:52:58 BST 2016, operations=882.2014953160955, operationsPerMinute=220.55037382902387
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:53:00 BST 2016, end=Thu May 26 15:55:00 BST 2016, operations=265.6480609617625, operationsPerMinute=132.82403048088125, mode=normal, start=Thu May 26 15:55:03 BST 2016, end=Thu May 26 15:59:03 BST 2016, operations=533.2951797487838, operationsPerMinute=133.32379493719594
