spec.jvm2008.report.run.location=KINGS09
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 23:03:01 BST 2016, end=Fri Jun 24 23:03:01 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 23:03:01 BST 2016, end=Fri Jun 24 23:03:01 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 23:03:01 BST 2016, end=Fri Jun 24 23:03:17 BST 2016, operations=1.0, operationsPerMinute=3.7819098644815634
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 23:03:17 BST 2016, end=Fri Jun 24 23:03:22 BST 2016, operations=1.0, operationsPerMinute=14.08781404085466
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 23:03:22 BST 2016, end=Fri Jun 24 23:03:23 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 23:03:23 BST 2016, end=Fri Jun 24 23:03:32 BST 2016, operations=1.0, operationsPerMinute=6.712911165808906
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 23:03:32 BST 2016, end=Fri Jun 24 23:03:40 BST 2016, operations=1.0, operationsPerMinute=7.81657113079729
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 23:03:40 BST 2016, end=Fri Jun 24 23:03:46 BST 2016, operations=1.0, operationsPerMinute=8.987417615338526
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 23:03:46 BST 2016, end=Fri Jun 24 23:03:49 BST 2016, operations=1.0, operationsPerMinute=22.76176024279211
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 23:03:49 BST 2016, end=Fri Jun 24 23:03:50 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 23:03:50 BST 2016, end=Fri Jun 24 23:03:51 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 23:03:51 BST 2016, end=Fri Jun 24 23:03:57 BST 2016, operations=1.0, operationsPerMinute=9.963467286615742
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 23:03:57 BST 2016, end=Fri Jun 24 23:03:58 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 23:03:58 BST 2016, end=Fri Jun 24 23:04:00 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 23:04:00 BST 2016, end=Fri Jun 24 23:04:02 BST 2016, operations=1.0, operationsPerMinute=23.032629558541267
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 23:04:02 BST 2016, end=Fri Jun 24 23:04:09 BST 2016, operations=1.0, operationsPerMinute=9.071666162685213
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 23:04:09 BST 2016, end=Fri Jun 24 23:04:33 BST 2016, operations=1.0, operationsPerMinute=2.50888563662973
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 23:04:33 BST 2016, end=Fri Jun 24 23:04:34 BST 2016, operations=1.0, operationsPerMinute=55.710306406685234
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 23:04:46 BST 2016, end=Fri Jun 24 23:06:46 BST 2016, operations=431.3125109453113, operationsPerMinute=215.65625547265566, mode=normal, start=Fri Jun 24 23:06:47 BST 2016, end=Fri Jun 24 23:10:47 BST 2016, operations=886.0778205614122, operationsPerMinute=221.51945514035305
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 23:10:52 BST 2016, end=Fri Jun 24 23:12:52 BST 2016, operations=176.7679995687608, operationsPerMinute=88.3839997843804, mode=normal, start=Fri Jun 24 23:12:55 BST 2016, end=Fri Jun 24 23:16:55 BST 2016, operations=353.6636531293317, operationsPerMinute=88.41591328233292
benchmark-name=compress, mod=warmup, start=Fri Jun 24 23:16:59 BST 2016, end=Fri Jun 24 23:18:59 BST 2016, operations=373.661076878863, operationsPerMinute=186.8305384394315, mode=normal, start=Fri Jun 24 23:19:01 BST 2016, end=Fri Jun 24 23:23:01 BST 2016, operations=743.0812090939912, operationsPerMinute=185.7703022734978
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 23:23:04 BST 2016, end=Fri Jun 24 23:25:04 BST 2016, operations=123.70035884600634, operationsPerMinute=61.85017942300317, mode=normal, start=Fri Jun 24 23:25:08 BST 2016, end=Fri Jun 24 23:29:08 BST 2016, operations=259.79998414380077, operationsPerMinute=64.94999603595019
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 23:29:15 BST 2016, end=Fri Jun 24 23:31:15 BST 2016, operations=219.12339056034867, operationsPerMinute=109.56169528017433, mode=normal, start=Fri Jun 24 23:31:18 BST 2016, end=Fri Jun 24 23:35:18 BST 2016, operations=439.5922035883225, operationsPerMinute=109.89805089708062
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 23:35:22 BST 2016, end=Fri Jun 24 23:37:22 BST 2016, operations=373.63356454290545, operationsPerMinute=186.81678227145272, mode=normal, start=Fri Jun 24 23:37:25 BST 2016, end=Fri Jun 24 23:41:25 BST 2016, operations=748.4742115824268, operationsPerMinute=187.1185528956067
benchmark-name=derby, mod=warmup, start=Fri Jun 24 23:42:37 BST 2016, end=Fri Jun 24 23:44:37 BST 2016, operations=278.3994935546905, operationsPerMinute=139.19974677734524, mode=normal, start=Fri Jun 24 23:44:40 BST 2016, end=Fri Jun 24 23:48:40 BST 2016, operations=558.382893095733, operationsPerMinute=139.59572327393326
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 23:48:42 BST 2016, end=Fri Jun 24 23:50:42 BST 2016, operations=183.78048608953148, operationsPerMinute=91.89024304476574, mode=normal, start=Fri Jun 24 23:50:47 BST 2016, end=Fri Jun 24 23:54:47 BST 2016, operations=368.9582042939049, operationsPerMinute=92.23955107347622
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 23:54:51 BST 2016, end=Fri Jun 24 23:56:51 BST 2016, operations=105.60020380845958, operationsPerMinute=52.80010190422979, mode=normal, start=Fri Jun 24 23:56:58 BST 2016, end=Sat Jun 25 00:00:58 BST 2016, operations=207.7904375670433, operationsPerMinute=51.94760939176083
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 00:01:03 BST 2016, end=Sat Jun 25 00:03:03 BST 2016, operations=21.69609251263407, operationsPerMinute=10.848046256317035, mode=normal, start=Sat Jun 25 00:03:32 BST 2016, end=Sat Jun 25 00:07:32 BST 2016, operations=43.44075126363994, operationsPerMinute=10.860187815909985
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 00:07:51 BST 2016, end=Sat Jun 25 00:09:51 BST 2016, operations=73.72420693775999, operationsPerMinute=36.862103468879994, mode=normal, start=Sat Jun 25 00:10:02 BST 2016, end=Sat Jun 25 00:14:02 BST 2016, operations=147.51176213844363, operationsPerMinute=36.87794053461091
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 00:14:14 BST 2016, end=Sat Jun 25 00:16:14 BST 2016, operations=72.43093794125829, operationsPerMinute=36.215468970629146, mode=normal, start=Sat Jun 25 00:16:23 BST 2016, end=Sat Jun 25 00:20:23 BST 2016, operations=144.91911176226034, operationsPerMinute=36.229777940565086
