spec.jvm2008.report.run.location=LEAZESTCE008
spec.jvm2008.report.hw.cpu.name=
spec.jvm2008.report.hw.number.of.cores=
spec.jvm2008.report.hw.memory.size=,=
benchmark-name=check, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:17 BST 2016, operations=1.0, operationsPerMinute=1395.3488372093022
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:17 BST 2016, operations=1.0, operationsPerMinute=566.0377358490566
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:31 BST 2016, operations=1.0, operationsPerMinute=4.32744320230797
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:02:31 BST 2016, end=Fri Jun 03 15:02:34 BST 2016, operations=1.0, operationsPerMinute=16.26457034426674
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:02:34 BST 2016, end=Fri Jun 03 15:02:36 BST 2016, operations=1.0, operationsPerMinute=45.662100456621005
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:02:36 BST 2016, end=Fri Jun 03 15:02:44 BST 2016, operations=1.0, operationsPerMinute=7.153928699177298
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:02:44 BST 2016, end=Fri Jun 03 15:02:51 BST 2016, operations=1.0, operationsPerMinute=8.183306055646481
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:02:51 BST 2016, end=Fri Jun 03 15:02:58 BST 2016, operations=1.0, operationsPerMinute=9.299442033477991
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:02:58 BST 2016, end=Fri Jun 03 15:03:00 BST 2016, operations=1.0, operationsPerMinute=25.231286795626577
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:03:00 BST 2016, end=Fri Jun 03 15:03:01 BST 2016, operations=1.0, operationsPerMinute=79.26023778071334
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:03:01 BST 2016, end=Fri Jun 03 15:03:02 BST 2016, operations=1.0, operationsPerMinute=62.11180124223603
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:03:02 BST 2016, end=Fri Jun 03 15:03:08 BST 2016, operations=1.0, operationsPerMinute=10.296893770379269
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:03:08 BST 2016, end=Fri Jun 03 15:03:09 BST 2016, operations=1.0, operationsPerMinute=40.4040404040404
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:03:09 BST 2016, end=Fri Jun 03 15:03:10 BST 2016, operations=1.0, operationsPerMinute=58.88125613346418
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:03:10 BST 2016, end=Fri Jun 03 15:03:13 BST 2016, operations=1.0, operationsPerMinute=26.7260579064588
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:03:13 BST 2016, end=Fri Jun 03 15:03:19 BST 2016, operations=1.0, operationsPerMinute=9.581603321622485
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:03:19 BST 2016, end=Fri Jun 03 15:03:40 BST 2016, operations=1.0, operationsPerMinute=2.877283844051216
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:03:40 BST 2016, end=Fri Jun 03 15:03:40 BST 2016, operations=1.0, operationsPerMinute=71.17437722419929
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:03:51 BST 2016, end=Fri Jun 03 15:05:51 BST 2016, operations=454.4084360780887, operationsPerMinute=227.20421803904435, mode=normal, start=Fri Jun 03 15:05:53 BST 2016, end=Fri Jun 03 15:09:53 BST 2016, operations=941.6869869975283, operationsPerMinute=235.42174674938207
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:09:57 BST 2016, end=Fri Jun 03 15:11:57 BST 2016, operations=188.87346915927625, operationsPerMinute=94.43673457963813, mode=normal, start=Fri Jun 03 15:12:01 BST 2016, end=Fri Jun 03 15:16:01 BST 2016, operations=378.5993427993443, operationsPerMinute=94.64983569983607
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:16:05 BST 2016, end=Fri Jun 03 15:18:05 BST 2016, operations=370.1442400474968, operationsPerMinute=185.0721200237484, mode=normal, start=Fri Jun 03 15:18:07 BST 2016, end=Fri Jun 03 15:22:07 BST 2016, operations=718.4043522155864, operationsPerMinute=179.6010880538966
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:22:09 BST 2016, end=Fri Jun 03 15:24:09 BST 2016, operations=131.02630173732229, operationsPerMinute=65.51315086866114, mode=normal, start=Fri Jun 03 15:24:15 BST 2016, end=Fri Jun 03 15:28:15 BST 2016, operations=278.0034930603968, operationsPerMinute=69.5008732650992
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:28:20 BST 2016, end=Fri Jun 03 15:30:20 BST 2016, operations=220.93633523464626, operationsPerMinute=110.46816761732313, mode=normal, start=Fri Jun 03 15:30:24 BST 2016, end=Fri Jun 03 15:34:24 BST 2016, operations=449.31709504038986, operationsPerMinute=112.32927376009746
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:34:27 BST 2016, end=Fri Jun 03 15:36:27 BST 2016, operations=375.39947355450727, operationsPerMinute=187.69973677725363, mode=normal, start=Fri Jun 03 15:36:29 BST 2016, end=Fri Jun 03 15:40:29 BST 2016, operations=757.2660836287721, operationsPerMinute=189.31652090719302
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:40:54 BST 2016, end=Fri Jun 03 15:42:54 BST 2016, operations=344.8430958055565, operationsPerMinute=172.42154790277826, mode=normal, start=Fri Jun 03 15:42:56 BST 2016, end=Fri Jun 03 15:46:56 BST 2016, operations=705.4410027230897, operationsPerMinute=176.36025068077242
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:46:59 BST 2016, end=Fri Jun 03 15:48:59 BST 2016, operations=209.1151845094613, operationsPerMinute=104.55759225473065, mode=normal, start=Fri Jun 03 15:49:03 BST 2016, end=Fri Jun 03 15:53:03 BST 2016, operations=417.4425702888004, operationsPerMinute=104.3606425722001
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:53:07 BST 2016, end=Fri Jun 03 15:55:07 BST 2016, operations=72.20122612993555, operationsPerMinute=36.100613064967774, mode=normal, start=Fri Jun 03 15:55:15 BST 2016, end=Fri Jun 03 15:59:15 BST 2016, operations=150.501003433542, operationsPerMinute=37.6252508583855
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:59:24 BST 2016, end=Fri Jun 03 16:01:24 BST 2016, operations=13.801668653868921, operationsPerMinute=6.9008343269344605, mode=normal, start=Fri Jun 03 16:02:09 BST 2016, end=Fri Jun 03 16:06:09 BST 2016, operations=28.007750000137932, operationsPerMinute=7.001937500034483
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:43 BST 2016, end=Fri Jun 03 16:08:43 BST 2016, operations=75.06068607918948, operationsPerMinute=37.53034303959474, mode=normal, start=Fri Jun 03 16:08:51 BST 2016, end=Fri Jun 03 16:12:51 BST 2016, operations=149.83160071953162, operationsPerMinute=37.457900179882905
