spec.jvm2008.report.run.location=PERCY006
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 14:14:05 BST 2016, end=Sun Jun 26 14:14:05 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 14:14:05 BST 2016, end=Sun Jun 26 14:14:05 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 14:14:05 BST 2016, end=Sun Jun 26 14:14:18 BST 2016, operations=1.0, operationsPerMinute=4.7247814788566025
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 14:14:18 BST 2016, end=Sun Jun 26 14:14:21 BST 2016, operations=1.0, operationsPerMinute=18.49568434032059
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 14:14:21 BST 2016, end=Sun Jun 26 14:14:22 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 14:14:22 BST 2016, end=Sun Jun 26 14:14:31 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 14:14:31 BST 2016, end=Sun Jun 26 14:14:38 BST 2016, operations=1.0, operationsPerMinute=7.785130400934215
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 14:14:38 BST 2016, end=Sun Jun 26 14:14:45 BST 2016, operations=1.0, operationsPerMinute=8.883624518803671
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 14:14:45 BST 2016, end=Sun Jun 26 14:14:47 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 14:14:47 BST 2016, end=Sun Jun 26 14:14:48 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 14:14:48 BST 2016, end=Sun Jun 26 14:14:49 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 14:14:49 BST 2016, end=Sun Jun 26 14:14:55 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 14:14:55 BST 2016, end=Sun Jun 26 14:14:56 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 14:14:56 BST 2016, end=Sun Jun 26 14:14:57 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 14:14:57 BST 2016, end=Sun Jun 26 14:14:59 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 14:14:59 BST 2016, end=Sun Jun 26 14:15:06 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 14:15:06 BST 2016, end=Sun Jun 26 14:15:26 BST 2016, operations=1.0, operationsPerMinute=2.9884942969567168
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 14:15:26 BST 2016, end=Sun Jun 26 14:15:26 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 14:15:36 BST 2016, end=Sun Jun 26 14:17:36 BST 2016, operations=482.6331360946745, operationsPerMinute=241.31656804733726, mode=normal, start=Sun Jun 26 14:17:38 BST 2016, end=Sun Jun 26 14:21:38 BST 2016, operations=1016.6960452760304, operationsPerMinute=254.1740113190076
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 14:21:41 BST 2016, end=Sun Jun 26 14:23:41 BST 2016, operations=198.51975586642976, operationsPerMinute=99.25987793321488, mode=normal, start=Sun Jun 26 14:23:44 BST 2016, end=Sun Jun 26 14:27:44 BST 2016, operations=396.8297287087281, operationsPerMinute=99.20743217718203
benchmark-name=compress, mod=warmup, start=Sun Jun 26 14:27:48 BST 2016, end=Sun Jun 26 14:29:48 BST 2016, operations=400.74916597672205, operationsPerMinute=200.37458298836103, mode=normal, start=Sun Jun 26 14:29:50 BST 2016, end=Sun Jun 26 14:33:50 BST 2016, operations=800.7477949563297, operationsPerMinute=200.18694873908242
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 14:33:52 BST 2016, end=Sun Jun 26 14:35:52 BST 2016, operations=140.12149140688894, operationsPerMinute=70.06074570344447, mode=normal, start=Sun Jun 26 14:35:57 BST 2016, end=Sun Jun 26 14:39:57 BST 2016, operations=294.78223342737033, operationsPerMinute=73.69555835684258
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 14:40:02 BST 2016, end=Sun Jun 26 14:42:02 BST 2016, operations=235.06254548881805, operationsPerMinute=117.53127274440902, mode=normal, start=Sun Jun 26 14:42:05 BST 2016, end=Sun Jun 26 14:46:05 BST 2016, operations=469.70643654926374, operationsPerMinute=117.42660913731594
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 14:46:09 BST 2016, end=Sun Jun 26 14:48:09 BST 2016, operations=407.5882439527944, operationsPerMinute=203.7941219763972, mode=normal, start=Sun Jun 26 14:48:11 BST 2016, end=Sun Jun 26 14:52:11 BST 2016, operations=815.5311209120653, operationsPerMinute=203.88278022801632
benchmark-name=derby, mod=warmup, start=Sun Jun 26 14:52:34 BST 2016, end=Sun Jun 26 14:54:34 BST 2016, operations=359.2013951648382, operationsPerMinute=179.6006975824191, mode=normal, start=Sun Jun 26 14:54:36 BST 2016, end=Sun Jun 26 14:58:36 BST 2016, operations=722.3090754266486, operationsPerMinute=180.57726885666216
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 14:58:38 BST 2016, end=Sun Jun 26 15:00:38 BST 2016, operations=208.1142532106356, operationsPerMinute=104.0571266053178, mode=normal, start=Sun Jun 26 15:00:42 BST 2016, end=Sun Jun 26 15:04:42 BST 2016, operations=416.04901027854055, operationsPerMinute=104.01225256963514
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 15:04:45 BST 2016, end=Sun Jun 26 15:06:45 BST 2016, operations=77.98956854383101, operationsPerMinute=38.994784271915506, mode=normal, start=Sun Jun 26 15:06:54 BST 2016, end=Sun Jun 26 15:10:54 BST 2016, operations=157.25910783771482, operationsPerMinute=39.314776959428706
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 15:11:01 BST 2016, end=Sun Jun 26 15:13:01 BST 2016, operations=13.89286475131749, operationsPerMinute=6.946432375658745, mode=normal, start=Sun Jun 26 15:13:45 BST 2016, end=Sun Jun 26 15:17:45 BST 2016, operations=27.71871686751758, operationsPerMinute=6.929679216879395
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 15:18:21 BST 2016, end=Sun Jun 26 15:20:21 BST 2016, operations=74.53917223961975, operationsPerMinute=37.26958611980987, mode=normal, start=Sun Jun 26 15:20:30 BST 2016, end=Sun Jun 26 15:24:30 BST 2016, operations=149.16876685967637, operationsPerMinute=37.29219171491909
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 15:24:40 BST 2016, end=Sun Jun 26 15:26:40 BST 2016, operations=42.446765811450334, operationsPerMinute=21.223382905725167, mode=normal, start=Sun Jun 26 15:26:52 BST 2016, end=Sun Jun 26 15:30:52 BST 2016, operations=84.89720817382893, operationsPerMinute=21.224302043457232
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 26 15:31:10 BST 2016, end=Sun Jun 26 15:33:10 BST 2016, operations=724.1246371959714, operationsPerMinute=362.0623185979857, mode=normal, start=Sun Jun 26 15:33:10 BST 2016, end=Sun Jun 26 15:37:10 BST 2016, operations=1472.6904896974438, operationsPerMinute=368.17262242436095
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 26 15:37:12 BST 2016, end=Sun Jun 26 15:39:12 BST 2016, operations=567.5363024937276, operationsPerMinute=283.7681512468638, mode=normal, start=Sun Jun 26 15:39:13 BST 2016, end=Sun Jun 26 15:43:13 BST 2016, operations=1136.6270246643494, operationsPerMinute=284.15675616608735
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 26 15:43:14 BST 2016, end=Sun Jun 26 15:45:14 BST 2016, operations=330.52158477752937, operationsPerMinute=165.26079238876468, mode=normal, start=Sun Jun 26 15:45:17 BST 2016, end=Sun Jun 26 15:49:17 BST 2016, operations=660.2258428754315, operationsPerMinute=165.05646071885786
benchmark-name=scimark.sparse.small, mod=warmup, start=Sun Jun 26 15:49:19 BST 2016, end=Sun Jun 26 15:51:19 BST 2016, operations=511.6734105741573, operationsPerMinute=255.83670528707864, mode=normal, start=Sun Jun 26 15:51:21 BST 2016, end=Sun Jun 26 15:55:21 BST 2016, operations=1002.954393481612, operationsPerMinute=250.738598370403
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sun Jun 26 15:55:22 BST 2016, end=Sun Jun 26 15:57:22 BST 2016, operations=119.58232954187307, operationsPerMinute=59.79116477093653, mode=normal, start=Sun Jun 26 15:57:28 BST 2016, end=Sun Jun 26 16:01:28 BST 2016, operations=239.00128836817566, operationsPerMinute=59.750322092043916
benchmark-name=serial, mod=warmup, start=Sun Jun 26 16:01:36 BST 2016, end=Sun Jun 26 16:03:36 BST 2016, operations=235.95102859946195, operationsPerMinute=117.97551429973097, mode=normal, start=Sun Jun 26 16:03:40 BST 2016, end=Sun Jun 26 16:07:40 BST 2016, operations=462.22102393784235, operationsPerMinute=115.55525598446059
benchmark-name=sunflow, mod=warmup, start=Sun Jun 26 16:07:44 BST 2016, end=Sun Jun 26 16:09:44 BST 2016, operations=177.5016503601763, operationsPerMinute=88.75082518008816, mode=normal, start=Sun Jun 26 16:09:45 BST 2016, end=Sun Jun 26 16:13:45 BST 2016, operations=353.57746932365717, operationsPerMinute=88.39436733091429
benchmark-name=xml.transform, mod=warmup, start=Sun Jun 26 16:14:06 BST 2016, end=Sun Jun 26 16:16:06 BST 2016, operations=513.7503623188406, operationsPerMinute=256.8751811594203, mode=normal, start=Sun Jun 26 16:16:08 BST 2016, end=Sun Jun 26 16:20:08 BST 2016, operations=1050.2404812601608, operationsPerMinute=262.5601203150402
benchmark-name=xml.validation, mod=warmup, start=Sun Jun 26 16:20:09 BST 2016, end=Sun Jun 26 16:22:09 BST 2016, operations=1001.4294051600269, operationsPerMinute=500.71470258001347, mode=normal, start=Sun Jun 26 16:22:10 BST 2016, end=Sun Jun 26 16:26:10 BST 2016, operations=1969.080910407809, operationsPerMinute=492.27022760195223
