spec.jvm2008.report.run.location=BEDSONTC107
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4016
benchmark-name=check, mode=normal, start=Sat Jun 04 08:29:56 BST 2016, end=Sat Jun 04 08:29:56 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:29:56 BST 2016, end=Sat Jun 04 08:29:56 BST 2016, operations=1.0, operationsPerMinute=116.50485436893204
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:29:56 BST 2016, end=Sat Jun 04 08:30:25 BST 2016, operations=1.0, operationsPerMinute=2.095850216571189
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:30:25 BST 2016, end=Sat Jun 04 08:30:30 BST 2016, operations=1.0, operationsPerMinute=11.378721790252229
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:30:30 BST 2016, end=Sat Jun 04 08:30:32 BST 2016, operations=1.0, operationsPerMinute=37.71213073538655
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:30:32 BST 2016, end=Sat Jun 04 08:30:42 BST 2016, operations=1.0, operationsPerMinute=5.862237420615535
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:30:42 BST 2016, end=Sat Jun 04 08:30:51 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:30:51 BST 2016, end=Sat Jun 04 08:30:58 BST 2016, operations=1.0, operationsPerMinute=8.253094910591471
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:30:58 BST 2016, end=Sat Jun 04 08:31:01 BST 2016, operations=1.0, operationsPerMinute=18.226002430133658
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:31:01 BST 2016, end=Sat Jun 04 08:31:02 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:31:02 BST 2016, end=Sat Jun 04 08:31:03 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:31:03 BST 2016, end=Sat Jun 04 08:31:10 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:31:10 BST 2016, end=Sat Jun 04 08:31:12 BST 2016, operations=1.0, operationsPerMinute=34.96503496503497
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:31:12 BST 2016, end=Sat Jun 04 08:31:13 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:31:13 BST 2016, end=Sat Jun 04 08:31:16 BST 2016, operations=1.0, operationsPerMinute=18.76172607879925
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:31:16 BST 2016, end=Sat Jun 04 08:31:24 BST 2016, operations=1.0, operationsPerMinute=8.113590263691684
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:31:24 BST 2016, end=Sat Jun 04 08:31:54 BST 2016, operations=1.0, operationsPerMinute=2.01355795690986
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:31:54 BST 2016, end=Sat Jun 04 08:31:55 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:32:10 BST 2016, end=Sat Jun 04 08:34:10 BST 2016, operations=354.2097334018663, operationsPerMinute=177.10486670093314, mode=normal, start=Sat Jun 04 08:34:12 BST 2016, end=Sat Jun 04 08:38:12 BST 2016, operations=691.5461961012697, operationsPerMinute=172.88654902531744
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:38:18 BST 2016, end=Sat Jun 04 08:40:18 BST 2016, operations=143.4658368241617, operationsPerMinute=71.73291841208085, mode=normal, start=Sat Jun 04 08:40:21 BST 2016, end=Sat Jun 04 08:44:21 BST 2016, operations=273.8478146386457, operationsPerMinute=68.46195365966142
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:44:26 BST 2016, end=Sat Jun 04 08:46:26 BST 2016, operations=271.7430572498631, operationsPerMinute=135.87152862493156, mode=normal, start=Sat Jun 04 08:46:29 BST 2016, end=Sat Jun 04 08:50:29 BST 2016, operations=543.9512954365683, operationsPerMinute=135.98782385914208
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:50:32 BST 2016, end=Sat Jun 04 08:52:32 BST 2016, operations=86.43067406535437, operationsPerMinute=43.21533703267718, mode=normal, start=Sat Jun 04 08:52:39 BST 2016, end=Sat Jun 04 08:56:39 BST 2016, operations=182.28822482976034, operationsPerMinute=45.572056207440085
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:56:47 BST 2016, end=Sat Jun 04 08:58:47 BST 2016, operations=147.84028480202142, operationsPerMinute=73.92014240101071, mode=normal, start=Sat Jun 04 08:58:50 BST 2016, end=Sat Jun 04 09:02:50 BST 2016, operations=295.7928221517646, operationsPerMinute=73.94820553794115
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:02:56 BST 2016, end=Sat Jun 04 09:04:56 BST 2016, operations=254.43264514868562, operationsPerMinute=127.21632257434281, mode=normal, start=Sat Jun 04 09:04:58 BST 2016, end=Sat Jun 04 09:08:58 BST 2016, operations=510.38265499614596, operationsPerMinute=127.59566374903649
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:10:28 BST 2016, end=Sat Jun 04 09:12:28 BST 2016, operations=201.99029015962287, operationsPerMinute=100.99514507981144, mode=normal, start=Sat Jun 04 09:12:31 BST 2016, end=Sat Jun 04 09:16:31 BST 2016, operations=381.811682545727, operationsPerMinute=95.45292063643176
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:16:35 BST 2016, end=Sat Jun 04 09:18:35 BST 2016, operations=134.8474632430765, operationsPerMinute=67.42373162153825, mode=normal, start=Sat Jun 04 09:18:39 BST 2016, end=Sat Jun 04 09:22:39 BST 2016, operations=270.8126871545527, operationsPerMinute=67.70317178863817
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:22:44 BST 2016, end=Sat Jun 04 09:24:44 BST 2016, operations=82.12890088561258, operationsPerMinute=41.06445044280629, mode=normal, start=Sat Jun 04 09:24:51 BST 2016, end=Sat Jun 04 09:28:51 BST 2016, operations=173.13384672491168, operationsPerMinute=43.28346168122792
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:28:59 BST 2016, end=Sat Jun 04 09:30:59 BST 2016, operations=20.255190400709317, operationsPerMinute=10.127595200354659, mode=normal, start=Sat Jun 04 09:31:40 BST 2016, end=Sat Jun 04 09:35:40 BST 2016, operations=40.15734164711717, operationsPerMinute=10.039335411779293
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:36:15 BST 2016, end=Sat Jun 04 09:38:15 BST 2016, operations=55.9407452899786, operationsPerMinute=27.9703726449893, mode=normal, start=Sat Jun 04 09:38:31 BST 2016, end=Sat Jun 04 09:42:31 BST 2016, operations=111.84697238886066, operationsPerMinute=27.961743097215166
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:42:46 BST 2016, end=Sat Jun 04 09:44:46 BST 2016, operations=61.00704631273929, operationsPerMinute=30.503523156369646, mode=normal, start=Sat Jun 04 09:44:58 BST 2016, end=Sat Jun 04 09:48:58 BST 2016, operations=122.0402052099672, operationsPerMinute=30.5100513024918
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 09:49:09 BST 2016, end=Sat Jun 04 09:51:09 BST 2016, operations=525.3229979886887, operationsPerMinute=262.66149899434436, mode=normal, start=Sat Jun 04 09:51:10 BST 2016, end=Sat Jun 04 09:55:10 BST 2016, operations=1035.0348614986317, operationsPerMinute=258.7587153746579
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 09:55:12 BST 2016, end=Sat Jun 04 09:57:12 BST 2016, operations=376.8615308544304, operationsPerMinute=188.4307654272152, mode=normal, start=Sat Jun 04 09:57:14 BST 2016, end=Sat Jun 04 10:01:14 BST 2016, operations=754.0369098088738, operationsPerMinute=188.50922745221845
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 10:01:16 BST 2016, end=Sat Jun 04 10:03:16 BST 2016, operations=245.17550955328255, operationsPerMinute=122.58775477664128, mode=normal, start=Sat Jun 04 10:03:20 BST 2016, end=Sat Jun 04 10:07:20 BST 2016, operations=490.9831706049176, operationsPerMinute=122.7457926512294
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 10:07:22 BST 2016, end=Sat Jun 04 10:09:22 BST 2016, operations=312.0540302646407, operationsPerMinute=156.02701513232034, mode=normal, start=Sat Jun 04 10:09:24 BST 2016, end=Sat Jun 04 10:13:24 BST 2016, operations=632.0926115466245, operationsPerMinute=158.02315288665613
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 04 10:13:27 BST 2016, end=Sat Jun 04 10:15:27 BST 2016, operations=79.42953246246049, operationsPerMinute=39.71476623123024, mode=normal, start=Sat Jun 04 10:15:33 BST 2016, end=Sat Jun 04 10:19:33 BST 2016, operations=158.51966135258803, operationsPerMinute=39.62991533814701
benchmark-name=serial, mod=warmup, start=Sat Jun 04 10:19:42 BST 2016, end=Sat Jun 04 10:21:42 BST 2016, operations=145.4657142232437, operationsPerMinute=72.73285711162185, mode=normal, start=Sat Jun 04 10:21:47 BST 2016, end=Sat Jun 04 10:25:47 BST 2016, operations=282.7962351440606, operationsPerMinute=70.69905878601514
benchmark-name=sunflow, mod=warmup, start=Sat Jun 04 10:25:52 BST 2016, end=Sat Jun 04 10:27:52 BST 2016, operations=110.56647323893391, operationsPerMinute=55.283236619466955, mode=normal, start=Sat Jun 04 10:27:54 BST 2016, end=Sat Jun 04 10:31:54 BST 2016, operations=223.17995642200697, operationsPerMinute=55.79498910550174
benchmark-name=xml.transform, mod=warmup, start=Sat Jun 04 10:32:26 BST 2016, end=Sat Jun 04 10:34:26 BST 2016, operations=314.6210579936327, operationsPerMinute=157.31052899681634, mode=normal, start=Sat Jun 04 10:34:29 BST 2016, end=Sat Jun 04 10:38:29 BST 2016, operations=658.5516750692989, operationsPerMinute=164.63791876732472
benchmark-name=xml.validation, mod=warmup, start=Sat Jun 04 10:38:32 BST 2016, end=Sat Jun 04 10:40:32 BST 2016, operations=519.1137363302164, operationsPerMinute=259.5568681651082, mode=normal, start=Sat Jun 04 10:40:33 BST 2016, end=Sat Jun 04 10:44:33 BST 2016, operations=1026.6010126247404, operationsPerMinute=256.6502531561851
